,system_name,system_type,num_atoms,simu_id,equi_time_seconds,cpu,gpu,performace_ns_day
0,SAMPL6-OA,complex,9207,gpu:A4000:1,9.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,816.224
1,SAMPL6-OA,complex,9207,gpu:RTX1070Ti:1,21.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,496.609
2,SAMPL6-OA,complex,9207,gpu:RTX1070:1,22.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,528.914
3,SAMPL6-OA,ligand,3630,gpu:A4000:1,4.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,1230.121
4,SAMPL6-OA,ligand,3630,gpu:RTX1070Ti:1,8.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,745.502
5,SAMPL6-OA,ligand,3630,gpu:RTX1070:1,8.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,757.81
6,tyk2,complex,66425,gpu:A4000:1,86.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,204.839
7,tyk2,complex,66425,gpu:RTX1070Ti:1,163.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,93.155
8,tyk2,complex,66425,gpu:RTX1070:1,169.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,83.54
9,tyk2,ligand,5817,gpu:A4000:1,7.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,953.909
10,tyk2,ligand,5817,gpu:RTX1070Ti:1,18.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,530.531
11,tyk2,ligand,5817,gpu:RTX1070:1,16.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,561.313
12,mcl1,complex,34827,gpu:A4000:1,45.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,383.528
13,mcl1,complex,34827,gpu:RTX1070Ti:1,91.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,183.355
14,mcl1,complex,34827,gpu:RTX1070:1,117.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,174.318
15,mcl1,ligand,5389,gpu:A4000:1,9.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,897.676
16,mcl1,ligand,5389,gpu:RTX1070Ti:1,24.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,537.855
17,mcl1,ligand,5389,gpu:RTX1070:1,24.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,513.174
18,ptp1b,complex,74246,gpu:A4000:1,107.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,181.975
19,ptp1b,complex,74246,gpu:RTX1070Ti:1,167.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,81.587
20,ptp1b,complex,74246,gpu:RTX1070:1,176.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,74.733
21,ptp1b,ligand,9647,gpu:A4000:1,17.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,633.266
22,ptp1b,ligand,9647,gpu:RTX1070Ti:1,37.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,377.015
23,ptp1b,ligand,9647,gpu:RTX1070:1,35.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,387.036
24,thrombin,complex,49471,gpu:A4000:1,87.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,269.929
25,thrombin,complex,49471,gpu:RTX1070Ti:1,170.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,120.716
26,thrombin,complex,49471,gpu:RTX1070:1,165.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070,113.458
27,thrombin,ligand,5980,gpu:A4000:1,9.0,AMD Ryzen Threadripper PRO 3975WX 32-Cores,NVIDIA RTX A4000,806.119
28,thrombin,ligand,5980,gpu:RTX1070Ti:1,24.0,Intel(R) Xeon(R) CPU E5-2630 v4 @ 2.20GHz,NVIDIA GeForce GTX 1070 Ti,469.636
