,pearson,kendall,spearman,rmse,mse,mue,source
simulation_mbar_espaloma-0.3.1,"0.28 [68%: 0.10, 0.47]","0.29 [68%: 0.14, 0.43]","0.37 [68%: 0.16, 0.57]","3.23 [68%: 2.89, 3.53]","-2.74 [68%: -3.06, -2.43]","2.85 [68%: 2.57, 3.13]",P38
simulation_mbar_gaff-2.11,"0.61 [68%: 0.49, 0.72]","0.41 [68%: 0.29, 0.53]","0.57 [68%: 0.42, 0.69]","2.18 [68%: 1.98, 2.36]","-1.87 [68%: -2.08, -1.65]","1.92 [68%: 1.71, 2.11]",P38
simulation_mbar_openff-2.0.0,"0.58 [68%: 0.45, 0.68]","0.40 [68%: 0.30, 0.50]","0.59 [68%: 0.45, 0.69]","2.92 [68%: 2.7, 3.12]","-2.62 [68%: -2.86, -2.39]","2.62 [68%: 2.39, 2.86]",P38
simulation_dg-c2-pb_espaloma-0.3.1,"0.16 [68%: 0.02, 0.31]","0.09 [68%: -0.03, 0.21]","0.15 [68%: -0.04, 0.31]","6.46 [68%: 5.75, 7.09]","-4.6 [68%: -5.43, -3.75]","5.51 [68%: 4.89, 6.13]",P38
simulation_dg-c2-pb_gaff-2.11,"0.20 [68%: -0.01, 0.39]","0.10 [68%: -0.05, 0.24]","0.14 [68%: -0.06, 0.33]","4.85 [68%: 4.14, 5.48]","-1.73 [68%: -2.59, -0.89]","3.65 [68%: 3.06, 4.24]",P38
simulation_dg-c2-pb_openff-2.0.0,"0.38 [68%: 0.20, 0.56]","0.34 [68%: 0.21, 0.47]","0.46 [68%: 0.29, 0.62]","4.96 [68%: 4.39, 5.47]","-2.3 [68%: -3.11, -1.48]","4.09 [68%: 3.56, 4.62]",P38
simulation_dg-c2-gb_espaloma-0.3.1,"0.23 [68%: 0.07, 0.38]","0.18 [68%: 0.05, 0.31]","0.26 [68%: 0.08, 0.43]","17.47 [68%: 16.53, 18.35]","-16.5 [68%: -17.54, -15.43]","16.5 [68%: 15.43, 17.54]",P38
simulation_dg-c2-gb_gaff-2.11,"0.24 [68%: 0.01, 0.45]","0.18 [68%: 0.02, 0.33]","0.21 [68%: -0.00, 0.43]","15.4 [68%: 14.45, 16.31]","-14.59 [68%: -15.53, -13.69]","14.59 [68%: 13.69, 15.53]",P38
simulation_dg-c2-gb_openff-2.0.0,"0.27 [68%: 0.09, 0.47]","0.25 [68%: 0.11, 0.38]","0.35 [68%: 0.16, 0.53]","16.7 [68%: 15.75, 17.59]","-15.89 [68%: -16.85, -14.94]","15.89 [68%: 14.94, 16.85]",P38
simulation_dg-ie-pb_espaloma-0.3.1,"0.28 [68%: 0.15, 0.41]","0.20 [68%: 0.09, 0.31]","0.30 [68%: 0.13, 0.45]","15.53 [68%: 14.92, 16.11]","-15.19 [68%: -15.79, -14.6]","15.19 [68%: 14.6, 15.79]",P38
simulation_dg-ie-pb_gaff-2.11,"0.33 [68%: 0.15, 0.53]","0.30 [68%: 0.17, 0.43]","0.45 [68%: 0.27, 0.59]","13.61 [68%: 12.97, 14.22]","-13.25 [68%: -13.83, -12.67]","13.25 [68%: 12.67, 13.83]",P38
simulation_dg-ie-pb_openff-2.0.0,"0.53 [68%: 0.39, 0.66]","0.43 [68%: 0.31, 0.55]","0.58 [68%: 0.42, 0.71]","14.58 [68%: 14.04, 15.1]","-14.26 [68%: -14.83, -13.69]","14.26 [68%: 13.69, 14.83]",P38
simulation_dg-ie-gb_espaloma-0.3.1,"0.36 [68%: 0.22, 0.49]","0.28 [68%: 0.16, 0.38]","0.40 [68%: 0.24, 0.54]","27.39 [68%: 26.65, 28.11]","-27.1 [68%: -27.85, -26.36]","27.1 [68%: 26.36, 27.85]",P38
