,system,ligand,replica,simulation_mbar_espaloma-0.3.1,simulation_mbar_gaff-2.11,simulation_mbar_openff-2.0.0,sample,simulation_dg-c2-gb_espaloma-0.3.1,simulation_dg-c2-gb_gaff-2.11,simulation_dg-c2-gb_openff-2.0.0,simulation_dg-c2-pb_espaloma-0.3.1,simulation_dg-c2-pb_gaff-2.11,simulation_dg-c2-pb_openff-2.0.0,simulation_dg-ie-gb_espaloma-0.3.1,simulation_dg-ie-gb_gaff-2.11,simulation_dg-ie-gb_openff-2.0.0,simulation_dg-ie-pb_espaloma-0.3.1,simulation_dg-ie-pb_gaff-2.11,simulation_dg-ie-pb_openff-2.0.0,simulation_dh-gb_espaloma-0.3.1,simulation_dh-gb_gaff-2.11,simulation_dh-gb_openff-2.0.0,simulation_dh-pb_espaloma-0.3.1,simulation_dh-pb_gaff-2.11,simulation_dh-pb_openff-2.0.0,exp_dG,exp_dG_error,exp_Chen2023,simulation_Chen2023-RBFEP,simulation_Chen2023,simulation_Khalak2021,error_Khalak2021,exp_Khalak2021,exp_error_Khalak2021,exp_Lin2021,simulation_Lin2021,error_Lin2021,exp_Alibay2022,simulation_Alibay2022,exp_Li2019,simulation_mbar_Li2019,simulation_mmpbsa_Li2019,simulation_mmgbsa_Li2019,simulation_Ries2024,error_Ries2024,simulation_Clark2024,error_Clark2024,simulation_Deflorian2020,error_Deflorian2020
0,A2A,4g,1,-12.636917029716107,-11.169139337896311,-14.042700347691332,1,-33.524791542857905,-24.548780308571292,-35.55830767238067,-21.46095714285791,-13.912314285714194,-22.715661904761586,-36.04216654285791,-32.0105553085713,-38.051732672380666,-23.97833214285792,-21.374089285714195,-25.209086904761584,-38.3577915428579,-36.5186803085713,-40.84610767238067,-26.29395714285792,-25.882214285714195,-28.003461904761583,-11.13,0.0,,,,,,,,,,,,,,,,,,,,,-10.814193548387095,0.0
1,A2A,4g,1,,,,2,-27.21299721904791,-24.98745811047586,-32.37487580952401,-16.026404761905027,-14.609009523809142,-20.82165238095268,-35.89337221904791,-34.87633311047586,-37.215650809524014,-24.706779761905025,-24.49788452380914,-25.66242738095268,-39.28649721904791,-36.26195811047586,-40.37627580952402,-28.099904761905027,-25.883509523809145,-28.82305238095268,,,,,,,,,,,,,,,,,,,,,,,,
2,A2A,4g,1,,,,3,-30.461967653333645,-29.16301611428468,-23.16434800761833,-18.61595714285753,-20.01362857142757,-11.505452380951676,-35.702142653333645,-31.99766611428468,-33.349148007618325,-23.85613214285753,-22.848278571427574,-21.69025238095168,-40.022767653333645,-36.02641611428468,-39.559148007618326,-28.17675714285753,-26.877028571427577,-27.90025238095168,,,,,,,,,,,,,,,,,,,,,,,,
3,A2A,4g,1,,,,4,-29.92758100952316,-23.22859496761873,-26.326707820952542,-17.89556190476133,-12.025099999999664,-16.62163333333352,-34.69873100952316,-33.44024496761873,-33.775407820952545,-22.66671190476133,-22.236749999999667,-24.07033333333352,-39.74498100952316,-36.30149496761873,-37.90790782095255,-27.71296190476133,-25.097999999999665,-28.202833333333523,,,,,,,,,,,,,,,,,,,,,,,,
4,A2A,4g,1,,,,5,-32.79490017523788,-32.37413771809516,-30.878031748570816,-19.27570476190461,-22.63492380952373,-19.325804761904205,-35.24130017523788,-34.26101271809517,-32.38165674857082,-21.72210476190461,-24.52179880952373,-20.829429761904205,-40.00880017523788,-35.879137718095166,-39.541031748570816,-26.48960476190461,-26.139923809523733,-27.98880476190421,,,,,,,,,,,,,,,,,,,,,,,,
5,A2A,4g,1,,,,6,-29.55540754666665,-26.90737250285727,-34.11171094095244,-17.684319047619017,-16.522909523809638,-21.839233333333308,-35.16678254666665,-33.08524750285727,-37.84151094095244,-23.295694047619016,-22.70078452380964,-25.56903333333331,-38.82490754666665,-35.84587250285727,-40.22401094095244,-26.953819047619017,-25.46140952380964,-27.95153333333331,,,,,,,,,,,,,,,,,,,,,,,,
6,A2A,4g,1,,,,7,-36.17305044190482,-24.106614838095297,-27.33221723809536,-24.32772380952385,-16.055909523809575,-15.262266666666722,-36.96555044190482,-27.2730398380953,-34.14389223809536,-25.12022380952385,-19.22233452380958,-22.073941666666723,-39.56305044190482,-33.0249148380953,-39.60951723809536,-27.71772380952385,-24.974209523809577,-27.53956666666672,,,,,,,,,,,,,,,,,,,,,,,,
7,A2A,4g,1,,,,8,-30.531129721904843,-28.48279587428544,-32.71948474285732,-19.0407285714286,-19.301890476190326,-21.22191904761926,-33.01315472190485,-29.99994587428544,-36.48085974285732,-21.5227535714286,-20.819040476190324,-24.98329404761926,-39.11002972190485,-34.56869587428544,-40.59148474285732,-27.619628571428603,-25.387790476190325,-29.09391904761926,,,,,,,,,,,,,,,,,,,,,,,,
8,A2A,4g,1,,,,9,-34.098520445714435,-25.237551885713685,-28.82602290666705,-22.66612857142876,-13.301009523808853,-18.509347619048057,-38.32962044571443,-31.503026885713684,-36.319947906667046,-26.897228571428755,-19.56648452380885,-26.00327261904805,-39.94462044571444,-34.951151885713685,-40.55182290666705,-28.51222857142876,-23.01460952380885,-30.235147619048057,,,,,,,,,,,,,,,,,,,,,,,,
9,A2A,4g,1,,,,10,-29.877999078095165,-29.04348406095216,-28.636178933332964,-17.957676190476036,-16.928942857142633,-18.777090476190157,-35.93099907809517,-32.64425906095216,-33.573303933332966,-24.01067619047604,-20.52971785714264,-23.714215476190155,-39.05849907809517,-35.42738406095216,-39.245178933332966,-27.13817619047604,-23.31284285714264,-29.386090476190155,,,,,,,,,,,,,,,,,,,,,,,,
