name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
4g,1,1,-20.409157142857,-29.21477318857127,-24.848657142857,-33.65427318857127,,,-28.353657142857,-37.15927318857127,7.9445,7.9445,3.505,3.505,,4049.218799999999,3590.9583523809524,4116.341176190475,-2404.352128571428,-19353.1972,1224.496604761905,12019.429242857144,-3499.690357142857,136.2684112457143,3242.894847619048,-3363.421945897143,-120.52709827809517,4011.804428571429,3454.6177619047626,4059.651923809524,-2366.033423809524,-19342.603319047623,1204.0972095238096,12138.848566666664,-3506.3502142857137,138.7636892914286,3160.383147619048,-3367.586524994286,-207.20337737523772,37.41435714285714,136.34058571428574,56.689252380952375,-1.4827190476190475,14.457423809523808,20.39938571428572,-119.41930952380952,-23.34050476190476,2.777066571428571,144.3989761904762,-20.563438190476194,123.835538,1.4285714233405347e-05,4.761904737024668e-06,1.4887562082592576e-14,-36.835985714285776,-25.051304761904568,9.523809484707475e-06,-1.4285714375513894e-05,30.000361904761924,-5.272344617142856,-61.88729047619034,24.728017287619064,-37.15927318857127,4049.218799999999,3590.9583523809524,4116.341176190475,-2404.352128571428,-19353.1972,1224.496604761905,12019.429242857144,-3494.4026666666664,81.10265238095238,0.0,3242.894847619048,-3413.3000142857145,-170.40516666666664,4011.804428571429,3454.6177619047626,4059.651923809524,-2366.033423809524,-19342.603319047623,1204.0972095238096,12138.848566666664,-3508.357823809525,82.29749523809524,0.0,3160.383147619048,-3426.0603285714287,-265.6771809523807,37.41435714285714,136.34058571428574,56.689252380952375,-1.4827190476190475,14.457423809523808,20.39938571428572,-119.41930952380952,-23.38713333333333,2.613814285714286,0.0,144.3989761904762,-20.773319047619044,123.62565714285716,1.4285714233405347e-05,4.761904737024668e-06,1.4887562082592576e-14,-36.835985714285776,-25.051304761904568,9.523809484707475e-06,-1.4285714375513894e-05,37.34229047619048,-3.808657142857143,0.0,-61.88729047619034,33.53363333333334,-28.353657142857
4g,1,2,-20.767676190476195,-29.95713935619045,-27.5130261904762,-36.70248935619045,,,-29.5592761904762,-38.74873935619045,8.7916,8.7916,2.04625,2.04625,,4053.386642857143,3611.609857142858,4108.70930952381,-2397.8973047619047,-19315.00653809524,1222.9498285714285,12015.646071428571,-3532.2710142857145,137.6801497028571,3299.3978666666662,-3394.5908645828567,-95.19299791619022,4017.577747619048,3479.3151857142857,4050.603652380952,-2357.480676190476,-19304.72076190476,1202.3065095238094,12134.717133333334,-3538.9312333333337,140.1669905142857,3222.3187904761908,-3398.7642428190475,-176.44545234285698,35.80889523809524,132.2946761904762,58.10567142857143,-1.6832238095238092,14.781128571428576,20.64333333333333,-119.0710619047619,-23.6398,2.761608068571429,140.87941904761905,-20.87819193142857,120.00122711619048,6.090366306515144e-15,-4.7619047045427146e-06,-1.4285714215810957e-05,-38.73340476190477,-25.06690476190476,-1.4285714314948586e-05,-1.671467197454712e-13,30.300019047619084,-5.248448880000007,-63.80030952380952,25.05157016761908,-38.74873935619045,4053.386642857143,3611.609857142858,4108.70930952381,-2397.8973047619047,-19315.00653809524,1222.9498285714285,12015.646071428571,-3537.969261904762,82.17789047619047,0.0,3299.3978666666662,-3455.7913714285714,-156.39350476190452,4017.577747619048,3479.3151857142857,4050.603652380952,-2357.480676190476,-19304.72076190476,1202.3065095238094,12134.717133333334,-3552.174852380952,83.36294761904762,0.0,3222.3187904761908,-3468.8119047619048,-246.4931142857141,35.80889523809524,132.2946761904762,58.10567142857143,-1.6832238095238092,14.781128571428576,20.64333333333333,-119.0710619047619,-23.82171428571429,2.6012142857142857,0.0,140.87941904761905,-21.2205,119.65891904761904,6.090366306515144e-15,-4.7619047045427146e-06,-1.4285714215810957e-05,-38.73340476190477,-25.06690476190476,-1.4285714314948586e-05,-1.671467197454712e-13,38.02730476190476,-3.7862714285714274,0.0,-63.80030952380952,34.241033333333334,-29.5592761904762
4g,1,3,-20.030728571428213,-29.265394674285357,-25.60290357142821,-34.83756967428535,,,-28.59102857142821,-37.82569467428535,8.5603,8.5603,2.988125,2.988125,,4087.9228428571423,3566.01650952381,4119.221242857142,-2396.880695238095,-19338.876480952385,1220.9998571428573,12035.269557142858,-3528.9968571428576,138.57650958857144,3293.672833333333,-3390.4203475542854,-96.74751422095224,4053.145957142857,3431.64760952381,4061.353619047619,-2358.341695238095,-19325.955014285715,1199.7215952380952,12153.23798095238,-3536.566,141.0492664457143,3214.810052380952,-3395.516733554286,-180.70668117333355,34.77688095238095,134.36889523809523,57.86762857142857,-2.2199238095238094,14.58875238095238,21.27827142857143,-117.96843333333334,-23.69892380952381,2.791709245714286,142.6920714285714,-20.907214563809525,121.7848568647619,4.761904833624645e-06,4.761904721460399e-06,-4.761904848343031e-06,-36.31907619047619,-27.51021904761871,-9.523809504839522e-06,9.52380951126824e-06,31.2680666666667,-5.264466102857145,-63.8292952380949,26.00360056380956,-37.82569467428535,4087.9228428571423,3566.01650952381,4119.221242857142,-2396.880695238095,-19338.876480952385,1220.9998571428573,12035.269557142858,-3533.7126523809525,82.9593761904762,0.0,3293.672833333333,-3450.753276190476,-157.08044285714274,4053.145957142857,3431.64760952381,4061.353619047619,-2358.341695238095,-19325.955014285715,1199.7215952380952,12153.23798095238,-3548.9649,84.14039999999999,0.0,3214.810052380952,-3464.8245,-250.0144476190478,34.77688095238095,134.36889523809523,57.86762857142857,-2.2199238095238094,14.58875238095238,21.27827142857143,-117.96843333333334,-23.781200000000005,2.614157142857143,0.0,142.6920714285714,-21.167042857142853,121.52502857142856,4.761904833624645e-06,4.761904721460399e-06,-4.761904848343031e-06,-36.31907619047619,-27.51021904761871,-9.523809504839522e-06,9.52380951126824e-06,39.03344761904764,-3.795180952380955,0.0,-63.8292952380949,35.23826666666669,-28.59102857142821
4g,1,4,-16.775799999999556,-26.73387378666626,-21.124224999999555,-31.082298786666257,,,-28.183599999999554,-38.14167378666626,11.4078,11.4078,7.059375000000001,7.059375000000001,,4057.84950952381,3596.3464571428576,4119.545980952382,-2385.455438095238,-19320.658528571428,1222.5269857142855,12007.942504761906,-3539.912257142857,139.69899260571427,3298.097471428572,-3400.213264537142,-102.11579310857124,4021.91479047619,3462.5089571428566,4060.440114285715,-2345.3702285714285,-19309.35259523809,1202.1972714285712,12126.179452380951,-3546.7670857142857,142.1410399885714,3218.5177619047618,-3404.626045725713,-186.1082838209526,35.934719047619055,133.83749047619048,59.10588095238096,-2.414728571428571,14.804200000000002,20.32971904761905,-118.2369476190476,-24.00907619047619,2.78291688,143.36033333333336,-21.22615931047619,122.13417402285714,-3.7726435732024366e-14,9.523809549163852e-06,-1.4285714311565048e-05,-37.670480952380935,-26.110133333332914,-4.761904686948323e-06,2.639158732823229e-14,30.863904761904735,-5.224964262857145,-63.780614285713845,25.638940499047592,-38.14167378666626,4057.84950952381,3596.3464571428576,4119.545980952382,-2385.455438095238,-19320.658528571428,1222.5269857142855,12007.942504761906,-3537.639895238095,83.21014761904762,0.0,3298.097471428572,-3454.4297476190472,-156.332276190476,4021.91479047619,3462.5089571428566,4060.440114285715,-2345.3702285714285,-19309.35259523809,1202.1972714285712,12126.179452380951,-3552.884761904761,84.38574285714287,0.0,3218.5177619047618,-3468.4990190476187,-249.98125714285732,35.934719047619055,133.83749047619048,59.10588095238096,-2.414728571428571,14.804200000000002,20.32971904761905,-118.2369476190476,-24.14398571428571,2.6162428571428573,0.0,143.36033333333336,-21.527742857142854,121.83259047619048,-3.7726435732024366e-14,9.523809549163852e-06,-1.4285714311565048e-05,-37.670480952380935,-26.110133333332914,-4.761904686948323e-06,2.639158732823229e-14,39.38885238095239,-3.791838095238096,0.0,-63.780614285713845,35.597014285714295,-28.183599999999554
4g,1,5,-20.630395238094703,-28.74985894476145,-24.061770238094702,-32.181233944761445,,,-29.357395238094703,-37.476858944761446,8.727,8.727,5.295624999999999,5.295624999999999,,4062.785280952381,3613.670104761905,4114.3661142857145,-2379.882890476191,-19344.954366666665,1224.2321047619048,12003.446352380954,-3515.703409523809,139.55224230857144,3293.6627,-3376.1511672152383,-82.48846721523775,4026.609414285714,3480.133638095238,4056.8445714285695,-2341.361042857143,-19332.45886190476,1203.345714285714,12122.002271428571,-3523.6193047619045,141.96213390857142,3215.1157047619045,-3381.6571708533343,-166.54146609142845,36.1758761904762,133.53646190476192,57.52154285714286,-1.573071428571429,14.239780952380954,20.886390476190478,-118.55591428571432,-23.47687619047619,2.7756768685714284,142.23106666666666,-20.701199321904763,121.5298673447619,-9.523809515836016e-06,4.761904812139186e-06,9.270890933250833e-14,-36.94877619047619,-26.73528571428528,3.1636069425509224e-14,-4.761904877103093e-06,31.39277142857145,-5.185568468571428,-63.68406190476147,26.207202960000014,-37.476858944761446,4062.785280952381,3613.670104761905,4114.3661142857145,-2379.882890476191,-19344.954366666665,1224.2321047619048,12003.446352380954,-3522.3235285714286,83.62448095238095,0.0,3293.6627,-3438.699047619047,-145.03634761904718,4026.609414285714,3480.133638095238,4056.8445714285695,-2341.361042857143,-19332.45886190476,1203.345714285714,12122.002271428571,-3536.8217476190475,84.8221,0.0,3215.1157047619045,-3451.9996476190468,-236.8839428571428,36.1758761904762,133.53646190476192,57.52154285714286,-1.573071428571429,14.239780952380954,20.886390476190478,-118.55591428571432,-23.632990476190475,2.6069238095238094,0.0,142.23106666666666,-21.02606666666667,121.205,-9.523809515836016e-06,4.761904812139186e-06,9.270890933250833e-14,-36.94877619047619,-26.73528571428528,3.1636069425509224e-14,-4.761904877103093e-06,38.13120952380963,-3.8045428571428577,0.0,-63.68406190476147,34.32666666666676,-29.357395238094703
4g,1,6,-15.734476190475824,-25.125695462856772,-24.69692619047582,-34.08814546285678,,,-28.473176190475822,-37.86439546285678,12.7387,12.7387,3.77625,3.77625,,4071.439438095238,3582.7223000000004,4108.648552380952,-2386.6412095238093,-19351.146261904763,1224.909666666667,12002.814038095235,-3495.2094047619044,139.98493333714282,3252.746523809524,-3355.2244714247618,-102.47794761523794,4036.2203619047614,3448.5063904761905,4049.41439047619,-2347.6259,-19336.77979047619,1204.676119047619,12120.788585714285,-3504.508833333333,142.57629839999998,3175.200157142857,-3361.932534933333,-186.7323777904764,35.21907142857143,134.21591428571426,59.23416666666668,-1.9991619047619047,14.674752380952384,20.23354761904762,-117.97455238095236,-24.28594285714286,2.8010304,143.60373809523807,-21.48491245714285,122.11882563809525,4.761904706911191e-06,-4.76190479048455e-06,-4.76190483548559e-06,-37.01614761904766,-29.041223809523405,-1.7256037868459575e-14,4.761904837177358e-06,33.58537142857143,-5.39239546285714,-66.05737142857109,28.19297596571429,-37.86439546285678,4071.439438095238,3582.7223000000004,4108.648552380952,-2386.6412095238093,-19351.146261904763,1224.909666666667,12002.814038095235,-3502.8717047619048,83.91489047619048,0.0,3252.746523809524,-3418.9568142857142,-166.21029047619032,4036.2203619047614,3448.5063904761905,4049.41439047619,-2347.6259,-19336.77979047619,1204.676119047619,12120.788585714285,-3519.8575047619047,85.0317,0.0,3175.200157142857,-3434.8258047619047,-259.6256476190477,35.21907142857143,134.21591428571426,59.23416666666668,-1.9991619047619047,14.674752380952384,20.23354761904762,-117.97455238095236,-24.3337,2.618495238095238,0.0,143.60373809523807,-21.715204761904765,121.88853333333336,4.761904706911191e-06,-4.76190479048455e-06,-4.76190483548559e-06,-37.01614761904766,-29.041223809523405,-1.7256037868459575e-14,4.761904837177358e-06,41.31950000000002,-3.735304761904762,0.0,-66.05737142857109,37.58419523809525,-28.473176190475822
4g,1,7,-18.271528571429094,-29.73242457523859,-23.124278571429095,-34.58517457523859,,,-27.155528571429095,-38.61642457523859,8.884,8.884,4.03125,4.03125,,4060.3163904761914,3589.159628571428,4109.686080952381,-2372.7925571428573,-19363.754814285712,1224.3380095238094,12003.66852857143,-3494.2873047619046,141.23297989714283,3250.621266666666,-3353.054324864762,-102.43305819809557,4023.6316095238094,3456.509338095238,4051.995938095239,-2333.2049190476187,-19349.99343809524,1204.134461904762,12122.33500952381,-3503.8656571428573,143.93718411428569,3175.408,-3359.9284730285704,-184.5204730285711,36.68478095238096,132.6502714285714,57.69014285714287,-1.5335333333333334,14.629066666666668,20.20354761904762,-118.66649523809524,-23.742657142857144,2.788682262857143,141.65778095238096,-20.953974880000004,120.70380607238096,8.695689670968846e-14,1.904761910035783e-05,-8.932537249555546e-14,-38.05410476190472,-28.390442857143388,9.98143366901093e-15,1.4285714098740582e-05,33.32100952380952,-5.492886479999998,-66.44454761904811,27.82812304380952,-38.61642457523859,4060.3163904761914,3589.159628571428,4109.686080952381,-2372.7925571428573,-19363.754814285712,1224.3380095238094,12003.66852857143,-3515.122833333333,84.38342380952382,0.0,3250.621266666666,-3430.7394095238096,-180.1181428571432,4023.6316095238094,3456.509338095238,4051.995938095239,-2333.2049190476187,-19349.99343809524,1204.134461904762,12122.33500952381,-3534.5310904761905,85.49790952380951,0.0,3175.408,-3449.0331809523805,-273.6251809523806,36.68478095238096,132.6502714285714,57.69014285714287,-1.5335333333333334,14.629066666666668,20.20354761904762,-118.66649523809524,-23.613071428571427,2.6178238095238093,0.0,141.65778095238096,-20.99524761904761,120.66253333333331,8.695689670968846e-14,1.904761910035783e-05,-8.932537249555546e-14,-38.05410476190472,-28.390442857143388,9.98143366901093e-15,1.4285714098740582e-05,43.02132857142854,-3.732309523809525,0.0,-66.44454761904811,39.28901904761901,-27.155528571429095
4g,1,8,-22.262161904762344,-31.144567847619506,-24.399111904762343,-33.281517847619504,,,-28.805361904762343,-37.687767847619504,6.5432,6.5432,4.40625,4.40625,,4064.946342857143,3573.5949857142864,4114.053585714285,-2391.935247619048,-19369.567304761906,1224.2784428571426,12015.646276190477,-3487.516342857143,139.72986401142856,3231.0170809523806,-3347.7864788457146,-116.76939789333316,4027.9693857142856,3439.6664333333333,4056.518747619048,-2352.968361904762,-19355.67460952381,1203.327438095238,12133.875161904763,-3496.42839047619,142.22092937142855,3152.7141952380957,-3354.2074611047624,-201.4932658666664,36.976957142857145,133.92853333333335,57.53484285714285,-2.0599809523809527,14.39465238095238,20.951014285714287,-118.22887142857148,-23.87895714285714,2.7934548685714287,143.49714761904767,-21.08550227428572,122.41164534476192,7.782134724991575e-14,1.9047619094944173e-05,-4.761904758002597e-06,-36.90690476190476,-28.287347619048077,-9.523809524633212e-06,-1.428571445333524e-05,32.79100476190475,-5.284520228571427,-65.19425238095283,27.506484533333328,-37.687767847619504,4064.946342857143,3573.5949857142864,4114.053585714285,-2391.935247619048,-19369.567304761906,1224.2784428571426,12015.646276190477,-3507.257385714286,83.9614761904762,0.0,3231.0170809523806,-3423.2959095238093,-192.27882857142845,4027.9693857142856,3439.6664333333333,4056.518747619048,-2352.968361904762,-19355.67460952381,1203.327438095238,12133.875161904763,-3523.536671428572,85.07659523809524,0.0,3152.7141952380957,-3438.4600761904767,-285.7458809523808,36.976957142857145,133.92853333333335,57.53484285714285,-2.0599809523809527,14.39465238095238,20.951014285714287,-118.22887142857148,-23.846533333333337,2.621809523809524,0.0,143.49714761904767,-21.22472380952381,122.2724238095238,7.782134724991575e-14,1.9047619094944173e-05,-4.761904758002597e-06,-36.90690476190476,-28.287347619048077,-9.523809524633212e-06,-1.428571445333524e-05,40.12581904761906,-3.7369285714285727,0.0,-65.19425238095283,36.38889047619048,-28.805361904762343
4g,1,9,-22.8936619047619,-31.168781935238,-26.4751369047619,-34.750256935238,,,-28.9532619047619,-37.228381935238,6.0596,6.0596,2.478125,2.478125,,4025.5124285714287,3579.879680952381,4113.465980952381,-2385.845047619048,-19417.03437619048,1229.449023809524,12030.93778095238,-3481.422028571429,139.6686989828571,3176.3654714285717,-3341.7533295885714,-165.38785815999995,3987.336204761905,3445.5977904761903,4056.613857142856,-2346.297171428571,-19404.828185714287,1209.010919047619,12148.490795238096,-3489.4292380952384,142.2604848342857,3095.92420952381,-3347.1687532609526,-251.24454373714255,38.17621904761906,134.2818619047619,56.8521380952381,-2.131414285714285,13.958347619047618,20.438119047619047,-117.55302380952382,-23.726966666666662,2.789772274285714,144.02224761904765,-20.937194392380952,123.0850532266667,4.761904691008567e-06,2.857142856628668e-05,-1.4285714347092183e-05,-37.41646190476192,-26.164538095238008,-1.4285714275192029e-05,9.523809567434954e-06,31.734176190476216,-5.38155812571429,-63.58099999999994,26.35261806476193,-37.228381935238,4025.5124285714287,3579.879680952381,4113.465980952381,-2385.845047619048,-19417.03437619048,1229.449023809524,12030.93778095238,-3496.440138095238,83.63699047619049,0.0,3176.3654714285717,-3412.803147619048,-236.43767619047608,3987.336204761905,3445.5977904761903,4056.613857142856,-2346.297171428571,-19404.828185714287,1209.010919047619,12148.490795238096,-3511.06711904762,84.74920476190476,0.0,3095.92420952381,-3426.317914285714,-330.3937047619044,38.17621904761906,134.2818619047619,56.8521380952381,-2.131414285714285,13.958347619047618,20.438119047619047,-117.55302380952382,-23.737309523809525,2.6243380952380955,0.0,144.02224761904765,-21.112971428571427,122.9092761904762,4.761904691008567e-06,2.857142856628668e-05,-1.4285714347092183e-05,-37.41646190476192,-26.164538095238008,-1.4285714275192029e-05,9.523809567434954e-06,38.36429047619041,-3.7365523809523817,0.0,-63.58099999999994,34.62773809523803,-28.9532619047619
4g,1,10,-18.66497142857149,-28.23287016761909,-24.39644642857149,-33.96434516761909,,,-28.28207142857149,-37.84997016761909,9.6171,9.6171,3.885625000000001,3.885625000000001,,4069.976219047619,3593.605857142857,4110.362152380952,-2391.354847619048,-19400.43522857143,1228.2443523809525,12023.436052380952,-3475.554223809524,139.56741517714286,3233.834557142857,-3335.9868086323813,-102.15225148952383,4037.3226619047614,3459.0671333333344,4052.548904761904,-2350.9736190476187,-19388.61409523809,1206.7342904761904,12141.549595238092,-3484.6237809523805,142.20601666285717,3157.6348714285714,-3342.417764289524,-184.7828928609529,32.65354285714285,134.53872857142855,57.81325238095239,-1.5352761904761905,14.48257619047619,21.510076190476187,-118.11354285714285,-23.65452857142857,2.785792491428571,141.34935714285714,-20.86873608,120.48062106285713,1.428571436130304e-05,-4.761904714693325e-06,-4.761904679504542e-06,-38.8459523809524,-26.30370952380953,-1.4285714255905868e-05,3.079018521627101e-13,32.72408571428569,-5.424393977142854,-65.14966190476193,27.299691737142844,-37.84997016761909,4069.976219047619,3593.605857142857,4110.362152380952,-2391.354847619048,-19400.43522857143,1228.2443523809525,12023.436052380952,-3486.261952380952,83.49253809523809,0.0,3233.834557142857,-3402.769414285714,-168.9348571428571,4037.3226619047614,3459.0671333333344,4052.548904761904,-2350.9736190476187,-19388.61409523809,1206.7342904761904,12141.549595238092,-3503.286671428572,84.60240476190476,0.0,3157.6348714285714,-3418.684266666667,-261.04939523809577,32.65354285714285,134.53872857142855,57.81325238095239,-1.5352761904761905,14.48257619047619,21.510076190476187,-118.11354285714285,-23.56947619047619,2.616738095238095,0.0,141.34935714285714,-20.952738095238097,120.39661904761904,1.428571436130304e-05,-4.761904714693325e-06,-4.761904679504542e-06,-38.8459523809524,-26.30370952380953,-1.4285714255905868e-05,3.079018521627101e-13,40.59419523809519,-3.726604761904762,0.0,-65.14966190476193,36.86759047619043,-28.28207142857149
