name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
4g,1,1,-23.93738095238113,-32.769690049523945,-28.801080952381124,-37.633390049523946,,,-29.433580952381124,-38.26589004952395,5.4962,5.4962,0.6325000000000001,0.6325000000000001,,4085.08358095238,3468.5962142857134,4066.706414285714,-2415.7151666666664,-19360.549033333333,1220.2259095238096,11980.2332,-3471.5479571428564,134.93810149714284,3044.5811190476197,-3336.6098556457146,-292.02873659809546,4054.328523809524,3448.472009523809,4048.865323809524,-2378.250076190476,-19369.738919047617,1207.1606666666669,12137.68266190476,-3482.91750952381,137.42503378285716,3148.5201904761902,-3345.492475740952,-196.97228526476223,30.755071428571437,20.124204761904764,17.841085714285715,-2.393847619047619,37.9827380952381,13.065233333333332,-157.44947142857143,-19.47460476190476,2.7590196685714283,-40.07498571428573,-16.715585093333328,-56.790570807619055,-1.428571425573669e-05,-5.4982473600483945e-15,4.761904796236563e-06,-35.07124285714286,-28.79285238095254,9.52380954992515e-06,9.523809497057388e-06,30.84415714285717,-5.245951954285717,-63.86409523809539,25.59820518857145,-38.26589004952395,4085.08358095238,3468.5962142857134,4066.706414285714,-2415.7151666666664,-19360.549033333333,1220.2259095238096,11980.2332,-3469.3402,80.68020476190476,0.0,3044.5811190476197,-3388.6599952380952,-344.0788761904764,4054.328523809524,3448.472009523809,4048.865323809524,-2378.250076190476,-19369.738919047617,1207.1606666666669,12137.68266190476,-3487.5978904761905,81.89441428571429,0.0,3148.5201904761902,-3405.703476190476,-257.183285714286,30.755071428571437,20.124204761904764,17.841085714285715,-2.393847619047619,37.9827380952381,13.065233333333332,-157.44947142857143,-19.9828,2.5957666666666666,0.0,-40.07498571428573,-17.387033333333328,-57.46201904761905,-1.428571425573669e-05,-5.4982473600483945e-15,4.761904796236563e-06,-35.07124285714286,-28.79285238095254,9.52380954992515e-06,9.523809497057388e-06,38.24049047619047,-3.809976190476192,0.0,-63.86409523809539,34.430514285714274,-29.433580952381124
4g,1,2,-18.218914285714643,-28.859060925714683,-26.00571428571464,-36.645860925714686,,,-28.320714285714644,-38.96086092571469,10.1018,10.1018,2.315,2.315,,4048.885566666667,3469.2717619047626,4083.624895238096,-2440.3651857142854,-19363.85937142857,1220.1905523809523,11993.18954285714,-3455.985252380953,134.2614688457143,3010.9377619047614,-3321.7237835352385,-310.7860216304763,4016.936233333333,3449.3625523809524,4065.3704904761903,-2400.1065904761904,-19375.63579047619,1207.396919047619,12151.48308095238,-3466.3421809523807,136.88528015999998,3114.8068952380954,-3329.456900792381,-214.6500055542855,31.949352380952377,19.909214285714285,18.2544,-3.371295238095238,38.39377142857143,12.793614285714288,-158.293519047619,-19.591509523809528,2.780835325714286,-40.36446190476191,-16.810674198095235,-57.17513610285715,-1.904761904030005e-05,-4.761904752250584e-06,4.761904793275968e-06,-36.88729999999996,-26.617352380952823,1.904761900874857e-05,-1.904761897652038e-05,29.948438095238096,-5.404646639999994,-63.50465238095276,24.5437914552381,-38.96086092571469,4048.885566666667,3469.2717619047626,4083.624895238096,-2440.3651857142854,-19363.85937142857,1220.1905523809523,11993.18954285714,-3447.554204761904,80.82355714285714,0.0,3010.9377619047614,-3366.7306476190474,-355.7928857142858,4016.936233333333,3449.3625523809524,4065.3704904761903,-2400.1065904761904,-19375.63579047619,1207.396919047619,12151.48308095238,-3466.304457142857,82.00417142857142,0.0,3114.8068952380954,-3384.3002857142856,-269.49339047619026,31.949352380952377,19.909214285714285,18.2544,-3.371295238095238,38.39377142857143,12.793614285714288,-158.293519047619,-20.22122380952381,2.60692380952381,0.0,-40.36446190476191,-17.614299999999997,-57.97876190476189,-1.904761904030005e-05,-4.761904752250584e-06,4.761904793275968e-06,-36.88729999999996,-26.617352380952823,1.904761900874857e-05,-1.904761897652038e-05,38.971476190476224,-3.7875380952380944,0.0,-63.50465238095276,35.183938095238126,-28.320714285714644
4g,1,3,-14.892171428571489,-25.23731462857151,-20.96577142857149,-31.310914628571517,,,-25.72077142857149,-36.06591462857151,10.8286,10.8286,4.755,4.755,,4080.336980952381,3477.5779999999995,4063.2362428571423,-2402.775061904762,-19384.315504761908,1217.6729571428573,11971.31219047619,-3434.1505857142856,136.70166973714288,3023.0458047619045,-3297.4489159771424,-274.403111215238,4049.409938095238,3457.0301476190484,4047.9347333333335,-2365.456019047619,-19397.104033333337,1204.2339238095235,12128.898442857142,-3444.390590476191,139.25637541714283,3124.9471333333336,-3305.134215059048,-180.18708172571448,30.927052380952382,20.54786666666667,15.301499999999995,-2.2834619047619045,37.76672380952381,13.439033333333333,-157.58624285714285,-19.05737142857143,2.7948089485714283,-41.887528571428575,-16.262562480000003,-58.150091051428575,-9.523809583845106e-06,-1.4285714312157168e-05,9.52380946745144e-06,-35.035580952380954,-24.97819523809531,-2.766041364208961e-14,-9.5238094063786e-06,29.297376190476182,-5.349514628571425,-60.01377619047626,23.94786156190475,-36.06591462857151,4080.336980952381,3477.5779999999995,4063.2362428571423,-2402.775061904762,-19384.315504761908,1217.6729571428573,11971.31219047619,-3441.8420952380948,80.74525714285713,0.0,3023.0458047619045,-3361.0968380952377,-338.0510333333333,4049.409938095238,3457.0301476190484,4047.9347333333335,-2365.456019047619,-19397.104033333337,1204.2339238095235,12128.898442857142,-3460.327176190476,81.95364761904762,0.0,3124.9471333333336,-3378.373528571429,-253.42639523809544,30.927052380952382,20.54786666666667,15.301499999999995,-2.2834619047619045,37.76672380952381,13.439033333333333,-157.58624285714285,-19.617752380952385,2.601438095238095,0.0,-41.887528571428575,-17.016314285714287,-58.90384285714285,-9.523809583845106e-06,-1.4285714312157168e-05,9.52380946745144e-06,-35.035580952380954,-24.97819523809531,-2.766041364208961e-14,-9.5238094063786e-06,38.10283333333335,-3.809828571428572,0.0,-60.01377619047626,34.29300476190477,-25.72077142857149
4g,1,4,-19.84048571428568,-30.488442319999944,-25.46078571428568,-36.10874231999995,,,-26.80828571428568,-37.45624231999994,6.9678,6.9678,1.3475,1.3475,,4055.36578095238,3496.345661904762,4068.5671,-2400.8997523809526,-19404.042028571428,1215.620280952381,11979.924485714284,-3432.112004761904,137.16172412571427,3010.881528571429,-3294.9502806361907,-284.0687520647616,4021.26821904762,3473.8724428571427,4051.357138095238,-2362.5448476190472,-19413.681271428573,1201.935823809524,12137.134304761905,-3444.07780952381,139.71861689142855,3109.3418095238094,-3304.3591926323807,-195.0173831085714,34.0975619047619,22.47323809523809,17.209938095238094,-2.9461476190476192,37.8108380952381,13.68444761904762,-157.20980476190476,-19.507104761904763,2.791906697142857,-34.87992857142857,-16.715198064761903,-51.59512663619047,-1.067505872058627e-13,-1.9047619016107764e-05,2.3809523812344325e-05,-35.40875714285708,-28.17159523809523,9.523809540535835e-06,-1.4285714257766813e-05,31.472909523809506,-5.348799462857145,-63.5803523809523,26.124110060952358,-37.45624231999994,4055.36578095238,3496.345661904762,4068.5671,-2400.8997523809526,-19404.042028571428,1215.620280952381,11979.924485714284,-3441.071433333333,82.01994761904761,0.0,3010.881528571429,-3359.0514857142857,-348.1699571428569,4021.26821904762,3473.8724428571427,4051.357138095238,-2362.5448476190472,-19413.681271428573,1201.935823809524,12137.134304761905,-3461.4449238095235,83.20339047619048,0.0,3109.3418095238094,-3378.241533333333,-268.89972380952383,34.0975619047619,22.47323809523809,17.209938095238094,-2.9461476190476192,37.8108380952381,13.68444761904762,-157.20980476190476,-20.195671428571423,2.6136523809523804,0.0,-34.87992857142857,-17.58201904761905,-52.46194761904761,-1.067505872058627e-13,-1.9047619016107764e-05,2.3809523812344325e-05,-35.40875714285708,-28.17159523809523,9.523809540535835e-06,-1.4285714257766813e-05,40.56916190476186,-3.797095238095237,0.0,-63.5803523809523,36.77206666666663,-26.80828571428568
4g,1,5,-18.001223809524205,-29.67681540952419,-24.019798809524207,-35.69539040952419,,,-26.492923809524207,-38.16851540952419,8.4917,8.4917,2.473125,2.473125,,4097.277723809523,3465.510376190477,4070.8851619047614,-2416.3346333333334,-19358.03543809524,1214.2223142857144,11997.177885714284,-3496.122776190476,135.76170713142855,3070.70339047619,-3360.361069059047,-289.6576785828572,4063.5202,3445.7736142857148,4054.2608761904767,-2377.445552380953,-19368.861004761904,1201.500161904762,12154.706033333332,-3506.9974666666653,138.3811926514285,3173.454328571428,-3368.616274015238,-195.16194544380983,33.75753809523809,19.736761904761902,16.624285714285715,-2.7311380952380957,37.94409523809523,12.72215714285714,-157.5281571428571,-19.649842857142858,2.7970917942857145,-39.47445714285714,-16.852751062857145,-56.32720820571429,-1.4285714203968576e-05,-1.2265321033954113e-14,6.005777885591323e-15,-36.1579428571428,-27.118528571428996,-4.761904711901907e-06,9.52380971495716e-06,30.524533333333316,-5.416577314285712,-63.27647142857179,25.10795601904761,-38.16851540952419,4097.277723809523,3465.510376190477,4070.8851619047614,-2416.3346333333334,-19358.03543809524,1214.2223142857144,11997.177885714284,-3499.5684523809523,80.46653809523808,0.0,3070.70339047619,-3419.101914285715,-348.3985238095239,4063.5202,3445.7736142857148,4054.2608761904767,-2377.445552380953,-19368.861004761904,1201.500161904762,12154.706033333332,-3519.7768523809523,81.62722857142856,0.0,3173.454328571428,-3438.149623809524,-264.6952952380956,33.75753809523809,19.736761904761902,16.624285714285715,-2.7311380952380957,37.94409523809523,12.72215714285714,-157.5281571428571,-20.34662857142857,2.610790476190476,0.0,-39.47445714285714,-17.735838095238098,-57.21029523809524,-1.4285714203968576e-05,-1.2265321033954113e-14,6.005777885591323e-15,-36.1579428571428,-27.118528571428996,-4.761904711901907e-06,9.52380971495716e-06,40.55502857142854,-3.771480952380952,0.0,-63.27647142857179,36.78354761904758,-26.492923809524207
4g,1,6,-13.366538095238402,-25.013920518095617,-20.9988130952384,-32.64619551809562,,,-25.9344380952384,-37.58182051809562,12.5679,12.5679,4.935625000000001,4.935625000000001,,4038.256747619048,3475.2187857142862,4079.835280952382,-2415.7406,-19271.22525714285,1212.4571142857142,11995.97881904762,-3570.7802904761897,136.08930661714285,3114.7808904761905,-3434.6909838590477,-319.91009338285704,4008.6346857142858,3454.5208285714284,4062.3668380952377,-2377.1596857142863,-19281.66803809524,1199.4109476190474,12153.722200000002,-3582.4725619047613,138.65384698285715,3219.827776190477,-3443.818714921905,-223.99093873142783,29.622071428571427,20.697957142857145,17.468447619047627,-2.913466666666667,38.19993809523809,13.046161904761902,-157.7433619047619,-19.503409523809527,2.788356342857143,-41.622252380952375,-16.715053180952378,-58.33730556190475,-9.523809576570502e-06,-2.6899117853775224e-14,-4.761904755464944e-06,-35.6674476190476,-27.7571571428575,4.761904769252856e-06,-1.904761908885381e-05,31.195680952380897,-5.352896708571426,-63.42460476190509,25.84278424380948,-37.58182051809562,4038.256747619048,3475.2187857142862,4079.835280952382,-2415.7406,-19271.22525714285,1212.4571142857142,11995.97881904762,-3573.5911666666666,80.69737142857142,0.0,3114.7808904761905,-3492.8937952380948,-378.1129047619047,4008.6346857142858,3454.5208285714284,4062.3668380952377,-2377.1596857142863,-19281.66803809524,1199.4109476190474,12153.722200000002,-3594.8145047619046,81.87653333333333,0.0,3219.827776190477,-3512.9379714285715,-293.11019523809455,29.622071428571427,20.697957142857145,17.468447619047627,-2.913466666666667,38.19993809523809,13.046161904761902,-157.7433619047619,-20.05673333333333,2.610742857142857,0.0,-41.622252380952375,-17.445990476190474,-59.06824285714284,-9.523809576570502e-06,-2.6899117853775224e-14,-4.761904755464944e-06,-35.6674476190476,-27.7571571428575,4.761904769252856e-06,-1.904761908885381e-05,41.28007142857146,-3.7899047619047614,0.0,-63.42460476190509,37.490166666666696,-25.9344380952384
4g,1,7,-15.315399999999965,-26.007646346666647,-20.03994999999996,-30.732196346666647,,,-25.908699999999964,-36.600946346666646,10.5933,10.5933,5.86875,5.86875,,4082.993128571428,3493.568952380952,4086.3884190476183,-2409.0024,-19341.656652380952,1216.050976190476,12006.177047619049,-3517.096433333333,135.2052587657143,3134.5194714285717,-3381.89117456762,-247.3717031390475,4051.649952380952,3471.779452380953,4069.921914285716,-2370.7875095238096,-19353.61525238095,1202.3136714285715,12164.151566666664,-3528.579704761905,137.76836945142855,3235.4137952380947,-3390.811335310476,-155.39754007238085,31.34318571428572,21.78949523809524,16.466509523809528,-2.6193,38.19974761904763,13.7373,-157.97450476190474,-19.10027142857143,2.784640422857142,-39.057566666666666,-16.315631005714287,-55.37319767238096,-9.52380955846858e-06,4.76190473211854e-06,-4.761904777796287e-06,-35.595590476190466,-26.24114761904761,4.761904819582967e-06,-1.4285714328144378e-05,30.58354285714284,-5.347751108571428,-61.83673809523806,25.235791748571412,-36.600946346666646,4082.993128571428,3493.568952380952,4086.3884190476183,-2409.0024,-19341.656652380952,1216.050976190476,12006.177047619049,-3518.929390476191,80.61945714285713,0.0,3134.5194714285717,-3438.309933333333,-303.79046190476186,4051.649952380952,3471.779452380953,4069.921914285716,-2370.7875095238096,-19353.61525238095,1202.3136714285715,12164.151566666664,-3538.9393809523817,81.80718571428572,0.0,3235.4137952380947,-3457.1321952380945,-221.7184,31.34318571428572,21.78949523809524,16.466509523809528,-2.6193,38.19974761904763,13.7373,-157.97450476190474,-19.717690476190477,2.6119142857142865,0.0,-39.057566666666666,-17.10577619047619,-56.16334285714284,-9.52380955846858e-06,4.76190473211854e-06,-4.761904777796287e-06,-35.595590476190466,-26.24114761904761,4.761904819582967e-06,-1.4285714328144378e-05,39.727680952380965,-3.7996428571428575,0.0,-61.83673809523806,35.9280380952381,-25.908699999999964
4g,1,8,-16.782952380952075,-26.24154067047599,-22.286277380952075,-31.744865670475992,,,-26.235652380952075,-35.69424067047599,9.4527,9.4527,3.949375,3.949375,,4061.379380952381,3477.969690476191,4065.034042857143,-2405.6072857142863,-19315.8090904762,1210.2347095238097,12016.437409523813,-3552.78551904762,135.7617508457143,3109.638857142857,-3417.0237682019047,-307.3849110590476,4028.0181238095215,3458.608614285715,4048.700571428572,-2368.493747619048,-19326.674566666665,1197.3079809523808,12172.950585714289,-3564.348938095238,138.2126762057143,3210.4175619047624,-3426.136261889524,-215.7186999847622,33.36124761904762,19.361085714285714,16.333490476190473,-2.2302761904761903,37.55435238095239,12.926714285714286,-156.51316666666668,-19.55625714285714,2.790853405714285,-39.20655238095237,-16.765403737142854,-55.97195611809524,9.523809487414306e-06,-9.52380951515931e-06,-1.9047618962901647e-05,-34.88326190476194,-26.688876190475884,1.4285714337026162e-05,-9.52380971495716e-06,31.11967619047612,-5.241778765714292,-61.57213809523782,25.877897424761823,-35.69424067047599,4061.379380952381,3477.969690476191,4065.034042857143,-2405.6072857142863,-19315.8090904762,1210.2347095238097,12016.437409523813,-3564.484371428572,80.99848571428572,0.0,3109.638857142857,-3483.4858857142863,-373.8470285714285,4028.0181238095215,3458.608614285715,4048.700571428572,-2368.493747619048,-19326.674566666665,1197.3079809523808,12172.950585714289,-3583.589771428572,82.21491428571429,0.0,3210.4175619047624,-3501.3748571428564,-290.95729523809564,33.36124761904762,19.361085714285714,16.333490476190473,-2.2302761904761903,37.55435238095239,12.926714285714286,-156.51316666666668,-20.05441904761905,2.606904761904762,0.0,-39.20655238095237,-17.447514285714284,-56.654066666666665,9.523809487414306e-06,-9.52380951515931e-06,-1.9047618962901647e-05,-34.88326190476194,-26.688876190475884,1.4285714337026162e-05,-9.52380971495716e-06,39.15981904761908,-3.823333333333334,0.0,-61.57213809523782,35.336485714285736,-26.235652380952075
4g,1,9,-18.83819523809489,-29.14048264380923,-23.13327023809489,-33.435557643809226,,,-25.48139523809489,-35.78368264380923,6.6432,6.6432,2.3481250000000005,2.3481250000000005,,4069.4774857142856,3461.670038095237,4068.194590476191,-2400.1274190476192,-19330.59495714286,1214.059657142857,12030.302285714288,-3567.861038095238,137.19348630857144,3112.9816809523813,-3430.6675517866665,-317.68587083428565,4036.297723809524,3440.800685714286,4050.551428571429,-2361.9772476190483,-19343.56560952381,1201.074057142857,12189.267666666668,-3578.9061857142856,139.64138064,3212.448704761905,-3439.264805074285,-226.81610031238085,33.17977619047619,20.869352380952375,17.643171428571428,-2.5522333333333336,38.10629047619047,12.985595238095238,-158.96538095238097,-19.142633333333336,2.7899930742857144,-38.733428571428576,-16.35264025904762,-55.0860688304762,-1.4285714194494676e-05,-1.1926967350258823e-14,-9.523809579108155e-06,-35.597938095238035,-25.135638095237823,4.761904738716437e-06,-3.085785595301007e-13,30.18778095238092,-5.2378874057142895,-60.733576190475866,24.94989354666662,-35.78368264380923,4069.4774857142856,3461.670038095237,4068.194590476191,-2400.1274190476192,-19330.59495714286,1214.059657142857,12030.302285714288,-3578.3653666666664,81.34383333333332,0.0,3112.9816809523813,-3497.021533333333,-384.0398523809524,4036.297723809524,3440.800685714286,4050.551428571429,-2361.9772476190483,-19343.56560952381,1201.074057142857,12189.267666666668,-3597.7411,82.57305714285714,0.0,3212.448704761905,-3515.1680428571426,-302.7193380952381,33.17977619047619,20.869352380952375,17.643171428571428,-2.5522333333333336,38.10629047619047,12.985595238095238,-158.96538095238097,-19.708252380952384,2.6025809523809524,0.0,-38.733428571428576,-17.105671428571434,-55.8391,-1.4285714194494676e-05,-1.1926967350258823e-14,-9.523809579108155e-06,-35.597938095238035,-25.135638095237823,4.761904738716437e-06,-3.085785595301007e-13,39.08398571428573,-3.8318047619047606,0.0,-60.733576190475866,35.25218095238097,-25.48139523809489
4g,1,10,-20.637871428571724,-30.27863838095271,-23.691646428571723,-33.33241338095271,,,-26.682271428571724,-36.32303838095271,6.0444,6.0444,2.990625,2.990625,,4079.3269619047614,3468.663476190476,4081.706209523808,-2405.688642857143,-19407.692785714287,1215.683819047619,12042.092342857142,-3513.7141619047625,135.21447977142856,3074.091380952381,-3378.4996821333334,-304.40830118095283,4046.41630952381,3448.5871047619053,4064.8758666666663,-2368.822357142857,-19418.541285714287,1202.475180952381,12199.69759047619,-3524.280376190476,137.65036251428572,3174.688409523809,-3386.63001367619,-211.94160415238125,32.91065238095238,20.076390476190475,16.830357142857146,-2.695952380952381,37.70220476190476,13.208638095238095,-157.60525238095238,-19.358357142857145,2.787688971428571,-39.572961904761904,-16.570668171428572,-56.14363007619047,-8.171241461241152e-14,-1.9047619054172557e-05,-1.4285714293040184e-05,-34.17033333333335,-26.85370476190505,9.896845248087111e-15,4.76190461048039e-06,29.924571428571404,-5.223571714285714,-61.0240380952384,24.70099971428569,-36.32303838095271,4079.3269619047614,3468.663476190476,4081.706209523808,-2405.688642857143,-19407.692785714287,1215.683819047619,12042.092342857142,-3523.221371428572,80.62506190476189,0.0,3074.091380952381,-3442.59630952381,-368.5049285714289,4046.41630952381,3448.5871047619053,4064.8758666666663,-2368.822357142857,-19418.541285714287,1202.475180952381,12199.69759047619,-3541.4632761904754,81.82946666666665,0.0,3174.688409523809,-3459.6338095238093,-284.94540000000035,32.91065238095238,20.076390476190475,16.830357142857146,-2.695952380952381,37.70220476190476,13.208638095238095,-157.60525238095238,-19.91224761904762,2.6079809523809527,0.0,-39.572961904761904,-17.304266666666667,-56.87722857142857,-8.171241461241152e-14,-1.9047619054172557e-05,-1.4285714293040184e-05,-34.17033333333335,-26.85370476190505,9.896845248087111e-15,4.76190461048039e-06,38.1541523809524,-3.812385714285717,0.0,-61.0240380952384,34.341766666666686,-26.682271428571724
