name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
4g,-19.539729126984092,-30.938004663365042,-24.54496829365076,-35.94324383003171,,,-28.477280793650763,-39.87555633003171,8.937551666666668,8.937551666666668,3.9323125,3.9323125,,0.46977979122628083,0.4813752305218102,0.28172104233838974,0.2641336438484685,,,0.20608649633979387,0.12817713873572792,0.4378764472276124,0.4378764472276124,0.2132587413491627,0.2132587413491627,,3,60
4h,-17.680316111111114,-28.936529901714273,-24.539641944444448,-35.7958557350476,,,-28.48516277777778,-39.741376568380936,10.804846666666666,10.804846666666666,3.945520833333333,3.945520833333333,,0.691827608970937,0.6816000182081376,0.3622664253614179,0.3343018901811788,,,0.2483400744710178,0.20969651220977778,0.6050921377216696,0.6050921377216696,0.22339555464739452,0.22339555464739452,,3,60
4i,-19.107143095238108,-31.04745584761907,-24.76168309523811,-36.70199584761907,,,-28.275099761904777,-40.21541251428574,9.167956666666667,9.167956666666667,3.5134166666666666,3.5134166666666666,,0.643741817577548,0.6566547791706813,0.32318798194105863,0.3451097414897513,,,0.18093648258232822,0.18210548563111145,0.5811012728542296,0.5811012728542296,0.22854381127675472,0.22854381127675472,,3,60
4j,-21.806748492063562,-32.785644224381016,-26.65038099206356,-37.62927672438102,,,-30.489151825396895,-41.46804755771435,8.682403333333333,8.682403333333333,3.8387708333333332,3.8387708333333332,,0.4609302882835549,0.44317440182296636,0.29802347342747293,0.2591412704796292,,,0.2697015206380743,0.15023243246329088,0.3957237913486623,0.3957237913486623,0.2104963389781938,0.2104963389781938,,3,60
4k,-20.45013809523817,-32.541942605587366,-25.99386601190484,-38.085670522254034,,,-29.755751428571504,-41.8475559389207,9.305613333333334,9.305613333333334,3.7618854166666664,3.7618854166666664,,0.4654240926121211,0.48344377967646823,0.27739242711455514,0.2828968952953309,,,0.18690014719550188,0.17718324547538963,0.4244920569782958,0.4244920569782958,0.1940776182005602,0.1940776182005602,,3,60
4l,-19.75766539682536,-32.78313298933329,-25.74775873015869,-38.773226322666616,,,-29.390217063492024,-42.415684655999954,9.632551666666666,9.632551666666666,3.642458333333333,3.642458333333333,,0.6320009001429356,0.6526810406985354,0.2767370595206887,0.28288671043692776,,,0.20563008834639865,0.1421325548662382,0.5944189126868692,0.5944189126868692,0.2112859615837794,0.2112859615837794,,3,60
4m,-20.897795158730172,-29.582412858412713,-26.20662182539684,-34.89123952507938,,,-29.63120515873017,-38.315822858412716,8.73341,8.73341,3.424583333333333,3.424583333333333,,0.47785582899488416,0.46101646393343076,0.2689706051035781,0.23784819371770882,,,0.16491584519471617,0.14365390013751952,0.4568699365889126,0.4568699365889126,0.1943121444883078,0.1943121444883078,,3,60
4n,-20.681458015873037,-30.52442384800002,-26.832210515873037,-36.67517634800002,,,-30.36085634920637,-40.20382218133336,9.679398333333333,9.679398333333333,3.5286458333333335,3.5286458333333335,,0.9339944161779751,0.8586724941014631,0.5698125862153984,0.4417765873379139,,,0.5130656947386267,0.3819201925700953,0.6646284219449354,0.6646284219449354,0.19234170566206876,0.19234170566206876,,3,60
4q,-16.734211428571466,-26.407953212507966,-22.130706428571465,-31.804448212507967,,,-25.716081428571464,-35.38982321250797,8.981869999999999,8.981869999999999,3.585375,3.585375,,0.4833371575374524,0.43736802074817677,0.2960476523125397,0.2512954586838997,,,0.2071328259145326,0.17344958715145598,0.46313659803207424,0.46313659803207424,0.18234810437882498,0.18234810437882498,,3,60
4r,-23.45995126984127,-34.606470601142846,-29.19112626984127,-40.337645601142846,,,-32.419667936507935,-43.56618726780951,8.959716666666667,8.959716666666667,3.2285416666666666,3.2285416666666666,,0.36658091132068654,0.40131588793928435,0.21505140624796726,0.22673296624210718,,,0.10759765724510886,0.09797355587737709,0.3740009103524276,0.3740009103524276,0.18992184014559535,0.18992184014559535,,3,60
