name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
4g,1,1,-20.32909999999961,-30.49386384761861,-25.31534999999961,-35.48011384761861,,,-29.68409999999961,-39.84886384761861,9.355,9.355,4.36875,4.36875,,4099.575652380953,3549.7295857142863,4063.187938095238,-2402.1464619047624,-19350.526204761904,1230.5809428571429,11978.245085714289,-3473.907652380952,137.49916614857142,3168.646538095238,-3336.408486232381,-167.76194813714218,4066.404947619048,3479.806857142857,4045.200547619048,-2362.4035380952387,-19359.944304761902,1207.8514428571427,12136.805433333337,-3486.434995238095,139.9857197142857,3213.7213857142856,-3346.449275523809,-132.72788980952373,33.170719047619045,69.92272857142855,17.9874,-2.7781,38.8544,22.7295,-158.56035238095237,-19.276361904761902,2.7648912342857144,21.32629523809523,-16.511470670476186,4.81482456761904,-1.4285714303275382e-05,-5.887354096297975e-14,-9.523809584944756e-06,-36.96482380952376,-29.436299999999655,3.2143599951052148e-15,4.761904525215262e-06,31.803704761904804,-5.2514447999999945,-66.40112380952343,26.55225996190481,-39.84886384761861,4099.575652380953,3549.7295857142863,4063.187938095238,-2402.1464619047624,-19350.526204761904,1230.5809428571429,11978.245085714289,-3484.3039000000003,82.34252857142857,0.0,3168.646538095238,-3401.9613714285715,-233.31483333333267,4066.404947619048,3479.806857142857,4045.200547619048,-2362.4035380952387,-19359.944304761902,1207.8514428571427,12136.805433333337,-3504.5334571428566,83.49627142857142,0.0,3213.7213857142856,-3421.0371857142864,-207.31579999999988,33.170719047619045,69.92272857142855,17.9874,-2.7781,38.8544,22.7295,-158.56035238095237,-20.226261904761905,2.5850523809523804,0.0,21.32629523809523,-17.641209523809522,3.685085714285708,-1.4285714303275382e-05,-5.887354096297975e-14,-9.523809584944756e-06,-36.96482380952376,-29.436299999999655,3.2143599951052148e-15,4.761904525215262e-06,40.45581904761906,-3.7387952380952383,0.0,-66.40112380952343,36.717023809523816,-29.68409999999961
4g,1,2,-24.6918571428576,-35.35471707809564,-26.3455071428576,-37.00836707809564,,,-30.3992571428576,-41.06211707809564,5.7074,5.7074,4.05375,4.05375,,4050.068895238096,3513.2193857142856,4080.109342857143,-2402.733757142857,-19425.098990476192,1231.577985714286,12012.0084,-3446.403623809524,137.73986496,3059.151261904761,-3308.663758849524,-249.5124969447621,4015.8074285714288,3444.5645952380955,4060.7670095238095,-2362.203604761904,-19434.373980952387,1209.5590095238094,12169.46052857143,-3458.221461904762,140.1908901942857,3103.5809857142863,-3318.030571710476,-214.44958599619,34.261466666666664,68.65477619047617,19.342333333333336,-2.4497380952380947,38.78570476190477,22.01897142857143,-157.45212857142857,-19.91413809523809,2.7519394628571425,23.161385714285707,-17.162198632380957,5.99918708190476,-6.327213885101846e-14,1.4285714344047002e-05,1.4210854715202004e-14,-38.0804142857143,-29.51071428571467,4.761904751573877e-06,-2.2466684597366978e-13,31.731976190476185,-5.202964697142862,-67.59112857142897,26.529011493333325,-41.06211707809564,4050.068895238096,3513.2193857142856,4080.109342857143,-2402.733757142857,-19425.098990476192,1231.577985714286,12012.0084,-3458.157280952381,81.98575238095238,0.0,3059.151261904761,-3376.171528571429,-317.0202666666669,4015.8074285714288,3444.5645952380955,4060.7670095238095,-2362.203604761904,-19434.373980952387,1209.5590095238094,12169.46052857143,-3478.183171428572,83.1676238095238,0.0,3103.5809857142863,-3395.015547619048,-291.43456190476144,34.261466666666664,68.65477619047617,19.342333333333336,-2.4497380952380947,38.78570476190477,22.01897142857143,-157.45212857142857,-20.92315238095238,2.5752999999999995,0.0,23.161385714285707,-18.347852380952386,4.813533333333331,-6.327213885101846e-14,1.4285714344047002e-05,1.4210854715202004e-14,-38.0804142857143,-29.51071428571467,4.761904751573877e-06,-2.2466684597366978e-13,40.9490428571428,-3.757171428571429,0.0,-67.59112857142897,37.191871428571375,-30.3992571428576
4g,1,3,-19.361119047619376,-30.754317165714664,-24.32511904761937,-35.718317165714666,,,-28.50011904761937,-39.89331716571466,9.139,9.139,4.175000000000001,4.175000000000001,,4070.751728571429,3517.047585714286,4074.4349904761903,-2402.3297285714284,-19373.05422380952,1231.5520285714283,11988.57237142857,-3468.1364047619045,137.82873308571428,3106.974752380953,-3330.3076716761902,-223.332919295238,4035.334028571429,3449.6315571428568,4055.841647619048,-2363.578257142857,-19382.551371428573,1209.1438952380954,12145.15556190476,-3479.181871428571,140.24558290285717,3148.977061904763,-3338.936288525714,-189.95922662095168,35.4177,67.41601428571428,18.593347619047616,-2.2054761904761904,38.61271428571429,22.408138095238098,-156.58319999999998,-19.90999523809524,2.7703673485714284,23.6592380952381,-17.13962788952381,6.519610205714285,9.795339142978525e-14,1.428571427400779e-05,-4.761904762485783e-06,-36.545995238095294,-29.11556666666702,-4.76190476426214e-06,9.523809552547393e-06,30.955461904761943,-5.187217165714292,-65.66156190476232,25.768244739047656,-39.89331716571466,4070.751728571429,3517.047585714286,4074.4349904761903,-2402.3297285714284,-19373.05422380952,1231.5520285714283,11988.57237142857,-3471.7013761904764,81.64690476190476,0.0,3106.974752380953,-3390.054471428571,-283.079719047619,4035.334028571429,3449.6315571428568,4055.841647619048,-2363.578257142857,-19382.551371428573,1209.1438952380954,12145.15556190476,-3491.807123809524,82.83043333333333,0.0,3148.977061904763,-3408.9766904761905,-259.9996285714279,35.4177,67.41601428571428,18.593347619047616,-2.2054761904761904,38.61271428571429,22.408138095238098,-156.58319999999998,-20.820200000000003,2.58097619047619,0.0,23.6592380952381,-18.23922380952381,5.420014285714284,9.795339142978525e-14,1.428571427400779e-05,-4.761904762485783e-06,-36.545995238095294,-29.11556666666702,-4.76190476426214e-06,9.523809552547393e-06,40.9259476190477,-3.7645047619047616,0.0,-65.66156190476232,37.16144285714294,-28.50011904761937
4g,1,4,-24.84100476190545,-33.97546244190539,-27.47925476190545,-36.61371244190539,,,-32.42550476190545,-41.55996244190539,7.5845,7.5845,4.94625,4.94625,,4073.865671428572,3491.727452380953,4072.216276190475,-2414.8026761904766,-19479.454780952383,1223.072257142857,12006.714033333332,-3385.276361904761,136.0036278857143,2973.3382333333334,-3249.272734019048,-275.9345006857143,4040.314166666666,3423.482128571428,4053.512476190476,-2374.6194142857144,-19488.91652857143,1199.7151857142858,12164.360957142855,-3396.72649047619,138.41794752,3017.8489714285715,-3258.30854295619,-240.4595715276185,33.55150476190476,68.2453238095238,18.703785714285715,-2.2421619047619044,38.75317619047619,23.357066666666668,-157.6469285714286,-19.38640952380952,2.749652331428572,22.72176666666666,-16.63675719238095,6.085009474285708,8.577265881675496e-14,-1.6579330501069002e-14,1.4285714362656454e-05,-37.94109999999996,-29.291428571429243,4.761904758002597e-06,4.761904767476499e-06,30.836538095238105,-5.163971965714292,-67.23252857142921,25.67256612952381,-41.55996244190539,4073.865671428572,3491.727452380953,4072.216276190475,-2414.8026761904766,-19479.454780952383,1223.072257142857,12006.714033333332,-3394.064766666667,81.04161428571427,0.0,2973.3382333333334,-3313.0231523809525,-339.684919047619,4040.314166666666,3423.482128571428,4053.512476190476,-2374.6194142857144,-19488.91652857143,1199.7151857142858,12164.360957142855,-3412.3331238095243,82.23499523809525,0.0,3017.8489714285715,-3330.098128571429,-312.2491571428566,33.55150476190476,68.2453238095238,18.703785714285715,-2.2421619047619044,38.75317619047619,23.357066666666668,-157.6469285714286,-20.31119523809524,2.5791476190476192,0.0,22.72176666666666,-17.73204761904762,4.989719047619041,8.577265881675496e-14,-1.6579330501069002e-14,1.4285714362656454e-05,-37.94109999999996,-29.291428571429243,4.761904758002597e-06,4.761904767476499e-06,38.57955238095233,-3.772528571428574,0.0,-67.23252857142921,34.80702380952376,-32.42550476190545
4g,1,5,-20.591176190476244,-32.64864609142853,-24.577201190476245,-36.63467109142853,,,-28.364076190476244,-40.42154609142853,7.7729,7.7729,3.786875,3.786875,,4053.61848095238,3523.983833333333,4075.951271428572,-2422.464576190476,-19354.395104761905,1223.2786,12013.499233333332,-3471.3709809523807,137.98880194285715,3113.471738095238,-3333.3821790095235,-219.9104409142853,4020.9261000000006,3455.06620952381,4054.938395238095,-2381.532542857143,-19364.652885714288,1201.243123809524,12169.969571428572,-3482.911942857143,140.50534865142853,3155.957971428571,-3342.406594205714,-186.44862277714265,32.69238571428572,68.91760952380953,21.012880952380957,-2.768504761904762,38.777047619047615,22.035471428571427,-156.47032857142858,-19.99661904761905,2.7597850971428564,24.196561904761914,-17.23683395047619,6.959727954285723,-4.761904720445338e-06,1.428571429430901e-05,-4.7619047893003126e-06,-38.16352857142845,-28.519266666666784,4.761904734656193e-06,-9.523809770447164e-06,31.537580952380974,-5.276331805714284,-66.68279523809522,26.261249146666696,-40.42154609142853,4053.61848095238,3523.983833333333,4075.951271428572,-2422.464576190476,-19354.395104761905,1223.2786,12013.499233333332,-3484.0474809523807,82.22131904761905,0.0,3113.471738095238,-3401.826161904762,-288.35442380952344,4020.9261000000006,3455.06620952381,4054.938395238095,-2381.532542857143,-19364.652885714288,1201.243123809524,12169.969571428572,-3505.30339047619,83.3828857142857,0.0,3155.957971428571,-3421.9205047619043,-265.96253333333306,32.69238571428572,68.91760952380953,21.012880952380957,-2.768504761904762,38.777047619047615,22.035471428571427,-156.47032857142858,-20.80639523809524,2.582019047619048,0.0,24.196561904761914,-18.224376190476196,5.972185714285722,-4.761904720445338e-06,1.428571429430901e-05,-4.7619047893003126e-06,-38.16352857142845,-28.519266666666784,4.761904734656193e-06,-9.523809770447164e-06,42.0623047619047,-3.7435857142857154,0.0,-66.68279523809522,38.31871904761898,-28.364076190476244
4g,1,6,-20.238904761904504,-30.606635893333014,-26.363004761904502,-36.73073589333301,,,-29.760504761904503,-40.12823589333301,9.5216,9.5216,3.3975,3.3975,,4084.2996333333326,3533.093933333333,4077.9313714285713,-2402.300576190476,-19395.482280952376,1229.4861285714285,11996.2275,-3454.977776190476,137.4695080457143,3123.2557095238103,-3317.508268144762,-194.25255862095185,4051.766680952381,3465.454419047618,4059.5191619047614,-2361.4769666666666,-19406.67097142857,1207.1572714285712,12153.204933333334,-3466.14689047619,139.93924066285712,3168.954528571429,-3326.207649813334,-157.25312124190447,32.53295714285715,67.63952857142856,18.41222857142857,-2.612042857142857,38.30308095238095,22.328842857142856,-156.9774285714286,-19.27070952380952,2.772369942857143,19.627166666666668,-16.49833958095238,3.128827085714285,-4.7619046960838725e-06,-1.4285714269609192e-05,-1.904761903327921e-05,-38.2115666666666,-27.11439047619024,1.428571431528694e-05,-4.761904544163069e-06,30.439823809523823,-5.242102559999997,-65.32595714285682,25.19772124952383,-40.12823589333301,4084.2996333333326,3533.093933333333,4077.9313714285713,-2402.300576190476,-19395.482280952376,1229.4861285714285,11996.2275,-3466.261438095238,82.30150476190477,0.0,3123.2557095238103,-3383.959933333333,-260.7042238095233,4051.766680952381,3465.454419047618,4059.5191619047614,-2361.4769666666666,-19406.67097142857,1207.1572714285712,12153.204933333334,-3485.5612333333333,83.48854761904762,0.0,3168.954528571429,-3402.072685714286,-233.1181571428568,32.53295714285715,67.63952857142856,18.41222857142857,-2.612042857142857,38.30308095238095,22.328842857142856,-156.9774285714286,-20.04907142857143,2.596371428571429,0.0,19.627166666666668,-17.452700000000004,2.174466666666667,-4.7619046960838725e-06,-1.4285714269609192e-05,-1.904761903327921e-05,-38.2115666666666,-27.11439047619024,1.428571431528694e-05,-4.761904544163069e-06,39.348866666666616,-3.783414285714285,0.0,-65.32595714285682,35.56545238095233,-29.760504761904503
4g,1,7,-2.928247619047717,-14.620163691428688,-18.61989761904772,-30.31181369142869,,,-26.33364761904772,-38.02556369142869,23.4054,23.4054,7.71375,7.71375,,4087.116319047619,3513.970047619047,4076.205785714286,-2410.609533333333,-19347.457819047624,1224.1195095238097,11970.117571428573,-3472.5993047619054,138.21532512,3113.4618809523804,-3334.383979641905,-220.92209868952412,4051.036876190476,3447.0298952380945,4056.10281904762,-2369.051619047619,-19361.26757142857,1201.883738095238,12127.824661904762,-3483.2799619047632,140.70174288,3153.5588,-3342.578219024762,-189.01941902476165,36.07945238095238,66.94015238095238,20.10297142857143,-3.151385714285714,38.63401428571429,22.23577142857143,-157.70708095238092,-19.77719047619048,2.7662030742857144,23.13389523809524,-17.01098740190476,6.122907836190481,-9.523809618864712e-06,-9.237055564881302e-14,-4.761904828718516e-06,-38.40652857142862,-24.82426190476196,-1.2349909454877932e-14,-9.523809563374708e-06,30.457847619047623,-5.252620834285709,-63.23079047619059,25.205226784761905,-38.02556369142869,4087.116319047619,3513.970047619047,4076.205785714286,-2410.609533333333,-19347.457819047624,1224.1195095238097,11970.117571428573,-3479.288771428572,82.08889047619047,0.0,3113.4618809523804,-3397.1998809523816,-283.73800000000034,4051.036876190476,3447.0298952380945,4056.10281904762,-2369.051619047619,-19361.26757142857,1201.883738095238,12127.824661904762,-3499.2503571428574,83.28373333333334,0.0,3153.5588,-3415.9666238095238,-262.4078238095236,36.07945238095238,66.94015238095238,20.10297142857143,-3.151385714285714,38.63401428571429,22.23577142857143,-157.70708095238092,-20.71979047619047,2.589390476190476,0.0,23.13389523809524,-18.1304,5.003495238095242,-9.523809618864712e-06,-9.237055564881302e-14,-4.761904828718516e-06,-38.40652857142862,-24.82426190476196,-1.2349909454877932e-14,-9.523809563374708e-06,40.68137619047621,-3.784233333333338,0.0,-63.23079047619059,36.89714285714288,-26.33364761904772
4g,1,8,-22.81387619047636,-35.149693188571554,-25.60917619047636,-37.94499318857155,,,-27.35917619047636,-39.69499318857155,4.5453,4.5453,1.75,1.75,,4069.716366666667,3517.779404761905,4067.6735142857137,-2409.2529,-19331.00908095238,1217.7323857142856,11980.58188095238,-3490.477571428572,137.1212769942857,3113.221571428571,-3353.356294434285,-240.13472300571465,4035.500966666667,3450.018980952381,4049.2625333333335,-2369.7889333333333,-19340.92879047619,1195.461752380952,12138.294628571428,-3502.475371428571,139.67661133714284,3157.821138095239,-3362.7987600914284,-204.9776219961899,34.21539047619048,67.76043333333332,18.411009523809525,-2.107504761904761,38.5159,22.270633333333336,-157.7127380952381,-19.59626666666667,2.7810731314285717,21.35312380952381,-16.815193535238095,4.537930274285713,9.52380963409063e-06,-9.523809508899766e-06,-2.857142866026441e-05,-37.356461904761886,-28.5961904761906,1.7763568394002505e-14,-9.52380966082057e-06,31.594066666666656,-5.336407474285714,-65.9526523809525,26.25765919238094,-39.69499318857155,4069.716366666667,3517.779404761905,4067.6735142857137,-2409.2529,-19331.00908095238,1217.7323857142856,11980.58188095238,-3509.5051428571423,81.66795714285715,0.0,3113.221571428571,-3427.8371857142856,-314.6156142857147,4035.500966666667,3450.018980952381,4049.2625333333335,-2369.7889333333333,-19340.92879047619,1195.461752380952,12138.294628571428,-3531.4167047619053,82.81791428571428,0.0,3157.821138095239,-3448.59879047619,-290.77765238095174,34.21539047619048,67.76043333333332,18.411009523809525,-2.107504761904761,38.5159,22.270633333333336,-157.7127380952381,-20.42092380952381,2.589052380952381,0.0,21.35312380952381,-17.83187142857143,3.521252380952381,9.52380963409063e-06,-9.523809508899766e-06,-2.857142866026441e-05,-37.356461904761886,-28.5961904761906,1.7763568394002505e-14,-9.52380966082057e-06,42.33248571428565,-3.739009523809523,0.0,-65.9526523809525,38.59347619047613,-27.35917619047636
4g,1,9,-15.045419047618887,-26.936902666666533,-24.901719047618887,-36.79320266666654,,,-27.701719047618887,-39.593202666666535,12.6563,12.6563,2.8,2.8,,4066.604709523808,3513.991204761905,4081.682695238095,-2390.9399619047617,-19329.22560476191,1216.5628333333334,11969.61571904762,-3496.543823809524,140.27144657142858,3128.2915952380954,-3356.2723772380955,-227.9807820000001,4034.019328571429,3445.3104761904765,4061.480147619048,-2351.2808142857143,-19338.68429523809,1194.6273857142858,12126.425900000002,-3507.707147619048,142.66386462857142,3171.898128571428,-3365.043282990476,-193.14515441904783,32.585380952380945,68.68073333333334,20.20255238095238,-2.9376999999999995,38.35464285714285,21.935442857142856,-156.81016666666665,-20.049109523809523,2.795817942857143,22.01088571428572,-17.25329158095238,4.757594133333337,-1.025211661596716e-13,-4.76190472890418e-06,-4.761904771282979e-06,-36.72144761904766,-28.895952380952217,4.761904767814853e-06,-1.4285714318670476e-05,31.212433333333323,-5.1882359999999945,-65.61739999999988,26.024197333333333,-39.593202666666535,4066.604709523808,3513.991204761905,4081.682695238095,-2390.9399619047617,-19329.22560476191,1216.5628333333334,11969.61571904762,-3516.1785619047623,83.10699523809524,0.0,3128.2915952380954,-3433.0715666666665,-304.77997142857146,4034.019328571429,3445.3104761904765,4061.480147619048,-2351.2808142857143,-19338.68429523809,1194.6273857142858,12126.425900000002,-3536.921542857143,84.29376666666666,0.0,3171.898128571428,-3452.627776190476,-280.7296476190478,32.585380952380945,68.68073333333334,20.20255238095238,-2.9376999999999995,38.35464285714285,21.935442857142856,-156.81016666666665,-20.967995238095234,2.6085238095238097,0.0,22.01088571428572,-18.359471428571428,3.651414285714289,-1.025211661596716e-13,-4.76190472890418e-06,-4.761904771282979e-06,-36.72144761904766,-28.895952380952217,4.761904767814853e-06,-1.4285714318670476e-05,41.710976190476224,-3.79529523809524,0.0,-65.61739999999988,37.91568095238098,-27.701719047618887
4g,1,10,-16.832985714285734,-28.07434942095249,-24.81653571428573,-36.057899420952495,,,-26.51028571428573,-37.751649420952496,9.6773,9.6773,1.69375,1.69375,,4064.2580571428575,3510.7372428571434,4061.1166809523806,-2405.424195238096,-19268.506257142853,1222.6168333333333,11950.40513809524,-3533.5617904761903,139.29441634285712,3135.2035,-3394.2673741333338,-259.06387413333323,4029.851776190475,3444.996900000001,4042.294304761904,-2366.521485714285,-19281.41125714286,1200.7554523809526,12106.639314285716,-3542.965652380952,141.56914727999998,3176.605004761904,-3401.3965051009527,-224.7915003390475,34.40629047619048,65.74033333333334,18.82235714285714,-2.6912571428571432,38.42739047619048,21.86138571428572,-156.234180952381,-19.66232857142857,2.8092661028571424,20.33231904761905,-16.853062468571427,3.479256579047621,-9.523809439368083e-06,9.52380950111763e-06,1.904761914527428e-05,-36.21145238095232,-25.5223904761906,-4.761904786593482e-06,4.7619046767977125e-06,29.06619047619043,-5.08399704,-61.73384285714293,23.982193436190435,-37.751649420952496,4064.2580571428575,3510.7372428571434,4061.1166809523806,-2405.424195238096,-19268.506257142853,1222.6168333333333,11950.40513809524,-3553.693295238095,82.51282380952381,0.0,3135.2035,-3471.180471428571,-335.97697142857135,4029.851776190475,3444.996900000001,4042.294304761904,-2366.521485714285,-19281.41125714286,1200.7554523809526,12106.639314285716,-3572.226452380952,83.67677142857141,0.0,3176.605004761904,-3488.5496809523806,-311.9446761904762,34.40629047619048,65.74033333333334,18.82235714285714,-2.6912571428571432,38.42739047619048,21.86138571428572,-156.234180952381,-20.466171428571425,2.611823809523809,0.0,20.33231904761905,-17.854347619047616,2.477971428571431,-9.523809439368083e-06,9.52380950111763e-06,1.904761914527428e-05,-36.21145238095232,-25.5223904761906,-4.761904786593482e-06,4.7619046767977125e-06,38.99932857142861,-3.77577142857143,0.0,-61.73384285714293,35.22355714285719,-26.51028571428573
