,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,4g,-11.663548854670395,0.5744489468798437,0.07791024326970604,3,-11.398504202048287,0.5401382293629673,0.08019794438398192,3
1,4h,-14.985823212896264,0.603175084955302,0.07759847668241361,3,-14.673002047333327,0.6072402667056226,0.08022147948464611,3
2,4i,-15.29097141356391,1.058026894930153,0.07614543926412451,3,-15.046326769654963,1.0364355227817277,0.07898683031622761,3
3,4j,-14.98765201045841,1.2035802929846682,0.07681842705094086,3,-14.759626230482008,1.1054275553323274,0.08032425310641245,3
4,4k,-14.548686630410492,0.9452998830343009,0.08020733415356063,3,-14.11242640570313,0.9411628151326202,0.08249169117610675,3
5,4l,-16.97230393437142,1.092704206704388,0.0774835103933416,3,-16.625942565704104,0.994297953061451,0.08026453861862297,3
6,4m,-13.712240395834216,0.20939964505050218,0.07571865534353187,3,-13.618965578760045,0.10511666746761428,0.0794347059035182,3
7,4n,-14.173669347165387,0.6652101433661958,0.0728432267116959,3,-14.035119675236428,0.7618321033934224,0.07659763956940956,3
8,4q,-11.717011547125784,0.9431829190128816,0.07350299541525326,3,-11.512828888960875,0.9411328565138142,0.07654618174007272,3
9,4r,-18.176448878332906,0.9568884503139229,0.08033045859780377,3,-18.22412217471016,0.9174573975458781,0.08526009685961482,3
