,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,4g,1,-13.271153421842374,10.484965657202727,0.6592242251542733,-4.8082026844707695,-10.908778643640044,-13.223827021521187,10.522809144584977,0.6614675547213945,-4.629963507809339,-10.874837527592769,-6.525476288188627,0.10731557517623985,0.055469838364704274,0.005967406519781214,0.05078870059964924,0.014600748224549345,0.11405063068075473,0.0570329882340073,0.006457323754398414,0.04830855761482297,0.014648118631707912
1,4g,2,-11.823755330182891,10.778507366525426,1.6975546087856361,-4.556655636691207,-10.8981093598304,-11.868231438265994,10.981114342404515,1.710121977428258,-4.414473655739041,-10.863203914504405,-6.492128706187972,0.11263696814447513,0.055261801737013366,0.017943600868757965,0.05002776274248507,0.015418457554285803,0.11401967748037908,0.061284709926972915,0.0188610182107347,0.04818200437718344,0.015636225586662087
2,4g,3,-11.330860581006563,10.093957096395815,0.6736045983607745,-4.488759859391804,-10.943578266986476,-11.388466146705783,10.12451883864451,0.7123689389955848,-4.281902750897748,-10.907251029805419,-6.694555537831457,0.11030743786161529,0.05897316304499527,0.004196109488074859,0.050293058456673305,0.014568412068654377,0.11478087948805371,0.05992006025937842,0.0055830298933451745,0.04843888329355102,0.01464602723820778
3,4h,1,-10.848115609702704,13.836697273646148,0.38229007897502276,-7.434676638149142,-17.873965049768092,-10.705890350705014,13.83825158707809,0.39468557573446983,-7.27650779519758,-17.84217475244982,-6.640217752469842,0.10330793959706039,0.060977642683620166,0.0014551581922519303,0.051560131086576096,0.013786910830508146,0.10908674000446383,0.06169264620140477,0.003087001622207047,0.04924327346239598,0.013862899221578696
4,4h,2,-9.342610549220604,14.241864761558151,0.4507839740996751,-7.218937484912829,-17.813014188358075,-9.096368220623186,14.202219270847648,0.47547419518001927,-7.095398472639219,-17.780641934977513,-6.607649128654972,0.11086473684607939,0.06122199973177783,0.0021398582242369386,0.05100318011546516,0.013809222956017612,0.11826541287213524,0.06108139034473296,0.003688056422389306,0.04911600689351705,0.013859265926791401
5,4h,3,-10.096635555091433,14.544319892091861,0.6633978095432099,-7.216173851436328,-17.832466592164543,-10.01594322431583,14.561613117403752,0.664133009873772,-7.066568118042712,-17.800020283027035,-6.344848934311891,0.1098808151564544,0.05687674773143021,0.005952940039398991,0.05081034236583747,0.013807894383117336,0.11470042007625247,0.05859281940380504,0.006475500966340197,0.04927766730130874,0.013843057056557381
6,4i,1,-9.359783979194784,-13.26233157822181,0.5330675616447961,-7.544742823839704,8.383883055069973,-9.16593986454081,-13.282979461197943,0.5409277573360958,-7.427294417143507,8.410112635835677,-6.427254532919821,0.10975716228869768,0.05537523647981101,0.004377227914476138,0.05045055862197002,0.013117277783869152,0.11654774579321979,0.05630486410211758,0.005397837341395593,0.0487359519196358,0.013193260933455603
7,4i,2,-7.049264893099881,-12.876262779570569,0.5988980872879475,-7.496476093854933,8.469639578127277,-6.989894629792217,-12.875050435633423,0.6056189368407089,-7.385217390255306,8.493772042339083,-6.317102603645851,0.11002961808028977,0.05423997336950309,0.0033498687785286207,0.050711809740873526,0.013436208540145277,0.11444864243334037,0.055481207600345306,0.004754667844566804,0.048644370171902346,0.013597706629591443
8,4i,3,-11.035223904825934,-12.278666061438255,0.830139003199997,-7.54723144119679,8.385155644220236,-10.863827423631289,-12.330226158998093,0.8506419238954551,-7.43479379986205,8.409051522721054,-6.556138552700516,0.10425895532591824,0.052329975377303356,0.00570953273978082,0.05209494538010386,0.01291693116989684,0.1105270784471284,0.05578395179316337,0.007102743707604105,0.05020619768345601,0.012986019921275713
9,4j,1,-7.9683313217253655,4.558366485964813,0.8811351682781593,-5.956636314337426,-8.949285065354472,-8.122102972003102,4.464054670307025,0.9124420002347612,-5.798183489323418,-8.918072767729392,-6.51825849933257,0.11739889897420443,0.053900201259852454,0.011049214156435776,0.04921524112702892,0.014385744943195883,0.12172539655656513,0.05833782854170342,0.012091022595321852,0.04772833121850254,0.014666900879865339
10,4j,2,-12.025383906629022,4.075449070845621,0.5599695604294427,-5.9386792756004985,-8.91869270859145,-11.864925620862657,3.9183506993979145,0.5775194778709337,-5.806845184897772,-8.891995947104377,-6.635612323371432,0.10601371220472487,0.051392526640259444,0.004018222872969281,0.050726174343208905,0.015061689653396161,0.11273853254242687,0.055306756703722496,0.0047973465150060995,0.049409840315653604,0.015248815973044987
11,4j,3,-10.64018603468436,4.211677566006271,0.7896565216353278,-6.12295220937037,-8.917544739172842,-10.222030344256666,4.2717968267923085,0.8091685296148807,-5.979018206322607,-8.890780019339518,-6.706132848912805,0.10608402826769155,0.05505286942057942,0.004721126502219458,0.049701426988632676,0.014047205274345364,0.1132488363524639,0.0580416890184616,0.005956418892823017,0.04808041033743905,0.014183202591635661
12,4k,1,-11.655280334998714,-31.601410357131495,1.109091148955645,-4.219657749675722,27.95892665051366,-11.497937736745822,-31.55591509850786,1.0864473032926794,-4.133209471795406,27.987417653316317,-6.468791063579699,0.11451680112638762,0.050831048137774226,0.012114763760028468,0.052746566505889075,0.013519561078839046,0.11854766558304641,0.054079938822671834,0.011519389724777316,0.050784348356005184,0.013855807342301043
13,4k,2,-13.271693562565224,-33.10503722611225,0.43408116849440037,-4.183800693382093,27.969537284863577,-13.05177120085812,-33.006223469444215,0.4608179284347026,-4.02260054971843,27.992453077731565,-6.678990153486542,0.11541618452588408,0.054185672294039575,0.0011058817420175969,0.051080609593308186,0.01352255966413541,0.1194209413871223,0.05592670445465903,0.002874310194789858,0.049754637749990144,0.013845159373200633
14,4k,3,-10.243221831659152,-32.63824136417274,0.6921271049325902,-4.288523894969474,27.96003255576994,-9.937642524316997,-32.61332496818027,0.7395517743655017,-4.105859701764065,27.986541724595938,-6.759828837604618,0.11555492338947526,0.06041865371550956,0.006818835258184791,0.053049179931943795,0.013226810538963688,0.12215596474996325,0.06002767570312671,0.008950956224492747,0.050142432628965956,0.013325806376015024
15,4l,1,-10.119252577270435,-21.43005009317356,0.40493731366159574,-8.959824272860157,15.24988122945053,-9.765684370788643,-21.311834774322346,0.4415436030346841,-8.819615787613932,15.275412811953993,-6.571759325586024,0.10905524233196996,0.044744257568370555,0.0012975359373123853,0.05329634819865813,0.012846325313520222,0.11676426057901884,0.049483630544162015,0.002915891043739112,0.050681679530958236,0.012996066828305132
