,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,4g,-12.948250978288575,1.3456748773881135,0.07446248491139579,3,-12.700861669925565,1.3365492559014231,0.07600265964935372,3
1,4h,-12.715193279663799,0.4534129453679279,0.0768809895139797,3,-12.636877414487182,0.31304496649623165,0.07819194104616421,3
2,4i,-12.655866770246442,1.149244376238692,0.07617056845651293,3,-12.509489002913304,1.2344641118745965,0.0773608936855569,3
3,4j,-14.671048233767863,0.25225317171596273,0.07369716111418075,3,-14.336275369451917,0.26366257839325435,0.07699469858290613,3
4,4k,-16.967876904999702,0.9334504810991139,0.07298421665404876,3,-16.609455653305847,0.8663872376861224,0.0758806361072022,3
5,4l,-16.25483755970497,1.0031376899266158,0.07531060810399516,3,-16.110950778312986,1.0156639583090952,0.07807603245248965,3
6,4m,-13.494292147059143,0.7170137363445194,0.07131613477589759,3,-13.180831760672405,0.5431426015873289,0.0737051983730192,3
7,4n,-15.785956163221803,0.36118570309171966,0.07173935852728863,3,-15.452398450715942,0.387529060808504,0.07650495435163741,3
8,4q,-9.186357805451566,0.6960558657228857,0.07244197882410079,3,-8.95148108502016,0.640602625025754,0.07448369863203196,3
9,4r,-17.050554601111084,0.7929740225467048,0.0776213221408277,3,-16.903818359894533,0.8422802489581472,0.07855840018996266,3
