,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,4g,1,-8.870904418570822,19.669186433749513,0.7092274070375633,-4.281543795604475,-23.629916632474163,-8.759105476241677,19.756646289496427,0.7436149752247275,-4.1518739324127,-23.596435087283567,-6.6532664820411975,0.11220730009654753,0.05857085480133155,0.007231047340078032,0.05073177196418687,0.013882434322618629,0.11809083553346952,0.059099126892935276,0.00798518188778032,0.04760068517937688,0.014109855542948293
1,4g,2,-13.666964863778606,19.71889845209892,0.43677286953273875,-4.180806906550491,-23.64359471372087,-13.62114141639296,19.785379880942365,0.44819727202152193,-4.027405682076112,-23.604780090759665,-6.622550471888614,0.09779635164942604,0.04924502603547816,0.0013945333766123848,0.04761835687014324,0.01390160962325206,0.09883918994672687,0.0519938762629781,0.0026999871376413805,0.04468368831693292,0.014095338964129744
2,4g,3,-10.985634440529212,20.647213045519006,0.43909886398337317,-4.1396039265409605,-23.62918385798412,-11.082284886620714,20.6997250698727,0.4499452605414426,-3.9997706708232994,-23.592983329764028,-6.457384876144408,0.10308072872501563,0.058152039876467235,0.002131341373728672,0.04904358894883102,0.013899280973193975,0.10619663158542386,0.060239978209772276,0.0031216260527757653,0.04721728243295648,0.014137356524519121
3,4h,1,-11.926638684293438,24.496921037458275,0.6011890328655994,-4.137320070812715,-26.586879409779854,-12.17218356854293,24.46147712653621,0.6445937208054455,-4.0201726994158635,-26.553979325981903,-6.308956366766588,0.10410408664368953,0.059890971351460785,0.00470851501832508,0.051793140912493145,0.01329097335048771,0.10814827325473017,0.06017936162594112,0.00731673284965415,0.048265475694120985,0.013399545107987767
4,4h,2,-9.957946099399889,22.603430625658188,0.5665003602490264,-4.201132797961664,-26.579830155472525,-10.091590829073755,22.61838303537809,0.6372984022402567,-4.048803861735522,-26.54597216091717,-6.602238163593696,0.1108226665991278,0.060698944741982855,0.004070585878147315,0.04838323359298303,0.013663120287401624,0.11428742869117814,0.06080973652190343,0.006637987204585136,0.04547287344765786,0.013830062904240973
5,4h,3,-12.679510904034949,23.852320551079135,0.6191760796578195,-4.155731252072563,-26.592734437819935,-12.489798216008388,23.89877329051712,0.6201208369988828,-4.010667769067884,-26.56042153633795,-6.595142700872698,0.10917520640708545,0.05243546457891978,0.0052070209130622635,0.050080085081079875,0.013273858868419686,0.11204281548508933,0.05616161723982878,0.006154646600739541,0.04647683910374067,0.013316213715369465
6,4i,1,-10.437298660238241,5.358079611291922,0.9679513325276032,-4.3025108154760074,-6.608086609867178,-10.370838520547982,5.392723468668747,0.9401530226371062,-4.155981468157251,-6.576976581425313,-6.375959244035281,0.11091288651028856,0.05698160240542244,0.011076515893298845,0.05103811561870626,0.013354795023372647,0.11355615096215618,0.05811873066280891,0.010276272736515803,0.048110827803011576,0.013590013599331057
7,4i,2,-13.581557405812255,3.6538556507434916,0.44156077727550186,-4.205221502176119,-6.615586587369243,-13.652433760566117,3.6277868994657823,0.4703878682386503,-4.0913226575004735,-6.589399669269112,-6.639270427496716,0.10516718328477166,0.05294758411058465,0.0017848612615726245,0.049378672396416655,0.013371026872256973,0.10572446815169559,0.054607687464660694,0.0029780017214848077,0.04666551213760349,0.01358841538022845
8,4i,3,-12.144800036267238,4.068766688400851,0.7040856510953089,-4.2117412568989305,-6.60090584832762,-12.188282118368226,4.089357120281481,0.7354550274786603,-4.071953999076446,-6.568154026046233,-6.757774550623659,0.1081387622660859,0.05416590229225661,0.005746413205812759,0.049488144030143094,0.01300992174349856,0.11309324934606715,0.057882830290984295,0.0064763647562691325,0.04583647035234106,0.013052429557575736
9,4j,1,-13.342422265941044,8.503434484250592,1.0994407064588871,-4.261951427771456,-10.790080793437516,-13.126364490663574,8.511303464699923,1.0893237236279352,-4.095829107315468,-10.761102085738253,-6.667924686749671,0.09680781020930745,0.059624806729013304,0.014458285110175589,0.04808072465491874,0.013390441596059897,0.1023928356775529,0.0609159136078335,0.013870869152937672,0.045567364377842395,0.013671199412775975
10,4j,2,-12.693133122119148,6.4125693056425535,0.47027983231617526,-4.293119884743397,-10.819808891488819,-12.472741224685567,6.3806991825278985,0.47432346661626634,-4.147833039784169,-10.7939557352853,-6.7025576285429445,0.10239211917948275,0.05182426159148974,0.0013251663877134304,0.05168907611618622,0.013334695382487756,0.11106155813581971,0.05688850393295712,0.002211957587809037,0.04839167611149984,0.01366408995574599
11,4j,3,-11.85857995811247,6.130089272962719,0.4617572858767588,-4.227524531891157,-10.775830283498918,-11.645232375974732,5.964352966198131,0.4742432814873428,-4.066858328437825,-10.75206608166155,-6.664208904203673,0.10855780647917135,0.05384468828857715,0.0014385621857256055,0.04860835097308476,0.013577640724555546,0.11537384279405308,0.054466116721940516,0.0029428186574626766,0.04607067997479883,0.013774924668378137
12,4k,1,-12.51727115374449,-17.33348673281412,0.55916579548456,-4.128475852536877,12.944171529037263,-12.507292567848582,-17.246851919065602,0.5685551473215879,-3.960895677460652,12.970274164134782,-6.361181015013814,0.1014831765125991,0.04852891222118058,0.0024309214042961638,0.049850119857911615,0.013150882468005111,0.10768957988521807,0.05252367711876534,0.003617824615653921,0.045945802672381714,0.013308789947200991
13,4k,2,-15.038377635517469,-17.840257809553826,0.49896574624897994,-4.381651647092675,12.944748128464358,-14.71875983517504,-17.754058013450607,0.5338346693621818,-4.229566234730417,12.978171455765326,-6.381916206265068,0.10516976263868844,0.04615004528879929,0.0024072660266407798,0.05032269155573469,0.013337748900464321,0.11458266032129098,0.04954738117892688,0.004587971937286837,0.046408160781148594,0.013428033227765661
14,4k,3,-13.883465918122676,-17.73644007072742,0.7526827730484972,-4.184536311068853,12.926364757550434,-13.82104891991255,-17.70763851728393,0.7956310843244023,-4.028729458322852,12.960187148531482,-6.392765094630392,0.10728938464038895,0.049815351072562325,0.007368237975443692,0.04996726458013181,0.013126835741871621,0.10998149337750372,0.05249936391069417,0.009486282060766205,0.0458932243498601,0.013278899023301982
15,4l,1,-12.164427294544899,-14.665584024808519,0.6504400683516516,-4.4231316034786605,10.226027160337779,-12.21476284296814,-14.553445228055821,0.6650982672786693,-4.2244275921373475,10.25319654239628,-6.328478295952421,0.11355278065908096,0.056074572052483444,0.005850450042463001,0.05144654290160698,0.013091332448752428,0.11839307656764879,0.05776304256529736,0.00765783753403365,0.04644598019058778,0.013112386179469753
16,4l,2,-15.608082359716882,-14.660036707946196,0.5198781435565926,-4.207521334185401,10.203530774969074,-15.622032493471211,-14.73630484163255,0.5341966135024001,-4.021714535606632,10.23816190816868,-6.533929991162991,0.10464542474529787,0.039708075268981895,0.0040196917803404925,0.05232441335117167,0.013187792704924926,0.10777259992436639,0.04947592712982996,0.00489574404341105,0.04822768183751257,0.013524800351596224
17,4l,3,-11.979396076603319,-14.819255547494627,0.5764889973941877,-4.331923972187411,10.196267226362938,-12.004417418216153,-14.891551903657556,0.5850239240439028,-4.212724427781571,10.225661013364384,-6.35342000236824,0.10410757758281342,0.05599599960377781,0.003957127406475407,0.05043089410170639,0.012886049491010855,0.11341860921805356,0.05707391282707465,0.0064813391934256046,0.04682022647003866,0.013059609754718425
18,4m,1,-10.171799274886713,8.970342346543688,0.8319007827943815,-4.163524868791229,-12.955187228655674,-10.134975569228821,8.923756472651219,0.8429871237072173,-4.062305267097627,-12.922958108965554,-6.6362367273716645,0.10552031635792662,0.057581409969152134,0.008232596903041163,0.04689316525606157,0.013039368860289939,0.11041649401739144,0.059592361099219386,0.00874930882684073,0.04646845288909207,0.01318613347792732
19,4m,2,-11.35687423512714,9.245690825131243,0.4369342438743154,-4.133936743077417,-12.950133688431942,-11.352457283216436,9.276077335178847,0.4876792806854605,-3.9857882694902873,-12.91945475712349,-6.556570302661246,0.09633780201979554,0.05583855458552912,0.0014355589299817485,0.048273416180488776,0.013244955647973213,0.09822422496063697,0.056964712587483396,0.0035951745583371873,0.04601095106136858,0.013267818227417691
