,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,4g,1,-11.256787310618297,20.305086404178848,0.6601347670523035,-5.099982126594176,-23.729011327525036,-11.018579276463,20.325373588458657,0.7069036645989684,-4.980895288535826,-23.690383071680753,-6.39812877991964,0.10302227711764993,0.05920440606380405,0.0060198011683289705,0.04996552088471194,0.014353411718990199,0.1096557042888101,0.05970818592739765,0.008353198337681028,0.048538708434776846,0.014534403904817597
1,4g,2,-12.959077779703147,19.806892113822354,0.3817445935953935,-5.158441777768268,-23.722039453091345,-12.829433159316661,19.7696063435891,0.3963083164345391,-5.018062434589743,-23.687719360487872,-6.63930411657661,0.1120640239924499,0.051655814835253284,0.0010107565997012295,0.05077520758169174,0.014324525883336854,0.11322777152768723,0.054674559182892914,0.002040946286850845,0.05044975215700395,0.014528635624783307
2,4g,3,-12.006754225270779,20.168550374414558,0.5252344206599247,-5.1909264593009095,-23.725373886412548,-12.041292929372093,20.069827612959372,0.5608684202802257,-5.029702134238265,-23.691725436974103,-6.391220940841076,0.1045462078005266,0.05279455369524013,0.0026176885575905358,0.049624320479378786,0.013945695736962006,0.10851176791648327,0.05375758951697599,0.005760852740862129,0.04930345520433722,0.014015569784051902
3,4h,1,-12.384274050936178,23.135854195519347,0.5542308268823947,-5.204701054679045,-26.512957784436324,-12.14203435378746,23.088967212317097,0.6266279912474473,-5.063761289186036,-26.480841101753988,-6.563098517006784,0.10691807434533127,0.05566520755884512,0.00473903599710521,0.050064708991316965,0.013813985165891409,0.11258843881412059,0.060676307080767405,0.006443247551198003,0.04945037116957235,0.013921304071571501
4,4h,2,-11.882605651395432,22.706988505943674,0.4556664435953723,-5.208917031394558,-26.548196177118015,-11.96493066242265,22.598847381921924,0.47066090466618266,-5.079547194748233,-26.515960404017044,-6.3828499876571305,0.10748543371738424,0.04257144114652546,0.002217800065939613,0.05057793388822666,0.01417995781360427,0.11284341405247897,0.04841473354136339,0.0037971594543792153,0.04913389349408644,0.01443774874976281
5,4h,3,-12.75947185637083,23.891900133871836,0.5974696145938054,-5.365986277411895,-26.513510640622794,-12.594586226799736,23.90670773744841,0.6203549934676175,-5.2101024227940975,-26.483163855460095,-6.354430744771347,0.1035643722920831,0.05617533249009615,0.003857523382603201,0.04929310083874757,0.014182466710021874,0.10880543810196154,0.05534941115871952,0.005563936386291843,0.04746078845259351,0.014395549767714523
6,4i,1,-11.462989298065022,2.2493425311650297,0.8977105414280764,-5.50717531810103,-6.25329133367112,-11.30897102744375,2.250119463780727,0.9022308550521608,-5.41067011588506,-6.2230713729218765,-6.450496007434673,0.11743952631479312,0.05062094768264507,0.009068342100920163,0.052839402450807184,0.013532045489799508,0.12335069136914006,0.05552268305109188,0.009262830579135467,0.051860991155521674,0.013580557181778741
7,4i,2,-9.434624421184274,2.304698643518649,0.9144560401507557,-5.530219522019666,-6.246988713510856,-9.365898829361164,2.3473798551604697,0.9758057504569659,-5.363869687751138,-6.218623718395051,-6.450174589213233,0.11407274204266651,0.053035200272851975,0.010681822216840211,0.05359425289018878,0.014369743961331628,0.11975824859281516,0.054619481106929914,0.012383906323309574,0.053431633451666544,0.014592524324260609
8,4i,3,-9.397972847066155,3.576607280156476,0.41892543048432734,-5.489507336737843,-6.236560733836417,-9.514396918141518,3.606829678967931,0.4561463350472069,-5.330556250914043,-6.207218902881696,-6.624463978727776,0.11464552453652056,0.06022082756288419,0.0018119716122611896,0.050134025896861986,0.013546173102145129,0.11810089506201871,0.06003563917069733,0.003552281683955953,0.048193000483569684,0.013631411308073606
9,4j,1,-10.557804937108141,5.763146715455429,1.03465504345553,-5.4459181063424165,-10.516619929489739,-10.095699177120837,5.785591725003002,1.05792562681942,-5.3094592528618,-10.488802125268942,-6.639461368531239,0.10521099077148824,0.04896650076515113,0.011808369283013959,0.04990308064154343,0.013761939441757442,0.11111793907774789,0.05500602532690247,0.012652105452457084,0.04773748945399418,0.013824968995125954
