name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
4g,-19.011367142857164,-29.8085689218413,-24.747618392857166,-35.544820171841295,,,-28.682253809523832,-39.47945558850797,9.670886666666666,9.670886666666666,3.9346354166666666,3.9346354166666666,,0.5253643427692719,0.49360032702070367,0.3456752145978988,0.287613237388898,,,0.2687228926891286,0.12640538076160082,0.4587639122567045,0.4587639122567045,0.2231862054299983,0.2231862054299983,,3,60
4h,-16.28178984126981,-29.883830334285683,-21.56498025793648,-35.167020750952354,,,-25.125428174603144,-38.72746866761902,8.843638333333333,8.843638333333333,3.560447916666667,3.560447916666667,,0.7120782152856393,0.6789012283136088,0.3333556676517528,0.27352101505504645,,,0.2581954604773341,0.10335906203750406,0.6154766329080945,0.6154766329080945,0.22600547665768997,0.22600547665768997,,3,60
4i,-17.154691269841162,-29.524524053841162,-22.913585436507827,-35.28341822050783,,,-26.284564603174495,-38.6543973871745,9.129873333333334,9.129873333333334,3.3709791666666664,3.3709791666666664,,0.58898712281559,0.520023175911755,0.38894146949228653,0.24055626849460682,,,0.3158742234336294,0.13056516031338508,0.4673212311202476,0.4673212311202476,0.18103091508207744,0.18103091508207744,,3,60
4j,-18.04903158730162,-30.563192242603215,-22.998560337301623,-35.512720992603214,,,-26.472049920634955,-38.986210575936546,8.423018333333333,8.423018333333333,3.4734895833333335,3.4734895833333335,,0.5251675563716723,0.4984724026091905,0.27218066920468953,0.22714262167393512,,,0.17871524152355453,0.1381981300706385,0.45745149849722216,0.45745149849722216,0.18565859583202085,0.18565859583202085,,3,60
4k,-16.077743015872905,-30.902580153460196,-22.148339265872906,-36.9731764034602,,,-26.23101634920624,-41.05585348679354,10.153273333333335,10.153273333333335,4.0826770833333335,4.0826770833333335,,0.4790339721519959,0.45897356719292814,0.3772855501852555,0.28204420368119937,,,0.3058245233848596,0.17872409455141158,0.4050743976087809,0.4050743976087809,0.18349283000787223,0.18349283000787223,,3,60
4l,-18.876154365079376,-33.43225345244445,-24.373080198412705,-38.929179285777785,,,-28.260517698412706,-42.81661678577779,9.384363333333333,9.384363333333333,3.8874375,3.8874375,,0.5207382906563275,0.5253073042130034,0.24895244614311335,0.25389358262101097,,,0.17397713494632402,0.11826774605455036,0.47796222262821014,0.47796222262821014,0.20145812302073635,0.20145812302073635,,3,60
4m,-20.504891746031703,-29.97215045828567,-25.64648466269837,-35.11374337495234,,,-29.313370079365036,-38.78062879161901,8.808478333333333,8.808478333333333,3.6668854166666667,3.6668854166666667,,0.5125337435848208,0.5249695875551623,0.3184639486428902,0.2980604598598467,,,0.2023262122204931,0.14977642006981237,0.44902553830641456,0.44902553830641456,0.21894070908601915,0.21894070908601915,,3,60
4n,-22.081488571428576,-32.40762358736508,-26.936363988095245,-37.262499004031746,,,-30.83735357142858,-41.16348858736509,8.755865,8.755865,3.9009895833333337,3.9009895833333337,,0.5376601376723311,0.497342510820916,0.3242087536417213,0.2863365912010488,,,0.19232057194281998,0.14643034807551514,0.4530770743902126,0.4530770743902126,0.2382429833664309,0.2382429833664309,,3,60
4q,-14.50671666666672,-24.919344554158783,-20.49298541666672,-30.905613304158784,,,-24.45926666666672,-34.87189455415878,9.95255,9.95255,3.96628125,3.96628125,,0.6170383053462001,0.5174132018066928,0.42915429858625276,0.2832300136727288,,,0.33624236547543707,0.13065603815398097,0.5029068135732683,0.5029068135732683,0.23131334327957717,0.23131334327957717,,3,60
4r,-21.502714047619087,-32.67003979828574,-26.860134047619088,-38.02745979828574,,,-30.52250904761909,-41.68983479828574,9.019794999999998,9.019794999999998,3.662375,3.662375,,0.46631509429182605,0.46516100427306595,0.2782361220821196,0.2580906721721437,,,0.1493469748457303,0.13570444121201677,0.4308857585917681,0.4308857585917681,0.20621318784219977,0.20621318784219977,,3,60
