name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
4g,1,1,-21.460957142857914,-33.524791542857905,-23.97833214285792,-36.04216654285791,,,-26.29395714285792,-38.3577915428579,4.833,4.833,2.315625,2.315625,,4065.369590476191,3574.124576190476,4114.070623809524,-2407.408919047619,-19389.57833809524,1221.1290619047618,12009.1442,-3566.887057142857,135.02087770285718,3186.850795238096,-3431.86617944,-245.0153842019048,4028.7398666666654,3434.632114285714,4059.239690476191,-2368.9142,-19383.88854285714,1200.6070857142856,12132.573585714286,-3578.3885142857143,137.56191068571428,3102.9895999999994,-3440.8266036,-337.8370036000001,36.62971428571429,139.49245238095236,54.83092380952381,-1.7536238095238097,22.78637142857143,20.52198095238095,-123.42937142857144,-20.68721904761905,2.7881728457142856,149.0784476190477,-17.899046201904763,131.17940141714288,9.523809637474163e-06,9.523809499764216e-06,9.523809649993253e-06,-36.74109523809524,-28.47616666666741,-4.761904724167228e-06,-1.4285714244232666e-05,32.18867619047617,-5.32920582857143,-65.21726190476264,26.859470361904737,-38.3577915428579,4065.369590476191,3574.124576190476,4114.070623809524,-2407.408919047619,-19389.57833809524,1221.1290619047618,12009.1442,-3590.5790857142856,81.0013238095238,0.0,3186.850795238096,-3509.577761904762,-322.7269666666666,4028.7398666666654,3434.632114285714,4059.239690476191,-2368.9142,-19383.88854285714,1200.6070857142856,12132.573585714286,-3612.344733333333,82.16826666666665,0.0,3102.9895999999994,-3530.176466666666,-427.18686666666673,36.62971428571429,139.49245238095236,54.83092380952381,-1.7536238095238097,22.78637142857143,20.52198095238095,-123.42937142857144,-20.940538095238097,2.615938095238095,0.0,149.0784476190477,-18.3246,130.75384761904766,9.523809637474163e-06,9.523809499764216e-06,9.523809649993253e-06,-36.74109523809524,-28.47616666666741,-4.761904724167228e-06,-1.4285714244232666e-05,42.70618571428569,-3.782880952380951,0.0,-65.21726190476264,38.92330476190473,-26.29395714285792
4g,1,2,-16.026404761905027,-27.21299721904791,-24.706779761905025,-35.89337221904791,,,-28.099904761905027,-39.28649721904791,12.0735,12.0735,3.393125,3.393125,,4059.480004761905,3575.739761904761,4114.414804761905,-2402.3415,-19391.482309523813,1229.9564761904762,12008.20931904762,-3556.502390476191,135.3583312457143,3193.976557142857,-3421.1440592304766,-227.1675020876194,4023.135733333334,3434.251399999999,4059.010328571429,-2362.1525904761907,-19386.27175714286,1209.3588523809524,12131.994404761905,-3568.1014095238097,138.0229893942857,3109.326371428572,-3430.078420129524,-320.7520487009521,36.344252380952376,141.4883666666667,55.40447142857143,-2.032290476190476,22.584895238095235,20.59763333333333,-123.78509047619048,-20.535628571428568,2.804420022857143,150.6022380952381,-17.731208548571427,132.87102954666665,1.9047619041145936e-05,-4.76190474176162e-06,4.761904746836925e-06,-38.15661904761908,-27.795447619047867,-9.523809526494157e-06,4.761904734317839e-06,32.1346476190476,-5.469078171428565,-65.95206666666694,26.665569447619028,-39.28649721904791,4059.480004761905,3575.739761904761,4114.414804761905,-2402.3415,-19391.482309523813,1229.9564761904762,12008.20931904762,-3570.4429571428573,80.58747142857142,0.0,3193.976557142857,-3489.855485714286,-295.8789285714289,4023.135733333334,3434.251399999999,4059.010328571429,-2362.1525904761907,-19386.27175714286,1209.3588523809524,12131.994404761905,-3591.130923809524,81.71188571428571,0.0,3109.326371428572,-3509.419038095238,-400.09266666666633,36.344252380952376,141.4883666666667,55.40447142857143,-2.032290476190476,22.584895238095235,20.59763333333333,-123.78509047619048,-20.911514285714283,2.622904761904762,0.0,150.6022380952381,-18.288609523809527,132.3136285714286,1.9047619041145936e-05,-4.76190474176162e-06,4.761904746836925e-06,-38.15661904761908,-27.795447619047867,-9.523809526494157e-06,4.761904734317839e-06,41.59948095238097,-3.7473190476190488,0.0,-65.95206666666694,37.85216190476192,-28.099904761905027
4g,1,3,-18.61595714285753,-30.461967653333645,-23.85613214285753,-35.702142653333645,,,-28.17675714285753,-40.022767653333645,9.5608,9.5608,4.320625,4.320625,,4088.623266666666,3606.3917571428574,4126.712152380953,-2392.4730285714286,-19399.59397619048,1226.799842857143,12004.11731904762,-3580.777947619048,135.1851639085714,3260.5773333333336,-3445.5927837104764,-185.0154503771432,4055.397023809524,3466.024019047619,4071.669742857142,-2353.7231333333334,-19391.99975714285,1204.921114285714,12128.04128095238,-3592.696676190476,137.83828275428573,3180.330290476192,-3454.8583934361905,-274.5281029599993,33.22625238095238,140.36773333333332,55.042419047619056,-1.817919047619048,22.297866666666664,21.878709523809523,-123.92397142857143,-20.329271428571428,2.7935869028571427,147.07109047619048,-17.535684525714284,129.5354059504762,-9.523809483184886e-06,4.761904734994546e-06,-9.523809601947028e-06,-36.931976190476256,-29.892085714286,1.904761902135225e-05,9.523809405701892e-06,32.24800000000003,-5.446705748571429,-66.82406190476225,26.801294251428608,-40.022767653333645,4088.623266666666,3606.3917571428574,4126.712152380953,-2392.4730285714286,-19399.59397619048,1226.799842857143,12004.11731904762,-3600.4814047619043,80.83472380952382,0.0,3260.5773333333336,-3519.6466809523804,-259.069347619048,4055.397023809524,3466.024019047619,4071.669742857142,-2353.7231333333334,-19391.99975714285,1204.921114285714,12128.04128095238,-3621.963099999999,81.92774285714286,0.0,3180.330290476192,-3540.0353571428577,-359.70506666666586,33.22625238095238,140.36773333333332,55.042419047619056,-1.817919047619048,22.297866666666664,21.878709523809523,-123.92397142857143,-20.865790476190472,2.607161904761905,0.0,147.07109047619048,-18.258628571428567,128.8124619047619,-9.523809483184886e-06,4.761904734994546e-06,-9.523809601947028e-06,-36.931976190476256,-29.892085714286,1.904761902135225e-05,9.523809405701892e-06,42.34748571428568,-3.700180952380952,0.0,-66.82406190476225,38.64730476190472,-28.17675714285753
4g,1,4,-17.89556190476133,-29.92758100952316,-22.66671190476133,-34.69873100952316,,,-27.71296190476133,-39.74498100952316,9.8174,9.8174,5.046250000000001,5.046250000000001,,4061.224719047619,3599.394509523809,4119.136061904763,-2381.966823809524,-19417.392328571423,1225.474176190476,12013.60111904762,-3562.5541857142857,138.00927798857143,3219.471433333333,-3424.544907725714,-205.0734743923808,4024.263942857143,3458.587128571428,4063.714185714285,-2341.613595238095,-19412.21007619048,1203.3690333333334,12137.924152380952,-3574.0757000000003,140.71765251428573,3134.0347714285704,-3433.3580474857145,-299.32327605714363,36.960785714285706,140.80738571428572,55.42189047619048,-1.7498571428571428,22.530780952380955,22.105138095238097,-124.32303333333336,-20.558966666666667,2.8006826742857145,151.7530904761905,-17.75828399238095,133.99480648380955,-9.523809519050375e-06,-4.761904783717477e-06,-1.4285714336941574e-05,-38.60337142857143,-27.71303333333268,4.761904754957413e-06,8.932537249555546e-14,32.08048095238097,-5.509057200000005,-66.31640476190411,26.57142375238096,-39.74498100952316,4061.224719047619,3599.394509523809,4119.136061904763,-2381.966823809524,-19417.392328571423,1225.474176190476,12013.60111904762,-3574.330814285714,82.19042857142855,0.0,3219.471433333333,-3492.140385714286,-272.66895238095225,4024.263942857143,3458.587128571428,4063.714185714285,-2341.613595238095,-19412.21007619048,1203.3690333333334,12137.924152380952,-3595.5574523809523,83.29036190476191,0.0,3134.0347714285704,-3512.267090476191,-378.2323190476197,36.960785714285706,140.80738571428572,55.42189047619048,-1.7498571428571428,22.530780952380955,22.105138095238097,-124.32303333333336,-21.090861904761905,2.61412380952381,0.0,151.7530904761905,-18.47673809523809,133.27635238095235,-9.523809519050375e-06,-4.761904783717477e-06,-1.4285714336941574e-05,-38.60337142857143,-27.71303333333268,4.761904754957413e-06,8.932537249555546e-14,42.31749999999994,-3.714057142857142,0.0,-66.31640476190411,38.60344285714279,-27.71296190476133
4g,1,5,-19.27570476190461,-32.79490017523788,-21.72210476190461,-35.24130017523788,,,-26.48960476190461,-40.00880017523788,7.2139,7.2139,4.7675,4.7675,,4031.129261904762,3583.745066666666,4108.453728571428,-2385.872771428571,-19485.69216190476,1234.7264952380954,12012.38275714286,-3497.5575095238096,137.99690955428568,3098.872376190477,-3359.560599969524,-260.68822377904735,3992.257404761905,3443.842342857143,4052.026085714285,-2346.376980952381,-19478.88183333333,1213.2184857142856,12136.451766666669,-3508.7939142857144,140.58431886857144,3012.537271428572,-3368.209595417143,-355.6723239885716,38.87186190476191,139.90269523809525,56.42762380952381,-2.3038380952380946,22.41919523809524,21.508009523809523,-124.06901428571427,-20.551461904761904,2.787781337142857,152.75653333333335,-17.763680567619048,134.99285276571428,-4.76190486120047e-06,2.857142860756583e-05,1.904761905468008e-05,-37.19195238095244,-29.22952380952357,-2.9098416797794577e-14,4.761904718076862e-06,31.787866666666712,-5.37519065142857,-66.42147619047603,26.41267601523814,-40.00880017523788,4031.129261904762,3583.745066666666,4108.453728571428,-2385.872771428571,-19485.69216190476,1234.7264952380954,12012.38275714286,-3518.327485714286,82.09819523809523,0.0,3098.872376190477,-3436.2292904761907,-337.3569142857141,3992.257404761905,3443.842342857143,4052.026085714285,-2346.376980952381,-19478.88183333333,1213.2184857142856,12136.451766666669,-3540.905914285714,83.22245714285712,0.0,3012.537271428572,-3457.683457142857,-445.1461857142858,38.87186190476191,139.90269523809525,56.42762380952381,-2.3038380952380946,22.41919523809524,21.508009523809523,-124.06901428571427,-21.093104761904765,2.6154,0.0,152.75653333333335,-18.477704761904764,134.27882857142856,-4.76190486120047e-06,2.857142860756583e-05,1.904761905468008e-05,-37.19195238095244,-29.22952380952357,-2.9098416797794577e-14,4.761904718076862e-06,43.67153333333332,-3.739661904761906,0.0,-66.42147619047603,39.9318714285714,-26.48960476190461
4g,1,6,-17.684319047619017,-29.55540754666665,-23.295694047619016,-35.16678254666665,,,-26.953819047619017,-38.82490754666665,9.2695,9.2695,3.658125,3.658125,,4057.801371428572,3603.036376190477,4112.697261904762,-2389.5594952380948,-19436.40837142857,1229.5439523809523,11986.737900000002,-3515.689042857143,137.5599423085714,3163.848995238095,-3378.1291005485714,-214.28010531047596,4020.8711190476174,3462.0540428571426,4057.42780952381,-2351.817904761904,-19428.464047619047,1208.814757142857,12109.96528095238,-3527.153042857143,140.02961921142858,3078.8510571428565,-3387.1234236457144,-308.2723665028577,36.93024761904762,140.98232857142858,55.26945238095238,-2.294490476190476,22.576409523809524,20.72919523809524,-123.22738095238098,-20.95190952380953,2.8033068342857144,150.96576190476193,-18.148602689523813,132.8171592152381,4.76190478456336e-06,4.761904776950403e-06,0.0,-35.44709999999996,-30.52073333333332,4.686198519179708e-14,2.7745002063013443e-13,32.415909523809496,-5.272983737142859,-65.96783333333329,27.14292578666665,-38.82490754666665,4057.801371428572,3603.036376190477,4112.697261904762,-2389.5594952380948,-19436.40837142857,1229.5439523809523,11986.737900000002,-3525.5495,81.62786666666666,0.0,3163.848995238095,-3443.921633333334,-280.072638095238,4020.8711190476174,3462.0540428571426,4057.42780952381,-2351.817904761904,-19428.464047619047,1208.814757142857,12109.96528095238,-3546.9582523809527,82.74894285714286,0.0,3078.8510571428565,-3464.2093095238097,-385.35825238095305,36.93024761904762,140.98232857142858,55.26945238095238,-2.294490476190476,22.576409523809524,20.72919523809524,-123.22738095238098,-21.34669047619048,2.620352380952381,0.0,150.96576190476193,-18.72633809523809,132.2394238095238,4.76190478456336e-06,4.761904776950403e-06,0.0,-35.44709999999996,-30.52073333333332,4.686198519179708e-14,2.7745002063013443e-13,42.75544285714285,-3.741428571428573,0.0,-65.96783333333329,39.01401428571428,-26.953819047619017
4g,1,7,-24.32772380952385,-36.17305044190482,-25.12022380952385,-36.96555044190482,,,-27.71772380952385,-39.56305044190482,3.39,3.39,2.5975,2.5975,,4067.615633333333,3606.8657619047617,4099.62291904762,-2382.0020190476184,-19464.034509523808,1227.9156952380954,11975.07009047619,-3478.297942857143,138.3003473485714,3131.053571428572,-3339.997595508572,-208.9440240800002,4032.4582809523818,3466.303161904762,4045.088638095238,-2341.620723809524,-19459.279704761902,1205.915914285714,12098.944495238096,-3489.7062809523813,140.8807934742857,3047.8100619047614,-3348.825487478095,-301.01542557333346,35.15736666666667,140.56260476190477,54.53427619047618,-1.4642428571428572,22.55610952380952,21.999780952380952,-123.87441904761904,-20.621838095238097,2.78481384,149.47147619047618,-17.837024255238095,131.6344519352381,-1.428571426436471e-05,-4.761904753942352e-06,4.761904806725527e-06,-38.91705238095236,-27.310914285714347,-3.1974423109204515e-14,1.4285714147463513e-05,32.03017619047617,-5.365259965714285,-66.22796666666672,26.664916224761885,-39.56305044190482,4067.615633333333,3606.8657619047617,4099.62291904762,-2382.0020190476184,-19464.034509523808,1227.9156952380954,11975.07009047619,-3489.6968,82.00316190476191,0.0,3131.053571428572,-3407.6936380952384,-276.6400666666668,4032.4582809523818,3466.303161904762,4045.088638095238,-2341.620723809524,-19459.279704761902,1205.915914285714,12098.944495238096,-3510.986685714285,83.14481904761904,0.0,3047.8100619047614,-3427.8418666666657,-380.0318047619047,35.15736666666667,140.56260476190477,54.53427619047618,-1.4642428571428572,22.55610952380952,21.999780952380952,-123.87441904761904,-20.96992380952381,2.607909523809524,0.0,149.47147619047618,-18.362014285714288,131.1094619047619,-1.428571426436471e-05,-4.761904753942352e-06,4.761904806725527e-06,-38.91705238095236,-27.310914285714347,-3.1974423109204515e-14,1.4285714147463513e-05,42.25980952380952,-3.7495666666666687,0.0,-66.22796666666672,38.51024285714285,-27.71772380952385
4g,1,8,-19.0407285714286,-30.531129721904843,-21.5227535714286,-33.01315472190485,,,-27.619628571428603,-39.11002972190485,8.5789,8.5789,6.096875,6.096875,,4103.7478,3622.868095238094,4104.73890952381,-2380.6558904761905,-19536.857442857145,1226.715642857143,11972.869004761904,-3395.7164904761908,139.01928089142862,3113.4261190476195,-3256.6972095847623,-143.2710905371429,4066.829861904762,3481.754328571429,4048.223523809523,-2341.016947619048,-19531.2322952381,1205.2678285714287,12097.511995238094,-3407.273623809524,141.56327691428572,3027.3382952380957,-3265.710346895238,-238.372051657143,36.91793333333333,141.1137619047619,56.515380952380944,-2.1414285714285715,22.986709523809523,21.447814285714287,-124.64298571428571,-20.76714761904762,2.7809432228571422,152.1971857142857,-17.986204396190477,134.21098131809526,4.76190480012763e-06,4.761904797251624e-06,4.761904809094003e-06,-37.4975142857143,-28.611857142857232,4.1448326252672515e-14,-4.761904771536744e-06,32.32428095238096,-5.324939245714277,-66.10937142857152,26.999341706666662,-39.11002972190485,4103.7478,3622.868095238094,4104.73890952381,-2380.6558904761905,-19536.857442857145,1226.715642857143,11972.869004761904,-3410.936176190476,81.46399523809525,0.0,3113.4261190476195,-3329.4721809523803,-216.04606190476196,4066.829861904762,3481.754328571429,4048.223523809523,-2341.016947619048,-19531.2322952381,1205.2678285714287,12097.511995238094,-3431.841757142857,82.61156666666668,0.0,3027.3382952380957,-3349.2301904761907,-321.89189523809534,36.91793333333333,141.1137619047619,56.515380952380944,-2.1414285714285715,22.986709523809523,21.447814285714287,-124.64298571428571,-21.340942857142856,2.609209523809524,0.0,152.1971857142857,-18.73173333333333,133.46545238095237,4.76190480012763e-06,4.761904797251624e-06,4.761904809094003e-06,-37.4975142857143,-28.611857142857232,4.1448326252672515e-14,-4.761904771536744e-06,42.24652380952386,-3.7567809523809528,0.0,-66.10937142857152,38.48974285714292,-27.619628571428603
4g,1,9,-22.66612857142876,-34.098520445714435,-26.897228571428755,-38.32962044571443,,,-28.51222857142876,-39.94462044571444,5.8461,5.8461,1.6150000000000002,1.6150000000000002,,4065.843100000001,3627.6588571428574,4101.287428571428,-2383.7447428571427,-19506.22337142857,1225.8348523809525,11988.223995238091,-3443.635228571429,139.04088476571428,3118.880119047619,-3304.5943438057147,-185.71422475809527,4027.239566666666,3485.6463761904765,4044.8046095238096,-2342.6834428571424,-19501.044885714284,1204.867042857143,12112.141319047618,-3455.4673952380954,141.74214037714287,3030.970585714286,-3313.725254860952,-282.7546691466662,38.603547619047625,142.01247142857144,56.48280952380952,-1.8792428571428568,22.806580952380955,20.967809523809525,-123.91730952380952,-20.87737142857143,2.78577912,155.07666666666665,-18.09159230857143,136.9850743580952,-1.4285714158967538e-05,9.523809539013244e-06,9.5238095488255e-06,-39.18205714285718,-27.98506666666676,-1.8271098919545435e-14,-1.4285714403935604e-05,32.709538095238074,-5.487034731428575,-67.16712380952393,27.222503363809498,-39.94462044571444,4065.843100000001,3627.6588571428574,4101.287428571428,-2383.7447428571427,-19506.22337142857,1225.8348523809525,11988.223995238091,-3458.0110952380955,81.85846666666666,0.0,3118.880119047619,-3376.1526285714285,-257.2725095238096,4027.239566666666,3485.6463761904765,4044.8046095238096,-2342.6834428571424,-19501.044885714284,1204.867042857143,12112.141319047618,-3479.0953666666665,82.95805238095237,0.0,3030.970585714286,-3396.137314285714,-365.1667285714281,38.603547619047625,142.01247142857144,56.48280952380952,-1.8792428571428568,22.806580952380955,20.967809523809525,-123.91730952380952,-21.28167142857143,2.6114619047619048,0.0,155.07666666666665,-18.670209523809525,136.40645714285714,-1.4285714158967538e-05,9.523809539013244e-06,9.5238095488255e-06,-39.18205714285718,-27.98506666666676,-1.8271098919545435e-14,-1.4285714403935604e-05,42.365942857142805,-3.711047619047621,0.0,-67.16712380952393,38.65489523809519,-28.51222857142876
4g,1,10,-17.957676190476036,-29.877999078095165,-24.01067619047604,-35.93099907809517,,,-27.13817619047604,-39.05849907809517,9.1805,9.1805,3.1275,3.1275,,4055.615,3598.9498238095243,4091.7729095238105,-2380.0764809523807,-19445.016428571427,1223.4791238095236,11985.177533333332,-3498.351052380952,138.59476522285712,3129.901480952382,-3359.756287158096,-229.85480620571397,4018.995719047619,3458.864795238096,4036.7209095238095,-2340.010280952381,-19439.21316666666,1202.312614285714,12107.232404761902,-3509.883647619048,141.1627945028571,3044.902995238095,-3368.720853116191,-323.81785787809525,36.61928571428572,140.08503809523808,55.05199523809523,-2.1825142857142854,22.59479523809524,21.1665,-122.05486666666668,-21.06009523809524,2.801417417142857,151.28023333333334,-18.258677820952386,133.02155551238096,-4.761904809601533e-06,-9.52380955796105e-06,4.761904854095042e-06,-37.8836857142857,-28.39805714285699,9.523809509068942e-06,-4.761904835147236e-06,32.59269047619038,-5.36944669714285,-66.28174285714269,27.223243779047536,-39.05849907809517,4055.615,3598.9498238095243,4091.7729095238105,-2380.0764809523807,-19445.016428571427,1223.4791238095236,11985.177533333332,-3507.7187095238096,81.82438571428573,0.0,3129.901480952382,-3425.8943238095244,-295.9928428571425,4018.995719047619,3458.864795238096,4036.7209095238095,-2340.010280952381,-19439.21316666666,1202.312614285714,12107.232404761902,-3529.416571428572,82.98101428571428,0.0,3044.902995238095,-3446.4355571428578,-401.532561904762,36.61928571428572,140.08503809523808,55.05199523809523,-2.1825142857142854,22.59479523809524,21.1665,-122.05486666666668,-21.227347619047617,2.6250142857142857,0.0,151.28023333333334,-18.60233333333333,132.6779,-4.761904809601533e-06,-9.52380955796105e-06,4.761904854095042e-06,-37.8836857142857,-28.39805714285699,9.523809509068942e-06,-4.761904835147236e-06,42.92520952380952,-3.781642857142858,0.0,-66.28174285714269,39.143566666666665,-27.13817619047604
