name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
4g,-14.953110793650719,-26.0977521290793,-21.304079960317388,-32.44872129574596,,,-25.061517460317386,-36.206158795745964,10.108406666666667,10.108406666666667,3.7574375,3.7574375,,0.8696571178022123,0.8730332942004584,0.2818335142218199,0.28986386648539,,,0.20134992341167238,0.2033681519089854,0.7453557161125282,0.7453557161125282,0.19114270529622374,0.19114270529622374,,3,60
4h,-15.578446428571429,-28.22973932469841,-21.433414345238095,-34.084707241365074,,,-25.351508095238096,-38.00280099136508,9.773061666666667,9.773061666666667,3.9180937499999997,3.9180937499999997,,0.4244552683361993,0.44646972363612014,0.2352575300095213,0.22142656042882886,,,0.20222609465568708,0.13001338332885015,0.4258349407960528,0.4258349407960528,0.17118355809898012,0.17118355809898012,,3,60
4i,-15.227383095238135,-27.130864096317495,-21.1598697619048,-33.063350762984165,,,-25.2883697619048,-37.19185076298416,10.060986666666668,10.060986666666668,4.1285,4.1285,,0.7840496900743212,0.7409978444523191,0.4162540674479101,0.35808614655667464,,,0.3309581256992005,0.2537216228081143,0.6097791494364023,0.6097791494364023,0.26008648214703795,0.26008648214703795,,3,60
4j,-18.007831746031705,-29.82138547028568,-23.080372996031706,-34.89392672028568,,,-26.414008412698372,-38.22756213695234,8.406176666666667,8.406176666666667,3.3336354166666666,3.3336354166666666,,0.41484168743176963,0.3952702251336759,0.31527335828456765,0.25675125417977024,,,0.20284476388551245,0.12911768575841256,0.33532528359136726,0.33532528359136726,0.20031111951170455,0.20031111951170455,,3,60
4k,-17.05511515873018,-29.55901193777781,-22.767828492063515,-35.271725271111144,,,-26.31891182539685,-38.82280860444448,9.263796666666668,9.263796666666668,3.551083333333333,3.551083333333333,,0.4241785520398512,0.4018672763847229,0.227882747437701,0.20084463407286365,,,0.16642744248580876,0.13098369836384768,0.39644607572816726,0.39644607572816726,0.18071724978621131,0.18071724978621131,,3,60
4l,-16.540992857142815,-30.672162309333295,-22.12631702380948,-36.25748647599996,,,-25.88879619047615,-40.01996564266663,9.347803333333333,9.347803333333333,3.7624791666666666,3.7624791666666666,,0.5171117660919391,0.4675459808383426,0.314141392561225,0.2643781669052265,,,0.18958432964018915,0.1260070166413075,0.4478030760068175,0.4478030760068175,0.22674775616431844,0.22674775616431844,,3,60
4m,-17.625453253968235,-25.984527250793636,-23.104264920634897,-31.4633389174603,,,-26.54705658730156,-34.90613058412696,8.921603333333334,8.921603333333334,3.4427916666666665,3.4427916666666665,,0.6185951990143124,0.6148778374507482,0.2894578321622033,0.25548602327315956,,,0.19131217554006794,0.12140801079007514,0.5885684944274371,0.5885684944274371,0.22727372438335244,0.22727372438335244,,3,60
4n,-19.707099206349245,-30.934499407365116,-24.63642462301591,-35.86382482403178,,,-28.27024753968258,-39.49764774069845,8.563148333333334,8.563148333333334,3.633822916666667,3.633822916666667,,0.4572022667048957,0.4279281364378723,0.29558212474161016,0.24929933264157558,,,0.16664359678999574,0.11815135228379506,0.40888383569563275,0.40888383569563275,0.2045326826378908,0.2045326826378908,,3,60
4q,-13.409690079365054,-22.31792983187298,-19.143943829365057,-28.052183581872985,,,-22.702016746031724,-31.61025649853965,9.292326666666668,9.292326666666668,3.5580729166666667,3.5580729166666667,,0.5494023700584986,0.5294258920083258,0.32896683267445564,0.27568612194670683,,,0.2379322212316734,0.17427653402575247,0.5022531969108373,0.5022531969108373,0.23736869478933567,0.23736869478933567,,3,60
4r,-18.019390158730154,-31.250857518158725,-23.63737807539682,-36.868845434825396,,,-27.32013849206349,-40.551605851492056,9.300748333333333,9.300748333333333,3.6827604166666665,3.6827604166666665,,0.48608829653517877,0.41819712985611196,0.32461940453971655,0.23642835292235337,,,0.2632252722366664,0.12636941040525224,0.38984005807315897,0.38984005807315897,0.1729837754949742,0.1729837754949742,,3,60
