name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
4g,1,1,-13.912314285714194,-24.548780308571292,-21.374089285714195,-32.0105553085713,,,-25.882214285714195,-36.5186803085713,11.9699,11.9699,4.508125,4.508125,,4058.765757142857,3475.9159714285715,4068.8268809523806,-2390.7203285714286,-19332.20925714286,1220.2994952380952,11970.78510952381,-3607.4157428571434,137.18148503999998,3071.663628571429,-3470.234257817143,-398.57062924571386,4028.388714285715,3457.6166857142857,4052.5183952380953,-2352.97489047619,-19343.60101904762,1207.452161904762,12127.304980952382,-3617.752314285715,139.64322246857142,3176.705028571429,-3478.109091817143,-301.40406324571387,30.377042857142865,18.299290476190475,16.308485714285712,-2.6367714285714285,37.7245,12.847338095238095,-156.5198619047619,-19.833376190476184,2.785485737142857,-43.59997619047619,-17.047890453333338,-60.64786664380953,8.32350061890403e-14,-4.761904768914503e-06,-4.2547975724682196e-14,-35.10866666666668,-26.33273809523797,-4.76190474658316e-06,-9.52380948081641e-06,30.169947619047644,-5.24722316571429,-61.44140476190465,24.922724453333363,-36.5186803085713,4058.765757142857,3475.9159714285715,4068.8268809523806,-2390.7203285714286,-19332.20925714286,1220.2994952380952,11970.78510952381,-3622.167676190476,81.86826190476191,0.0,3071.663628571429,-3540.299414285714,-468.6357857142854,4028.388714285715,3457.6166857142857,4052.5183952380953,-2352.97489047619,-19343.60101904762,1207.452161904762,12127.304980952382,-3641.2414428571424,83.06738095238097,0.0,3176.705028571429,-3558.174061904762,-381.46903333333296,30.377042857142865,18.299290476190475,16.308485714285712,-2.6367714285714285,37.7245,12.847338095238095,-156.5198619047619,-20.288085714285717,2.6035428571428567,0.0,-43.59997619047619,-17.684542857142862,-61.28451904761906,8.32350061890403e-14,-4.761904768914503e-06,-4.2547975724682196e-14,-35.10866666666668,-26.33273809523797,-4.76190474658316e-06,-9.52380948081641e-06,39.36185238095237,-3.8026619047619072,0.0,-61.44140476190465,35.559190476190466,-25.882214285714195
4g,1,2,-14.609009523809142,-24.98745811047586,-24.49788452380914,-34.87633311047586,,,-25.883509523809145,-36.26195811047586,11.2745,11.2745,1.385625,1.385625,,4059.114119047619,3507.006361904762,4071.2342380952377,-2385.878133333333,-19356.01863809524,1214.3721523809525,11966.25052857143,-3593.3317095238094,138.18437585142857,3076.080628571429,-3455.147333672381,-379.0667051009524,4025.5067571428567,3485.82489047619,4054.3335666666662,-2348.602447619048,-19366.298642857146,1201.7479666666668,12124.122985714286,-3605.0056190476193,140.62089363428575,3176.635076190476,-3464.384725413333,-287.74964922285733,33.60738095238096,21.181461904761903,16.900661904761904,-2.73512380952381,37.98525238095238,12.624185714285716,-157.87245714285717,-19.545380952380956,2.79892128,-38.30863809523809,-16.746459672380954,-55.05509776761906,-1.9047619059924565e-05,9.523809455778236e-06,9.523809543665608e-06,-34.54056190476198,-27.70524761904717,-1.522591576628786e-15,2.936909974475081e-13,31.21929047619044,-5.235439062857149,-62.24580952380912,25.98385141333329,-36.26195811047586,4059.114119047619,3507.006361904762,4071.2342380952377,-2385.878133333333,-19356.01863809524,1214.3721523809525,11966.25052857143,-3610.513495238096,82.70930476190476,0.0,3076.080628571429,-3527.804190476191,-451.72356190476177,4025.5067571428567,3485.82489047619,4054.3335666666662,-2348.602447619048,-19366.298642857146,1201.7479666666668,12124.122985714286,-3630.649052380953,83.9443761904762,0.0,3176.635076190476,-3546.704676190476,-370.0696000000002,33.60738095238096,21.181461904761903,16.900661904761904,-2.73512380952381,37.98525238095238,12.624185714285716,-157.87245714285717,-20.08222380952381,2.620409523809524,0.0,-38.30863809523809,-17.461814285714286,-55.77045238095238,-1.9047619059924565e-05,9.523809455778236e-06,9.523809543665608e-06,-34.54056190476198,-27.70524761904717,-1.522591576628786e-15,2.936909974475081e-13,40.21778095238096,-3.85548095238095,0.0,-62.24580952380912,36.362300000000005,-25.883509523809145
4g,1,3,-20.01362857142757,-29.16301611428468,-22.848278571427574,-31.99766611428468,,,-26.877028571427577,-36.02641611428468,6.8634,6.8634,4.0287500000000005,4.0287500000000005,,4036.811861904762,3490.045904761905,4072.8389238095247,-2361.358923809524,-19432.953590476194,1212.1930142857143,11966.599157142857,-3536.1351666666665,140.12499510857143,2984.176347619048,-3396.0101715580954,-411.83382393904736,4002.302385714285,3468.140695238096,4056.7545380952383,-2324.2868428571437,-19443.87305714286,1199.496919047619,12123.943266666667,-3547.309247619048,142.4540129142857,3082.477904761904,-3404.855234704762,-322.3773299428581,34.50945238095238,21.90522857142857,16.08437619047619,-2.2914809523809523,37.83280476190477,12.696090476190474,-157.34410952380952,-19.60562857142857,2.783169737142857,-36.60763809523809,-16.822458834285715,-53.43009692952381,2.3809523790858867e-05,-1.9047619008410216e-05,9.523809530469813e-06,-34.78059999999995,-26.913338095237112,4.761904769760387e-06,-1.3534147347811431e-14,30.779709523809537,-5.1121875428571455,-61.693938095237066,25.667521980952397,-36.02641611428468,4036.811861904762,3490.045904761905,4072.8389238095247,-2361.358923809524,-19432.953590476194,1212.1930142857143,11966.599157142857,-3566.553766666667,83.25719999999998,0.0,2984.176347619048,-3483.2965666666664,-499.1202190476188,4002.302385714285,3468.140695238096,4056.7545380952383,-2324.2868428571437,-19443.87305714286,1199.496919047619,12123.943266666667,-3585.119495238096,84.50376190476193,0.0,3082.477904761904,-3500.615733333333,-418.1378285714296,34.50945238095238,21.90522857142857,16.08437619047619,-2.2914809523809523,37.83280476190477,12.696090476190474,-157.34410952380952,-20.102185714285717,2.6044428571428573,0.0,-36.60763809523809,-17.49774285714286,-54.10538095238096,2.3809523790858867e-05,-1.9047619008410216e-05,9.523809530469813e-06,-34.78059999999995,-26.913338095237112,4.761904769760387e-06,-1.3534147347811431e-14,38.66791428571425,-3.8510047619047634,0.0,-61.693938095237066,34.81690952380949,-26.877028571427577
4g,1,4,-12.025099999999664,-23.22859496761873,-22.236749999999667,-33.44024496761873,,,-25.097999999999665,-36.30149496761873,13.0729,13.0729,2.86125,2.86125,,4063.2109190476185,3454.3956238095243,4074.644776190476,-2385.740009523809,-19341.91030952381,1222.7406999999998,11994.314823809524,-3596.9962428571425,139.23513565714288,3081.656523809524,-3457.7611072,-376.1045833904765,4032.3212,3435.915376190476,4058.439128571428,-2348.470757142857,-19353.23322380953,1209.739080952381,12151.828366666668,-3608.1714,141.63489538285714,3186.5391714285715,-3466.5365046171423,-279.9973331885718,30.88970952380952,18.480247619047617,16.205647619047618,-2.133914285714286,37.895204761904765,13.00160476190476,-157.51352857142857,-19.410866666666667,2.7801304800000004,-43.17502857142857,-16.630736186666663,-59.80576475809523,9.523809456116591e-06,-5.921189464667501e-16,2.791417890486108e-15,-35.135338095238055,-26.572290476190243,1.4285714290756296e-05,-1.4285714481080244e-05,30.58602380952385,-5.179890205714284,-61.707628571428295,25.406133603809568,-36.30149496761873,4063.2109190476185,3454.3956238095243,4074.644776190476,-2385.740009523809,-19341.91030952381,1222.7406999999998,11994.314823809524,-3612.849871428572,82.63802857142858,0.0,3081.656523809524,-3530.2118428571425,-448.55531904761926,4032.3212,3435.915376190476,4058.439128571428,-2348.470757142857,-19353.23322380953,1209.739080952381,12151.828366666668,-3633.3069619047615,83.8705142857143,0.0,3186.5391714285715,-3549.436447619048,-362.8972761904767,30.88970952380952,18.480247619047617,16.205647619047618,-2.133914285714286,37.895204761904765,13.00160476190476,-157.51352857142857,-19.991928571428566,2.606904761904762,0.0,-43.17502857142857,-17.38502380952381,-60.56005238095239,9.523809456116591e-06,-5.921189464667501e-16,2.791417890486108e-15,-35.135338095238055,-26.572290476190243,1.4285714290756296e-05,-1.4285714481080244e-05,40.44901904761912,-3.8393904761904745,0.0,-61.707628571428295,36.60962857142864,-25.097999999999665
4g,1,5,-22.63492380952373,-32.37413771809516,-24.52179880952373,-34.26101271809517,,,-26.139923809523733,-35.879137718095166,3.505,3.505,1.618125,1.618125,,4060.8961,3472.969228571429,4072.486961904762,-2382.497185714286,-19265.875742857144,1211.7820571428574,11946.762419047616,-3650.5399333333335,140.53331400000002,3116.5238380952383,-3510.006619333333,-393.4827812380951,4026.035523809523,3451.439509523809,4055.297457142857,-2344.6543380952376,-19277.51716666667,1198.6020809523811,12104.597042857142,-3661.552071428571,142.88331154285711,3213.800109523809,-3518.6687598857147,-304.86865036190466,34.860590476190474,21.52970952380953,17.18949523809524,-2.7726571428571427,37.96118571428572,13.179995238095238,-157.83463333333333,-19.640804761904764,2.792130651428571,-35.88631428571427,-16.84867411047619,-52.73498839619048,-1.4285714227145804e-05,9.523809502386456e-06,9.523809464490844e-06,-35.07019047619045,-26.319761904761908,-1.904761903226415e-05,9.523809383370547e-06,30.652942857142904,-5.142128194285716,-61.38995238095235,25.51081466285718,-35.879137718095166,4060.8961,3472.969228571429,4072.486961904762,-2382.497185714286,-19265.875742857144,1211.7820571428574,11946.762419047616,-3667.586480952381,82.94143333333334,0.0,3116.5238380952383,-3584.6450476190475,-468.1212095238093,4026.035523809523,3451.439509523809,4055.297457142857,-2344.6543380952376,-19277.51716666667,1198.6020809523811,12104.597042857142,-3686.520809523809,84.17881428571427,0.0,3213.800109523809,-3602.341995238096,-388.5418857142856,34.860590476190474,21.52970952380953,17.18949523809524,-2.7726571428571427,37.96118571428572,13.179995238095238,-157.83463333333333,-20.17039523809524,2.617314285714285,0.0,-35.88631428571427,-17.553080952380956,-53.43939523809523,-1.4285714227145804e-05,9.523809502386456e-06,9.523809464490844e-06,-35.07019047619045,-26.319761904761908,-1.904761903226415e-05,9.523809383370547e-06,39.104723809523854,-3.854695238095237,0.0,-61.38995238095235,35.250028571428615,-26.139923809523733
4g,1,6,-16.522909523809638,-26.90737250285727,-22.70078452380964,-33.08524750285727,,,-25.46140952380964,-35.84587250285727,8.9385,8.9385,2.760625,2.760625,,4050.5647666666655,3454.1293952380947,4065.708057142856,-2387.579547619048,-19263.414309523807,1216.7109523809524,11956.992185714284,-3664.018557142857,139.02404231999998,3093.1115,-3524.9945148228567,-431.8830148228572,4015.874538095239,3433.396461904762,4048.0157809523807,-2350.753423809524,-19273.732333333337,1203.4420523809522,12114.523357142854,-3675.2211095238094,141.34718938285715,3190.7664333333337,-3533.873920140952,-343.1074868076186,34.69022380952381,20.732909523809525,17.692271428571427,-3.1475285714285715,38.25648095238095,13.268895238095237,-157.53117142857144,-19.6836,2.79182544,-36.03791904761905,-16.891774559999998,-52.92969360761905,4.761904737193845e-06,2.380952376269092e-05,4.761904786255129e-06,-33.67859523809528,-27.938457142857228,4.76190475994813e-06,-2.530885554040738e-13,30.88615238095238,-5.114972502857146,-61.617052380952494,25.77117987809524,-35.84587250285727,4050.5647666666655,3454.1293952380947,4065.708057142856,-2387.579547619048,-19263.414309523807,1216.7109523809524,11956.992185714284,-3676.155790476191,82.22041904761906,0.0,3093.1115,-3593.935371428572,-500.8238714285714,4015.874538095239,3433.396461904762,4048.0157809523807,-2350.753423809524,-19273.732333333337,1203.4420523809522,12114.523357142854,-3695.906133333333,83.42738095238096,0.0,3190.7664333333337,-3612.478752380952,-421.71231904761873,34.69022380952381,20.732909523809525,17.692271428571427,-3.1475285714285715,38.25648095238095,13.268895238095237,-157.53117142857144,-20.219880952380954,2.6076190476190484,0.0,-36.03791904761905,-17.612261904761905,-53.65018095238096,4.761904737193845e-06,2.380952376269092e-05,4.761904786255129e-06,-33.67859523809528,-27.938457142857228,4.76190475994813e-06,-2.530885554040738e-13,39.970223809523816,-3.8145809523809526,0.0,-61.617052380952494,36.15564285714287,-25.46140952380964
4g,1,7,-16.055909523809575,-24.106614838095297,-19.22233452380958,-27.2730398380953,,,-24.974209523809577,-33.0249148380953,8.9183,8.9183,5.751875,5.751875,,4001.920909523809,3483.8668285714293,4066.786504761905,-2365.3277761904765,-19268.06135714285,1210.688723809524,11973.51690952381,-3675.679590476191,141.6233531657143,3103.390742857143,-3534.0562373104767,-430.6654944533332,3967.672866666666,3462.922095238095,4050.1738190476194,-2331.087423809524,-19277.73064761905,1197.5878190476192,12131.090933333331,-3687.6889,143.69444375999998,3200.6294619047626,-3543.99445624,-343.36499433523767,34.24803333333333,20.94472857142857,16.612690476190476,-2.835457142857144,37.93754285714286,13.100914285714287,-157.57402857142856,-19.50912857142857,2.79911472,-37.56557619047619,-16.71001385142857,-54.27559004190476,9.523809505347053e-06,4.761904754449883e-06,-4.761904767391911e-06,-31.404895238095197,-28.26825238095248,-9.523809538844066e-06,4.761904495440138e-06,31.518438095238096,-4.870205314285706,-59.67314761904768,26.64823278095238,-33.0249148380953,4001.920909523809,3483.8668285714293,4066.786504761905,-2365.3277761904765,-19268.06135714285,1210.688723809524,11973.51690952381,-3699.743961904762,83.58416190476193,0.0,3103.390742857143,-3616.1598,-512.7690571428572,3967.672866666666,3462.922095238095,4050.1738190476194,-2331.087423809524,-19277.73064761905,1197.5878190476192,12131.090933333331,-3718.0928857142862,84.80100952380951,0.0,3200.6294619047626,-3633.291876190476,-432.662414285714,34.24803333333333,20.94472857142857,16.612690476190476,-2.835457142857144,37.93754285714286,13.100914285714287,-157.57402857142856,-20.192228571428576,2.625366666666667,0.0,-37.56557619047619,-17.566861904761904,-55.13243809523809,9.523809505347053e-06,4.761904754449883e-06,-4.761904767391911e-06,-31.404895238095197,-28.26825238095248,-9.523809538844066e-06,4.761904495440138e-06,38.54115238095239,-3.842214285714284,0.0,-59.67314761904768,34.69893809523811,-24.974209523809577
4g,1,8,-19.301890476190326,-28.48279587428544,-20.819040476190324,-29.99994587428544,,,-25.387790476190325,-34.56869587428544,6.0859,6.0859,4.56875,4.56875,,4060.949366666666,3454.448790476191,4071.681838095238,-2369.587009523809,-19299.231633333333,1218.7176000000002,11976.551214285715,-3662.0415142857146,138.6445229142857,3113.530166666666,-3523.396991371429,-409.86682470476217,4028.082133333334,3435.307233333333,4054.497223809524,-2333.180923809524,-19310.158757142857,1205.6636,12134.02758095238,-3673.3942857142856,140.92263462857142,3214.2380904761903,-3532.4716510857147,-318.2335606095242,32.86723809523809,19.141561904761904,17.18461904761905,-3.008119047619048,38.01215714285714,13.053990476190476,-157.4763666666667,-19.6652,2.825555588571428,-40.224919047619046,-16.839644411428573,-57.06456345904762,-4.7619047933605565e-06,-4.761904727973707e-06,-4.761904816706961e-06,-33.39796666666667,-27.08503333333314,9.5238095028094e-06,3.789561257387201e-13,31.017971428571503,-5.103667302857139,-60.482999999999805,25.91430412571437,-34.56869587428544,4060.949366666666,3454.448790476191,4071.681838095238,-2369.587009523809,-19299.231633333333,1218.7176000000002,11976.551214285715,-3684.6164,81.91916666666665,0.0,3113.530166666666,-3602.697233333333,-489.16706666666704,4028.082133333334,3435.307233333333,4054.497223809524,-2333.180923809524,-19310.158757142857,1205.6636,12134.02758095238,-3703.2700904761914,83.12553809523808,0.0,3214.2380904761903,-3620.144552380952,-405.9064619047622,32.86723809523809,19.141561904761904,17.18461904761905,-3.008119047619048,38.01215714285714,13.053990476190476,-157.4763666666667,-20.29178571428572,2.6438952380952383,0.0,-40.224919047619046,-17.647890476190476,-57.87280952380952,-4.7619047933605565e-06,-4.761904727973707e-06,-4.761904816706961e-06,-33.39796666666667,-27.08503333333314,9.5238095028094e-06,3.789561257387201e-13,38.945476190476136,-3.850266666666667,0.0,-60.482999999999805,35.09520952380948,-25.387790476190325
4g,1,9,-13.301009523808853,-25.237551885713685,-19.56648452380885,-31.503026885713684,,,-23.01460952380885,-34.951151885713685,9.7136,9.7136,3.448125,3.448125,,4058.405838095238,3440.336576190476,4063.5131,-2383.1481095238096,-19320.74957619048,1211.9285190476191,11982.902942857145,-3635.6826857142855,137.78017158857145,3053.1892904761908,-3497.902514125714,-444.7132236495237,4022.426276190477,3418.1651285714283,4045.467333333333,-2346.795195238095,-19331.46240952381,1198.6156857142855,12140.739452380953,-3647.342442857143,140.1236428114286,3147.156271428571,-3507.218800045714,-360.0625286171432,35.979576190476195,22.17143809523809,18.045761904761907,-3.0820000000000003,38.65190952380952,13.31282857142857,-157.83649047619048,-19.76133333333333,2.818780662857143,-32.756976190476195,-16.942552670476193,-49.69952886095238,-1.428571428737276e-05,9.523809558045638e-06,4.761904761301545e-06,-33.27091428571424,-27.93907619047553,4.761904764938847e-06,-1.9047619105094785e-05,31.421090476190383,-5.162251885714283,-61.20999047618978,26.258838590476103,-34.951151885713685,4058.405838095238,3440.336576190476,4063.5131,-2383.1481095238096,-19320.74957619048,1211.9285190476191,11982.902942857145,-3649.847428571428,81.4986380952381,0.0,3053.1892904761908,-3568.34879047619,-515.1594999999998,4022.426276190477,3418.1651285714283,4045.467333333333,-2346.795195238095,-19331.46240952381,1198.6156857142855,12140.739452380953,-3671.490466666666,82.68812380952382,0.0,3147.156271428571,-3588.8023428571432,-441.6460714285718,35.979576190476195,22.17143809523809,18.045761904761907,-3.0820000000000003,38.65190952380952,13.31282857142857,-157.83649047619048,-20.37845238095238,2.636623809523809,0.0,-32.756976190476195,-17.74182857142857,-50.49880476190476,-1.428571428737276e-05,9.523809558045638e-06,4.761904761301545e-06,-33.27091428571424,-27.93907619047553,4.761904764938847e-06,-1.9047619105094785e-05,42.02149047619045,-3.826109523809522,0.0,-61.20999047618978,38.19538095238092,-23.01460952380885
4g,1,10,-16.928942857142633,-29.04348406095216,-20.52971785714264,-32.64425906095216,,,-23.312842857142638,-35.42738406095216,6.3839,6.3839,2.783125,2.783125,,4046.5833333333326,3469.315176190476,4064.870523809524,-2389.3136095238096,-19229.307985714287,1214.9891523809524,11985.752285714289,-3716.606828571429,137.79532296000002,3162.8888761904764,-3578.811505611428,-415.9226294209523,4012.9929666666662,3448.8348428571426,4047.178538095238,-2351.632438095238,-19242.47862380953,1202.114961904762,12144.26948095238,-3727.32408095238,140.23847722285714,3261.279728571429,-3587.0856037295243,-325.8058751580953,33.59034285714286,20.480338095238096,17.691980952380952,-2.5806666666666667,38.2714,12.8742,-158.51719047619048,-19.295861904761907,2.796077417142856,-38.18959523809523,-16.49978448761905,-54.68937972571428,2.3809523786629445e-05,-4.761904783886653e-06,4.761904718330627e-06,-35.10050476190467,-25.100761904761757,-9.52380952632498e-06,-4.761904852741628e-06,30.013114285714263,-5.239231680000001,-60.201266666666434,24.77388260571427,-35.42738406095216,4046.5833333333326,3469.315176190476,4064.870523809524,-2389.3136095238096,-19229.307985714287,1214.9891523809524,11985.752285714289,-3723.1857047619046,81.65717619047619,0.0,3162.8888761904764,-3641.528528571429,-478.6396523809525,4012.9929666666662,3448.8348428571426,4047.178538095238,-2351.632438095238,-19242.47862380953,1202.114961904762,12144.26948095238,-3744.038942857143,82.84757142857143,0.0,3261.279728571429,-3661.191371428571,-399.91164285714297,33.59034285714286,20.480338095238096,17.691980952380952,-2.5806666666666667,38.2714,12.8742,-158.51719047619048,-19.848623809523808,2.623042857142857,0.0,-38.18959523809523,-17.22558095238095,-55.41517619047619,2.3809523786629445e-05,-4.761904783886653e-06,4.761904718330627e-06,-35.10050476190467,-25.100761904761757,-9.52380952632498e-06,-4.761904852741628e-06,40.70186190476189,-3.8134380952380966,0.0,-60.201266666666434,36.88842380952379,-23.312842857142638
