name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
4g,1,1,-22.715661904761586,-35.55830767238067,-25.209086904761584,-38.051732672380666,,,-28.003461904761583,-40.84610767238067,5.2878,5.2878,2.794375,2.794375,,4141.895552380952,3544.7643666666663,4074.1890190476174,-2404.6795523809524,-19335.75861904762,1234.6356285714287,11953.605914285718,-3565.2004000000006,135.35753592000003,3208.652309523809,-3429.84286408,-221.19055455619053,4109.228228571429,3477.058728571429,4056.211733333334,-2363.8663761904763,-19345.19047619048,1211.909680952381,12110.612385714288,-3577.2930047619047,137.9400087085714,3255.963904761904,-3439.3529960533333,-183.3890912914292,32.667342857142856,67.70563333333332,17.977285714285717,-2.605314285714285,38.260938095238096,22.725942857142854,-157.00644761904763,-19.454171428571424,2.773468217142857,19.72538095238096,-16.68070321142857,3.044677740952382,-1.90476189530048e-05,4.76190474548351e-06,2.8506297851327835e-14,-38.20786190476196,-28.82908095238063,4.7619047573258895e-06,-2.3809523863097377e-05,31.546776190476187,-5.355941005714281,-67.03694285714258,26.19083518476191,-40.84610767238067,4141.895552380952,3544.7643666666663,4074.1890190476174,-2404.6795523809524,-19335.75861904762,1234.6356285714287,11953.605914285718,-3578.5615523809524,81.25519999999999,0.0,3208.652309523809,-3497.306352380952,-288.6540428571429,4109.228228571429,3477.058728571429,4056.211733333334,-2363.8663761904763,-19345.19047619048,1211.909680952381,12110.612385714288,-3601.042571428572,82.42978095238095,0.0,3255.963904761904,-3518.61279047619,-262.64888571428634,32.667342857142856,67.70563333333332,17.977285714285717,-2.605314285714285,38.260938095238096,22.725942857142854,-157.00644761904763,-20.317828571428574,2.590785714285714,0.0,19.72538095238096,-17.72704285714286,1.9983380952380965,-1.90476189530048e-05,4.76190474548351e-06,2.8506297851327835e-14,-38.20786190476196,-28.82908095238063,4.7619047573258895e-06,-2.3809523863097377e-05,42.79884761904766,-3.765366666666668,0.0,-67.03694285714258,39.03348095238099,-28.003461904761583
4g,1,2,-20.82165238095268,-32.37487580952401,-25.66242738095268,-37.215650809524014,,,-28.82305238095268,-40.37627580952402,8.0014,8.0014,3.160625,3.160625,,4042.242795238096,3511.1916809523814,4068.048980952381,-2387.6248,-19268.6109,1239.2964952380953,11961.460709523808,-3624.3568761904767,137.45833789714283,3166.0049619047613,-3486.898538293333,-320.89357638857155,4007.666576190477,3442.6668333333328,4049.131619047618,-2347.3539190476185,-19278.424380952383,1216.7700999999995,12117.459495238096,-3636.048028571428,140.00903890285713,3207.9163238095243,-3496.0389896685715,-288.1226658590479,34.576214285714286,68.52484761904763,18.91735714285714,-2.2170904761904766,38.36157142857143,22.526390476190475,-155.9987761904762,-19.850661904761903,2.765508137142857,24.690514285714297,-17.085153767619047,7.605360518095246,4.761904815353546e-06,-1.691768418476429e-15,4.761904782279473e-06,-38.05379047619051,-28.548090476190666,4.761904751743054e-06,-9.523809537659828e-06,31.54181428571429,-5.316209142857143,-66.60188095238117,26.225605142857148,-40.37627580952402,4042.242795238096,3511.1916809523814,4068.048980952381,-2387.6248,-19268.6109,1239.2964952380953,11961.460709523808,-3643.43070952381,81.52388571428571,0.0,3166.0049619047613,-3561.906823809524,-395.9018619047621,4007.666576190477,3442.6668333333328,4049.131619047618,-2347.3539190476185,-19278.424380952383,1216.7700999999995,12117.459495238096,-3664.232161904762,82.67188095238095,0.0,3207.9163238095243,-3581.5602809523807,-373.64395714285735,34.576214285714286,68.52484761904763,18.91735714285714,-2.2170904761904766,38.36157142857143,22.526390476190475,-155.9987761904762,-20.714676190476197,2.5893047619047618,0.0,24.690514285714297,-18.12537142857143,6.565142857142868,4.761904815353546e-06,-1.691768418476429e-15,4.761904782279473e-06,-38.05379047619051,-28.548090476190666,4.761904751743054e-06,-9.523809537659828e-06,41.51612857142849,-3.737300000000001,0.0,-66.60188095238117,37.77882857142848,-28.82305238095268
4g,1,3,-11.505452380951676,-23.16434800761833,-21.69025238095168,-33.349148007618325,,,-27.90025238095168,-39.559148007618326,16.3948,16.3948,6.21,6.21,,4056.4132809523817,3536.116371428572,4056.057361904762,-2385.1521619047617,-19167.970547619047,1220.5712952380952,11954.463457142856,-3746.8564666666657,136.58269806857143,3270.499057142857,-3610.273768598095,-339.7747114552378,4020.170471428572,3468.3556952380945,4036.883023809524,-2344.738009523809,-19180.232057142854,1198.0958571428569,12112.0514,-3758.017909523809,139.16311350857143,3310.5863809523803,-3618.8547960152378,-308.2684150628578,36.24278095238096,67.76069523809524,19.174361904761906,-2.1130714285714283,38.4232380952381,22.47542380952381,-157.5879476190476,-19.08300476190476,2.760370662857143,24.375480952380958,-16.32263409904762,8.052846853333333,2.857142857914412e-05,-1.90476190194913e-05,-2.3809523775379187e-05,-38.30108095238105,-26.161728571427776,1.4285714290417944e-05,4.761904705219422e-06,30.244447619047623,-5.340786102857139,-64.46280952380882,24.90366151619048,-39.559148007618326,4056.4132809523817,3536.116371428572,4056.057361904762,-2385.1521619047617,-19167.970547619047,1220.5712952380952,11954.463457142856,-3759.198528571429,82.20490476190477,0.0,3270.499057142857,-3676.993623809524,-406.4945666666664,4020.170471428572,3468.3556952380945,4036.883023809524,-2344.738009523809,-19180.232057142854,1198.0958571428569,12112.0514,-3779.5095142857135,83.33733333333332,0.0,3310.5863809523803,-3696.1721809523815,-385.5858000000007,36.24278095238096,67.76069523809524,19.174361904761906,-2.1130714285714283,38.4232380952381,22.47542380952381,-157.5879476190476,-19.96637619047619,2.5823761904761904,0.0,24.375480952380958,-17.383999999999997,6.991480952380952,2.857142857914412e-05,-1.90476190194913e-05,-2.3809523775379187e-05,-38.30108095238105,-26.161728571427776,1.4285714290417944e-05,4.761904705219422e-06,40.2773619047619,-3.7148047619047615,0.0,-64.46280952380882,36.56255714285713,-27.90025238095168
4g,1,4,-16.62163333333352,-26.326707820952542,-24.07033333333352,-33.775407820952545,,,-28.202833333333523,-37.90790782095255,11.5812,11.5812,4.1325,4.1325,,4052.904500000001,3514.215719047619,4071.092814285714,-2400.4215,-19216.28872857143,1227.4606666666668,11969.9964,-3689.4701095238097,136.65468730285716,3218.959871428571,-3552.8154222209523,-333.8555507923812,4018.1054047619054,3445.544823809524,4053.1808047619047,-2361.913547619048,-19227.61317619048,1204.956147619048,12126.217219047618,-3700.371938095239,139.16733754285715,3258.477676190477,-3561.204600552381,-302.7269243619045,34.799104761904765,68.67089523809526,17.912009523809523,-1.9271952380952384,38.02500476190476,22.50452380952381,-156.22080952380952,-19.751933333333334,2.7677051999999995,23.76353333333333,-16.984228133333332,6.7793052000000005,-9.52380961260517e-06,-6.66556756879713e-14,2.1147105230955363e-14,-36.58075714285712,-26.70055714285736,-4.7619047701833295e-06,-9.52380965811374e-06,30.65376190476192,-5.280355439999998,-63.28131428571448,25.373406464761928,-37.90790782095255,4052.904500000001,3514.215719047619,4071.092814285714,-2400.4215,-19216.28872857143,1227.4606666666668,11969.9964,-3703.801095238096,81.66184761904762,0.0,3218.959871428571,-3622.139247619047,-403.1793761904764,4018.1054047619054,3445.544823809524,4053.1808047619047,-2361.913547619048,-19227.61317619048,1204.956147619048,12126.217219047618,-3722.091495238095,82.81527142857142,0.0,3258.477676190477,-3639.2762238095233,-380.79854761904727,34.799104761904765,68.67089523809526,17.912009523809523,-1.9271952380952384,38.02500476190476,22.50452380952381,-156.22080952380952,-20.53854761904762,2.5970428571428568,0.0,23.76353333333333,-17.94150476190476,5.822028571428572,-9.52380961260517e-06,-6.66556756879713e-14,2.1147105230955363e-14,-36.58075714285712,-26.70055714285736,-4.7619047701833295e-06,-9.52380965811374e-06,38.82894761904762,-3.750466666666664,0.0,-63.28131428571448,35.07848095238095,-28.202833333333523
4g,1,5,-19.325804761904205,-30.878031748570816,-20.829429761904205,-32.38165674857082,,,-27.98880476190421,-39.541031748570816,8.663,8.663,7.159375,7.159375,,4104.505438095238,3522.648128571428,4064.665542857142,-2406.6101857142853,-19201.99836666667,1225.9973904761905,11967.73851904762,-3698.3870238095233,136.51692888,3276.9464666666663,-3561.870094929524,-284.9236282628571,4071.625104761904,3454.603419047619,4047.195480952382,-2366.220314285714,-19212.893114285715,1202.7700904761905,12124.525685714283,-3710.419876190476,139.05829241142857,3321.606352380952,-3571.361583779047,-249.75523139809545,32.88032857142858,68.04469999999999,17.470057142857144,-2.241509523809524,38.12249047619048,23.22729523809524,-156.78715714285713,-19.12129523809524,2.777711074285714,20.716204761904752,-16.343584163809524,4.372620598095232,4.761904679673719e-06,9.52380946322202e-06,4.761904752165995e-06,-38.148361904761884,-27.22774285714228,4.761904754280706e-06,-9.52380955796105e-06,31.15414761904763,-5.319074605714282,-65.37610476190416,25.83507301333336,-39.541031748570816,4104.505438095238,3522.648128571428,4064.665542857142,-2406.6101857142853,-19201.99836666667,1225.9973904761905,11967.73851904762,-3705.47599047619,81.77777619047617,0.0,3276.9464666666663,-3623.6982142857137,-346.75174761904765,4071.625104761904,3454.603419047619,4047.195480952382,-2366.220314285714,-19212.893114285715,1202.7700904761905,12124.525685714283,-3726.6542428571433,82.95709047619047,0.0,3321.606352380952,-3643.697152380953,-322.0908000000003,32.88032857142858,68.04469999999999,17.470057142857144,-2.241509523809524,38.12249047619048,23.22729523809524,-156.78715714285713,-19.986704761904765,2.598342857142857,0.0,20.716204761904752,-17.388361904761904,3.3278428571428518,4.761904679673719e-06,9.52380946322202e-06,4.761904752165995e-06,-38.148361904761884,-27.22774285714228,4.761904754280706e-06,-9.52380955796105e-06,41.16495714285711,-3.777657142857143,0.0,-65.37610476190416,37.38729999999997,-27.98880476190421
4g,1,6,-21.839233333333308,-34.11171094095244,-25.56903333333331,-37.84151094095244,,,-27.95153333333331,-40.22401094095244,6.1123,6.1123,2.3825,2.3825,,4074.180747619047,3527.9516666666677,4063.8439809523807,-2416.7277571428567,-19219.87778095238,1219.1389476190477,11948.838285714286,-3689.0818190476175,135.51917437714286,3197.348090476191,-3553.5626446704755,-356.2145541942856,4039.508233333333,3460.9085619047623,4045.725214285715,-2375.045942857143,-19231.263166666664,1197.011685714286,12105.772400000002,-3700.411847619048,138.10558597714285,3242.6169857142854,-3562.3062616419047,-319.6892759276189,34.67250952380952,67.04310952380952,18.118761904761904,-2.672790476190476,38.318914285714285,22.127257142857143,-156.9341,-19.74498571428572,2.770061245714286,20.673661904761914,-16.97492446857143,3.698737436190484,4.761904766630616e-06,-4.761904711648142e-06,4.761904734909958e-06,-39.009023809523896,-26.93352857142848,4.761904767645676e-06,-1.4285714325437547e-05,31.075014285714225,-5.356472845714287,-65.94255238095238,25.71854143999994,-40.22401094095244,4074.180747619047,3527.9516666666677,4063.8439809523807,-2416.7277571428567,-19219.87778095238,1219.1389476190477,11948.838285714286,-3703.185390476191,81.69159047619047,0.0,3197.348090476191,-3621.4938,-424.1457095238094,4039.508233333333,3460.9085619047623,4045.725214285715,-2375.045942857143,-19231.263166666664,1197.011685714286,12105.772400000002,-3724.292380952381,82.8391238095238,0.0,3242.6169857142854,-3641.453257142857,-398.8362714285714,34.67250952380952,67.04310952380952,18.118761904761904,-2.672790476190476,38.318914285714285,22.127257142857143,-156.9341,-20.625128571428576,2.593566666666667,0.0,20.673661904761914,-18.031561904761908,2.642100000000007,4.761904766630616e-06,-4.761904711648142e-06,4.761904734909958e-06,-39.009023809523896,-26.93352857142848,4.761904767645676e-06,-1.4285714325437547e-05,41.732119047619065,-3.7411,0.0,-65.94255238095238,37.99101904761906,-27.95153333333331
4g,1,7,-15.262266666666722,-27.33221723809536,-22.073941666666723,-34.14389223809536,,,-27.53956666666672,-39.60951723809536,12.2773,12.2773,5.465624999999999,5.465624999999999,,4095.5090380952383,3524.181938095239,4063.138252380953,-2397.5132476190474,-19290.97734761905,1226.7883,11980.59861904762,-3655.108238095238,137.65377726857145,3201.725552380954,-3517.4544608266665,-315.7289084457136,4058.9933380952384,3455.201671428572,4044.3149904761895,-2357.5362428571425,-19301.515095238097,1204.488838095238,12137.272457142855,-3666.651676190476,140.23450340571426,3241.2199571428578,-3526.417172784761,-285.1972156419047,36.51570952380953,68.98025714285716,18.82325238095238,-2.2771238095238093,38.10112857142857,22.29945714285714,-156.67383333333336,-19.474871428571436,2.78383872,25.76884761904762,-16.69103270857143,9.077814910476196,-9.52380942617229e-06,9.523809627661908e-06,9.52380959382654e-06,-37.69988095238095,-27.563380952381035,4.761904775258634e-06,-4.7619048040186976e-06,31.01830952380949,-5.364564857142859,-65.263261904762,25.653744666666636,-39.60951723809536,4095.5090380952383,3524.181938095239,4063.138252380953,-2397.5132476190474,-19290.97734761905,1226.7883,11980.59861904762,-3675.564976190477,82.26078571428572,0.0,3201.725552380954,-3593.30419047619,-391.5786380952373,4058.9933380952384,3455.201671428572,4044.3149904761895,-2357.5362428571425,-19301.515095238097,1204.488838095238,12137.272457142855,-3696.7370619047615,83.40452857142857,0.0,3241.2199571428578,-3613.332533333333,-372.11257619047615,36.51570952380953,68.98025714285716,18.82325238095238,-2.2771238095238093,38.10112857142857,22.29945714285714,-156.67383333333336,-20.29477142857143,2.5994190476190475,0.0,25.76884761904762,-17.695352380952382,8.07349523809524,-9.52380942617229e-06,9.523809627661908e-06,9.52380959382654e-06,-37.69988095238095,-27.563380952381035,4.761904775258634e-06,-4.7619048040186976e-06,41.46685714285718,-3.743161904761903,0.0,-65.263261904762,37.72369523809526,-27.53956666666672
4g,1,8,-21.22191904761926,-32.71948474285732,-24.98329404761926,-36.48085974285732,,,-29.09391904761926,-40.59148474285732,7.872,7.872,4.110625000000001,4.110625000000001,,4051.7032190476193,3510.447685714285,4051.6892619047617,-2395.601176190476,-19292.031942857146,1230.313780952381,11963.450676190478,-3641.217333333333,138.87579695999997,3119.9715047619047,-3502.341536373333,-382.3700316114289,4015.617171428571,3443.1270142857143,4033.748095238095,-2354.8923952380947,-19303.14859047619,1208.027142857143,12119.966461904762,-3651.8735714285713,141.46664763428572,3162.4449,-3510.4069237942854,-347.96202379428564,36.08604761904762,67.32067142857143,17.94118095238095,-2.135333333333333,38.02144761904762,22.28662857142857,-156.5157761904762,-19.598323809523805,2.776948354285714,23.00486666666667,-16.821375455238094,6.183491211428573,-9.98143366901093e-15,-5.887354096297975e-14,-1.4285714296592896e-05,-38.573447619047634,-26.90480000000018,9.523809540705011e-06,-9.523809360362498e-06,30.254561904761925,-5.367799028571433,-65.4782476190478,24.88676287619049,-40.59148474285732,4051.7032190476193,3510.447685714285,4051.6892619047617,-2395.601176190476,-19292.031942857146,1230.313780952381,11963.450676190478,-3670.475133333333,82.90954761904763,0.0,3119.9715047619047,-3587.5655857142856,-467.5940809523813,4015.617171428571,3443.1270142857143,4033.748095238095,-2354.8923952380947,-19303.14859047619,1208.027142857143,12119.966461904762,-3690.067785714285,84.02988571428571,0.0,3162.4449,-3606.0379,-443.5929999999998,36.08604761904762,67.32067142857143,17.94118095238095,-2.135333333333333,38.02144761904762,22.28662857142857,-156.5157761904762,-20.51219523809524,2.600180952380952,0.0,23.00486666666667,-17.912014285714285,5.092852380952382,-9.98143366901093e-15,-5.887354096297975e-14,-1.4285714296592896e-05,-38.573447619047634,-26.90480000000018,9.523809540705011e-06,-9.523809360362498e-06,40.10484761904761,-3.720519047619048,0.0,-65.4782476190478,36.38432857142856,-29.09391904761926
4g,1,9,-18.509347619048057,-28.82602290666705,-26.00327261904805,-36.319947906667046,,,-30.235147619048057,-40.55182290666705,11.7258,11.7258,4.2318750000000005,4.2318750000000005,,4078.775090476191,3526.001647619048,4066.1912333333335,-2402.8131619047617,-19231.76444285714,1229.0150571428571,11965.18215714286,-3689.495138095238,136.55961648,3230.5875809523804,-3552.9355216152376,-322.34794066285747,4040.956561904763,3458.4996666666666,4047.883909523811,-2361.7713619047618,-19243.114580952377,1206.6325428571429,12122.146271428572,-3700.440161904762,139.1602371085715,3271.233009523809,-3561.2799247961907,-290.0469152723813,37.81853809523809,67.50195238095237,18.30733809523809,-2.369680952380953,38.35072380952381,22.38249523809524,-156.9641,-19.5605,2.784021325714286,25.02726666666666,-16.776478674285713,8.250787992380948,-9.523809499425862e-06,2.857142861771644e-05,-1.4285714231206048e-05,-38.67211904761908,-27.000585714286157,1.9047619067199168e-05,-1.4285714458072192e-05,30.50552380952389,-5.384641954285715,-65.67270476190522,25.12088185523817,-40.55182290666705,4078.775090476191,3526.001647619048,4066.1912333333335,-2402.8131619047617,-19231.76444285714,1229.0150571428571,11965.18215714286,-3710.6643190476193,81.95685238095237,0.0,3230.5875809523804,-3628.707466666667,-398.119885714286,4040.956561904763,3458.4996666666666,4047.883909523811,-2361.7713619047618,-19243.114580952377,1206.6325428571429,12122.146271428572,-3729.5956523809527,83.05943809523811,0.0,3271.233009523809,-3646.536214285714,-375.303204761905,37.81853809523809,67.50195238095237,18.30733809523809,-2.369680952380953,38.35072380952381,22.38249523809524,-156.9641,-20.214414285714284,2.605604761904761,0.0,25.02726666666666,-17.608809523809523,7.41845714285714,-9.523809499425862e-06,2.857142861771644e-05,-1.4285714231206048e-05,-38.67211904761908,-27.000585714286157,1.9047619067199168e-05,-1.4285714458072192e-05,39.14574761904767,-3.7081904761904783,0.0,-65.67270476190522,35.43755714285719,-30.235147619048057
4g,1,10,-18.777090476190157,-28.636178933332964,-23.714215476190155,-33.573303933332966,,,-29.386090476190155,-39.245178933332966,10.609,10.609,5.671875,5.671875,,4089.4359190476193,3525.0422428571424,4054.5752,-2387.7310904761903,-19266.56789523809,1228.3450333333333,11951.125442857145,-3663.192242857143,138.25084457142856,3194.2248523809512,-3524.9413982857145,-330.7165459047627,4055.750357142857,3458.9043571428574,4036.2866428571424,-2346.964823809524,-19278.135585714284,1206.2734095238095,12108.92121904762,-3674.129366666666,140.71686222857142,3241.035576190476,-3533.4125044380958,-292.37692824761973,33.685547619047625,66.13789047619048,18.288557142857144,-2.970052380952381,38.48256666666666,22.071638095238097,-157.79576190476192,-19.775233333333336,2.7804279428571426,17.900385714285715,-16.99480539047619,0.905580323809521,1.4285714306489744e-05,-4.761904769168268e-06,-7.477616409665816e-14,-37.79621428571428,-26.914876190475823,-1.4285714290925474e-05,-1.4285714325437547e-05,30.71235714285714,-5.246445600000003,-64.71109047619011,25.465911542857132,-39.245178933332966,4089.4359190476193,3525.0422428571424,4054.5752,-2387.7310904761903,-19266.56789523809,1228.3450333333333,11951.125442857145,-3691.4047190476185,82.52951904761905,0.0,3194.2248523809512,-3608.8752,-414.6503476190484,4055.750357142857,3458.9043571428574,4036.2866428571424,-2346.964823809524,-19278.135585714284,1206.2734095238095,12108.92121904762,-3709.74720952381,83.67139523809524,0.0,3241.035576190476,-3626.075814285714,-385.0402380952387,33.685547619047625,66.13789047619048,18.288557142857144,-2.970052380952381,38.48256666666666,22.071638095238097,-157.79576190476192,-20.722052380952377,2.5976666666666666,0.0,17.900385714285715,-18.12438571428571,-0.2240000000000026,1.4285714306489744e-05,-4.761904769168268e-06,-7.477616409665816e-14,-37.79621428571428,-26.914876190475823,-1.4285714290925474e-05,-1.4285714325437547e-05,39.0645428571428,-3.739542857142857,0.0,-64.71109047619011,35.32499999999994,-29.386090476190155
