name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
ligand-14,1,1,-7.509399999999985,-22.895598038095216,-31.94512499999999,-47.33132303809522,,,-40.75199999999999,-56.13819803809522,33.2426,33.2426,8.806875,8.806875,,1649.246119047619,2050.916376190476,1713.4293285714289,-1312.6426523809523,-12296.789780952382,701.7446,7922.344171428572,-1669.1551285714283,44.89476257142857,428.2481619047619,-1624.2603659999995,-1196.012204095238,1606.7854190476191,1854.100076190476,1617.677852380952,-1253.592523809524,-12136.05541904762,669.6772333333332,7895.001647619048,-1689.155509523809,46.83334409142857,253.59428571428572,-1642.3221654323809,-1388.727879718095,42.46070952380952,196.8162904761905,95.75148095238094,-4.093233333333332,-117.90235238095237,32.06737142857143,27.34252380952381,-28.068257142857146,4.479349851428571,272.44279047619045,-23.588907291428573,248.85388318476188,-9.523809544426905e-06,9.523809521418852e-06,-4.761904752588937e-06,-54.95689523809525,-42.83200952380951,-4.7619047652772e-06,-3.349701468583329e-14,48.06863809523809,-6.417931371428569,-97.78890476190476,41.65070672380952,-56.13819803809522,1649.246119047619,2050.916376190476,1713.4293285714289,-1312.6426523809523,-12296.789780952382,701.7446,7922.344171428572,-1694.9711476190475,37.8919238095238,0.0,428.2481619047619,-1657.0792238095237,-1228.831061904762,1606.7854190476191,1854.100076190476,1617.677852380952,-1253.592523809524,-12136.05541904762,669.6772333333332,7895.001647619048,-1724.4794333333332,38.63697142857142,0.0,253.59428571428572,-1685.842461904762,-1432.2481761904762,42.46070952380952,196.8162904761905,95.75148095238094,-4.093233333333332,-117.90235238095237,32.06737142857143,27.34252380952381,-32.19882857142858,3.9251619047619046,0.0,272.44279047619045,-28.273666666666664,244.16912380952377,-9.523809544426905e-06,9.523809521418852e-06,-4.761904752588937e-06,-54.95689523809525,-42.83200952380951,-4.7619047652772e-06,-3.349701468583329e-14,61.70711428571429,-4.670209523809523,0.0,-97.78890476190476,57.03690476190478,-40.75199999999999
ligand-14,1,2,-16.2765285714283,-30.20674183999972,-35.5282785714283,-49.45849183999972,,,-44.8795285714283,-58.80974183999973,28.603,28.603,9.35125,9.35125,,1646.6688285714288,2051.227647619048,1712.4467714285715,-1301.8938380952382,-12264.357466666666,704.1946047619049,7925.310561904763,-1706.9814333333331,45.01854905142857,473.5971095238096,-1661.9628842819047,-1188.365774758095,1601.9700476190476,1850.6075142857144,1616.5286095238096,-1244.4382428571428,-12096.208290476192,671.6142476190477,7897.8120714285715,-1729.8822285714286,46.94813862857142,297.88595714285725,-1682.934089942857,-1385.0481327999998,44.69879523809524,200.6201380952381,95.91814761904764,-3.597033333333334,-118.91658571428572,32.580352380952384,27.498476190476197,-27.8116,4.501395120000001,278.8022904761905,-23.31020488,255.49208559619044,-1.428571429109465e-05,-4.761904763416255e-06,1.4285714301076083e-05,-53.85856190476189,-49.23259047619023,4.761904740746559e-06,1.4285714264195532e-05,50.71239523809527,-6.430984697142857,-103.09115238095212,44.2814105409524,-58.80974183999973,1646.6688285714288,2051.227647619048,1712.4467714285715,-1301.8938380952382,-12264.357466666666,704.1946047619049,7925.310561904763,-1739.291895238095,38.034752380952376,0.0,473.5971095238096,-1701.257142857143,-1227.660033333333,1601.9700476190476,1850.6075142857144,1616.5286095238096,-1244.4382428571428,-12096.208290476192,671.6142476190477,7897.8120714285715,-1770.0587142857144,38.73361904761905,0.0,297.88595714285725,-1731.3250952380954,-1433.439138095238,44.69879523809524,200.6201380952381,95.91814761904764,-3.597033333333334,-118.91658571428572,32.580352380952384,27.498476190476197,-32.07850952380952,3.934838095238095,0.0,278.8022904761905,-28.143671428571423,250.658619047619,-1.428571429109465e-05,-4.761904763416255e-06,1.4285714301076083e-05,-53.85856190476189,-49.23259047619023,4.761904740746559e-06,1.4285714264195532e-05,62.8453285714286,-4.633704761904762,0.0,-103.09115238095212,58.21162380952381,-44.8795285714283
ligand-14,1,3,-16.061471428571295,-32.02386999619029,-32.39442142857129,-48.356819996190296,,,-40.618171428571294,-56.58056999619029,24.5567,24.5567,8.223749999999999,8.223749999999999,,1644.6588809523807,2059.6441,1713.5145619047616,-1312.064880952381,-12234.258076190476,697.059061904762,7942.433419047619,-1738.1903238095242,45.675081154285714,510.9870666666663,-1692.515242655238,-1181.5281759885715,1603.4007904761904,1859.688123809524,1619.101357142857,-1254.1870904761906,-12070.844671428573,665.7784666666666,7914.788523809524,-1758.5669095238095,47.63281652571428,337.72549999999984,-1710.9340929980951,-1373.2085929980954,41.25808571428571,199.95597142857144,94.41321428571428,-3.692957142857143,-118.21735714285714,31.28059047619048,27.6449,-28.85461904761905,4.473158434285715,272.64244761904763,-24.38146061333333,248.26098700571436,4.761904766461439e-06,4.761904758002597e-06,-9.523809509914828e-06,-54.18483333333331,-45.19604761904747,4.761904774581927e-06,-4.761904753603999e-06,49.23120476190477,-6.430893805714285,-99.3808809523808,42.800310956190486,-56.58056999619029,1644.6588809523807,2059.6441,1713.5145619047616,-1312.064880952381,-12234.258076190476,697.059061904762,7942.433419047619,-1755.4765761904755,37.97735714285715,0.0,510.9870666666663,-1717.4992190476194,-1206.5121523809528,1603.4007904761904,1859.688123809524,1619.101357142857,-1254.1870904761906,-12070.844671428573,665.7784666666666,7914.788523809524,-1785.7551142857144,38.69539047619047,0.0,337.72549999999984,-1747.0597238095236,-1409.3342238095242,41.25808571428571,199.95597142857144,94.41321428571428,-3.692957142857143,-118.21735714285714,31.28059047619048,27.6449,-33.128104761904765,3.925900000000001,0.0,272.64244761904763,-29.202204761904763,243.4402428571429,4.761904766461439e-06,4.761904758002597e-06,-9.523809509914828e-06,-54.18483333333331,-45.19604761904747,4.761904774581927e-06,-4.761904753603999e-06,63.406642857142806,-4.643933333333332,0.0,-99.3808809523808,58.76270952380949,-40.618171428571294
ligand-14,1,4,-15.92817619047618,-30.629003043809558,-38.44922619047618,-53.15005304380956,,,-45.03047619047618,-59.731303043809554,29.1023,29.1023,6.58125,6.58125,,1649.1381285714283,2047.0477619047624,1706.8267666666666,-1300.2701523809524,-12214.365923809524,699.3624285714286,7926.761595238096,-1751.3824285714284,45.49723302857143,514.5006047619049,-1705.8851955428572,-1191.3845907809523,1604.0226047619046,1848.762647619048,1612.2363619047617,-1242.4519619047617,-12048.325676190476,667.1783285714287,7899.370038095237,-1772.2833380952382,47.53410963428571,340.79234285714256,-1724.7492284609525,-1383.95688560381,45.11551428571428,198.28512380952384,94.59041904761904,-3.5471190476190477,-118.0021285714286,32.18409523809524,27.39154285714285,-28.20908571428571,4.495231200000001,276.0174476190476,-23.713854514285718,252.30359310476197,9.523809521080498e-06,-9.52380950382446e-06,-1.4285714285511814e-05,-54.27107142857145,-48.03811904761904,4.761904776273696e-06,1.4285714341678526e-05,49.10999523809522,-6.532107805714285,-102.30919047619048,42.57788743238095,-59.731303043809554,1649.1381285714283,2047.0477619047624,1706.8267666666666,-1300.2701523809524,-12214.365923809524,699.3624285714286,7926.761595238096,-1777.1156523809525,38.16021904761904,0.0,514.5006047619049,-1738.955433333333,-1224.4548285714282,1604.0226047619046,1848.762647619048,1612.2363619047617,-1242.4519619047617,-12048.325676190476,667.1783285714287,7899.370038095237,-1806.6278095238097,38.884814285714285,0.0,340.79234285714256,-1767.7429952380955,-1426.9506523809528,45.11551428571428,198.28512380952384,94.59041904761904,-3.5471190476190477,-118.0021285714286,32.18409523809524,27.39154285714285,-32.43431904761905,3.9431666666666674,0.0,276.0174476190476,-28.49115238095238,247.5262952380953,9.523809521080498e-06,-9.52380950382446e-06,-1.4285714285511814e-05,-54.27107142857145,-48.03811904761904,4.761904776273696e-06,1.4285714341678526e-05,61.94647619047623,-4.667761904761905,0.0,-102.30919047619048,57.27871428571432,-45.03047619047618
ligand-14,1,5,-8.872476190476,-25.397249398095084,-32.579051190475994,-49.103824398095085,,,-42.747176190476,-59.27194939809508,33.8747,33.8747,10.168125,10.168125,,1638.1929047619046,2053.9161047619045,1711.3765761904765,-1311.627838095238,-12262.95033809524,698.7563619047619,7933.742676190476,-1702.085580952381,45.09627946285714,461.40644761904775,-1656.9893014895238,-1195.5828538704764,1594.3032904761903,1856.6866047619053,1615.480738095238,-1252.8707523809524,-12095.601066666668,666.4927142857143,7905.6859047619055,-1723.919228571429,47.14717347428572,290.1774333333332,-1676.772055097143,-1386.5946217638095,43.889628571428574,197.22949523809524,95.89582857142857,-4.187219047619048,-119.1860761904762,32.263666666666666,28.05678571428572,-28.16913333333333,4.490774434285715,273.9621095238096,-23.67835889904762,250.28375062476192,-1.428571429380148e-05,4.761904766123085e-06,9.523809512621656e-06,-54.56986666666661,-48.16319523809513,-1.904761906296975e-05,-1.4285714266394833e-05,50.00278095238093,-6.5416684457142855,-102.73306190476173,43.461112506666645,-59.27194939809508,1638.1929047619046,2053.9161047619045,1711.3765761904765,-1311.627838095238,-12262.95033809524,698.7563619047619,7933.742676190476,-1723.7378095238098,38.056466666666665,0.0,461.40644761904775,-1685.6813428571425,-1224.2748952380953,1594.3032904761903,1856.6866047619053,1615.480738095238,-1252.8707523809524,-12095.601066666668,666.4927142857143,7905.6859047619055,-1755.693161904762,38.8591,0.0,290.1774333333332,-1716.834061904762,-1426.6566285714289,43.889628571428574,197.22949523809524,95.89582857142857,-4.187219047619048,-119.1860761904762,32.263666666666666,28.05678571428572,-32.762433333333334,3.929266666666667,0.0,273.9621095238096,-28.833166666666664,245.12894285714287,-1.428571429380148e-05,4.761904766123085e-06,9.523809512621656e-06,-54.56986666666661,-48.16319523809513,-1.904761906296975e-05,-1.4285714266394833e-05,64.71778571428574,-4.731900000000001,0.0,-102.73306190476173,59.985885714285736,-42.747176190476
ligand-14,1,6,-18.741723809523613,-34.7758278323808,-38.47814880952362,-54.5122528323808,,,-44.582523809523614,-60.6166278323808,25.8408,25.8408,6.104375,6.104375,,1641.4125238095237,2051.829685714286,1709.3303380952382,-1310.8999,-12272.286652380952,697.1314142857144,7928.307057142856,-1693.3989047619052,45.19048892571429,444.82446666666647,-1648.2084158361909,-1203.3839491695242,1598.5289666666667,1855.1698571428572,1613.5417333333337,-1252.5943238095238,-12103.158747619049,665.4710714285715,7901.425885714284,-1716.6348714285712,47.24566584,278.3844428571425,-1669.389205588571,-1391.0047627314286,42.88354285714286,196.65982380952377,95.7886,-3.643004761904762,-118.2514380952381,31.66035238095238,26.881171428571427,-28.242961904761906,4.501341394285714,271.9790476190476,-23.741620510476185,248.23742710857144,1.4285714270624251e-05,4.761904775596988e-06,4.761904794544794e-06,-54.66257142857143,-50.87646666666648,-9.523809544088547e-06,-7.697546304067752e-14,51.47892857142856,-6.55651830857143,-105.53903809523791,44.92241026285713,-60.6166278323808,1641.4125238095237,2051.829685714286,1709.3303380952382,-1310.8999,-12272.286652380952,697.1314142857144,7928.307057142856,-1717.6775476190476,37.915909523809525,0.0,444.82446666666647,-1679.761638095238,-1234.9371714285717,1598.5289666666667,1855.1698571428572,1613.5417333333337,-1252.5943238095238,-12103.158747619049,665.4710714285715,7901.425885714284,-1750.6187476190476,38.656638095238094,0.0,278.3844428571425,-1711.9621095238094,-1433.5776666666668,42.88354285714286,196.65982380952377,95.7886,-3.643004761904762,-118.2514380952381,31.66035238095238,26.881171428571427,-32.69284285714285,3.936799999999999,0.0,271.9790476190476,-28.756042857142862,243.2230047619048,1.4285714270624251e-05,4.761904775596988e-06,4.761904794544794e-06,-54.66257142857143,-50.87646666666648,-9.523809544088547e-06,-7.697546304067752e-14,65.63404285714286,-4.677528571428571,0.0,-105.53903809523791,60.95651428571431,-44.582523809523614
ligand-14,1,7,-13.128766666666664,-29.515461420952317,-33.20709166666666,-49.59378642095231,,,-40.97146666666666,-57.35816142095232,27.8427,27.8427,7.764375,7.764375,,1635.068561904762,2036.1500428571435,1713.727776190476,-1307.675719047619,-12234.327857142858,699.6686761904763,7941.929619047621,-1747.3076333333331,46.1187924,484.5410999999999,-1701.1888409333333,-1216.6477409333336,1595.136409523809,1839.7437380952383,1618.6483285714287,-1250.0246238095235,-12067.598233333332,667.6817095238096,7912.821652380951,-1769.9996619047618,48.111732617142856,316.4089809523807,-1721.8879292876193,-1405.4789483352386,39.932138095238095,196.40630952380957,95.07942857142858,-3.8381000000000007,-118.55674761904764,31.986966666666664,29.10798571428572,-28.4303761904762,4.501754537142856,270.1179809523809,-23.92862165333333,246.1893592990476,1.4285714284665931e-05,-4.761904749882108e-06,1.904761902659673e-05,-53.81299523809524,-48.17287619047616,7.951311566839217e-15,-1.9047619026765905e-05,51.1224047619048,-6.494694754285712,-101.9858714285714,44.62771000761908,-57.35816142095232,1635.068561904762,2036.1500428571435,1713.727776190476,-1307.675719047619,-12234.327857142858,699.6686761904763,7941.929619047621,-1772.8851333333334,38.41090952380953,0.0,484.5410999999999,-1734.4742238095237,-1249.9331238095235,1595.136409523809,1839.7437380952383,1618.6483285714287,-1250.0246238095235,-12067.598233333332,667.6817095238096,7912.821652380951,-1806.1688809523807,39.20728571428571,0.0,316.4089809523807,-1766.9615952380952,-1450.5526142857143,39.932138095238095,196.40630952380957,95.07942857142858,-3.8381000000000007,-118.55674761904764,31.986966666666664,29.10798571428572,-32.47256190476191,3.945528571428572,0.0,270.1179809523809,-28.52703333333333,241.5909476190476,1.4285714284665931e-05,-4.761904749882108e-06,1.904761902659673e-05,-53.81299523809524,-48.17287619047616,7.951311566839217e-15,-1.9047619026765905e-05,65.7563095238095,-4.741904761904762,0.0,-101.9858714285714,61.01440476190474,-40.97146666666666
ligand-14,1,8,-14.368952380952386,-28.51094792380957,-36.12990238095239,-50.271897923809576,,,-44.15365238095239,-58.295647923809575,29.7847,29.7847,8.02375,8.02375,,1633.2412047619048,2070.227680952381,1710.0688857142854,-1313.8300619047618,-12262.30051904762,697.7229761904762,7926.219657142858,-1696.256876190476,44.876278285714285,461.3498238095237,-1651.3805979047618,-1190.030774095238,1592.6067619047622,1871.342347619048,1615.3139190476193,-1257.9413,-12093.154028571427,665.5775857142858,7897.669466666668,-1719.0760285714289,46.96026918857143,291.4147523809521,-1672.115759382857,-1380.701007001905,40.63443809523809,198.8853238095238,94.75493809523812,-3.0965,-119.70511904761904,32.14539047619047,28.5502,-27.7022,4.499376068571428,272.1686714285714,-23.20282393142857,248.96584749714287,4.761904795559856e-06,9.523809487583484e-06,2.8571428571023628e-05,-52.79226190476191,-49.441371428571465,-8.120488408686859e-15,-9.523809519557907e-06,50.52135238095235,-6.58336697142857,-102.23363333333336,43.93798540952379,-58.295647923809575,1633.2412047619048,2070.227680952381,1710.0688857142854,-1313.8300619047618,-12262.30051904762,697.7229761904762,7926.219657142858,-1728.8939428571423,37.90058095238095,0.0,461.3498238095237,-1690.993361904762,-1229.643538095238,1592.6067619047622,1871.342347619048,1615.3139190476193,-1257.9413,-12093.154028571427,665.5775857142858,7897.669466666668,-1759.7719380952385,38.69533333333334,0.0,291.4147523809521,-1721.0766047619047,-1429.6618523809527,40.63443809523809,198.8853238095238,94.75493809523812,-3.0965,-119.70511904761904,32.14539047619047,28.5502,-31.93799523809524,3.9412571428571432,0.0,272.1686714285714,-27.9967380952381,244.17193333333333,4.761904795559856e-06,9.523809487583484e-06,2.8571428571023628e-05,-52.79226190476191,-49.441371428571465,-8.120488408686859e-15,-9.523809519557907e-06,62.815990476190485,-4.736009523809525,0.0,-102.23363333333336,58.07998095238097,-44.15365238095239
ligand-14,1,9,-29.347400000000157,-43.256268060952536,-36.56202500000016,-50.47089306095254,,,-42.58640000000016,-56.49526806095254,13.239,13.239,6.024375,6.024375,,1661.9489238095234,2058.4757476190475,1712.3869380952383,-1313.2285000000002,-12215.763604761903,704.3854857142857,7919.321319047619,-1734.4604285714283,44.747045965714285,527.5263095238095,-1689.713382605714,-1162.1870730819046,1618.788142857143,1857.8500952380955,1618.163476190476,-1256.1802666666665,-12049.657385714285,672.1298857142856,7891.2511904761905,-1756.620666666667,46.86172124571429,352.3451380952382,-1709.7589454209526,-1357.413807325714,43.16077142857143,200.62565714285716,94.22346190476188,-3.6296,-119.6510333333333,32.25558095238096,28.07012380952381,-27.83287142857143,4.499883257142857,275.05496190476185,-23.33298817142857,251.72197373333333,9.523809550517268e-06,-4.761904753942352e-06,4.53393936151683e-14,-53.41863333333337,-46.45518571428583,1.9047619044360297e-05,4.761904730934302e-06,49.99310952380951,-6.614558537142857,-99.8738190476192,43.37855098666666,-56.49526806095254,1661.9489238095234,2058.4757476190475,1712.3869380952383,-1313.2285000000002,-12215.763604761903,704.3854857142857,7919.321319047619,-1769.2081857142855,38.06797619047619,0.0,527.5263095238095,-1731.1402095238095,-1203.6139,1618.788142857143,1857.8500952380955,1618.163476190476,-1256.1802666666665,-12049.657385714285,672.1298857142856,7891.2511904761905,-1799.059933333333,38.866614285714284,0.0,352.3451380952382,-1760.1933190476188,-1407.848180952381,43.16077142857143,200.62565714285716,94.22346190476188,-3.6296,-119.6510333333333,32.25558095238096,28.07012380952381,-32.17839047619048,3.944080952380952,0.0,275.05496190476185,-28.234309523809525,246.8206523809524,9.523809550517268e-06,-4.761904753942352e-06,4.53393936151683e-14,-53.41863333333337,-46.45518571428583,1.9047619044360297e-05,4.761904730934302e-06,62.0301380952381,-4.742719047619048,0.0,-99.8738190476192,57.28741904761905,-42.58640000000016
ligand-14,1,10,-18.37194285714289,-33.19433447238102,-36.940567857142895,-51.76295947238103,,,-45.49994285714289,-60.32233447238102,27.128,27.128,8.559375,8.559375,,1647.7020904761905,2066.4969142857144,1712.2795190476193,-1314.9317904761906,-12209.991914285716,697.0518142857144,7918.836261904762,-1742.8265238095237,45.532807337142856,517.4428952380955,-1697.293716472381,-1179.8508212342856,1605.0231714285717,1869.6587333333332,1616.2024714285717,-1254.8061,-12041.503666666667,665.2119761904763,7889.559233333335,-1765.6191666666668,47.72111814857143,349.3458190476192,-1717.8980485180953,-1368.552229470476,42.67893333333333,196.83817619047625,96.07704761904763,-4.365071428571429,-118.8639,31.83982857142856,29.27703333333333,-28.93921428571428,4.4809141371428565,273.4820476190476,-24.458300148571432,249.0237474704762,-1.4285714275868735e-05,4.7619046916852745e-06,-3.383536836952858e-15,-55.76061904761906,-49.62434761904766,9.523809510591537e-06,-4.761904877103093e-06,51.73185714285714,-6.66922494857143,-105.38496666666671,45.06263219428571,-60.32233447238102,1647.7020904761905,2066.4969142857144,1712.2795190476193,-1314.9317904761906,-12209.991914285716,697.0518142857144,7918.836261904762,-1771.9372428571428,38.22783333333333,0.0,517.4428952380955,-1733.709409523809,-1216.2665142857145,1605.0231714285717,1869.6587333333332,1616.2024714285717,-1254.8061,-12041.503666666667,665.2119761904763,7889.559233333335,-1803.163723809524,39.07910476190476,0.0,349.3458190476192,-1764.084619047619,-1414.7388,42.67893333333333,196.83817619047625,96.07704761904763,-4.365071428571429,-118.8639,31.83982857142856,29.27703333333333,-33.43951904761906,3.929704761904761,0.0,273.4820476190476,-29.509814285714285,243.97223333333332,-1.4285714275868735e-05,4.7619046916852745e-06,-3.383536836952858e-15,-55.76061904761906,-49.62434761904766,9.523809510591537e-06,-4.761904877103093e-06,64.66600000000001,-4.780976190476191,0.0,-105.38496666666671,59.88502380952385,-45.49994285714289
