name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
ligand-14,1,1,13.944133333333184,-0.5817299466668047,-36.11266666666681,-50.6385299466668,,,-41.01766666666681,-55.5435299466668,54.9618,54.9618,4.904999999999999,4.904999999999999,,1642.1068190476192,2004.1111428571423,1643.2303285714286,-1305.6374999999998,-12281.038090476191,698.9780619047617,7898.11048095238,-1676.9381761904765,45.01526232,299.8612428571426,-1631.9229138704763,-1332.0616710133338,1599.675485714286,1861.9663666666663,1619.8550666666667,-1247.0166380952382,-12123.05654761905,668.2362476190476,7878.423304761904,-1695.198342857143,46.75409903999999,258.0832857142858,-1648.444243817143,-1390.3609581028572,42.431314285714286,142.14479047619048,23.375271428571427,-5.950833333333335,-111.50901904761903,30.74182380952381,19.687180952380952,-31.56926190476191,4.491569417142857,140.92052857142858,-27.07769248761905,113.84283608380952,1.9047619058740328e-05,-1.428571428957206e-05,-9.523809535291353e-06,-52.670028571428574,-46.47252380952399,-9.523809504162814e-06,-4.761904897150549e-06,49.82942857142861,-6.2304061371428565,-99.14255238095257,43.59902243428574,-55.5435299466668,1642.1068190476192,2004.1111428571423,1643.2303285714286,-1305.6374999999998,-12281.038090476191,698.9780619047617,7898.11048095238,-1705.3735666666669,37.92436190476191,0.0,299.8612428571426,-1667.4492047619046,-1367.587961904762,1599.675485714286,1861.9663666666663,1619.8550666666667,-1247.0166380952382,-12123.05654761905,668.2362476190476,7878.423304761904,-1732.3409809523807,38.57982380952381,0.0,258.0832857142858,-1693.7611571428574,-1435.6778714285715,42.431314285714286,142.14479047619048,23.375271428571427,-5.950833333333335,-111.50901904761903,30.74182380952381,19.687180952380952,-35.74910476190476,3.936171428571429,0.0,140.92052857142858,-31.812933333333334,109.10759523809524,1.9047619058740328e-05,-1.428571428957206e-05,-9.523809535291353e-06,-52.670028571428574,-46.47252380952399,-9.523809504162814e-06,-4.761904897150549e-06,62.71651904761908,-4.591633333333334,0.0,-99.14255238095257,58.12488571428573,-41.01766666666681
ligand-14,1,2,-21.062404761904848,-35.40337980952394,-37.59540476190485,-51.93637980952394,,,-39.70040476190485,-54.04137980952394,18.638,18.638,2.105,2.105,,1640.4439857142856,1998.2167095238096,1635.6914142857145,-1306.8497285714282,-12238.158195238097,703.2868714285714,7901.628066666667,-1718.8373523809523,45.24919858285715,334.2591238095237,-1673.5881537980954,-1339.3290299885716,1596.1803285714286,1855.0631428571423,1612.2861666666668,-1247.732376190476,-12083.617142857142,671.7639428571428,7880.091361904762,-1734.7100666666663,47.208264411428566,284.03542380952376,-1687.5018022552383,-1403.466378445714,44.263666666666666,143.15356666666668,23.40524285714286,-6.451671428571428,-111.83034285714284,31.522914285714283,21.536700000000003,-31.91793809523809,4.496575885714286,145.6000761904762,-27.42136220952381,118.17871398095237,-9.523809509068942e-06,-1.3534147347811431e-14,4.761904769675798e-06,-52.665680952380974,-42.71070952380962,1.4285714295662425e-05,4.761904729919241e-06,47.79065238095237,-6.455641714285713,-95.37639047619058,41.33501066666666,-54.04137980952394,1640.4439857142856,1998.2167095238096,1635.6914142857145,-1306.8497285714282,-12238.158195238097,703.2868714285714,7901.628066666667,-1744.9583904761903,37.98992857142856,0.0,334.2591238095237,-1706.968461904762,-1372.709338095238,1596.1803285714286,1855.0631428571423,1612.2861666666668,-1247.732376190476,-12083.617142857142,671.7639428571428,7880.091361904762,-1769.2830714285712,38.845257142857136,0.0,284.03542380952376,-1730.4378142857147,-1446.4023904761907,44.263666666666666,143.15356666666668,23.40524285714286,-6.451671428571428,-111.83034285714284,31.522914285714283,21.536700000000003,-36.14503333333334,3.938400000000001,0.0,145.6000761904762,-32.20663333333333,113.39344285714284,-9.523809509068942e-06,-1.3534147347811431e-14,4.761904769675798e-06,-52.665680952380974,-42.71070952380962,1.4285714295662425e-05,4.761904729919241e-06,60.46971428571432,-4.793728571428571,0.0,-95.37639047619058,55.675985714285744,-39.70040476190485
ligand-14,1,3,-16.684390476190025,-31.140549843809097,-42.549965476190025,-57.0061248438091,,,-47.35559047619002,-61.811749843809096,30.6712,30.6712,4.805625,4.805625,,1645.374885714286,1994.3986809523808,1637.0078571428571,-1309.7182761904762,-12216.77843809524,697.9522285714285,7896.765999999999,-1726.3561333333332,44.80761819428571,345.0029380952384,-1681.5485151390478,-1336.545577043809,1600.0223619047615,1852.1135,1614.7605285714287,-1248.0205904761906,-12051.729304761906,666.5730476190477,7875.217180952382,-1748.924580952381,46.95333390857142,308.93672380952347,-1701.9712470438094,-1393.034523234286,45.35252857142856,142.28518571428572,22.24732380952381,-5.872914285714286,-110.46091904761906,31.379176190476187,21.54882857142857,-32.69282857142857,4.514324605714286,146.47920952380952,-28.178503965714288,118.30070555809527,-4.761904750558815e-06,-4.7619047701833295e-06,4.761904750558815e-06,-55.824771428571424,-54.58821428571388,4.76190475191223e-06,-9.523809608206571e-06,55.26127619047622,-6.660040319999999,-110.41298571428533,48.60123587047621,-61.811749843809096,1645.374885714286,1994.3986809523808,1637.0078571428571,-1309.7182761904762,-12216.77843809524,697.9522285714285,7896.765999999999,-1752.9493809523813,37.91109523809524,0.0,345.0029380952384,-1715.0382857142856,-1370.0353476190471,1600.0223619047615,1852.1135,1614.7605285714287,-1248.0205904761906,-12051.729304761906,666.5730476190477,7875.217180952382,-1783.7382523809526,38.72603333333334,0.0,308.93672380952347,-1745.012219047619,-1436.0754952380953,45.35252857142856,142.28518571428572,22.24732380952381,-5.872914285714286,-110.46091904761906,31.379176190476187,21.54882857142857,-37.05085238095238,3.967390476190476,0.0,146.47920952380952,-33.0834619047619,113.39574761904764,-4.761904750558815e-06,-4.7619047701833295e-06,4.761904750558815e-06,-55.824771428571424,-54.58821428571388,4.76190475191223e-06,-9.523809608206571e-06,67.83972380952385,-4.782328571428572,0.0,-110.41298571428533,63.05739523809526,-47.35559047619002
ligand-14,1,4,-10.145461904761966,-24.360358956190503,-35.48291190476196,-49.6978089561905,,,-43.30166190476197,-57.5165589561905,33.1562,33.1562,7.81875,7.81875,,1649.127080952381,1985.305114285714,1628.6604428571427,-1311.583961904762,-12233.58565714286,698.3566238095239,7904.263042857143,-1712.2546809523808,44.97318161142857,320.54268571428554,-1667.2814993409522,-1346.7388136266668,1605.1916666666668,1845.5369285714287,1606.648438095238,-1251.3988904761904,-12073.762276190477,667.3850619047618,7882.86298095238,-1731.7321238095233,46.966057371428576,282.46390952380926,-1684.766066438095,-1402.302156914286,43.935409523809525,139.7681666666667,22.012,-5.784185714285714,-111.61428095238097,30.97154761904762,21.400061904761905,-32.069709523809514,4.460849862857142,140.6887190476191,-27.60885966095238,113.07985938666666,4.7619047766120495e-06,1.9047619029980263e-05,4.761904769168268e-06,-54.400885714285714,-48.20910000000005,1.4285714283820049e-05,-1.084423556243391e-13,51.54715238095241,-6.453725622857141,-102.60998571428574,45.09342675809527,-57.5165589561905,1649.127080952381,1985.305114285714,1628.6604428571427,-1311.583961904762,-12233.58565714286,698.3566238095239,7904.263042857143,-1732.9136904761904,37.66980952380951,0.0,320.54268571428554,-1695.2438809523806,-1374.7011952380958,1605.1916666666668,1845.5369285714287,1606.648438095238,-1251.3988904761904,-12073.762276190477,667.3850619047618,7882.86298095238,-1760.519957142857,38.40816666666666,0.0,282.46390952380926,-1722.1117904761904,-1439.6478809523812,43.935409523809525,139.7681666666667,22.012,-5.784185714285714,-111.61428095238097,30.97154761904762,21.400061904761905,-36.347161904761904,3.9067476190476182,0.0,140.6887190476191,-32.44041428571428,108.24830476190476,4.7619047766120495e-06,1.9047619029980263e-05,4.761904769168268e-06,-54.400885714285714,-48.20910000000005,1.4285714283820049e-05,-1.084423556243391e-13,63.95342857142856,-4.645104761904762,0.0,-102.60998571428574,59.308323809523806,-43.30166190476197
ligand-14,1,5,-20.03442857142858,-34.15413646476193,-40.70015357142858,-54.81986146476193,,,-44.87702857142858,-58.99673646476193,24.8426,24.8426,4.176875000000001,4.176875000000001,,1636.9708857142855,1986.9620571428568,1637.2679285714285,-1307.479823809524,-12222.436171428571,701.537657142857,7903.904009523809,-1730.1330428571428,44.78580202285714,336.72654285714304,-1685.3472408342857,-1348.6206979771428,1592.652466666667,1845.291119047619,1613.6659571428568,-1247.1384761904762,-12058.85425714286,670.9859523809523,7883.207423809525,-1751.728019047619,46.87009014857143,299.8101857142859,-1704.8579288990477,-1405.0477431847617,44.31843333333333,141.67093333333335,23.60197619047619,-6.156414285714285,-112.4900238095238,30.5517,20.696576190476183,-31.272185714285715,4.502786434285714,142.19318095238094,-26.769399280000005,115.42378167238095,-1.4285714298538432e-05,4.761904750558815e-06,-4.761904795052325e-06,-54.184933333333326,-51.091890476190464,4.761904759694365e-06,9.523809538505712e-06,52.86716190476188,-6.587074560000001,-105.2768238095238,46.280087344761874,-58.99673646476193,1636.9708857142855,1986.9620571428568,1637.2679285714285,-1307.479823809524,-12222.436171428571,701.537657142857,7903.904009523809,-1754.766157142857,37.681042857142856,0.0,336.72654285714304,-1717.0851142857143,-1380.3585714285714,1592.652466666667,1845.291119047619,1613.6659571428568,-1247.1384761904762,-12058.85425714286,670.9859523809523,7883.207423809525,-1784.3870904761902,38.478633333333335,0.0,299.8101857142859,-1745.908457142857,-1446.0982714285713,44.31843333333333,141.67093333333335,23.60197619047619,-6.156414285714285,-112.4900238095238,30.5517,20.696576190476183,-35.52670952380952,3.950257142857144,0.0,142.19318095238094,-31.576452380952382,110.61672857142857,-1.4285714298538432e-05,4.761904750558815e-06,-4.761904795052325e-06,-54.184933333333326,-51.091890476190464,4.761904759694365e-06,9.523809538505712e-06,65.14764285714284,-4.74784761904762,0.0,-105.2768238095238,60.399795238095216,-44.87702857142858
ligand-14,1,6,-23.82640476190475,-38.415893847619046,-40.73625476190475,-55.32574384761905,,,-46.12750476190475,-60.71699384761905,22.3011,22.3011,5.39125,5.39125,,1629.324566666667,1989.0551285714284,1633.2991571428568,-1317.786238095238,-12221.80868095238,699.9750142857142,7902.697609523809,-1725.9562142857142,44.01675699428572,314.75655714285733,-1681.9394572914284,-1367.182900148571,1585.5977904761908,1849.5695952380952,1609.7035761904758,-1257.7235952380952,-12054.509723809526,668.273480952381,7879.817771428572,-1748.0149476190477,46.12556708571428,280.7288952380951,-1701.8893805333337,-1421.1604852952385,43.72679523809524,139.48552380952384,23.595561904761905,-5.7543952380952375,-114.9508857142857,31.701552380952386,22.87982857142857,-30.473880952380952,4.484478994285714,140.68398095238098,-25.98940195809524,114.69457899428572,-1.904761903234874e-05,9.523809525479096e-06,1.9047619037593225e-05,-54.30824761904765,-52.3480714285714,-1.9047619040807583e-05,9.523809522264737e-06,52.532614285714274,-6.593289085714283,-106.65631904761906,45.9393252,-60.71699384761905,1629.324566666667,1989.0551285714284,1633.2991571428568,-1317.786238095238,-12221.80868095238,699.9750142857142,7902.697609523809,-1744.2018666666663,37.249904761904766,0.0,314.75655714285733,-1706.951961904762,-1392.195404761905,1585.5977904761908,1849.5695952380952,1609.7035761904758,-1257.7235952380952,-12054.509723809526,668.273480952381,7879.817771428572,-1774.441185714286,38.01647142857142,0.0,280.7288952380951,-1736.4247142857143,-1455.6958190476191,43.72679523809524,139.48552380952384,23.595561904761905,-5.7543952380952375,-114.9508857142857,31.701552380952386,22.87982857142857,-34.9855619047619,3.9295,0.0,140.68398095238098,-31.056061904761908,109.62791904761905,-1.904761903234874e-05,9.523809525479096e-06,1.9047619037593225e-05,-54.30824761904765,-52.3480714285714,-1.9047619040807583e-05,9.523809522264737e-06,65.22488095238097,-4.696066666666667,0.0,-106.65631904761906,60.5288142857143,-46.12750476190475
ligand-14,1,7,-25.505852380952632,-41.103147737143054,-37.36947738095263,-52.96677273714305,,,-41.90885238095263,-57.50614773714305,16.403,16.403,4.539375,4.539375,,1652.9843952380952,2004.4606285714283,1634.589923809524,-1315.513404761905,-12234.074147619049,701.7620952380953,7913.734276190475,-1718.4063142857146,44.25633030857143,357.94376666666625,-1674.1499839771427,-1316.2062173104762,1608.5583571428572,1863.0253285714284,1610.7827761904766,-1254.0340380952382,-12075.495709523808,670.0476,7892.245866666666,-1737.5430809523812,46.23064607999999,315.13018095238084,-1691.312434872381,-1376.1822539200002,44.42602857142856,141.43529523809525,23.807152380952385,-5.802609523809523,-113.0106619047619,31.714490476190477,21.488409523809526,-31.057638095238094,4.481703394285713,144.05810476190476,-26.575934700952377,117.4821700609524,9.523809521080498e-06,4.76190473905479e-06,-4.761904761047779e-06,-55.676757142857134,-45.56777619047643,4.761904785070892e-06,2.9521358902413695e-14,50.19440476190479,-6.456019165714286,-101.24453333333356,43.7383855961905,-57.50614773714305,1652.9843952380952,2004.4606285714283,1634.589923809524,-1315.513404761905,-12234.074147619049,701.7620952380953,7913.734276190475,-1739.0774142857138,37.27108095238095,0.0,357.94376666666625,-1701.8063333333332,-1343.8625666666671,1608.5583571428572,1863.0253285714284,1610.7827761904766,-1254.0340380952382,-12075.495709523808,670.0476,7892.245866666666,-1767.5571761904762,37.98649047619048,0.0,315.13018095238084,-1729.5706857142854,-1414.4405047619048,44.42602857142856,141.43529523809525,23.807152380952385,-5.802609523809523,-113.0106619047619,31.714490476190477,21.488409523809526,-35.50197142857143,3.930642857142857,0.0,144.05810476190476,-31.57132857142857,112.4867761904762,9.523809521080498e-06,4.76190473905479e-06,-4.761904761047779e-06,-55.676757142857134,-45.56777619047643,4.761904785070892e-06,2.9521358902413695e-14,63.98173333333332,-4.64605238095238,0.0,-101.24453333333356,59.335680952380926,-41.90885238095263
ligand-14,1,8,-21.538399999999896,-35.88640305142843,-38.5801749999999,-52.92817805142843,,,-46.565799999999896,-60.91380305142843,25.0274,25.0274,7.985625,7.985625,,1639.6986333333334,1999.877223809524,1631.079738095238,-1302.3408333333334,-12194.485066666666,701.1582904761904,7909.755185714284,-1761.4362952380957,45.400975851428576,384.74317142857154,-1716.0353193866667,-1331.292147958095,1594.8278857142857,1861.0543047619049,1608.5811142857142,-1242.1110904761904,-12027.913695238096,669.6366142857144,7887.560152380953,-1784.0880904761905,47.54328144,351.6352857142857,-1736.5448090361904,-1384.9095233219048,44.87075238095238,138.8229238095238,22.498619047619048,-6.1551857142857145,-110.49844285714286,31.52168095238096,22.19503333333333,-33.222347619047625,4.498154605714286,143.25538095238093,-28.72419301333333,114.53118793904764,-4.761904766461439e-06,-4.761904744468449e-06,4.761904738716437e-06,-54.074557142857145,-56.07292857142846,-4.761904773397689e-06,-9.338561669989889e-14,55.874142857142864,-6.640460194285713,-110.1474857142856,49.23368266285715,-60.91380305142843,1639.6986333333334,1999.877223809524,1631.079738095238,-1302.3408333333334,-12194.485066666666,701.1582904761904,7909.755185714284,-1783.1909380952382,37.96119047619048,0.0,384.74317142857154,-1745.2297476190474,-1360.486576190476,1594.8278857142857,1861.0543047619049,1608.5811142857142,-1242.1110904761904,-12027.913695238096,669.6366142857144,7887.560152380953,-1813.6447,38.7436,0.0,351.6352857142857,-1774.9011,-1423.2658142857142,44.87075238095238,138.8229238095238,22.498619047619048,-6.1551857142857145,-110.49844285714286,31.52168095238096,22.19503333333333,-37.86010952380952,3.949776190476191,0.0,143.25538095238093,-33.91033333333333,109.34504761904762,-4.761904766461439e-06,-4.761904744468449e-06,4.761904738716437e-06,-54.074557142857145,-56.07292857142846,-4.761904773397689e-06,-9.338561669989889e-14,68.3138714285714,-4.732185714285714,0.0,-110.1474857142856,63.5816857142857,-46.565799999999896
ligand-14,1,9,-11.560295238095216,-25.44516990095237,-41.27279523809521,-55.15766990095237,,,-47.357795238095214,-61.24266990095237,35.7975,35.7975,6.085,6.085,,1644.799885714286,2004.0134619047617,1636.1924285714288,-1305.563204761905,-12197.535076190476,699.6182952380952,7905.165471428571,-1758.0585333333331,44.675710765714285,386.6912619047617,-1713.3828225676189,-1326.691560662857,1600.3541714285716,1864.1683190476192,1613.5323428571432,-1245.070261904762,-12032.770609523808,668.8030047619047,7883.137995238096,-1779.470561904762,46.73185868571428,352.15496190476205,-1732.7387032190477,-1380.5837413142854,44.44571428571428,139.84516190476194,22.660085714285717,-5.851495238095238,-110.3971857142857,30.815261904761904,22.027466666666665,-32.893061904761915,4.482883885714285,143.5450095238095,-28.410178019047617,115.13483150476192,-1.4887562082592576e-14,-1.9047619038100757e-05,1.7086861026611932e-14,-54.6414476190476,-54.36728095238093,2.8571428569331863e-05,9.523809534614646e-06,54.30509047619047,-6.539031805714286,-109.00872857142856,47.76605867047617,-61.24266990095237,1644.799885714286,2004.0134619047617,1636.1924285714288,-1305.563204761905,-12197.535076190476,699.6182952380952,7905.165471428571,-1783.9055238095236,37.64369047619047,0.0,386.6912619047617,-1746.2618333333337,-1359.5705714285716,1600.3541714285716,1864.1683190476192,1613.5323428571432,-1245.070261904762,-12032.770609523808,668.8030047619047,7883.137995238096,-1812.9122095238092,38.3599619047619,0.0,352.15496190476205,-1774.5522476190474,-1422.3972857142858,44.44571428571428,139.84516190476194,22.660085714285717,-5.851495238095238,-110.3971857142857,30.815261904761904,22.027466666666665,-37.29439523809524,3.933876190476192,0.0,143.5450095238095,-33.36051904761905,110.18449047619048,-1.4887562082592576e-14,-1.9047619038100757e-05,1.7086861026611932e-14,-54.6414476190476,-54.36728095238093,2.8571428569331863e-05,9.523809534614646e-06,66.30108095238094,-4.65014761904762,0.0,-109.00872857142856,61.65093333333333,-47.357795238095214
ligand-14,1,10,-12.84866190476194,-26.156279760000025,-35.10876190476194,-48.41637976000003,,,-46.10376190476194,-59.41137976000002,33.2551,33.2551,10.995,10.995,,1640.043447619048,2002.7108333333333,1647.3603523809525,-1310.310119047619,-12230.111271428572,696.6668095238097,7893.812419047619,-1719.372223809524,44.09954002285714,340.17247142857093,-1675.272683786667,-1335.100212358096,1596.790038095238,1859.6767190476196,1624.813519047619,-1249.5073809523808,-12065.704828571428,665.8444523809524,7872.221719047618,-1741.3138380952382,46.19235949714286,304.13423809523795,-1695.121478598095,-1390.9872405028575,43.25339047619047,143.0341238095238,22.54682857142857,-6.271585714285715,-113.8970285714286,30.822357142857147,21.59070952380952,-30.273266666666668,4.492874571428572,141.0787952380952,-25.780392095238096,115.29840314285713,1.904761904740548e-05,-9.523809518712025e-06,4.76190479691327e-06,-54.53115238095236,-50.50941428571435,1.0658141036401504e-14,-9.523809651346666e-06,52.214880952380966,-6.585694045714287,-105.04056666666672,45.62918690666668,-59.41137976000002,1640.043447619048,2002.7108333333333,1647.3603523809525,-1310.310119047619,-12230.111271428572,696.6668095238097,7893.812419047619,-1745.1442666666671,37.421723809523805,0.0,340.17247142857093,-1707.7225428571428,-1367.550071428572,1596.790038095238,1859.6767190476196,1624.813519047619,-1249.5073809523808,-12065.704828571428,665.8444523809524,7872.221719047618,-1774.2859142857144,38.16849047619048,0.0,304.13423809523795,-1736.117423809524,-1431.983185714286,43.25339047619047,143.0341238095238,22.54682857142857,-6.271585714285715,-113.8970285714286,30.822357142857147,21.59070952380952,-34.48132857142857,3.9394047619047616,0.0,141.0787952380952,-30.541923809523816,110.5368714285714,1.904761904740548e-05,-9.523809518712025e-06,4.76190479691327e-06,-54.53115238095236,-50.50941428571435,1.0658141036401504e-14,-9.523809651346666e-06,63.62297619047621,-4.686171428571431,0.0,-105.04056666666672,58.93680476190476,-46.10376190476194
