,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,OA-G0,1,-13.254857253778908,-79.23129492983234,2.736866300838468,-2.7242157807027887,83.03907884049822,-13.278696142262625,-79.36806176167336,2.9708798128001694,-2.606387316213047,83.02672201928503,-6.6175895149952115,0.04461252742800209,0.06741462491773986,0.03442893037641233,0.031127295905029256,0.038635137364132224,0.05158193945538251,0.0793176911076392,0.04024107049554374,0.034731038486030125,0.05153802434496351
1,OA-G0,2,-12.762881856634117,-80.33385350900032,2.659152342853474,-2.7350582031713695,82.8020999120519,-12.730513835814902,-80.2229510044383,2.9127871476991563,-2.6397311133737547,82.74981421331422,-6.613833847661292,0.053061273233678895,0.06387835445841882,0.034203063118511394,0.0314427507598537,0.06687255453531578,0.06651568637283918,0.07547836314966634,0.039022300812299196,0.03432305960209918,0.0706750640297198
2,OA-G0,3,-13.407903992271818,-79.78288719028906,2.3916209394487207,-2.7826539758919795,82.91580644881546,-13.396198920869328,-79.78084534211857,2.6623520576223223,-2.6156719635902332,82.90015509530781,-6.591311622644757,0.049638158368714345,0.06758624899260947,0.03374153816556457,0.03345973850324952,0.07422297644310057,0.056841368593545986,0.07408907206367335,0.04049415525796026,0.04216040695812472,0.07994479367693613
3,OA-G1,1,-12.095450398911321,-99.39023586718376,3.396998662497332,-1.4784790456652879,101.59835905283362,-12.08795320484546,-99.44144982925795,3.5697981896342097,-1.3718674274697407,101.6449558781655,-6.922873537804364,0.0459188350022786,0.029314236466356444,0.027166737540338378,0.02825927624223302,0.02603918719961511,0.055416959591361135,0.029419890126582367,0.03233595276895466,0.028723790093124507,0.026000514292054876
4,OA-G1,2,-10.139222473355042,-99.68334173173633,4.967084760759255,-1.4624166645630945,101.63914017239716,-10.068141063519917,-99.74394216056798,5.199879073593603,-1.3458703571508621,101.6847268989819,-6.653791466235224,0.04947738262535497,0.027354702895515615,0.03613058677332804,0.029036682748748894,0.025797861227944748,0.056980481676669206,0.027386727842342543,0.03972455259180226,0.02959575922046964,0.025860077456413104
5,OA-G1,3,-11.703920897176799,-99.50560478120663,3.6676983661048275,-1.540159561211734,101.62733863358575,-11.780379898051923,-99.57382895421767,3.8830804947170945,-1.4300616372612018,101.67223339186593,-6.713275051844916,0.05112608049517091,0.030216744868573467,0.02707834139091892,0.028256878399791983,0.02580083262012251,0.05840656470447471,0.030463877931235898,0.033385498977053354,0.028866049228110247,0.025830033554546272
6,OA-G2,1,-14.27249364886713,-106.12894632653432,2.7512210935785975,-2.8305570727228395,107.21191326780455,-14.350150150392738,-106.17650014983872,3.1109883456487486,-2.799534586347911,107.25902397914858,-6.746214764588399,0.05837752289828958,0.02555287768574307,0.03195222319578885,0.038016373236945754,0.02504535860026896,0.06761131287245367,0.025622451032472328,0.04033129633704369,0.04325113257621093,0.024985981225552203
7,OA-G2,2,-15.670806828251463,-106.19495754563339,2.178564403597666,-2.844432647696597,107.27623524227666,-15.70461156345129,-106.2391673962804,2.895039251896957,-2.7718687452347095,107.32317689424998,-7.240577852771917,0.05787007694118754,0.0256813202786097,0.041868972436608615,0.0431627473194461,0.02525565339291084,0.06683344700283946,0.025793208355391263,0.05173276343598853,0.048508062250330324,0.025306564554488677
8,OA-G2,3,-13.51755325371094,-106.10658318631076,3.412225355673761,-2.899239576600235,107.20139064287375,-13.396942525261952,-106.15690917124621,3.6197315609357084,-2.776152479907606,107.24962858109114,-6.821580331729466,0.06526669967253501,0.025963725314972756,0.03820249095197716,0.04111718184640083,0.025014805367353923,0.07720905097318025,0.026257148005450377,0.0409617517953303,0.04434353490886171,0.024994009107190306
9,OA-G3,1,-12.708065190092746,-95.06033430460025,3.3567261916435247,-2.1074621721145657,98.70091662366691,-12.554194767308243,-95.11914904143255,3.4923670127365884,-2.015069446966171,98.754500271324,-6.72319918917995,0.04091480480224208,0.03397755139078868,0.02832295218299392,0.02800441808257218,0.027036545764602377,0.04696690382063123,0.03421871222474257,0.036024246092477126,0.028745650432218956,0.027012680038332137
10,OA-G3,2,-12.88774271462538,-95.26717710873359,2.527870126156682,-2.0801614019761843,98.73490535788551,-12.902346988671415,-95.33457645242042,2.695342589358306,-1.9993942845048356,98.78397059861871,-6.688796810627189,0.05052611862306344,0.03361114608921792,0.02836751107451873,0.027252709596541774,0.02596618258384229,0.05653950637198687,0.033812609764352346,0.03492960869879966,0.027782207699737077,0.025940566747122976
11,OA-G3,3,-11.208389149801334,-95.1682092812582,4.111191147596283,-2.1046114582489848,98.71240466871721,-11.232815245782739,-95.13157039411668,4.25423060297944,-2.0105950134291124,98.76292631934187,-6.6146816364031835,0.047957140559717185,0.04636990993139577,0.026194646903046792,0.027933266988481587,0.02682441334280657,0.055133863642193914,0.05532289887226813,0.03055468085317196,0.028750522371390513,0.026851641697402975
12,OA-G4,1,-10.66902598393871,-68.31053446778724,2.7633501421666287,-6.377865912754981,71.11555342450959,-10.605222433980364,-68.21182933954026,3.0702806239948934,-6.2657711985985,71.12843887762729,-6.748982497849983,0.06632705147982389,0.08221674601818475,0.033076110737016,0.037107024825653215,0.04561225127395752,0.07578508127577652,0.10101011109429926,0.040964202058784524,0.03683952824510329,0.0608021221389677
13,OA-G4,2,-10.495113304486635,-68.66928636464256,2.496649033725534,-6.349117908971744,70.49101729855897,-10.500077178862995,-68.67010727757349,2.6914156955796624,-6.223328182223611,70.73368182498538,-6.714757392809411,0.06532347011446295,0.07180199163402032,0.025429243247298214,0.03917118905203886,0.056401038387706375,0.07093135406154964,0.08478274181973704,0.0344942951514824,0.03841309661923374,0.09243970054275459
14,OA-G4,3,-10.786284561814814,-68.95344377774376,2.343347617738051,-6.258186793744804,71.112232087477,-10.616158179860724,-69.18225142215846,2.6826808080908395,-6.150130132242259,71.21083648151085,-6.7618093233254175,0.06209571310863681,0.0772729351954007,0.029225090178907096,0.0383184228027668,0.08359060841184736,0.07693583776935457,0.10095097643637738,0.04220134863432007,0.03781574237121981,0.09537093225820754
15,OA-G5,1,-11.301416148367155,-93.48138743114119,2.596633485045781,-2.8681957151322015,97.6183201116089,-11.171018442810956,-93.33991641878328,2.812447618582126,-2.777634173136373,97.66193062278774,-6.780811253518231,0.047362604918781026,0.09210686411622776,0.02995915934249254,0.028662431053020646,0.02859441769642346,0.05592009613985105,0.10317128268386451,0.03498043955127691,0.02964803119421912,0.0285135606888623
16,OA-G5,2,-10.914459122679737,-94.24127002947883,2.908993213338182,-2.848017144643124,97.62188788173212,-10.963697208042902,-94.404890558651,3.1030230532052467,-2.7591110270370094,97.66449328780159,-6.664997000951556,0.048405108633058753,0.07717644856400917,0.031815356412737555,0.028625501420314666,0.028359422096082897,0.05431781085940541,0.09278852435270475,0.03768637252355868,0.029795431942413332,0.028440824109909085
17,OA-G5,3,-9.650389511349335,-95.97820539736436,2.4051811696592513,-2.9141163593171266,97.72241492034183,-9.677408841648697,-95.94603330070993,2.5954756921598467,-2.833878268836267,97.76386179468453,-6.979413740199638,0.04747656205030105,0.09522082874441781,0.02659588587865442,0.028120877439351332,0.029514630628259406,0.053276229601678896,0.10129291025607666,0.03445009541662926,0.029603244711653497,0.029489036174808265
18,OA-G6,1,-9.374781299319345,-100.386748468933,3.744090360626505,-2.7084939452759635,101.75673403908844,-9.284556509444183,-100.43701093388151,4.181758736811447,-2.606730423247749,101.8040689177301,-6.6470021962463814,0.049758943373105526,0.030460212315632368,0.038395891463335864,0.030108102751731137,0.02633992653852654,0.05975654341323106,0.030535918221704705,0.05263185925869169,0.03075106607193951,0.026368389407538367
19,OA-G6,2,-10.058759004590073,-99.65257850435567,3.8485074778594774,-2.658400308491564,101.72657446078972,-10.065149068509038,-99.7114157408342,4.582132446470112,-2.5631700132308373,101.77260621984246,-6.420228332359365,0.049806038945314664,0.03137933415117048,0.047537242794779846,0.02868012012154904,0.026338928290208462,0.05712674359358253,0.03146979208456461,0.06758348221796512,0.029034106877154443,0.026349286592981698
20,OA-G6,3,-10.582152072808672,-99.04282118119879,3.359032190799109,-2.6677917585407633,101.81295348369493,-10.525207992101816,-99.10916344129933,3.605413070815561,-2.5833070346434184,101.86144971811028,-6.666910930413491,0.05123523669534216,0.031894782009470206,0.027168537387676935,0.030151247076783377,0.02687369587258989,0.060976575935795085,0.03312456353347543,0.04009566278911458,0.030658417887019875,0.026851397887694223
