,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,lig_27,1,-16.543631109357925,-120.82409046326696,1.7373301106651544,-1.1825439983177066,126.33870945585362,-16.498768298312022,-120.83276176969625,1.8110947633306318,-1.066309734344722,126.37246171284083,-6.995392791176948,0.10350096507335077,0.09878322399684786,0.01932260301475236,0.06841029298561527,0.0482417911072156,0.10696297055275487,0.10563554147476681,0.023683878770564937,0.06221232854390394,0.05614896475887761
1,lig_27,2,-15.669367365349222,-121.40613657776562,1.6267330668767352,-1.2820075332380791,126.27756197521812,-15.571916237973628,-121.32740712755071,1.6778540396047505,-1.1662311459199326,126.29338972902443,-7.009648060775615,0.10267876576288959,0.09390344759820343,0.02147454114535539,0.06910757534694834,0.04716349370219762,0.10646569986647964,0.09808476873481475,0.024565861023688323,0.06319871727091629,0.05428741668558089
2,lig_27,3,-17.41773460328388,-119.34617096582683,1.2055343879110678,-1.3403085671456538,126.25845384782147,-17.648351521423503,-119.31492283665122,1.303364742460058,-1.2445556866400023,126.31956330927858,-6.556394464993388,0.10173368344296234,0.08512113542713441,0.017392890503300267,0.07954835571774173,0.04873814408764351,0.10997615947254792,0.09352421106226225,0.022268512062931654,0.07607769115041291,0.053842079796040325
3,lig_28,1,-12.389650750375395,-131.11639865516997,1.7008912591587424,-2.0631369632484153,133.76017997473255,-12.533652069331485,-130.8402780833888,2.8749687245110533,-2.0491830864600304,133.8058683007633,-6.511265389919072,0.105611772400527,0.09466603158155909,0.025324673741097148,0.11223281946854194,0.03999961281041158,0.1087189967785689,0.10737531540850842,0.1011749997363315,0.11084750968982654,0.05024013586835448
4,lig_28,2,-15.436153776668547,-124.9170928693838,1.441397518423904,-1.9491768696334848,133.82644952898377,-15.169810542249134,-124.99340186491865,1.5763103925704878,-1.8644253644328757,133.87488007124867,-6.624522349876425,0.10762023470023539,0.11355847517752203,0.019042858793661115,0.11639980037274068,0.041400421604770275,0.11465013813447575,0.11552209736715197,0.03105062112903748,0.10921493132335774,0.043743904618336285
5,lig_28,3,-15.02272966488267,-126.01558809127312,1.8635646181728347,-2.121292432859991,133.7509546781414,-14.922075034317338,-126.15552050653366,2.03816122527786,-2.1031571827088116,133.7442699095426,-6.618108528959614,0.10877090696404587,0.11339097656147078,0.018923707373840304,0.10665313969072368,0.04113835586344718,0.11824698776104615,0.11020416750046486,0.022936590637657506,0.11052886303780765,0.04301665080595458
6,lig_30,1,-18.0778388516743,-114.34713575867522,1.3030507181193047,-0.956768881048302,120.31736067623362,-17.91521147378849,-114.09808080448828,1.7799312347237923,-0.8621741290816303,120.32757028855897,-6.775321294703504,0.10107834719289586,0.09767465245456222,0.023916574138625402,0.0951497536030865,0.045906546455305924,0.10855003903014475,0.10176364790235606,0.050248716900935006,0.08416495067400806,0.05237862710843308
7,lig_30,2,-14.022305116560903,-116.41557379556455,1.3842111214519588,-1.2708608893102407,120.0762393526306,-14.287968530259896,-116.5153792391368,1.509050252404895,-1.173288201537317,120.16562502949128,-6.5627255704288485,0.1054449191745464,0.0973113874741061,0.02188088542708633,0.08029132164396965,0.05282957163373536,0.10870911581825324,0.10075384296553581,0.02845754480075539,0.07487585767413811,0.05620064171607989
8,lig_30,3,-19.583455900508547,-114.90452921728085,0.6613643144051534,-0.9047867448045148,120.05904493021748,-19.726001500728856,-114.96665893745238,0.6996732400744202,-0.8689082213932298,120.08309916817188,-6.856808569084847,0.10535579889112179,0.06581810028709004,0.0026577596400421967,0.08812005236761336,0.05621180258513318,0.1063503679770767,0.0724845765415644,0.004859010799194287,0.08603604916423185,0.061529434513626816
9,lig_31,1,-14.966043282195024,-144.53302304475378,1.8249708257599764,-1.587786862296277,147.98197046615306,-14.949183400536118,-144.6394660223086,1.8755899038013837,-1.5269355600554233,147.94210211811588,-6.408401340054998,0.11346876960946635,0.10587502883289139,0.02094038077221798,0.08156656182774961,0.06769996882283796,0.11718819432975931,0.10898357371569292,0.02307569268377777,0.07794733862736941,0.07352282638292566
10,lig_31,2,-16.765015144999115,-144.16989042646645,1.2996598148125456,-1.7838933627108198,148.0131649071119,-16.58705372288711,-144.22820581234745,1.6067382302559774,-1.6217177271938674,148.067396086419,-6.886523150504862,0.10776438374209449,0.097541365188607,0.01911859552993608,0.09716315476643403,0.05115865399429182,0.11718810584212698,0.0984986076605627,0.04698989354182966,0.08675373185361204,0.058901900544334015
11,lig_31,3,-15.54896407408025,-143.73800493331274,2.0606839211794723,-1.6531843749943353,148.178409267868,-15.505709019587856,-143.7177045736692,2.197491188072546,-1.6353304138108855,148.10622056580442,-6.925347714272831,0.11423099681150983,0.10213483961422057,0.022564467999211503,0.09223987951748605,0.043607354035250866,0.12052300390665498,0.10692400263537351,0.02780540276372106,0.08613440038489417,0.05551944143605492
12,lig_32,1,-16.493373894055186,-122.27023789269047,1.6006300775612212,-0.9260077300461395,126.89035771321258,-16.312165961193227,-122.26748386943807,1.6903344651936725,-0.9177161583779113,126.92843675901997,-6.218278023609509,0.10132308490034453,0.08115021080397454,0.015400905884069302,0.08614689217835127,0.04723843299821752,0.11016683079818648,0.0877650904593236,0.017906023202468632,0.08240541360492631,0.05036278403965109
