name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_27,1,1,-3.5515904761903414,-8.487644777142712,-26.45121547619034,-31.387269777142716,,,-37.01559047619034,-41.95164477714271,33.464,33.464,10.564375,10.564375,,1619.5931238095238,1992.2408714285716,2054.461223809524,-1204.5821523809525,-10457.857552380952,680.1907571428573,4840.288561904762,-1863.4329238095236,69.47192386285715,-475.6651666666669,-1793.9609999466663,-2269.6261666133337,1594.3953285714288,1814.8436095238092,2005.876838095238,-1159.400980952381,-10242.420328571428,663.8423761904762,4722.57869047619,-1928.546123809524,71.70067728000001,-600.2844666666668,-1856.845446529524,-2457.129913196191,25.197823809523804,177.3972619047619,48.58438095238095,-3.6161761904761898,-81.8767380952381,16.348390476190474,117.70985714285716,-73.36078095238095,3.07139136,299.74479999999994,-70.28938959238093,229.45541040761907,-2.8571428600629574e-05,-2.1654635756498293e-14,4.761904747513632e-06,-41.56499523809522,-133.56048571428556,-9.523809516851078e-06,1.4285714278068034e-05,138.47398095238094,-5.300144777142858,-175.1254809523808,133.1738361752381,-41.95164477714271,1619.5931238095238,1992.2408714285716,2054.461223809524,-1204.5821523809525,-10457.857552380952,680.1907571428573,4840.288561904762,-1935.5114380952384,43.30318571428571,0.0,-475.6651666666669,-1892.208252380952,-2367.87341904762,1594.3953285714288,1814.8436095238092,2005.876838095238,-1159.400980952381,-10242.420328571428,663.8423761904762,4722.57869047619,-2003.458490476191,44.12974761904762,0.0,-600.2844666666668,-1959.3287428571427,-2559.61320952381,25.197823809523804,177.3972619047619,48.58438095238095,-3.6161761904761898,-81.8767380952381,16.348390476190474,117.70985714285716,-73.6169857142857,2.6275857142857144,0.0,299.74479999999994,-70.98939999999999,228.7554,-2.8571428600629574e-05,-2.1654635756498293e-14,4.761904747513632e-06,-41.56499523809522,-133.56048571428556,-9.523809516851078e-06,1.4285714278068034e-05,141.56403809523812,-3.4541476190476184,0.0,-175.1254809523808,138.10989047619046,-37.01559047619034
lig_27,1,2,14.65974761904772,10.960809139047797,-29.02237738095228,-32.7213158609522,,,-36.37925238095228,-40.078190860952205,51.039,51.039,7.356875,7.356875,,1619.8522571428573,1978.5288761904765,2066.4345285714285,-1207.8291809523812,-10490.156438095237,682.3249285714287,4835.82230952381,-1831.6680285714283,68.93310044571429,-515.022719047619,-1762.734928125714,-2277.7576471733328,1592.8027857142858,1801.927195238095,2016.4353619047613,-1164.8396047619049,-10273.961804761904,666.4580476190475,4719.109014285716,-1898.2109666666668,71.17908445714286,-642.069004761905,-1827.031882209524,-2469.1008869714287,27.049476190476195,176.60168095238097,49.9991619047619,-3.891585714285714,-79.30182857142857,15.866890476190475,116.71330476190477,-74.67093333333332,3.05528304,303.0371,-71.61565029333333,231.42144970666664,-4.761904718246039e-06,-1.4887562082592576e-14,4.761904732964424e-06,-39.09799047619047,-136.8928047619046,-9.523809516005194e-06,-9.52380949096702e-06,141.21387142857148,-5.301267051428571,-175.99079523809516,135.91260437714286,-40.078190860952205,1619.8522571428573,1978.5288761904765,2066.4345285714285,-1207.8291809523812,-10490.156438095237,682.3249285714287,4835.82230952381,-1899.3724714285715,42.67672857142856,0.0,-515.022719047619,-1856.6957428571432,-2371.7184619047616,1592.8027857142858,1801.927195238095,2016.4353619047613,-1164.8396047619049,-10273.961804761904,666.4580476190475,4719.109014285716,-1967.581095238096,43.43984761904762,0.0,-642.069004761905,-1924.141247619048,-2566.210252380952,27.049476190476195,176.60168095238097,49.9991619047619,-3.891585714285714,-79.30182857142857,15.866890476190475,116.71330476190477,-74.79074285714286,2.624704761904762,0.0,303.0371,-72.16603809523811,230.87106190476183,-4.761904718246039e-06,-1.4887562082592576e-14,4.761904732964424e-06,-39.09799047619047,-136.8928047619046,-9.523809516005194e-06,-9.52380949096702e-06,142.99936666666665,-3.387823809523812,0.0,-175.99079523809516,139.61154285714284,-36.37925238095228
lig_27,1,3,-1.503023809523974,-6.249659580952546,-26.17837380952397,-30.925009580952544,,,-36.12712380952397,-40.873759580952544,34.6241,34.6241,9.94875,9.94875,,1618.3005428571428,1974.9411904761905,2071.802314285715,-1202.439742857143,-10452.459685714286,681.9265380952381,4832.387119047619,-1866.290785714286,70.93893154285713,-475.5417238095238,-1795.3518541714286,-2270.893577980952,1589.393961904762,1799.9574666666665,2022.496628571428,-1157.645142857143,-10240.11498095238,666.4906952380952,4715.3395714285725,-1929.794723809524,73.15894803428571,-604.0818,-1856.6357757752385,-2460.717575775237,28.906557142857142,174.98371904761905,49.30569523809523,-3.663095238095238,-79.88778571428571,15.435838095238092,117.04754285714286,-74.49981904761904,3.069076422857143,302.12847142857146,-71.43074262476189,230.69772880380947,2.3809523785445208e-05,4.7619047742435735e-06,-9.523809459161776e-06,-41.13150476190481,-132.45691904761918,4.761904761386133e-06,4.761904832440407e-06,138.00375714285715,-5.28909291428571,-173.588423809524,132.71466422857145,-40.873759580952544,1618.3005428571428,1974.9411904761905,2071.802314285715,-1202.439742857143,-10452.459685714286,681.9265380952381,4832.387119047619,-1937.8820285714285,43.57102380952381,0.0,-475.5417238095238,-1894.3110047619048,-2369.852728571428,1589.393961904762,1799.9574666666665,2022.496628571428,-1157.645142857143,-10240.11498095238,666.4906952380952,4715.3395714285725,-2004.163347619048,44.395338095238095,0.0,-604.0818,-1959.7680095238093,-2563.849809523809,28.906557142857142,174.98371904761905,49.30569523809523,-3.663095238095238,-79.88778571428571,15.435838095238092,117.04754285714286,-74.63324285714286,2.628947619047619,0.0,302.12847142857146,-72.00429523809524,230.12417619047616,2.3809523785445208e-05,4.7619047742435735e-06,-9.523809459161776e-06,-41.13150476190481,-132.45691904761918,4.761904761386133e-06,4.761904832440407e-06,140.91456190476194,-3.4532619047619035,0.0,-173.588423809524,137.4613,-36.12712380952397
lig_27,1,4,-6.318800000000028,-10.55352696380952,-29.693100000000022,-33.92782696380952,,,-35.92310000000003,-40.15782696380952,29.6043,29.6043,6.23,6.23,,1605.7324095238098,1991.543680952381,2061.080680952381,-1202.8289857142856,-10411.928780952385,683.0878095238096,4819.667271428571,-1883.29899047619,70.63871396571429,-453.6459142857143,-1812.6602765104765,-2266.306190796191,1578.9607238095236,1814.859980952381,2012.750195238095,-1159.241176190476,-10195.23218095238,667.374957142857,4701.871161904762,-1949.9317380952375,72.81004512,-578.6563380952384,-1877.121692975238,-2455.778031070477,26.7717,176.68369523809525,48.33047142857143,-3.690819047619047,-80.79278095238095,15.71285238095238,117.79610952380952,-74.27078095238096,3.0892148571428573,300.8112285714286,-71.18156609523808,229.62966247619045,-1.4285714260981172e-05,4.761904762062841e-06,1.4285714340325112e-05,-39.89699047619048,-135.9038190476191,2.3684757858670005e-15,2.0301221021717152e-14,140.90352857142858,-5.260546011428571,-175.80080952380953,135.64298256000004,-40.15782696380952,1605.7324095238098,1991.543680952381,2061.080680952381,-1202.8289857142856,-10411.928780952385,683.0878095238096,4819.667271428571,-1961.3502095238096,43.95391904761906,0.0,-453.6459142857143,-1917.3962904761904,-2371.0422047619045,1578.9607238095236,1814.859980952381,2012.750195238095,-1159.241176190476,-10195.23218095238,667.374957142857,4701.871161904762,-2030.110523809524,44.753747619047616,0.0,-578.6563380952384,-1985.356776190476,-2564.0131142857144,26.7717,176.68369523809525,48.33047142857143,-3.690819047619047,-80.79278095238095,15.71285238095238,117.79610952380952,-74.55259047619047,2.635366666666666,0.0,300.8112285714286,-71.9172238095238,228.8940047619047,-1.4285714260981172e-05,4.761904762062841e-06,1.4285714340325112e-05,-39.89699047619048,-135.9038190476191,2.3684757858670005e-15,2.0301221021717152e-14,143.31290476190475,-3.435195238095237,0.0,-175.80080952380953,139.87770952380947,-35.92310000000003
lig_27,1,5,47.66274761904753,43.11337364190465,-21.473502380952475,-26.022876358095356,,,-35.02225238095247,-39.57162635809535,82.685,82.685,13.54875,13.54875,,1609.810485714286,1981.2727857142856,2065.158657142857,-1211.911519047619,-10409.33618095238,674.8381095238096,4814.7507380952375,-1883.475866666667,70.45953538285711,-475.4169238095239,-1813.0163312838097,-2288.433255093333,1584.6030142857144,1804.7181904761903,2015.261747619048,-1167.5188666666666,-10212.125,658.9530904761904,4698.130209523811,-1931.948480952381,72.59088161142859,-617.9776142857144,-1859.357599340952,-2477.3352136266662,25.20746666666667,176.55457142857145,49.8969,-4.3293333333333335,-80.29029999999999,15.885028571428572,116.6205380952381,-74.12183333333333,3.0505277485714286,299.5448714285714,-71.0713055847619,228.4735658438095,4.7619047508971694e-06,2.380952382384835e-05,9.523809589427942e-06,-40.06331904761903,-116.92088095238108,-9.523809515920604e-06,-9.523809643902886e-06,122.5944476190476,-5.181873977142856,-156.98420000000007,117.41257364190476,-39.57162635809535,1609.810485714286,1981.2727857142856,2065.158657142857,-1211.911519047619,-10409.33618095238,674.8381095238096,4814.7507380952375,-1953.7027952380956,43.73812857142858,0.0,-475.4169238095239,-1909.9646666666667,-2385.3815904761905,1584.6030142857144,1804.7181904761903,2015.261747619048,-1167.5188666666666,-10212.125,658.9530904761904,4698.130209523811,-2004.9435761904765,44.52431904761904,0.0,-617.9776142857144,-1960.419257142857,-2578.396871428572,25.20746666666667,176.55457142857145,49.8969,-4.3293333333333335,-80.29029999999999,15.885028571428572,116.6205380952381,-74.11357619047618,2.606219047619047,0.0,299.5448714285714,-71.50735714285715,228.03751428571428,4.7619047508971694e-06,2.380952382384835e-05,9.523809589427942e-06,-40.06331904761903,-116.92088095238108,-9.523809515920604e-06,-9.523809643902886e-06,125.35435714285715,-3.392409523809524,0.0,-156.98420000000007,121.9619476190476,-35.02225238095247
lig_27,1,6,-10.969914285714315,-16.130793192380928,-29.37728928571432,-34.53816819238093,,,-35.23791428571432,-40.39879319238093,24.268,24.268,5.860625000000001,5.860625000000001,,1615.9439761904762,1993.438895238095,2063.50691904762,-1209.3007047619046,-10417.338852380952,679.7826857142858,4855.739057142858,-1910.737685714286,69.87075089142856,-418.2280238095237,-1840.866934822857,-2259.0949586323813,1589.3547047619047,1817.0496857142855,2015.0249714285717,-1165.777961904762,-10210.32189047619,664.1209047619047,4738.220619047618,-1967.792561904762,72.14958339428571,-552.3289666666666,-1895.642978510476,-2447.971945177143,26.589266666666667,176.38919523809523,48.48194285714286,-3.2868142857142857,-81.7502238095238,15.661795238095236,117.5184476190476,-73.39650952380951,3.068679737142857,299.6036095238095,-70.32782978666667,229.27577973714284,4.761904754449883e-06,1.428571424829291e-05,4.761904768153207e-06,-40.23592857142855,-125.26673809523813,-1.4285714288218643e-05,-9.52380947540275e-06,130.45138571428575,-5.347512239999998,-165.50266666666667,125.10387347428576,-40.39879319238093,1615.9439761904762,1993.438895238095,2063.50691904762,-1209.3007047619046,-10417.338852380952,679.7826857142858,4855.739057142858,-1977.090257142857,43.49380952380952,0.0,-418.2280238095237,-1933.5964476190477,-2351.824471428571,1589.3547047619047,1817.0496857142855,2015.0249714285717,-1165.777961904762,-10210.32189047619,664.1209047619047,4738.220619047618,-2037.0030380952385,44.31177142857142,0.0,-552.3289666666666,-1992.6912666666672,-2545.020233333333,26.589266666666667,176.38919523809523,48.48194285714286,-3.2868142857142857,-81.7502238095238,15.661795238095236,117.5184476190476,-73.7927095238095,2.6227761904761904,0.0,299.6036095238095,-71.16993333333335,228.43367619047615,4.761904754449883e-06,1.428571424829291e-05,4.761904768153207e-06,-40.23592857142855,-125.26673809523813,-1.4285714288218643e-05,-9.52380947540275e-06,133.70549047619045,-3.4407380952380966,0.0,-165.50266666666667,130.26475238095233,-35.23791428571432
lig_27,1,7,12.521752380952478,8.23301368380961,-25.01027261904752,-29.299011316190388,,,-36.40714761904752,-40.69588631619039,48.9289,48.9289,11.396875,11.396875,,1610.7384857142858,1990.0061714285712,2073.0622380952377,-1212.4364095238095,-10447.259928571428,680.850961904762,4847.862819047619,-1890.410209523809,70.33110260571429,-457.175661904762,-1820.0791069180957,-2277.254768822857,1583.2958428571426,1811.400133333333,2024.500814285714,-1168.2476380952382,-10232.22976666667,664.5858571428571,4728.053233333333,-1953.1328714285717,72.53551213714287,-588.6415238095241,-1880.5973592914288,-2469.2388831009525,27.442633333333333,178.60603333333333,48.56142857142857,-3.982261904761904,-83.59363809523809,16.265109523809524,119.80958095238095,-73.51209523809526,3.0832005942857146,303.10888571428575,-70.42889464380951,232.67999107047612,9.523809510422355e-06,4.76190479048455e-06,-4.7619047952215015e-06,-40.20650952380949,-131.43652380952375,-4.76190475301188e-06,4.7619047573258895e-06,136.2347571428571,-5.287610125714288,-171.64303333333325,130.94714701714287,-40.69588631619039,1610.7384857142858,1990.0061714285712,2073.0622380952377,-1212.4364095238095,-10447.259928571428,680.850961904762,4847.862819047619,-1961.0280809523804,43.602757142857136,0.0,-457.175661904762,-1917.425323809524,-2374.600985714286,1583.2958428571426,1811.400133333333,2024.500814285714,-1168.2476380952382,-10232.22976666667,664.5858571428571,4728.053233333333,-2025.808823809524,44.40387142857142,0.0,-588.6415238095241,-1981.4049523809524,-2570.046476190477,27.442633333333333,178.60603333333333,48.56142857142857,-3.982261904761904,-83.59363809523809,16.265109523809524,119.80958095238095,-73.88791904761906,2.6316619047619048,0.0,303.10888571428575,-71.25625714285715,231.85262857142865,9.523809510422355e-06,4.76190479048455e-06,-4.7619047952215015e-06,-40.20650952380949,-131.43652380952375,-4.76190475301188e-06,4.7619047573258895e-06,138.66866190476188,-3.432776190476191,0.0,-171.64303333333325,135.23588571428567,-36.40714761904752
lig_27,1,8,12.174685714285609,6.367385897142768,-22.871589285714396,-28.678889102857237,,,-36.3147142857144,-42.12201410285724,48.4894,48.4894,13.443125,13.443125,,1608.1752523809523,1976.7346619047617,2068.625923809524,-1206.6055761904763,-10495.692066666665,676.324619047619,4843.011252380953,-1834.389780952381,69.8801275542857,-529.4259333333333,-1764.5096533980952,-2293.935586731428,1580.0078238095236,1799.0551714285716,2020.5193380952376,-1161.9237523809525,-10284.054757142856,660.6948761904762,4724.682461904762,-1894.755314285714,72.19728260571428,-661.0188380952383,-1822.55803168,-2483.576869775238,28.167414285714283,177.67949047619044,48.10657619047619,-3.7890904761904767,-81.26129047619047,15.62974761904762,118.32880476190472,-74.18800476190476,3.089644765714285,302.8616523809524,-71.09835999619048,231.76329238476188,1.4285714300399375e-05,2.8421709430404014e-14,9.523809512283302e-06,-40.89273333333336,-130.3760190476191,-4.761904766884381e-06,-1.4285714249646323e-05,134.55353809523814,-5.406799817142856,-171.2687523809525,129.14673827809526,-42.12201410285724,1608.1752523809523,1976.7346619047617,2068.625923809524,-1206.6055761904763,-10495.692066666665,676.324619047619,4843.011252380953,-1903.998,43.27078095238095,0.0,-529.4259333333333,-1860.7272190476187,-2390.1531523809526,1580.0078238095236,1799.0551714285716,2020.5193380952376,-1161.9237523809525,-10284.054757142856,660.6948761904762,4724.682461904762,-1967.8682523809528,44.11770476190476,0.0,-661.0188380952383,-1923.750547619048,-2584.7693857142863,28.167414285714283,177.67949047619044,48.10657619047619,-3.7890904761904767,-81.26129047619047,15.62974761904762,118.32880476190472,-74.5732761904762,2.6425666666666663,0.0,302.8616523809524,-71.93070952380953,230.9309428571428,1.4285714300399375e-05,2.8421709430404014e-14,9.523809512283302e-06,-40.89273333333336,-130.3760190476191,-4.761904766884381e-06,-1.4285714249646323e-05,138.4435285714286,-3.4894904761904764,0.0,-171.2687523809525,134.95403809523813,-36.3147142857144
lig_27,1,9,33.03460952380995,27.860583977143317,-23.894040476190053,-29.068066022856687,,,-35.93029047619005,-41.104316022856686,68.9649,68.9649,12.03625,12.03625,,1614.6746523809522,1991.194447619048,2071.4426571428576,-1209.4837285714286,-10452.63001904762,681.9414952380952,4848.220723809523,-1875.7857142857144,70.00806771428572,-454.6397714285714,-1805.777646571428,-2260.417418,1588.6527809523811,1814.5613666666668,2021.2493238095235,-1165.121780952381,-10244.840347619049,665.9672285714287,4730.674509523809,-1933.687323809524,72.28101613714287,-588.8569190476194,-1861.4063076723808,-2450.26322672,26.021861904761906,176.63307142857138,50.1933380952381,-3.7397476190476175,-80.18872857142857,15.974280952380957,117.54620476190476,-74.56890476190476,3.0787390285714284,302.440280952381,-71.49016573333333,230.9501152190476,9.52380950179434e-06,9.523809563374708e-06,-4.761904775258634e-06,-40.6222,-127.60094285714244,-1.4285714289910412e-05,9.523809497734097e-06,132.47051428571427,-5.351687451428573,-168.22314285714242,127.11882683428568,-41.104316022856686,1614.6746523809522,1991.194447619048,2071.4426571428576,-1209.4837285714286,-10452.63001904762,681.9414952380952,4848.220723809523,-1942.0168380952384,43.50935238095239,0.0,-454.6397714285714,-1898.5074857142856,-2353.147257142857,1588.6527809523811,1814.5613666666668,2021.2493238095235,-1165.121780952381,-10244.840347619049,665.9672285714287,4730.674509523809,-2002.9796333333331,44.3287761904762,0.0,-588.8569190476194,-1958.6508571428571,-2547.5077761904763,26.021861904761906,176.63307142857138,50.1933380952381,-3.7397476190476175,-80.18872857142857,15.974280952380957,117.54620476190476,-74.79099523809523,2.641514285714285,0.0,302.440280952381,-72.14948095238094,230.29080000000008,9.52380950179434e-06,9.523809563374708e-06,-4.761904775258634e-06,-40.6222,-127.60094285714244,-1.4285714289910412e-05,9.523809497734097e-06,135.75379047619043,-3.4609380952380957,0.0,-168.22314285714242,132.2928523809524,-35.93029047619005
lig_27,1,10,55.42957619047625,49.22881870476193,-17.29147380952375,-23.49223129523807,,,-34.90772380952375,-41.10848129523807,90.3373,90.3373,17.61625,17.61625,,1617.8137714285713,1987.9623142857145,2070.11,-1203.0172047619048,-10475.299066666666,679.5052714285714,4851.1713,-1861.3339333333336,70.17966792,-471.7536142857142,-1791.1542654133332,-2262.9078796990475,1589.2153,1812.0341904761908,2021.7220809523808,-1158.9126476190477,-10264.737195238096,663.8620761904762,4734.863342857143,-1923.2568714285717,72.4280431542857,-601.9528523809524,-1850.8288282742856,-2452.7816806552387,28.59848095238095,175.92811428571426,48.387933333333336,-3.4595571428571423,-78.77053809523811,15.6432,116.30795714285716,-74.70827142857144,3.0549822514285707,302.6355904761906,-71.65328917714285,230.9823012990476,-9.523809534276292e-06,9.523809517358608e-06,-1.4285714302767852e-05,-40.645,-131.79133333333328,-4.761904771029213e-06,-6.767073673905716e-15,136.6312095238095,-5.303357485714287,-172.43633333333327,131.32785203809522,-41.10848129523807,1617.8137714285713,1987.9623142857145,2070.11,-1203.0172047619048,-10475.299066666666,679.5052714285714,4851.1713,-1928.888147619048,43.385990476190464,0.0,-471.7536142857142,-1885.5021571428572,-2357.2557714285717,1589.2153,1812.0341904761908,2021.7220809523808,-1158.9126476190477,-10264.737195238096,663.8620761904762,4734.863342857143,-1995.1364238095236,44.24522380952381,0.0,-601.9528523809524,-1950.8912,-2552.844052380952,28.59848095238095,175.92811428571426,48.387933333333336,-3.4595571428571423,-78.77053809523811,15.6432,116.30795714285716,-74.75874761904763,2.6191809523809524,0.0,302.6355904761906,-72.13956666666668,230.4960238095238,-9.523809534276292e-06,9.523809517358608e-06,-1.4285714302767852e-05,-40.645,-131.79133333333328,-4.761904771029213e-06,-6.767073673905716e-15,141.0070238095238,-3.4784142857142863,0.0,-172.43633333333327,137.52860952380954,-34.90772380952375
