name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_27,1,1,-0.9234047619048198,-5.508211276190494,-25.724729761904825,-30.309536276190496,,,-34.66660476190482,-39.251411276190495,33.7432,33.7432,8.941875,8.941875,,1606.1399190476188,1903.210685714285,2024.1409761904763,-1211.1427095238096,-10416.12384285714,678.4339142857143,4769.986600000001,-1853.9767285714288,69.58703389714285,-645.3544571428572,-1784.3896946742857,-2429.744151817143,1579.3143000000002,1805.7302714285715,2008.9202666666663,-1168.2231047619046,-10238.560938095236,662.5374571428571,4726.002419047619,-1918.5584952380952,71.79302293714285,-624.2793285714284,-1846.765472300952,-2471.0448008723806,26.825623809523808,97.48041904761904,15.220695238095235,-3.527138095238094,-41.71022380952381,15.896452380952375,43.98417142857143,-76.7037619047619,3.0858031885714285,154.17000000000002,-73.61795871619047,80.55204128380953,-4.761904764008375e-06,-4.7619048040186976e-06,1.4285714330089911e-05,-39.39246666666672,-135.85268095238092,4.761904757072124e-06,9.52380944495092e-06,141.2855285714286,-5.2917922285714285,-175.24514761904769,135.99373634285715,-39.251411276190495,1606.1399190476188,1903.210685714285,2024.1409761904763,-1211.1427095238096,-10416.12384285714,678.4339142857143,4769.986600000001,-1927.0197666666663,42.85483333333333,0.0,-645.3544571428572,-1884.1649333333332,-2529.5193904761904,1579.3143000000002,1805.7302714285715,2008.9202666666663,-1168.2231047619046,-10238.560938095236,662.5374571428571,4726.002419047619,-1993.959590476191,43.714666666666666,0.0,-624.2793285714284,-1950.2449238095237,-2574.5242523809525,26.825623809523808,97.48041904761904,15.220695238095235,-3.527138095238094,-41.71022380952381,15.896452380952375,43.98417142857143,-77.13937142857142,2.6408190476190483,0.0,154.17000000000002,-74.49855238095238,79.67144761904761,-4.761904764008375e-06,-4.7619048040186976e-06,1.4285714330089911e-05,-39.39246666666672,-135.85268095238092,4.761904757072124e-06,9.52380944495092e-06,144.0791952380952,-3.5006523809523804,0.0,-175.24514761904769,140.57854285714288,-34.66660476190482
lig_27,1,2,-2.8555999999999315,-7.451148780952366,-31.43629999999993,-36.031848780952366,,,-37.801299999999934,-42.39684878095237,34.9457,34.9457,6.365,6.365,,1613.423738095238,1910.8464047619043,2034.0269666666663,-1204.547628571429,-10443.361919047618,677.1688904761904,4795.160738095238,-1868.4858571428567,71.25959468571429,-617.2828095238094,-1797.2262624571429,-2414.5090719809523,1588.922504761905,1809.915457142857,2018.506876190476,-1160.3896047619046,-10259.758742857144,661.1991904761904,4750.924266666667,-1937.1049,73.56327630857143,-590.6800523809527,-1863.5416236914289,-2454.2216760723813,24.50123333333333,100.93095714285714,15.52009523809524,-3.1529714285714285,-42.00929047619048,15.96970476190476,44.23647142857143,-76.96392857142857,3.0772004914285715,155.9962,-73.88672807999998,82.10947192,4.483186308962537e-15,-9.52380951397507e-06,-4.761904792345495e-06,-41.00505238095237,-141.5938857142857,-4.761904756902947e-06,1.3703324189659074e-13,145.58297142857143,-5.380882114285712,-182.59893809523803,140.2020893142857,-42.39684878095237,1613.423738095238,1910.8464047619043,2034.0269666666663,-1204.547628571429,-10443.361919047618,677.1688904761904,4795.160738095238,-1944.689685714286,43.88321428571429,0.0,-617.2828095238094,-1900.8064714285715,-2518.089280952381,1588.922504761905,1809.915457142857,2018.506876190476,-1160.3896047619046,-10259.758742857144,661.1991904761904,4750.924266666667,-2015.573338095238,44.774414285714286,0.0,-590.6800523809527,-1970.798923809524,-2561.4789761904767,24.50123333333333,100.93095714285714,15.52009523809524,-3.1529714285714285,-42.00929047619048,15.96970476190476,44.23647142857143,-77.44265238095238,2.637466666666666,0.0,155.9962,-74.80518571428571,81.19101428571429,4.483186308962537e-15,-9.52380951397507e-06,-4.761904792345495e-06,-41.00505238095237,-141.5938857142857,-4.761904756902947e-06,1.3703324189659074e-13,148.32630476190482,-3.528666666666667,0.0,-182.59893809523803,144.79763809523814,-37.801299999999934
lig_27,1,3,-9.004861904761775,-14.002850472380828,-32.08776190476178,-37.08575047238083,,,-35.535261904761775,-40.53325047238083,26.5304,26.5304,3.4475,3.4475,,1610.9594761904762,1913.4583857142857,2029.623023809524,-1207.8220428571428,-10461.80932857143,682.5123285714285,4794.822138095238,-1854.1836,70.57646406857141,-638.2560190476188,-1783.6071359314287,-2421.863154979047,1586.2547142857147,1812.782195238095,2016.4824619047615,-1165.434190476191,-10288.796104761906,666.5673571428571,4750.585761904762,-1912.1976190476191,72.81412165714285,-621.5578047619047,-1839.383497390476,-2460.941302152381,24.70477142857143,100.67618571428572,13.140566666666668,-3.0522333333333336,-42.08606666666667,15.944952380952378,44.23635238095238,-77.05311904761905,3.0999547885714285,153.5645285714286,-73.95316425904763,79.61136431238096,-9.523809536813944e-06,4.761904764092963e-06,-4.761904759609777e-06,-39.33561904761903,-130.927157142857,1.9047619056118087e-05,2.380952384008933e-05,135.06713809523808,-5.337612377142854,-170.26277619047605,129.7295257180952,-40.53325047238083,1610.9594761904762,1913.4583857142857,2029.623023809524,-1207.8220428571428,-10461.80932857143,682.5123285714285,4794.822138095238,-1923.0443380952383,43.74999523809524,0.0,-638.2560190476188,-1879.2943428571427,-2517.550361904762,1586.2547142857147,1812.782195238095,2016.4824619047615,-1165.434190476191,-10288.796104761906,666.5673571428571,4750.585761904762,-1983.7097857142855,44.59715714285714,0.0,-621.5578047619047,-1939.1126285714288,-2560.670433333333,24.70477142857143,100.67618571428572,13.140566666666668,-3.0522333333333336,-42.08606666666667,15.944952380952378,44.23635238095238,-77.55434761904762,2.645119047619048,0.0,153.5645285714286,-74.90922857142857,78.65530000000001,-9.523809536813944e-06,4.761904764092963e-06,-4.761904759609777e-06,-39.33561904761903,-130.927157142857,1.9047619056118087e-05,2.380952384008933e-05,138.21979523809523,-3.492280952380953,0.0,-170.26277619047605,134.72751428571428,-35.535261904761775
lig_27,1,4,-2.579619047618955,-7.873251539047544,-26.95444404761896,-32.248076539047545,,,-35.43131904761896,-40.724951539047545,32.8517,32.8517,8.476875,8.476875,,1615.6923476190475,1904.756985714286,2033.6962285714287,-1212.7749571428571,-10421.370533333333,679.6038428571429,4786.80019047619,-1874.573542857143,70.37948492571428,-613.5958952380953,-1804.1940579314285,-2417.7899531695243,1589.2306476190477,1803.752023809524,2018.7586,-1169.470033333333,-10251.749809523808,663.2799095238095,4742.564376190476,-1929.4917809523809,72.59196246857144,-603.6342857142857,-1856.8998184838092,-2460.534104198095,26.46168571428571,101.0049761904762,14.937642857142857,-3.4974333333333334,-42.57851428571429,16.323938095238095,44.23580476190476,-76.49231428571429,3.073326377142857,156.8881,-73.41898790857144,83.46911209142857,1.428571430716645e-05,-1.4285714265210594e-05,-1.4285714275022853e-05,-39.80749047619046,-127.04220952380945,-4.761904752081407e-06,9.523809500440924e-06,131.41055238095237,-5.28580392,-166.84969999999993,126.12474846095236,-40.724951539047545,1615.6923476190475,1904.756985714286,2033.6962285714287,-1212.7749571428571,-10421.370533333333,679.6038428571429,4786.80019047619,-1951.057723809524,43.71905714285714,0.0,-613.5958952380953,-1907.3386666666668,-2520.934561904762,1589.2306476190477,1803.752023809524,2018.7586,-1169.470033333333,-10251.749809523808,663.2799095238095,4742.564376190476,-2008.9435666666664,44.57880000000001,0.0,-603.6342857142857,-1964.3647666666668,-2567.9990523809524,26.46168571428571,101.0049761904762,14.937642857142857,-3.4974333333333334,-42.57851428571429,16.323938095238095,44.23580476190476,-77.00567619047618,2.6133952380952383,0.0,156.8881,-74.39228095238097,82.49581904761905,1.428571430716645e-05,-1.4285714265210594e-05,-1.4285714275022853e-05,-39.80749047619046,-127.04220952380945,-4.761904752081407e-06,9.523809500440924e-06,134.89151904761906,-3.4731380952380952,0.0,-166.84969999999993,131.41838095238097,-35.43131904761896
lig_27,1,5,21.81533333333316,16.81078994285695,-23.79564166666684,-28.800185057143047,,,-36.41876666666684,-41.42331005714305,58.2341,58.2341,12.623125,12.623125,,1619.7558285714283,1884.247161904762,2024.6642333333332,-1205.581376190476,-10455.675271428572,674.7539047619048,4798.897319047619,-1863.6905333333327,69.91922033142858,-658.9381999999999,-1793.771313001905,-2452.7095130019043,1594.048004761905,1783.4950047619047,2010.8805761904764,-1162.1702047619049,-10281.04464285714,658.1374571428572,4754.24079047619,-1923.005361904762,72.20843132571429,-642.4130142857144,-1850.7969305790475,-2493.209944864762,25.7078,100.75215238095238,13.783666666666669,-2.943423809523809,-43.02852380952381,16.616457142857143,44.65652380952381,-76.71240952380953,3.091484777142857,155.5446523809524,-73.62092474666667,81.92372763428571,2.38095237855298e-05,4.761904783717477e-06,-9.52380957031096e-06,-40.46774761904764,-131.60210476190483,-9.523809499256686e-06,4.761904828041809e-06,136.02723809523806,-5.380695771428573,-172.06985238095254,130.64654232380948,-41.42331005714305,1619.7558285714283,1884.247161904762,2024.6642333333332,-1205.581376190476,-10455.675271428572,674.7539047619048,4798.897319047619,-1935.3781380952375,43.51115238095239,0.0,-658.9381999999999,-1891.8669857142852,-2550.805185714285,1594.048004761905,1783.4950047619047,2010.8805761904764,-1162.1702047619049,-10281.04464285714,658.1374571428572,4754.24079047619,-1997.2005666666669,44.3840619047619,0.0,-642.4130142857144,-1952.8165047619048,-2595.229519047619,25.7078,100.75215238095238,13.783666666666669,-2.943423809523809,-43.02852380952381,16.616457142857143,44.65652380952381,-77.3424142857143,2.640847619047619,0.0,155.5446523809524,-74.70156666666666,80.8430857142857,2.38095237855298e-05,4.761904783717477e-06,-9.52380957031096e-06,-40.46774761904764,-131.60210476190483,-9.523809499256686e-06,4.761904828041809e-06,139.16484285714282,-3.513757142857142,0.0,-172.06985238095254,135.65108571428567,-36.41876666666684
lig_27,1,6,19.177842857142828,15.00881120761902,-22.978707142857168,-27.147738792380977,,,-36.35245714285717,-40.52148879238098,55.5303,55.5303,13.37375,13.37375,,1604.106238095238,1911.350323809524,2034.270485714285,-1201.5911476190474,-10502.55199047619,677.5970190476191,4780.495371428571,-1819.0478809523809,69.38317354285715,-696.3237000000003,-1749.6647074095235,-2445.9884074095244,1578.9759142857142,1811.536,2018.9467238095235,-1159.1209285714287,-10329.014966666668,661.6319904761905,4736.430019047619,-1878.4722476190475,71.59274592,-680.6152476190476,-1806.8795016990475,-2487.4947493180957,25.13031904761905,99.81433333333332,15.323761904761906,-2.7071619047619047,-41.846738095238095,15.965033333333333,44.06537619047619,-76.79236666666668,3.0753068914285717,155.7449238095238,-73.7170597752381,82.0278640342857,4.761904746498571e-06,-9.523809538336536e-06,-1.0996494720096789e-15,-39.76305714285717,-131.6902857142857,-4.761904769422033e-06,-2.3809523886782136e-05,136.21673333333334,-5.284879268571427,-171.4533428571429,130.93185406476192,-40.52148879238098,1604.106238095238,1911.350323809524,2034.270485714285,-1201.5911476190474,-10502.55199047619,677.5970190476191,4780.495371428571,-1885.9859904761904,43.36527142857143,0.0,-696.3237000000003,-1842.6207190476184,-2538.94441904762,1578.9759142857142,1811.536,2018.9467238095235,-1159.1209285714287,-10329.014966666668,661.6319904761905,4736.430019047619,-1947.136752380952,44.197085714285706,0.0,-680.6152476190476,-1902.9396666666669,-2583.5549142857144,25.13031904761905,99.81433333333332,15.323761904761906,-2.7071619047619047,-41.846738095238095,15.965033333333333,44.06537619047619,-77.41039047619049,2.6284523809523805,0.0,155.7449238095238,-74.78193809523808,80.96298571428572,4.761904746498571e-06,-9.523809538336536e-06,-1.0996494720096789e-15,-39.76305714285717,-131.6902857142857,-4.761904769422033e-06,-2.3809523886782136e-05,138.5611523809524,-3.4602666666666666,0.0,-171.4533428571429,135.10088571428574,-36.35245714285717
lig_27,1,7,-0.5195809523811192,-5.409373706666827,-27.09285595238112,-31.982648706666826,,,-35.94848095238112,-40.838273706666826,35.4289,35.4289,8.855625,8.855625,,1618.4380476190477,1907.726361904762,2023.2022142857147,-1209.640061904762,-10470.002104761908,676.264538095238,4814.702071428572,-1864.4159142857145,69.58110809142858,-639.3089333333335,-1794.8348061942856,-2434.143739527619,1593.3475428571428,1808.488076190476,2008.331323809524,-1166.1679095238094,-10300.326804761906,660.6607619047619,4770.618414285715,-1919.7759761904765,71.87344244571429,-625.0485952380952,-1847.9025337447624,-2472.951128982857,25.09052857142857,99.23829047619049,14.870890476190477,-3.373180952380953,-41.16225714285714,15.603766666666669,44.08364761904762,-77.77860000000001,3.072586971428572,154.3516857142857,-74.70601302857143,79.64567268571427,-2.3809523844487924e-05,-4.761904798605039e-06,1.3787912610582896e-14,-40.0989714285714,-128.51304285714303,9.523809535122177e-06,9.52380948623007e-06,133.1386619047619,-5.364921325714285,-168.61201428571445,127.77374057904764,-40.838273706666826,1618.4380476190477,1907.726361904762,2023.2022142857147,-1209.640061904762,-10470.002104761908,676.264538095238,4814.702071428572,-1935.4841142857144,42.96897619047619,0.0,-639.3089333333335,-1892.5151380952384,-2531.824071428572,1593.3475428571428,1808.488076190476,2008.331323809524,-1166.1679095238094,-10300.326804761906,660.6607619047619,4770.618414285715,-1993.3679,43.838766666666665,0.0,-625.0485952380952,-1949.5291333333328,-2574.577728571429,25.09052857142857,99.23829047619049,14.870890476190477,-3.373180952380953,-41.16225714285714,15.603766666666669,44.08364761904762,-78.27509523809525,2.625557142857143,0.0,154.3516857142857,-75.64953809523807,78.70214761904761,-2.3809523844487924e-05,-4.761904798605039e-06,1.3787912610582896e-14,-40.0989714285714,-128.51304285714303,9.523809535122177e-06,9.52380948623007e-06,136.15888095238094,-3.495347619047621,0.0,-168.61201428571445,132.6635333333333,-35.94848095238112
lig_27,1,8,34.523776190476326,26.687952895238283,-10.696998809523675,-18.53282210476172,,,-18.96262380952368,-26.79844710476172,53.4864,53.4864,8.265625,8.265625,,1608.5395142857142,1909.1939666666665,2024.921547619048,-1206.3542761904764,-10442.924842857145,681.6272285714285,4790.160733333333,-1863.5128047619048,70.3208697942857,-634.8361285714285,-1793.191934967619,-2428.0280635390477,1582.386638095238,1810.2290619047617,2010.688176190476,-1165.7079,-10306.374171428572,665.4905857142855,4745.559847619048,-1896.1883333333335,72.01287778285715,-657.7277619047619,-1824.175455550476,-2481.9032174552376,26.152876190476192,98.96489523809524,14.233357142857145,-3.125933333333333,-42.34864761904762,16.136638095238098,44.60089047619048,-77.04797619047619,3.107477211428572,154.6140761904762,-73.94049897904762,80.67357721142857,-2.4699818909755864e-14,9.523809520065438e-06,1.4285714269482308e-05,-37.52044285714288,-94.2020238095236,4.761904768068619e-06,-4.761904859847055e-06,109.72350476190476,-4.7994852,-131.72246666666652,104.92401956190476,-26.79844710476172,1608.5395142857142,1909.1939666666665,2024.921547619048,-1206.3542761904764,-10442.924842857145,681.6272285714285,4790.160733333333,-1927.4924857142855,43.4394380952381,0.0,-634.8361285714285,-1884.0530476190477,-2518.889176190476,1582.386638095238,1810.2290619047617,2010.688176190476,-1165.7079,-10306.374171428572,665.4905857142855,4745.559847619048,-1965.9319952380947,44.27842380952381,0.0,-657.7277619047619,-1921.6535714285717,-2579.3813333333333,26.152876190476192,98.96489523809524,14.233357142857145,-3.125933333333333,-42.34864761904762,16.136638095238098,44.60089047619048,-77.80660476190477,2.6472857142857142,0.0,154.6140761904762,-75.15931904761904,79.45475714285715,-2.4699818909755864e-14,9.523809520065438e-06,1.4285714269482308e-05,-37.52044285714288,-94.2020238095236,4.761904768068619e-06,-4.761904859847055e-06,116.24611428571428,-3.486271428571429,0.0,-131.72246666666652,112.75984285714284,-18.96262380952368
lig_27,1,9,35.13906190476178,31.961007249523703,-16.759463095238218,-19.937517750476296,,,-35.15883809523822,-38.336892750476295,70.2979,70.2979,18.399375,18.399375,,1617.3408571428572,1893.956347619048,2032.5618904761905,-1213.0736476190475,-10524.966728571428,677.0062428571428,4797.133214285714,-1800.3459047619049,68.64563506285714,-720.0418238095239,-1731.7002696990476,-2451.7420935085715,1591.165785714286,1793.2689571428575,2017.866604761905,-1171.3047285714283,-10355.586133333334,660.479280952381,4752.566923809524,-1855.504123809524,70.80351942857142,-711.5433095238096,-1784.7006043809524,-2496.243913904761,26.17508571428572,100.68736666666668,14.695295238095238,-3.212452380952381,-42.74340476190476,16.526947619047622,44.56628095238096,-76.94564761904763,3.0892179085714284,156.69511904761907,-73.8564297104762,82.83868933714285,-1.4285714273500258e-05,2.3809523815727862e-05,-9.523809550771034e-06,-38.55646666666668,-126.63719047619058,1.4285714279421447e-05,9.523809698377828e-06,132.10386666666668,-5.247102274285715,-165.19365714285726,126.85676439238094,-38.336892750476295,1617.3408571428572,1893.956347619048,2032.5618904761905,-1213.0736476190475,-10524.966728571428,677.0062428571428,4797.133214285714,-1873.429666666667,42.5952,0.0,-720.0418238095239,-1830.834466666667,-2550.87629047619,1591.165785714286,1793.2689571428575,2017.866604761905,-1171.3047285714283,-10355.586133333334,660.479280952381,4752.566923809524,-1929.536833333333,43.42460476190475,0.0,-711.5433095238096,-1886.112228571429,-2597.655538095238,26.17508571428572,100.68736666666668,14.695295238095238,-3.212452380952381,-42.74340476190476,16.526947619047622,44.56628095238096,-77.39380476190478,2.6367476190476187,0.0,156.69511904761907,-74.75705714285712,81.93806190476191,-1.4285714273500258e-05,2.3809523815727862e-05,-9.523809550771034e-06,-38.55646666666668,-126.63719047619058,1.4285714279421447e-05,9.523809698377828e-06,133.50097142857143,-3.466152380952381,0.0,-165.19365714285726,130.034819047619,-35.15883809523822
lig_27,1,10,34.317876190476035,29.606350670476047,-32.44474880952397,-37.15627432952395,,,-38.19162380952397,-42.90314932952396,72.5095,72.5095,5.746874999999999,5.746874999999999,,1613.7298714285712,1911.7047904761905,2023.466709523809,-1210.6712666666665,-10399.291561904762,674.8996285714285,4779.770304761904,-1891.688138095238,70.3511531657143,-606.3915238095237,-1821.336984929524,-2427.728508739048,1587.169219047619,1810.7395047619043,2009.838980952381,-1166.156885714286,-10222.733276190478,658.9377571428573,4735.2992,-1952.4294285714284,72.70388986285714,-586.9054999999998,-1879.7255387085715,-2466.631038708571,26.560647619047614,100.96528095238097,13.627738095238096,-3.341633333333333,-42.69,15.961866666666666,44.47109523809524,-76.85033333333334,3.101003108571428,155.55499523809524,-73.7493302247619,81.80566501333332,4.761904749374578e-06,4.761904717400155e-06,-9.523809515920604e-06,-41.17274761904759,-133.86828571428586,4.7619047614707215e-06,9.523809587736174e-06,137.5916238095238,-5.453739805714286,-175.04103333333347,132.1378840038095,-42.90314932952396,1613.7298714285712,1911.7047904761905,2023.466709523809,-1210.6712666666665,-10399.291561904762,674.8996285714285,4779.770304761904,-1957.6387238095235,43.35329523809524,0.0,-606.3915238095237,-1914.2854285714288,-2520.676952380953,1587.169219047619,1810.7395047619043,2009.838980952381,-1166.156885714286,-10222.733276190478,658.9377571428573,4735.2992,-2020.534466666667,44.24310952380952,0.0,-586.9054999999998,-1976.291357142857,-2563.1968571428565,26.560647619047614,100.96528095238097,13.627738095238096,-3.341633333333333,-42.69,15.961866666666666,44.47109523809524,-77.47522857142857,2.631747619047619,0.0,155.55499523809524,-74.84348095238094,80.71151428571427,4.761904749374578e-06,4.761904717400155e-06,-9.523809515920604e-06,-41.17274761904759,-133.86828571428586,4.7619047614707215e-06,9.523809587736174e-06,140.3709714285714,-3.521561904761905,0.0,-175.04103333333347,136.84940952380953,-38.19162380952397
