,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,lig_p38a_2aa,1,-14.1883555564846,-2.221225837075289,0.6263290678155176,-2.1998317375209457,2.7111200705168543,-14.124215648959975,-2.2538960492223983,0.6235466634226169,-2.060849816678742,2.870342973861872,-7.046864708080192,0.11828941671905786,0.07553781928872394,0.003291158052021605,0.06034490236424137,0.07231388953052077,0.12268497092550348,0.08258022192376532,0.0038817766372006473,0.05386389068785927,0.07394435736838366
1,lig_p38a_2aa,2,-18.092334281964096,-2.2567291858914817,0.615000289751556,-2.1605340497067673,2.6386077041386313,-18.120897158771267,-2.273070872436219,0.632522462170105,-2.025342730023856,2.72733334088455,-6.605817409813174,0.11149747444200676,0.0708588408061352,0.004752092237545183,0.06417524635098443,0.07128016342525509,0.11340546933995181,0.07430801040147476,0.005692833873228887,0.05713398189213065,0.07334851454616544
2,lig_p38a_2aa,3,-15.410739827439125,-3.419826046983468,0.6124431610635084,-2.2050535875256663,2.7470583136345055,-15.43306304756186,-3.362481820601709,0.6422544255304891,-2.0227884872438757,2.822950951108152,-6.997356591123452,0.11239344382132686,0.07581187229723689,0.004050842635068722,0.058633843109213005,0.07463077892950484,0.11801094648290825,0.08155192757261129,0.0064890783437944796,0.052241532531182897,0.075853781151446
3,lig_p38a_2bb,1,-10.561730888465275,203.7769438890577,1.157688054579878,-5.993554758396661,-210.90644861077078,-10.334329946533751,203.78424515032017,1.303143355661747,-5.86925649634485,-210.77789083557755,-6.893830321551921,0.13070336998283758,0.08944666817848276,0.009702960898275752,0.0661268199472189,0.0469591637049579,0.13484082794950758,0.09358275249571536,0.011881985679599026,0.059174540593379385,0.059236506953728174
4,lig_p38a_2bb,2,-13.49481610182752,212.09510670229122,0.6211263846962121,-5.987807296617033,-210.98313246502477,-13.76170833615689,212.10860680265574,0.6351314699056415,-5.82448792329934,-210.90846442714545,-6.70914764863255,0.12408354536959264,0.08450430137071745,0.0036958340743716207,0.06487647076991813,0.04613591256293568,0.12078108129089331,0.0882873292302055,0.0051303675045591525,0.05881099951370022,0.05176560407922453
5,lig_p38a_2bb,3,-15.708060270132963,210.05127987588818,0.6477051890839999,-6.112724390046299,-210.9188441101671,-15.899655425908897,209.94772359643346,0.6462327448292271,-5.9703931151403395,-210.78210356690738,-6.820834235089356,0.11797876863639861,0.08439303627946135,0.004989831964355025,0.06621857848747766,0.04287304534385494,0.12130145942920185,0.08023570862017457,0.005593275688523475,0.05982956679817842,0.04764955186113202
6,lig_p38a_2e,1,-18.62251379634465,103.47254957773772,0.5576923011788755,-1.0851580933290512,-104.55805719678571,-18.534259642043935,103.49692509862983,0.5799478410288005,-0.9316161695750598,-104.55453605801577,-6.734414250227653,0.12424598062706388,0.048512393381547884,0.0028400092872457464,0.06909917886788448,0.015246172618779853,0.12896683127379496,0.051308828057951415,0.004327785301774209,0.06596143403370644,0.027059152238642494
7,lig_p38a_2e,2,-17.49587111174599,102.62132015096077,0.5642465168544227,-1.0291531855931766,-104.72310684142234,-17.54835532948836,102.74150106874573,0.5865686721024368,-0.9879655457275924,-104.69062522478603,-7.1843560813099145,0.11848235942030778,0.04349088505146658,0.003065887447255084,0.07205189866423378,0.014661047427585824,0.12131545884473914,0.04928470801793873,0.004361422577797656,0.07080687363891566,0.014874256117723453
8,lig_p38a_2e,3,-17.193227592545487,102.27219131895122,0.5610915091367353,-1.1430549462823543,-104.50152056970953,-17.166165301374466,102.24807789570114,0.590563368015723,-0.9830489418305094,-104.47054633566697,-6.896879586269125,0.12544424660535403,0.05742090424868326,0.0036670482480384626,0.07035373489995175,0.014636708448395742,0.13049189928463878,0.055932902990645454,0.005449322050859611,0.07184602346702264,0.01475729872596889
9,lig_p38a_2ee,1,-14.88293129899947,118.02730998582618,0.6383308576795237,-6.373913702827185,-120.7413113390796,-14.760037209479405,118.02370470279314,0.6651094847460206,-6.194511148858986,-120.64649998171107,-7.093643588220162,0.13380870032406514,0.07013574576955983,0.003693250785428365,0.07262491934945106,0.019497828433190513,0.13621436785718719,0.06986815105804164,0.007374480842858642,0.06428779628320366,0.034665063030271344
10,lig_p38a_2ee,2,-15.333256139721827,118.05122746084366,0.7133039157635789,-5.428749796306537,-119.44019368591654,-15.413452566895696,118.03832054554775,0.7102359459084667,-5.295746326931905,-119.41671506572767,-6.973667279494809,0.12964519138046313,0.06492831587207934,0.00421583122853013,0.08436584009894497,0.02074378954852304,0.13250393063508517,0.07209148332996959,0.0048821085315657745,0.08272236530677084,0.022868437448584408
11,lig_p38a_2ee,3,-12.41197882520767,120.06885691824145,0.9723379082159482,-5.656401440116267,-119.56028657108492,-12.532687128173157,120.08965622561003,1.0907709002034918,-5.597486576009373,-119.535610509881,-6.9181447896562664,0.12993607446448752,0.059408138331732106,0.007436910723150312,0.0714663074626483,0.022981804402170552,0.13397521503159004,0.06744127927887479,0.009633794725152203,0.06763464727474627,0.024251820587899195
12,lig_p38a_2f,1,-20.371531438090255,132.25224779341335,0.4633329999589998,-1.9614542373190322,-133.81623856837055,-20.400057172350632,132.2303681179323,0.49036320558406377,-1.7799369639208886,-133.78873952715716,-6.714310960533998,0.12625628930921665,0.047676041501189294,0.001946889913173335,0.06202705512550926,0.014985077074571949,0.1269655182773123,0.04999334151879668,0.0034770758706652253,0.055660377043288405,0.015179207539428306
13,lig_p38a_2f,2,-19.047931728384114,135.70730040628638,0.6733971459657813,-1.9808746413933283,-133.88097661962402,-18.88322190909842,135.68156901527203,0.6845507710766923,-1.7834883335461404,-133.85137651222126,-6.976006663126303,0.1242905575426737,0.0577055345713433,0.005042224690225882,0.0638886251667025,0.014600493157656718,0.1291037026208504,0.059822644898381926,0.006429914641599209,0.05722256617868338,0.014611223192098767
14,lig_p38a_2f,3,-17.47421939470352,135.31856427162586,0.8857984353766738,-2.0328260300093577,-133.833037597454,-17.407836136831225,135.3189186666382,0.8843977115039938,-1.8051682886754967,-133.80058262144956,-6.791792041189226,0.12589143620139928,0.06252950008785164,0.006434048890729658,0.06384315449711986,0.015457735365097845,0.13073583294331576,0.06179721945475648,0.008265119695874667,0.05743315333494981,0.015645721244659322
15,lig_p38a_2ff,1,-18.524118840974857,77.89862382205716,0.8250288640830966,-1.297615515164825,-78.84490308889409,-18.381726629017894,77.85320330901314,0.8457479952316684,-1.1479172090940686,-78.80710666250046,-6.871528986033947,0.12591574252489238,0.04639946474714699,0.004828594959792486,0.08688109179293482,0.018102766692293278,0.13178513889811355,0.051940996281384225,0.005494308221548645,0.08661839487643896,0.018273193500504378
16,lig_p38a_2ff,2,-16.89746690105605,76.13798256281225,0.6120878018744209,-1.264525747158918,-78.85388729620688,-16.9298200822711,76.19870954170217,0.6310776607045937,-1.0604723537218617,-78.92719048925832,-6.7862923110759015,0.12472592069631305,0.05859324478903137,0.004978551837050906,0.08136214558111558,0.021832303212187022,0.12935770846144265,0.06278255884190205,0.0066588769859088895,0.07996535293904516,0.02829697313691746
17,lig_p38a_2ff,3,-18.789522977312085,76.58166502161868,0.7070659604016859,-1.5145508483760504,-78.86596169132349,-18.873744885246662,76.65232561524341,0.7308696863745521,-1.4365140565687522,-78.85080272639763,-6.988352278939311,0.12146158769288451,0.05598919265473702,0.0037726433949249404,0.08570308638656987,0.019020888629414208,0.1264337151002942,0.058840894894438285,0.005544882055216429,0.0857648504785442,0.019417374442320872
18,lig_p38a_2g,1,-17.071537652300204,119.83647899238845,0.8567091274835009,-0.851701465809857,-120.9609431774159,-16.991504760813797,119.93046756910586,0.8599168691926821,-0.7605498446751311,-120.93182171775437,-6.920808976996337,0.1304892107771867,0.05937930341137243,0.007274355918805681,0.07355476904419486,0.01614665887648054,0.13223142801468618,0.06131200043002058,0.008120285496575666,0.07523336630050462,0.016548537743729302
19,lig_p38a_2g,2,-21.13235163071626,120.37321464978255,0.5727335297609025,-0.8978899138076527,-121.01840006500595,-21.13185837913917,120.25780884715617,0.5807079944574894,-0.7260965526370987,-120.99535384972619,-6.776985518271519,0.12166635764645364,0.05362240363302341,0.003202538836846164,0.07710881570953462,0.016713681945834717,0.12464761428478648,0.05675536496146072,0.004196040834421979,0.08035680849104052,0.016979607486055988
20,lig_p38a_2g,3,-19.129554574550074,120.43827290996158,0.7132529178000535,-0.9747481575758875,-120.97553285714315,-19.11435343625821,120.44960549446897,0.7238851233264343,-0.7763409133712467,-120.94947228781011,-6.798695367550687,0.12370520478093847,0.05933632707417038,0.004074216261108125,0.08093378925670752,0.01606240655468443,0.12371251835215018,0.060545753384775663,0.006037173642403872,0.09146319111540968,0.01648111775763799
21,lig_p38a_2gg,1,-20.242204282199285,-12.148454433916712,0.667400963796516,0.019315331892220525,13.736392808823974,-20.29054792714343,-12.097377432187562,0.676541368547102,0.25426972434381057,13.47933400454834,-6.974675790947673,0.1232637617208268,0.08162683099296918,0.002216047958699481,0.06822216632841369,0.03330699422007635,0.12452733753196994,0.08441171252678865,0.0033707710342930366,0.06383678894081159,0.05539855226883988
22,lig_p38a_2gg,2,-23.505109068615216,-9.145573012908176,0.6770941725710995,0.08768376412397523,14.74811164804715,-23.682933738084888,-9.024448693114183,0.7023140821787445,0.2546233309577668,12.970495631676322,-6.579337585761727,0.12452590893431197,0.07436869423791911,0.002951266169031754,0.0684144351186449,0.027948850050012727,0.12462961144321971,0.08162065646901713,0.005048432283196432,0.059750983438958384,0.05702773825311259
23,lig_p38a_2gg,3,-22.447427404147767,-10.677110231492076,0.7107886584379387,0.46682566228652894,13.889239865173764,-22.170009052636807,-10.447246065233676,0.6941562810551222,0.5799609177675864,12.384431775546245,-7.09436501719418,0.12418570545458128,0.06381882176739437,0.005746227799879227,0.06901856711833879,0.044179487476958657,0.13199581695456383,0.07630805058569201,0.008268117187708696,0.06357788317230087,0.06859603096854422
24,lig_p38a_2h,1,-16.044733684179466,147.92714382090662,0.681590575370903,-1.4566687500635764,-149.43528274185846,-16.264397980768624,147.96825465539902,0.7017412359739081,-1.1650123898207958,-149.43067104968642,-6.712218311772415,0.13173479953259326,0.057871498333766744,0.005040890271215746,0.08142230236241249,0.029965618619867528,0.1322309679442285,0.05804393601128926,0.006582905965055837,0.07848463349963952,0.031203522488272874
25,lig_p38a_2h,2,-21.897429646992986,148.2658656557983,0.4663866455325405,-1.4993771831453078,-149.47499245854272,-21.52654419975469,148.24501284739316,0.49323854081856416,-1.440958410009933,-149.4618711460794,-6.791937524635732,0.11383546905853416,0.063546410677814,0.002636510127000916,0.08911724706898119,0.030689160349622404,0.11997410112959508,0.062353285104622,0.004167067870029624,0.08819058430377007,0.03115148003291205
26,lig_p38a_2h,3,-20.72137294415071,147.92091556241942,0.5158724842845585,-1.2428273084576913,-149.5006258307666,-20.7486312636218,147.88477207284038,0.5377191351815375,-1.0654531633545978,-149.49491979802337,-6.671408237716459,0.124722682157893,0.0476902231782115,0.003906287190025092,0.08018836195363307,0.029806847354364546,0.13020265887387808,0.05051502210513564,0.0057394131316440365,0.08158423974576426,0.030746400096347503
27,lig_p38a_2i,1,-14.386331622039739,142.44517441129145,0.6446209762631088,0.32679982696789706,-146.22810582662876,-14.45667859392471,142.59594003642164,0.6721520578338502,0.4267701121408697,-146.20165983595203,-7.005433565397984,0.1221216211728213,0.04144324762723299,0.004105215805648002,0.061407795882111295,0.019752983050212763,0.12448012197412196,0.04791176332813771,0.005910128535062681,0.05575083376297586,0.020128997859260443
28,lig_p38a_2i,2,-16.625375010244916,144.26743703319818,0.8850354754764146,0.29875507846482,-146.2326770904277,-16.581072441770356,144.0931873431284,0.9291382887341356,0.39875617380343803,-146.19828984305755,-6.752034920889225,0.11768394763650114,0.05478690241781723,0.007801916174338422,0.0632531099571135,0.01953867227486642,0.11923675693707685,0.056885550023478136,0.009547699810854314,0.05605228501477821,0.02003395075370924
29,lig_p38a_2i,3,-15.461081711448625,144.2379043015941,0.6578187707699992,0.3705403729678151,-146.25702346569466,-15.605628659827365,144.47394727539836,0.6665285228730055,0.5545563201106357,-146.11348591765918,-6.8807984495387124,0.12055080604381889,0.05288739803406304,0.005137235179280113,0.059316728608152604,0.02154843777398876,0.12812588030435543,0.05497796576048305,0.00612805398494561,0.05376181787346497,0.03199879036612332
