,ligand,MBAR,MBAR_sem,MBAR_uncertainty_propagation,MBAR_num_replicas,TI,TI_sem,TI_uncertainty_propagation,TI_num_replicas
0,lig_p38a_2aa,-11.094770567120968,0.5487632253343275,0.10111696981686198,3,-11.077154187987782,0.5034417884648665,0.10367937050456895,3
1,lig_p38a_2bb,-10.93893232813731,0.749086510416667,0.11018867349877434,3,-10.809063696063609,0.7081523364239037,0.11157161429724041,3
2,lig_p38a_2e,-11.22268361975319,0.19833254549312368,0.0858146949915772,3,-11.09999812782611,0.14677295075708746,0.08686181235765868,3
3,lig_p38a_2ee,-13.012480054396955,0.9970071812259312,0.09073066525597659,3,-12.882347502085914,0.948558625855407,0.09315319708950741,3
4,lig_p38a_2f,-10.05872439613833,0.48031124586858703,0.07744171846750124,3,-9.89171667294214,0.5475392397304618,0.07923789961898084,3
5,lig_p38a_2ff,-13.921024173653626,0.4404986457465602,0.08390870561709776,3,-13.76381049624895,0.3798152929359491,0.08477554027162956,3
6,lig_p38a_2g,-14.411100499498891,0.5020526058837121,0.08637491549005963,3,-14.262534405203352,0.5476998364872903,0.08727629353363042,3
7,lig_p38a_2gg,-12.233724099599632,0.7943984161237069,0.09343084195319891,3,-12.266462255201454,1.2571907714572466,0.09939612817516325,3
8,lig_p38a_2h,-11.787466070969666,0.7566956376980393,0.08859727961286615,3,-11.5924832035315,0.7028067110791308,0.09064424483131987,3
9,lig_p38a_2i,-12.982872495092522,1.1434502460425222,0.08147147571765329,3,-12.76607931342643,1.1167055491082707,0.08456513806195434,3
10,lig_p38a_2j,-10.609699600779111,1.6082520317635145,0.08918021661364543,3,-10.667140324328699,1.305920369158922,0.09246700304949626,3
11,lig_p38a_2k,-12.044434292710912,0.39039924311289464,0.0852464577124233,3,-11.77813739772926,0.4292184877807049,0.08692972124884628,3
12,lig_p38a_2l,-15.662300315113585,0.5052023741961225,0.08709019527727517,3,-15.476563663034952,0.5355679367501568,0.08859939685869471,3
13,lig_p38a_2m,-13.672667990949071,0.5364411160405096,0.08966941990081917,3,-13.531676302565012,0.5210941401549984,0.08929509964458539,3
14,lig_p38a_2n,-13.43467325594421,0.662658515241443,0.09304440658942932,3,-13.345381062193107,0.6076720295121005,0.09417330788427386,3
15,lig_p38a_2o,-14.415737437575297,0.747219443637907,0.11250099071039484,3,-14.334908155419,0.8677818171089673,0.11480611574671878,3
16,lig_p38a_2p,-13.384627131965075,0.9567925246302127,0.10847829277536336,3,-13.21852377554648,0.9585162233027436,0.10727517815045741,3
17,lig_p38a_2r,-14.690750495387034,0.485012257003486,0.1041329471840837,3,-14.467197071561992,0.5336008403362319,0.10635435509563575,3
18,lig_p38a_2s,-12.953566487119888,0.9317125440982049,0.11003194104204646,3,-12.614752156487425,0.9903721435054018,0.11183712671966271,3
19,lig_p38a_2t,-12.842039976234046,1.2114940746911325,0.09058542925954427,3,-12.67937342820087,1.1685100305723155,0.09114577423586614,3
20,lig_p38a_2v,-10.196222274657103,0.6708887866736966,0.07523207982212701,3,-9.96625784582212,0.6445184924430176,0.07818940782881922,3
21,lig_p38a_2x,-12.291879172057273,0.23613253552579713,0.08374884487540195,3,-12.194212922992142,0.34068192237514644,0.085754550461841,3
22,lig_p38a_2y,-13.188158707865076,0.5892546489438277,0.09311414931922053,3,-12.76692385596146,0.5832054414544544,0.09542903687068756,3
23,lig_p38a_2z,-9.705794722266281,0.5778472702570461,0.09161829841692995,3,-9.67573922847184,0.4106684152419233,0.09501533239489009,3
24,lig_p38a_3fln,-11.700632457035738,0.8779520316831048,0.08942852426782398,3,-11.558661558542413,0.7872361850750782,0.09006748190057842,3
25,lig_p38a_3flw,-13.012988971326308,0.39366380206274526,0.10233279993811557,3,-13.03568038177814,0.437322794758828,0.1050293254496502,3
26,lig_p38a_3fly,-11.623708221464861,1.0591023980852827,0.08373977713642407,3,-11.50425938655952,1.0091237083087063,0.08384523905756293,3
27,lig_p38a_3flz,-12.54964102238157,0.5896560550756424,0.08415269413105575,3,-12.504701579200171,0.5541842864020632,0.08533647025996939,3
28,lig_p38a_3fmh,-12.711128040748674,0.9069902308967355,0.09491889507608722,3,-12.597157649742549,0.9613466448452119,0.0961820410758639,3
