,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,lig_p38a_2aa,1,-16.37064986231646,-0.06547213003914167,0.571003450693224,-1.6460125219341313,0.8203460114480171,-16.43630184387697,-0.3109993088761123,0.6003756224913932,-1.481845614596918,0.7887549950150152,-6.364943928211926,0.10413474609909285,0.08818659600994021,0.003108640024939114,0.058489875697005846,0.0764959734781508,0.10666528010642203,0.09127770514450632,0.00476524561591173,0.05308903379904563,0.07942785651073077
1,lig_p38a_2aa,2,-18.38804425609113,0.5243019781199179,0.5853143341409776,-1.472788157209521,0.22951807772137386,-18.30437461082733,0.5984114497024353,0.6014335342444715,-1.2736027925931543,0.3114114798877261,-7.014687502745197,0.11514138457424847,0.08063996170212552,0.0025554944354782834,0.06045592394557831,0.0786205685011778,0.12168367719061701,0.08434371428386658,0.003919545726922663,0.05539882228931704,0.08163671677900909
2,lig_p38a_2aa,3,-18.576264884271758,0.21652311000660146,0.5369198823171905,-1.6533861581385074,0.44670030868215815,-18.529630431635038,0.3901543036649967,0.5566697072477105,-1.4617223662015961,0.5733395250693768,-7.011374003516742,0.11410733636864633,0.08199467473456853,0.0029865394201438952,0.05955663826564354,0.07612889359838057,0.11955121385993812,0.083271691767625,0.0053842654865514095,0.054395116702213545,0.08710690155595249
3,lig_p38a_2bb,1,-10.884462114321868,216.6693922021304,0.5313241813652777,-6.388988284886164,-218.62202230724563,-10.939188213682112,216.57077273416837,0.5338530901647186,-6.256393139140194,-218.44196203329668,-6.755662836562905,0.13234806657677275,0.10837343506846078,0.004970835713428905,0.0659069853514648,0.08221707611298223,0.13850244453485253,0.11437591595608701,0.005247508162807677,0.06078915369915704,0.08393829257095117
4,lig_p38a_2bb,2,-12.027866320285638,219.51648470989656,0.8745981104747192,-6.444644229622847,-218.98309594609546,-11.94864489835899,219.97815873906205,0.9137029761793454,-6.333014880642425,-218.86798326089342,-6.8113379646446575,0.13168688018313696,0.10868015513078051,0.00690494311688264,0.06953162764904544,0.07919357008683478,0.13691219232416998,0.09999291691887552,0.009835739367864187,0.06293295935873836,0.0851227471987056
5,lig_p38a_2bb,3,-13.07889983471597,217.49115100418186,0.5750388293612388,-6.600551527844527,-218.8298275641113,-13.010700596436424,217.49264714032955,0.602185218966613,-6.366973428453486,-218.690042880233,-7.025136315861522,0.12641597901015683,0.10711684562975606,0.004453669262215226,0.07120118134036295,0.07823237635755091,0.13279968942670747,0.1043947252181252,0.007457815877873427,0.06328088718041579,0.07219203570142585
6,lig_p38a_2e,1,-20.41361180905423,126.14122779766433,0.549420357565474,-0.1210568796612843,-125.8147101524698,-20.36606437704128,126.14329152662933,0.55786344268285,0.04177469438033775,-125.81676405586278,-6.466076582169487,0.12272817264238793,0.05784910071801266,0.0025925754765729232,0.06968508719136263,0.016637589737055484,0.12814957445300015,0.058614213594878686,0.0033200032399780853,0.06712155478400392,0.026936404722132982
7,lig_p38a_2e,2,-19.346504799194644,125.86737533081252,0.6884356709540851,0.09208445719885201,-125.77838054079595,-19.29169274442746,125.8606473497504,0.7221515135031519,0.21611228664278162,-125.74782151504837,-6.515548477929695,0.1206763384090611,0.056476826424222276,0.007042474055692899,0.06445778273743173,0.015385214079005564,0.12492614185766028,0.05684313215676365,0.00815211989513217,0.059797098534852704,0.015501851856871977
8,lig_p38a_2e,3,-17.99542288496363,126.473935540546,0.7229844827778641,-0.06320096603684854,-125.79576693722399,-18.091969564405495,126.45325902916282,0.7648279851428101,0.07304621190889966,-125.7617662732966,-6.980504061939445,0.12350468566659892,0.056177658323850216,0.005853201784199874,0.06925632662391244,0.014979576293104124,0.12726289908050623,0.05807484352751397,0.008848961273545446,0.06586705216293626,0.015016028963966598
9,lig_p38a_2ee,1,-15.889798543998065,127.20068257163202,0.586967100718376,-2.078378630233181,-127.68226596854501,-15.693271738281984,127.2783455650114,0.5763262785658056,-1.8874424881572216,-127.65360145766253,-7.0474370782306925,0.12867658282302513,0.05989220220355305,0.003822274834701956,0.07550600150250626,0.01869816699865846,0.1352247140779289,0.06424775826312479,0.005584270846401858,0.06872701544266176,0.018974681150917654
10,lig_p38a_2ee,2,-20.29609671882294,126.33027906006778,0.7017784528083824,-2.3601415108484876,-127.32224197268029,-20.346554859756615,126.3013611267536,0.7051574986078976,-2.2562235771599988,-127.36726494421623,-6.9631972388652175,0.13559195371476748,0.06403401123455009,0.002544565733350538,0.10322694783543505,0.02073024274694816,0.1366636726848162,0.06598507315751373,0.003475173149308091,0.09893428199803941,0.025510851955929448
11,lig_p38a_2ee,3,-14.855052187188162,124.95775614529765,0.5636175406239203,-2.1989940701635167,-127.33471880081497,-14.791181907223823,125.02312258771497,0.6076285345299897,-2.0518599286349093,-127.2979067676784,-7.119348149442225,0.125140401762858,0.053012214241724406,0.003826290950112589,0.09636132377674965,0.017948848393577826,0.13447219892754053,0.06061773522903001,0.005344757138453083,0.09818185985858188,0.018135976163784
12,lig_p38a_2f,1,-18.538264737373243,143.79552452821005,0.5843658607122085,-0.37587190489357675,-141.86857050765178,-18.557833897467937,143.7216219788668,0.6114597280375682,-0.19614393923360557,-141.8364124157161,-6.715549202976206,0.12545073796503428,0.05519125405875232,0.005212041283372542,0.060510958544828186,0.015296465609828782,0.12891863890857982,0.060888715034299094,0.006532409810604922,0.054761677083852836,0.01539033154068998
13,lig_p38a_2f,2,-15.450260834614195,142.70355228539577,0.827612745998616,-0.350237646830487,-141.6368930858624,-15.675799576752894,142.80438772423352,0.8390427801630616,-0.20465229271248297,-141.57249460445118,-7.081428019096219,0.12595380153559993,0.06055502749117438,0.00921309281067053,0.05962547726202685,0.01758758689215812,0.13031307575887713,0.062198324355001396,0.01060146994247418,0.05570156568757065,0.021341898505578927
