name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_p38a_2aa,1,1,-13.952795238095046,-32.090467775237826,-18.118445238095045,-36.25611777523783,,,-21.71969523809505,-39.85736777523783,7.7669,7.7669,3.60125,3.60125,,3682.9345619047617,4327.662085714286,4702.170571428571,-2862.2351190476197,-24798.37376190476,1546.6826571428571,13896.104085714283,-4144.8063,134.8030545257143,494.9450809523812,-4010.003245474285,-3515.058164521904,3653.912585714286,4297.556023809524,4686.17577142857,-2815.498309523809,-24790.947995238093,1528.465238095238,14172.568933333334,-4148.649061904762,137.1897311314286,732.2322476190473,-4011.459330773333,-3279.227083154286,29.021966666666668,30.106061904761905,15.994804761904762,-1.3816857142857144,14.934042857142856,18.217428571428574,-276.4648238095237,-29.832161904761907,3.430681645714285,-169.57220476190474,-26.401480259047624,-195.9736850209524,9.523809583337576e-06,-2.1485458914650648e-14,-4.761904885561935e-06,-45.35512380952374,-22.359809523809343,-9.523809476417813e-06,-2.3809523643844196e-05,33.674923809523854,-5.817358251428572,-67.7149333333331,27.85756555809527,-39.85736777523783,3682.9345619047617,4327.662085714286,4702.170571428571,-2862.2351190476197,-24798.37376190476,1546.6826571428571,13896.104085714283,-4201.39770952381,85.00281904761906,0.0,494.9450809523812,-4116.394890476191,-3621.4498095238096,3653.912585714286,4297.556023809524,4686.17577142857,-2815.498309523809,-24790.947995238093,1528.465238095238,14172.568933333334,-4220.917257142857,86.13896666666668,0.0,732.2322476190473,-4134.778290476191,-3402.546042857144,29.021966666666668,30.106061904761905,15.994804761904762,-1.3816857142857144,14.934042857142856,18.217428571428574,-276.4648238095237,-30.60783809523809,2.996,0.0,-169.57220476190474,-27.61183809523809,-197.18404285714288,9.523809583337576e-06,-2.1485458914650648e-14,-4.761904885561935e-06,-45.35512380952374,-22.359809523809343,-9.523809476417813e-06,-2.3809523643844196e-05,50.12738571428567,-4.132147619047618,0.0,-67.7149333333331,45.99523809523805,-21.71969523809505
lig_p38a_2aa,1,2,-7.152709523809499,-26.77214442285708,-13.749109523809498,-33.36854442285708,,,-19.0991095238095,-38.71854442285708,11.9464,11.9464,5.3500000000000005,5.3500000000000005,,3730.641719047618,4331.495066666667,4717.280971428572,-2843.7789666666667,-24840.16768095238,1541.7295047619048,13895.65651904762,-4102.841666666666,135.32610781714288,532.8571333333334,-3967.515558849524,-3434.6584255161906,3703.091604761905,4302.029542857143,4700.611619047619,-2796.0343571428566,-24831.329623809524,1523.6259857142854,14170.390519047616,-4106.40048095238,137.80350586285712,772.3852904761903,-3968.596975089524,-3196.211684613334,27.55011904761905,29.46551904761905,16.669352380952382,-2.073052380952381,11.502690476190477,18.103509523809524,-274.7340047619048,-29.640219047619052,3.4278749485714286,-173.51586666666668,-26.21234409904762,-199.7282107657143,-4.76190482533498e-06,4.761904753942352e-06,1.0565093773385301e-13,-45.67155714285704,-20.340747619047644,9.523809501963517e-06,4.761904990789931e-06,33.19903333333333,-5.905272994285717,-66.01230476190469,27.29376033904761,-38.71854442285708,3730.641719047618,4331.495066666667,4717.280971428572,-2843.7789666666667,-24840.16768095238,1541.7295047619048,13895.65651904762,-4166.682733333334,85.31619047619049,0.0,532.8571333333334,-4081.366542857143,-3548.5094095238096,3703.091604761905,4302.029542857143,4700.611619047619,-2796.0343571428566,-24831.329623809524,1523.6259857142854,14170.390519047616,-4187.055247619049,86.41320952380954,0.0,772.3852904761903,-4100.64203809524,-3328.256747619048,27.55011904761905,29.46551904761905,16.669352380952382,-2.073052380952381,11.502690476190477,18.103509523809524,-274.7340047619048,-30.639233333333333,3.0015333333333336,0.0,-173.51586666666668,-27.6377,-201.15356666666668,-4.76190482533498e-06,4.761904753942352e-06,1.0565093773385301e-13,-45.67155714285704,-20.340747619047644,9.523809501963517e-06,4.761904990789931e-06,51.01174761904757,-4.098552380952382,0.0,-66.01230476190469,46.913195238095184,-19.0991095238095
lig_p38a_2aa,1,3,-6.503823809524089,-24.3274269752381,-15.14757380952409,-32.9711769752381,,,-20.23382380952409,-38.0574269752381,13.73,13.73,5.086250000000001,5.086250000000001,,3676.293428571428,4293.829747619048,4685.447233333333,-2846.2202428571422,-24684.421966666665,1543.7680285714289,13900.996933333332,-4242.079742857143,136.87308740571424,569.6931619047623,-4105.206655451428,-3535.5134935466654,3649.285428571429,4264.780957142858,4669.174390476192,-2800.448857142857,-24674.95545238095,1526.0979428571427,14174.074585714288,-4243.54569047619,139.27374668571431,808.0089952380956,-4104.271943790475,-3296.2629485523807,27.008019047619047,29.048771428571428,16.27285238095238,-0.1988095238095238,7.431285714285712,17.670080952380953,-273.0776523809524,-28.723861904761904,3.3762010285714283,-175.8454523809524,-25.347660876190474,-201.19311325714287,-1.9047619041822644e-05,1.9047619078703197e-05,-9.523809443766682e-06,-45.57257619047615,-16.897800000000178,4.761904748444105e-06,-7.579122514774403e-14,30.189809523809643,-5.776860308571429,-62.47037619047632,24.412949215238207,-38.0574269752381,3676.293428571428,4293.829747619048,4685.447233333333,-2846.2202428571422,-24684.421966666665,1543.7680285714289,13900.996933333332,-4301.419566666667,86.70317142857141,0.0,569.6931619047623,-4214.716395238096,-3645.023233333333,3649.285428571429,4264.780957142858,4669.174390476192,-2800.448857142857,-24674.95545238095,1526.0979428571427,14174.074585714288,-4317.5704000000005,87.89103333333334,0.0,808.0089952380956,-4229.679366666667,-3421.670371428571,27.008019047619047,29.048771428571428,16.27285238095238,-0.1988095238095238,7.431285714285712,17.670080952380953,-273.0776523809524,-30.249385714285715,2.9758047619047625,0.0,-175.8454523809524,-27.27358095238095,-203.1190333333333,-1.9047619041822644e-05,1.9047619078703197e-05,-9.523809443766682e-06,-45.57257619047615,-16.897800000000178,4.761904748444105e-06,-7.579122514774403e-14,46.4002190476189,-4.163666666666668,0.0,-62.47037619047632,42.23655238095223,-20.23382380952409
lig_p38a_2aa,1,4,-13.197128571428271,-31.340829779047027,-20.09402857142827,-38.23772977904703,,,-22.534028571428276,-40.67772977904703,9.3369,9.3369,2.4400000000000004,2.4400000000000004,,3664.851266666667,4278.203152380952,4680.880433333334,-2850.147771428571,-24680.16886190476,1551.159719047619,13936.441338095236,-4293.534214285714,137.9327075314286,581.2192761904755,-4155.601506754286,-3574.3822305638105,3637.543557142857,4249.710076190476,4664.518366666666,-2804.427671428572,-24647.648323809524,1533.1155761904763,14195.721685714285,-4298.976476190476,140.29558539428572,828.533266666666,-4158.680890796191,-3330.1476241295245,27.307709523809528,28.49306190476191,16.362080952380953,-0.6219333333333333,-8.196961904761903,18.04413333333333,-259.28034285714284,-29.01689047619048,3.35226144,-177.89225238095236,-25.66462903619048,-203.55688141714285,1.1165671561944431e-14,1.4285714312749288e-05,-1.428571428737276e-05,-45.09816666666664,-24.32357619047585,9.523809508646e-06,-4.761904776950403e-06,34.45915238095261,-5.715139302857139,-69.42174285714249,28.744013078095477,-40.67772977904703,3664.851266666667,4278.203152380952,4680.880433333334,-2850.147771428571,-24680.16886190476,1551.159719047619,13936.441338095236,-4347.165704761905,86.64261428571429,0.0,581.2192761904755,-4260.52309047619,-3679.303814285715,3637.543557142857,4249.710076190476,4664.518366666666,-2804.427671428572,-24647.648323809524,1533.1155761904763,14195.721685714285,-4367.278299999999,87.7987619047619,0.0,828.533266666666,-4279.479538095238,-3450.9462714285723,27.307709523809528,28.49306190476191,16.362080952380953,-0.6219333333333333,-8.196961904761903,18.04413333333333,-259.28034285714284,-30.894400000000008,2.963133333333334,0.0,-177.89225238095236,-27.931266666666676,-205.82351904761904,1.1165671561944431e-14,1.4285714312749288e-05,-1.428571428737276e-05,-45.09816666666664,-24.32357619047585,9.523809508646e-06,-4.761904776950403e-06,51.00699523809517,-4.119280952380952,0.0,-69.42174285714249,46.88771428571423,-22.534028571428276
lig_p38a_2aa,1,5,-9.407628571428525,-28.068603603809365,-16.780253571428524,-35.441228603809364,,,-19.99712857142852,-38.658103603809366,10.5895,10.5895,3.216875,3.216875,,3705.8427476190473,4299.978066666667,4673.546314285714,-2836.4909,-24745.48557142857,1544.972438095238,13907.307904761905,-4203.315942857143,137.27716961142858,549.671,-4066.038773245714,-3516.3677732457154,3679.5499809523817,4268.239247619048,4657.895057142858,-2789.637471428572,-24711.01821428572,1525.9640571428572,14166.326619047615,-4212.741580952381,139.66613636571427,797.3192761904762,-4073.0754445866655,-3275.756168396191,26.29277619047619,31.73881904761905,15.65125714285714,-2.318042857142857,-7.507485714285715,19.008380952380957,-259.0187047619048,-29.18339523809524,3.38291304,-176.15300000000002,-25.80048219809524,-201.9534821980953,-9.5238095510248e-06,-8.628018934229787e-15,1.3787912610582896e-14,-44.5353857142857,-26.95987142857128,-1.3872501031506718e-14,-9.523809697362767e-06,38.60903333333334,-5.771879794285719,-71.49525714285699,32.83715353904762,-38.658103603809366,3705.8427476190473,4299.978066666667,4673.546314285714,-2836.4909,-24745.48557142857,1544.972438095238,13907.307904761905,-4269.738066666667,86.63111428571428,0.0,549.671,-4183.106952380953,-3633.435952380952,3679.5499809523817,4268.239247619048,4657.895057142858,-2789.637471428572,-24711.01821428572,1525.9640571428572,14166.326619047615,-4294.4881857142855,87.77529999999999,0.0,797.3192761904762,-4206.712885714286,-3409.39360952381,26.29277619047619,31.73881904761905,15.65125714285714,-2.318042857142857,-7.507485714285715,19.008380952380957,-259.0187047619048,-30.87649047619048,2.9842952380952377,0.0,-176.15300000000002,-27.89219523809524,-204.04519523809523,-9.5238095510248e-06,-8.628018934229787e-15,1.3787912610582896e-14,-44.5353857142857,-26.95987142857128,-1.3872501031506718e-14,-9.523809697362767e-06,55.62660952380942,-4.1284809523809525,0.0,-71.49525714285699,51.49812857142847,-19.99712857142852
lig_p38a_2aa,1,6,2.5979095238098715,-13.794440845713703,-11.208490476190129,-27.600840845713705,,,-20.928490476190127,-37.3208408457137,23.5264,23.5264,9.72,9.72,,3667.772890476191,4296.693342857143,4671.233547619047,-2837.400461904762,-24734.52517619048,1548.0791857142858,13893.517795238096,-4206.101195238095,137.3105939657143,505.3711238095244,-4068.7906012723806,-3563.419477462857,3640.014876190476,4266.476523809523,4655.058195238096,-2793.022590476191,-24706.720952380954,1529.7492285714284,14153.766342857143,-4210.642533333334,139.54299102857144,745.3216238095233,-4071.0995423047625,-3325.7779184952387,27.758009523809523,30.21681428571429,16.175361904761903,-0.3527142857142857,-6.836771428571429,18.32995238095238,-260.2485333333333,-28.7263,3.363472354285715,-174.95788095238095,-25.362827645714283,-200.32070859809525,4.761904818398729e-06,4.7619046893167984e-06,-9.523809495027264e-06,-44.02515714285717,-20.96745238095184,4.761904764600493e-06,-1.4285714083176312e-05,33.26763809523817,-5.595869417142855,-64.99260952380902,27.671768678095304,-37.3208408457137,3667.772890476191,4296.693342857143,4671.233547619047,-2837.400461904762,-24734.52517619048,1548.0791857142858,13893.517795238096,-4273.768490476191,86.63160952380952,0.0,505.3711238095244,-4187.13688095238,-3681.765757142857,3640.014876190476,4266.476523809523,4655.058195238096,-2793.022590476191,-24706.720952380954,1529.7492285714284,14153.766342857143,-4291.275452380952,87.7897523809524,0.0,745.3216238095233,-4203.4857,-3458.1640761904764,27.758009523809523,30.21681428571429,16.175361904761903,-0.3527142857142857,-6.836771428571429,18.32995238095238,-260.2485333333333,-30.685171428571437,2.969871428571428,0.0,-174.95788095238095,-27.7153,-202.67318095238096,4.761904818398729e-06,4.7619046893167984e-06,-9.523809495027264e-06,-44.02515714285717,-20.96745238095184,4.761904764600493e-06,-1.4285714083176312e-05,48.19213333333317,-4.128014285714284,0.0,-64.99260952380902,44.06411904761889,-20.928490476190127
lig_p38a_2aa,1,7,29.649571428571235,13.080524845714288,-17.890078571428763,-34.459125154285715,,,-24.136328571428763,-40.70537515428571,53.7859,53.7859,6.24625,6.24625,,3694.584028571429,4329.963447619048,4683.652895238095,-2855.430376190476,-24639.022371428568,1541.3964761904765,13878.302819047616,-4271.347038095238,136.45406509714283,633.4469190476191,-4134.892972998096,-3501.446053950476,3666.856076190476,4298.006776190476,4667.507261904762,-2810.560747619048,-24601.746628571425,1523.254980952381,14137.941304761904,-4283.561776190477,138.89443954285713,881.259023809524,-4144.66733664762,-3263.408312838095,27.727942857142857,31.95667619047619,16.145638095238095,-1.124452380952381,-3.6389476190476193,18.14149047619048,-259.63848571428565,-30.298947619047617,3.396714994285714,-170.4301380952381,-26.9022326247619,-197.33237072,9.523809471257918e-06,-4.76190483227123e-06,-4.761904819921321e-06,-43.74517619047626,-33.636795238095246,4.7619047467523365e-06,1.7729733025632979e-13,42.513685714285806,-5.8370894400000015,-77.38197142857152,36.67659627428581,-40.70537515428571,3694.584028571429,4329.963447619048,4683.652895238095,-2855.430376190476,-24639.022371428568,1541.3964761904765,13878.302819047616,-4340.274438095238,86.12073333333333,0.0,633.4469190476191,-4254.153704761904,-3620.7067857142856,3666.856076190476,4298.006776190476,4667.507261904762,-2810.560747619048,-24601.746628571425,1523.254980952381,14137.941304761904,-4365.654866666666,87.27291428571428,0.0,881.259023809524,-4278.3819523809525,-3397.1229285714285,27.727942857142857,31.95667619047619,16.145638095238095,-1.124452380952381,-3.6389476190476193,18.14149047619048,-259.63848571428565,-32.02265714285714,3.0052619047619045,0.0,-170.4301380952381,-29.01739523809524,-199.44753333333333,9.523809471257918e-06,-4.76190483227123e-06,-4.761904819921321e-06,-43.74517619047626,-33.636795238095246,4.7619047467523365e-06,1.7729733025632979e-13,57.403085714285616,-4.1574428571428585,0.0,-77.38197142857152,53.24564285714274,-24.136328571428763
lig_p38a_2aa,1,8,51.963128571429166,34.69952014857191,-13.381596428570834,-30.64520485142809,,,-23.755971428570835,-41.01957985142809,75.7191,75.7191,10.374375,10.374375,,3694.4693952380953,4308.471742857142,4687.09559047619,-2829.138523809524,-24684.38986190476,1546.0756285714283,13890.627757142858,-4264.014480952382,139.23580669714286,613.2117285714291,-4124.778674255238,-3511.5669456838086,3667.953571428571,4277.46429047619,4671.915342857144,-2783.374471428572,-24648.51106666667,1527.9439714285716,14151.52552857143,-4275.142742857143,141.6386011542857,864.9171666666668,-4133.504141702857,-3268.5869750361903,26.515823809523813,31.00744761904762,15.180252380952384,-1.542147619047619,-3.8665571428571432,18.131666666666668,-260.89777619047624,-29.88979523809524,3.40069968,-175.4712904761905,-26.48909555809524,-201.9603860342857,1.691768418476429e-15,4.761904763923786e-06,-4.761904619531351e-06,-44.221904761904746,-32.01223809523766,-9.523809505685403e-06,4.761904862215531e-06,41.0180571428572,-5.803494137142857,-76.23414285714242,35.21456300571435,-41.01957985142809,3694.4693952380953,4308.471742857142,4687.09559047619,-2829.138523809524,-24684.38986190476,1546.0756285714283,13890.627757142858,-4319.044466666666,87.81865238095237,0.0,613.2117285714291,-4231.225814285715,-3618.0140857142856,3667.953571428571,4277.46429047619,4671.915342857144,-2783.374471428572,-24648.51106666667,1527.9439714285716,14151.52552857143,-4343.973271428571,88.96778571428571,0.0,864.9171666666668,-4255.005485714286,-3390.088319047619,26.515823809523813,31.00744761904762,15.180252380952384,-1.542147619047619,-3.8665571428571432,18.131666666666668,-260.89777619047624,-31.699142857142856,3.0006428571428567,0.0,-175.4712904761905,-28.6985,-204.16979047619049,1.691768418476429e-15,4.761904763923786e-06,-4.761904619531351e-06,-44.221904761904746,-32.01223809523766,-9.523809505685403e-06,4.761904862215531e-06,56.62794761904779,-4.149776190476191,0.0,-76.23414285714242,52.47817142857159,-23.755971428570835
lig_p38a_2aa,1,9,57.046928571428325,40.403461859047226,-9.143746428571667,-25.78721314095277,,,-23.694371428571667,-40.33783814095277,80.7413,80.7413,14.550625,14.550625,,3677.088547619048,4314.544066666667,4687.300933333334,-2860.359519047619,-24756.09162857143,1550.819323809524,13891.15796190476,-4190.2671714285725,136.02753925714285,504.45968571428574,-4054.239632171429,-3549.7799464571426,3649.792371428572,4283.512090476191,4670.669395238096,-2815.0613523809525,-24714.65721904762,1531.6722333333337,14150.207495238094,-4204.464357142857,138.26203717714287,756.1350142857146,-4066.202319965714,-3310.067305679999,27.296166666666664,31.031971428571428,16.631538095238096,-2.3435380952380958,-5.305366666666665,19.1471,-259.0495285714286,-30.207647619047616,3.424502125714285,-172.59165714285714,-26.78314549333333,-199.37480263619048,9.523809549671384e-06,4.7619048672908365e-06,-1.1453272193085425e-13,-42.95462857142856,-36.12904285714314,-9.52380950382446e-06,-4.761904651082832e-06,44.404833333333215,-5.65900004571429,-79.0836714285717,38.74583328761893,-40.33783814095277,3677.088547619048,4314.544066666667,4687.300933333334,-2860.359519047619,-24756.09162857143,1550.819323809524,13891.15796190476,-4242.661985714286,86.28885714285715,0.0,504.45968571428574,-4156.373128571428,-3651.9134428571424,3649.792371428572,4283.512090476191,4670.669395238096,-2815.0613523809525,-24714.65721904762,1531.6722333333337,14150.207495238094,-4270.170414285715,87.40559523809523,0.0,756.1350142857146,-4182.764819047619,-3426.6298047619043,27.296166666666664,31.031971428571428,16.631538095238096,-2.3435380952380958,-5.305366666666665,19.1471,-259.0495285714286,-32.02035238095238,3.022742857142857,0.0,-172.59165714285714,-28.997609523809523,-201.58926666666667,9.523809549671384e-06,4.7619048672908365e-06,-1.1453272193085425e-13,-42.95462857142856,-36.12904285714314,-9.52380950382446e-06,-4.761904651082832e-06,59.52878095238098,-4.139480952380952,0.0,-79.0836714285717,55.389300000000034,-23.694371428571667
lig_p38a_2aa,1,10,45.67897142857158,27.36497404952396,-11.83685357142842,-30.15085095047604,,,-22.14122857142842,-40.45522595047604,67.8202,67.8202,10.304375,10.304375,,3677.391742857143,4305.784266666668,4678.385142857143,-2841.3778428571427,-24701.303942857143,1548.3731380952383,13904.86998095238,-4256.597590476192,137.27466078857145,572.122485714286,-4119.32292968762,-3547.200443973333,3649.380895238096,4274.837566666667,4663.465995238096,-2795.952761904762,-24663.370485714284,1529.840457142857,14163.92321904762,-4268.649495238095,139.94020553142855,822.1248857142862,-4128.709289706667,-3306.584403992381,28.010852380952382,30.9467,14.919138095238097,-1.848676190476191,-5.482990476190476,18.53269047619048,-259.05324285714283,-29.581133333333334,3.3958478742857143,-173.97552857142855,-26.185285459047627,-200.1608140304762,-4.761904778388406e-06,7.25768651526388e-14,9.523809518204493e-06,-43.57640476190476,-32.45046666666659,-9.523809520065438e-06,4.761904568524533e-06,41.63303809523815,-6.061392617142848,-76.02687142857137,35.571645478095306,-40.45522595047604,3677.391742857143,4305.784266666668,4678.385142857143,-2841.3778428571427,-24701.303942857143,1548.3731380952383,13904.86998095238,-4323.399933333332,86.81244285714287,0.0,572.122485714286,-4236.587490476191,-3664.4650047619048,3649.380895238096,4274.837566666667,4663.465995238096,-2795.952761904762,-24663.370485714284,1529.840457142857,14163.92321904762,-4350.0847047619045,87.98963809523809,0.0,822.1248857142862,-4262.095066666667,-3439.970180952381,28.010852380952382,30.9467,14.919138095238097,-1.848676190476191,-5.482990476190476,18.53269047619048,-259.05324285714283,-31.37391904761905,2.9958523809523814,0.0,-173.97552857142855,-28.378066666666665,-202.35359523809524,-4.761904778388406e-06,7.25768651526388e-14,9.523809518204493e-06,-43.57640476190476,-32.45046666666659,-9.523809520065438e-06,4.761904568524533e-06,58.05869047619054,-4.173047619047621,0.0,-76.02687142857137,53.885642857142926,-22.14122857142842
