name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_p38a_2aa,1,1,10.149495238095266,-9.212527645714374,-14.576204761904735,-33.93822764571438,,,-24.943704761904737,-44.30572764571438,35.0932,35.0932,10.3675,10.3675,,3691.08858095238,4367.538580952381,4704.65510952381,-2874.9411142857143,-24825.895104761905,1558.333738095238,13912.3635,-4128.8589666666685,131.18471609142858,533.1432904761905,-3997.674250575239,-3464.530960099048,3660.530523809524,4285.629695238096,4686.083342857143,-2823.92900952381,-24822.22647142857,1530.6177904761903,14194.235838095236,-4134.236576190477,133.73828458285712,710.9417095238095,-4000.4982916076174,-3289.556582083809,30.558052380952383,81.90887142857143,18.571780952380955,-2.1163809523809527,20.766547619047618,27.71595238095238,-281.8723571428572,-29.615680952380952,3.4145448685714284,-104.46753333333334,-26.201136083809523,-130.66866941714284,4.761904718246039e-06,1.428571426859413e-05,-1.428571420802882e-05,-48.8957238095238,-24.43518095238099,-4.761904723998052e-06,1.9047618934564525e-05,34.99329047619041,-5.968113359999999,-73.3309047619048,29.02517711619041,-44.30572764571438,3691.08858095238,4367.538580952381,4704.65510952381,-2874.9411142857143,-24825.895104761905,1558.333738095238,13912.3635,-4178.893795238096,83.53565714285713,0.0,533.1432904761905,-4095.358138095237,-3562.2148476190478,3660.530523809524,4285.629695238096,4686.083342857143,-2823.92900952381,-24822.22647142857,1530.6177904761903,14194.235838095236,-4200.371276190477,84.72833333333332,0.0,710.9417095238095,-4115.642942857142,-3404.7012333333328,30.558052380952383,81.90887142857143,18.571780952380955,-2.1163809523809527,20.766547619047618,27.71595238095238,-281.8723571428572,-31.08779523809524,2.9854000000000003,0.0,-104.46753333333334,-28.10239523809524,-132.5699285714286,4.761904718246039e-06,1.428571426859413e-05,-1.428571420802882e-05,-48.8957238095238,-24.43518095238099,-4.761904723998052e-06,1.9047618934564525e-05,52.565276190476254,-4.178076190476191,0.0,-73.3309047619048,48.38720000000006,-24.943704761904737
lig_p38a_2aa,1,2,-4.103590476190238,-21.169603668571,-18.75496547619024,-35.820978668571,,,-24.13809047619024,-41.204103668571,20.0345,20.0345,5.383125,5.383125,,3679.981166666666,4382.077157142856,4711.574052380953,-2875.1906190476197,-24847.99484285714,1551.6865476190476,13918.907223809523,-4129.566423809524,131.95318001142854,521.0406857142862,-3997.613243798095,-3476.5725580838084,3652.993071428572,4299.759466666667,4692.355861904762,-2825.4152,-24843.545604761905,1524.232447619048,14197.111166666666,-4132.46239047619,134.09609616,697.4912095238096,-3998.366294316191,-3300.875084792381,26.9881,82.31769523809524,19.21817619047619,-2.990709523809524,16.724114285714286,27.45411428571429,-278.2039476190476,-29.442280952380955,3.441373234285714,-108.49245714285712,-26.00090771809524,-134.49336486095237,-4.761904718584392e-06,-4.761904744468449e-06,1.4285714301668204e-05,-46.78470952380948,-21.17335238095209,-1.4285714241018303e-05,4.761904806725527e-06,32.33824761904769,-5.584289382857143,-67.95806190476156,26.753958236190545,-41.204103668571,3679.981166666666,4382.077157142856,4711.574052380953,-2875.1906190476197,-24847.99484285714,1551.6865476190476,13918.907223809523,-4185.703714285714,84.1017857142857,0.0,521.0406857142862,-4101.601928571429,-3580.5612428571426,3652.993071428572,4299.759466666667,4692.355861904762,-2825.4152,-24843.545604761905,1524.232447619048,14197.111166666666,-4202.799452380951,85.18508095238094,0.0,697.4912095238096,-4117.614371428571,-3420.123161904762,26.9881,82.31769523809524,19.21817619047619,-2.990709523809524,16.724114285714286,27.45411428571429,-278.2039476190476,-30.829380952380948,3.0218523809523807,0.0,-108.49245714285712,-27.807528571428573,-136.29998571428573,-4.761904718584392e-06,-4.761904744468449e-06,1.4285714301668204e-05,-46.78470952380948,-21.17335238095209,-1.4285714241018303e-05,4.761904806725527e-06,47.925119047618935,-4.105147619047621,0.0,-67.95806190476156,43.81997142857131,-24.13809047619024
lig_p38a_2aa,1,3,5.267171428571132,-10.176562899047797,-14.63795357142887,-30.0816878990478,,,-23.21232857142887,-38.6560628990478,28.4795,28.4795,8.574375,8.574375,,3690.209747619048,4354.74857142857,4703.835099999999,-2864.5207142857143,-24882.419733333336,1555.1082333333336,13942.963076190474,-4116.292719047618,131.63039208,499.9242809523808,-3984.6623269676193,-3484.7380460152385,3662.3988,4272.231404761906,4682.434285714286,-2816.635771428572,-24878.093576190477,1527.4094142857143,14222.089023809523,-4119.609742857143,133.6205347542857,671.8335809523817,-3985.9892081028574,-3314.155627150476,27.810957142857145,82.51717142857143,21.400833333333328,-2.3160333333333334,16.175990476190474,27.698823809523816,-279.1259523809524,-29.51657142857144,3.4284583200000003,-105.83820952380954,-26.088113108571434,-131.92632263238093,-9.523809589427942e-06,-4.761904728227473e-06,-1.904761901999883e-05,-45.568909523809495,-20.50214761904787,-4.761904755464944e-06,4.761904538749409e-06,32.8335952380953,-5.418600994285707,-66.07105714285737,27.414994243809588,-38.6560628990478,3690.209747619048,4354.74857142857,4703.835099999999,-2864.5207142857143,-24882.419733333336,1555.1082333333336,13942.963076190474,-4169.017571428571,83.7106,0.0,499.9242809523808,-4085.306971428572,-3585.38269047619,3662.3988,4272.231404761906,4682.434285714286,-2816.635771428572,-24878.093576190477,1527.4094142857143,14222.089023809523,-4184.831361904761,84.74457142857143,0.0,671.8335809523817,-4100.086790476191,-3428.253209523809,27.810957142857145,82.51717142857143,21.400833333333328,-2.3160333333333334,16.175990476190474,27.698823809523816,-279.1259523809524,-31.08139523809524,3.002485714285714,0.0,-105.83820952380954,-28.078909523809525,-133.91711904761905,-9.523809589427942e-06,-4.761904728227473e-06,-1.904761901999883e-05,-45.568909523809495,-20.50214761904787,-4.761904755464944e-06,4.761904538749409e-06,46.89518571428564,-4.036457142857142,0.0,-66.07105714285737,42.8587285714285,-23.21232857142887
lig_p38a_2aa,1,4,-3.480704761905613,-17.916327550476808,-21.283329761905613,-35.71895255047681,,,-24.19520476190561,-38.63082755047681,20.7145,20.7145,2.911875,2.911875,,3677.261738095238,4367.176047619048,4714.577109523811,-2865.221957142857,-24865.323957142857,1555.777976190476,13921.601361904764,-4126.670495238095,131.29322893714283,505.8483190476183,-3995.377266300952,-3489.528947253334,3646.2654142857145,4285.066580952381,4695.7825095238095,-2821.157680952381,-24836.65930952381,1527.8125000000002,14185.30907142857,-4134.152633333334,133.1327169257143,682.4190857142851,-4001.01991640762,-3318.600830693334,30.996328571428567,82.10947619047619,18.794609523809527,-1.7960999999999996,-0.1069523809523809,27.96547619047619,-263.7077380952381,-29.947442857142857,3.3950490857142857,-105.7449,-26.55239377142857,-132.29729377142857,-4.761904791499612e-06,-9.523809371866524e-06,-9.52380948030888e-06,-42.26817619047621,-28.557695238096,4.787704624288294e-14,2.857142866576266e-05,37.42958095238111,-5.234537074285713,-70.82587142857221,32.195043878095404,-38.63082755047681,3677.261738095238,4367.176047619048,4714.577109523811,-2865.221957142857,-24865.323957142857,1555.777976190476,13921.601361904764,-4196.417623809524,83.65895238095239,0.0,505.8483190476183,-4112.758671428572,-3606.9103523809526,3646.2654142857145,4285.066580952381,4695.7825095238095,-2821.157680952381,-24836.65930952381,1527.8125000000002,14185.30907142857,-4214.7436,84.6372,0.0,682.4190857142851,-4130.1064,-3447.6873142857157,30.996328571428567,82.10947619047619,18.794609523809527,-1.7960999999999996,-0.1069523809523809,27.96547619047619,-263.7077380952381,-32.27259047619048,2.9896523809523807,0.0,-105.7449,-29.28293809523809,-135.02783809523808,-4.761904791499612e-06,-9.523809371866524e-06,-9.52380948030888e-06,-42.26817619047621,-28.557695238096,4.787704624288294e-14,2.857142866576266e-05,50.5985666666666,-3.9678999999999967,0.0,-70.82587142857221,46.63066666666659,-24.19520476190561
lig_p38a_2aa,1,5,6.4247428571425615,-7.891934822857419,-9.614507142857438,-23.931184822857418,,,-22.27075714285744,-36.58743482285742,28.6955,28.6955,12.65625,12.65625,,3654.0708571428577,4366.422066666667,4709.55228095238,-2872.815261904761,-24788.458733333333,1555.9643476190477,13926.656933333334,-4212.744438095238,133.1034481028571,551.3924904761909,-4079.6409899923815,-3528.2484995161903,3625.202952380952,4285.526933333334,4690.628761904762,-2827.563733333334,-24772.22038095238,1528.3201666666664,14189.402385714286,-4210.933223809524,134.85380379428568,719.2970857142858,-4076.079420015238,-3356.7823343009527,28.867909523809523,80.89512857142856,18.923514285714287,-2.365757142857143,0.7333619047619048,27.64419523809524,-262.74544761904764,-30.25992857142857,3.428307702857144,-108.04709523809528,-26.83162086857143,-134.87871610666667,-4.761904756649182e-06,4.761904817552845e-06,4.761904720191572e-06,-42.885771428571445,-16.971714285714548,-1.4285714260304466e-05,-4.761904619954294e-06,28.448714285714285,-5.178663394285712,-59.85748571428599,23.27005089142857,-36.58743482285742,3654.0708571428577,4366.422066666667,4709.55228095238,-2872.815261904761,-24788.458733333333,1555.9643476190477,13926.656933333334,-4272.587423809523,85.2942619047619,0.0,551.3924904761909,-4187.293161904761,-3635.900671428572,3625.202952380952,4285.526933333334,4690.628761904762,-2827.563733333334,-24772.22038095238,1528.3201666666664,14189.402385714286,-4282.284742857143,86.2651761904762,0.0,719.2970857142858,-4196.019566666668,-3476.722480952381,28.867909523809523,80.89512857142856,18.923514285714287,-2.365757142857143,0.7333619047619048,27.64419523809524,-262.74544761904764,-31.89697619047619,3.036652380952381,0.0,-108.04709523809528,-28.860323809523805,-136.90741904761904,-4.761904756649182e-06,4.761904817552845e-06,4.761904720191572e-06,-42.885771428571445,-16.971714285714548,-1.4285714260304466e-05,-4.761904619954294e-06,41.594295238095214,-4.007566666666667,0.0,-59.85748571428599,37.58672857142855,-22.27075714285744
lig_p38a_2aa,1,6,-8.032747619046896,-24.57884314666593,-17.047447619046896,-33.59354314666594,,,-23.019947619046896,-39.56604314666593,14.9872,14.9872,5.972499999999999,5.972499999999999,,3673.566866666666,4333.840233333333,4699.678923809524,-2877.5096761904765,-24845.69791904762,1551.4803714285713,13913.337,-4129.864019047618,131.34020499428573,448.6958000000001,-3998.523814053334,-3549.828014053333,3642.430799999999,4252.75829047619,4680.926671428572,-2830.3407904761907,-24836.35814761905,1524.1208428571426,14186.78094285714,-4132.675323809524,133.1948550857143,620.3186095238095,-3999.480468723809,-3379.161859199999,31.136061904761902,81.08193333333334,18.7522619047619,-1.696557142857143,12.341928571428571,27.359509523809525,-273.4439047619047,-30.07478571428572,3.4434549600000004,-104.46876666666668,-26.63133075428572,-131.10009742095238,4.761904755464944e-06,9.52380943953726e-06,-9.523809558637758e-06,-45.47232857142851,-21.68169999999934,1.9047619033194624e-05,-3.809523825891249e-05,32.88609047619049,-5.298105051428571,-67.15402857142784,27.587985424761914,-39.56604314666593,3673.566866666666,4333.840233333333,4699.678923809524,-2877.5096761904765,-24845.69791904762,1551.4803714285713,13913.337,-4185.379647619047,84.02017142857142,0.0,448.6958000000001,-4101.359476190477,-3652.663676190476,3642.430799999999,4252.75829047619,4680.926671428572,-2830.3407904761907,-24836.35814761905,1524.1208428571426,14186.78094285714,-4202.5426333333335,85.01674285714286,0.0,620.3186095238095,-4117.525890476191,-3497.2072809523816,31.136061904761902,81.08193333333334,18.7522619047619,-1.696557142857143,12.341928571428571,27.359509523809525,-273.4439047619047,-31.0072,3.0395333333333334,0.0,-104.46876666666668,-27.967666666666663,-132.43643333333335,4.761904755464944e-06,9.52380943953726e-06,-9.523809558637758e-06,-45.47232857142851,-21.68169999999934,1.9047619033194624e-05,-3.809523825891249e-05,48.17018571428572,-4.036104761904764,0.0,-67.15402857142784,44.13408095238095,-23.019947619046896
lig_p38a_2aa,1,7,-6.862190476190046,-24.18522887999961,-16.017290476190045,-33.34032887999961,,,-22.004790476190045,-39.32782887999961,15.1426,15.1426,5.9875,5.9875,,3686.887476190476,4358.237138095237,4705.409052380953,-2875.866347619048,-24861.733071428567,1555.6514619047618,13957.503804761904,-4154.1606619047625,133.37636626285715,526.0895142857156,-4020.7842956419054,-3494.6947813561906,3659.075023809524,4276.615576190476,4686.361747619047,-2827.139366666667,-24856.827171428573,1528.300528571429,14232.115647619046,-4155.527861904762,135.39169896,698.5019857142859,-4020.1361629447615,-3321.634177230476,27.81245714285714,81.62157142857143,19.047295238095234,-2.5914619047619047,15.325557142857148,27.35093809523809,-274.61184285714285,-31.1411619047619,3.4538818971428573,-106.0454857142857,-27.68728000761905,-133.73276572190477,-4.761904749712931e-06,-9.523809332617495e-06,9.52380936459192e-06,-46.13551904761909,-20.231457142856637,-4.761904783886653e-06,1.4887562082592578e-13,32.50836190476183,-5.469214594285716,-66.36697619047573,27.039147310476107,-39.32782887999961,3686.887476190476,4358.237138095237,4705.409052380953,-2875.866347619048,-24861.733071428567,1555.6514619047618,13957.503804761904,-4215.74410952381,84.78632380952382,0.0,526.0895142857156,-4130.957785714286,-3604.86827142857,3659.075023809524,4276.615576190476,4686.361747619047,-2827.139366666667,-24856.827171428573,1528.300528571429,14232.115647619046,-4231.607376190476,85.82889523809524,0.0,698.5019857142859,-4145.778480952381,-3447.276495238096,27.81245714285714,81.62157142857143,19.047295238095234,-2.5914619047619047,15.325557142857148,27.35093809523809,-274.61184285714285,-32.59370476190476,3.0522142857142853,0.0,-106.0454857142857,-29.54149047619048,-135.5869761904762,-4.761904749712931e-06,-9.523809332617495e-06,9.52380936459192e-06,-46.13551904761909,-20.231457142856637,-4.761904783886653e-06,1.4887562082592578e-13,48.45697142857138,-4.094785714285715,0.0,-66.36697619047573,44.36218571428567,-22.004790476190045
lig_p38a_2aa,1,8,-4.027333333333349,-20.655291912381017,-20.157308333333347,-36.78526691238102,,,-24.19793333333335,-40.82589191238102,20.1706,20.1706,4.040625,4.040625,,3685.13661904762,4364.193342857143,4714.165428571428,-2855.749423809524,-24854.24846666667,1557.3791904761906,13928.167585714284,-4150.879580952382,132.53444170285715,539.0442761904756,-4018.345139249523,-3479.3008630590484,3656.995314285715,4282.843995238094,4693.4402285714295,-2807.675595238095,-24838.13166190476,1529.808442857143,14197.334947619049,-4153.470342857144,134.57468355428574,714.6156714285718,-4018.895659302857,-3304.279987874286,28.1413,81.34933809523811,20.725209523809525,-3.2045809523809523,6.407338095238096,27.57075238095238,-269.16734761904763,-29.44821904761904,3.4312405371428576,-108.17799047619047,-26.0169785104762,-134.19496898666662,4.761904718076862e-06,9.5238094984108e-06,-9.52380962174072e-06,-44.86924761904762,-22.52414285714287,-4.761904753265645e-06,-1.428571447972683e-05,32.0389809523809,-5.471482388571434,-67.39339047619049,26.567498563809476,-40.82589191238102,3685.13661904762,4364.193342857143,4714.165428571428,-2855.749423809524,-24854.24846666667,1557.3791904761906,13928.167585714284,-4205.1085523809525,84.8386,0.0,539.0442761904756,-4120.269952380952,-3581.2256761904773,3656.995314285715,4282.843995238094,4693.4402285714295,-2807.675595238095,-24838.13166190476,1529.808442857143,14197.334947619049,-4221.447195238095,85.88426190476191,0.0,714.6156714285718,-4135.562933333334,-3420.947261904762,28.1413,81.34933809523811,20.725209523809525,-3.2045809523809523,6.407338095238096,27.57075238095238,-269.16734761904763,-30.925552380952382,3.0230761904761905,0.0,-108.17799047619047,-27.9024761904762,-136.08046666666667,4.761904718076862e-06,9.5238094984108e-06,-9.52380962174072e-06,-44.86924761904762,-22.52414285714287,-4.761904753265645e-06,-1.428571447972683e-05,47.26419523809524,-4.068738095238097,0.0,-67.39339047619049,43.19545714285714,-24.19793333333335
lig_p38a_2aa,1,9,-11.158390476190746,-29.59955456000019,-17.840240476190743,-36.28140456000019,,,-21.771490476190746,-40.21265456000019,10.6131,10.6131,3.93125,3.93125,,3694.6633952380953,4362.357480952381,4706.532947619047,-2863.0336285714284,-24926.800995238096,1555.4093238095238,13917.296985714283,-4073.60649047619,131.6462700685714,446.4255095238097,-3941.960220407619,-3495.5347108838096,3666.4892190476185,4279.397599999999,4688.564542857143,-2815.7625809523806,-24920.12527142857,1527.523276190476,14190.983219047615,-4072.619438095238,133.68048682285712,617.0700047619046,-3938.93895127238,-3321.8689465104767,28.174180952380954,82.95988095238096,17.968409523809527,-1.839090476190476,11.353671428571428,27.886057142857144,-273.68621428571424,-29.718319047619048,3.448352091428571,-107.18310476190474,-26.26996695619048,-133.45307171809523,-4.761904795729033e-06,1.191004966607406e-13,-4.761904788792781e-06,-45.4319571428571,-18.029395238095454,-9.523809482000648e-06,-1.9047618907496232e-05,28.73126666666665,-5.482568845714287,-63.46135238095256,23.24869782095237,-40.21265456000019,3694.6633952380953,4362.357480952381,4706.532947619047,-2863.0336285714284,-24926.800995238096,1555.4093238095238,13917.296985714283,-4133.677652380952,84.40183809523808,0.0,446.4255095238097,-4049.275814285715,-3602.850304761904,3666.4892190476185,4279.397599999999,4688.564542857143,-2815.7625809523806,-24920.12527142857,1527.523276190476,14190.983219047615,-4148.53509047619,85.43041904761905,0.0,617.0700047619046,-4063.104671428572,-3446.034666666667,28.174180952380954,82.95988095238096,17.968409523809527,-1.839090476190476,11.353671428571428,27.886057142857144,-273.68621428571424,-30.89465238095238,3.033647619047619,0.0,-107.18310476190474,-27.861004761904763,-135.04410952380954,-4.761904795729033e-06,1.191004966607406e-13,-4.761904788792781e-06,-45.4319571428571,-18.029395238095454,-9.523809482000648e-06,-1.9047618907496232e-05,45.75209047619038,-4.062228571428569,0.0,-63.46135238095256,41.68986190476181,-21.771490476190746
lig_p38a_2aa,1,10,-2.4342571428572484,-18.28009184000015,-16.738732142857252,-32.58456684000015,,,-22.79185714285725,-38.63769184000015,20.3576,20.3576,6.053125,6.053125,,3696.414752380953,4360.371671428571,4695.046323809524,-2874.823171428571,-25007.48563809524,1564.2342238095237,13937.185633333333,-4020.781371428572,131.25286158857142,370.9437952380947,-3889.52850984,-3518.584714601905,3665.6133333333337,4278.78739047619,4677.1606,-2829.390171428571,-24984.246033333337,1535.825414285714,14200.206366666667,-4024.073904761905,133.09840625142857,543.9569000000005,-3890.975498510476,-3347.0185985104754,30.801428571428566,81.58427619047619,17.885728571428572,-2.53522380952381,0.2315238095238095,28.408823809523813,-263.02073809523813,-29.722571428571435,3.438347177142857,-106.64418095238096,-26.28422425142857,-132.92840520380955,-9.52380950382446e-06,4.761904860185409e-06,-4.761904768829914e-06,-42.897776190476144,-23.47112857142872,-1.4285714294647364e-05,4.761904577998437e-06,33.01510476190472,-5.283891839999999,-66.36890476190486,27.731212921904717,-38.63769184000015,3696.414752380953,4360.371671428571,4695.046323809524,-2874.823171428571,-25007.48563809524,1564.2342238095237,13937.185633333333,-4079.852795238095,83.65518095238096,0.0,370.9437952380947,-3996.197614285714,-3625.253819047619,3665.6133333333337,4278.78739047619,4677.1606,-2829.390171428571,-24984.246033333337,1535.825414285714,14200.206366666667,-4095.7261666666654,84.63031904761904,0.0,543.9569000000005,-4011.095847619048,-3467.138947619046,30.801428571428566,81.58427619047619,17.885728571428572,-2.53522380952381,0.2315238095238095,28.408823809523813,-263.02073809523813,-31.71037142857143,3.031557142857143,0.0,-106.64418095238096,-28.678814285714285,-135.32299523809525,-9.52380950382446e-06,4.761904860185409e-06,-4.761904768829914e-06,-42.897776190476144,-23.47112857142872,-1.4285714294647364e-05,4.761904577998437e-06,47.58374285714286,-4.006695238095239,0.0,-66.36890476190486,43.577047619047626,-22.79185714285725
