name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_p38a_2aa,1,1,-12.22606190476202,-25.70285075047636,-22.30713690476202,-35.78392575047636,,,-25.14776190476202,-38.62455075047636,12.9217,12.9217,2.840625,2.840625,,3701.414061904762,4441.190723809524,4764.961214285714,-2862.2149,-24795.414961904764,1557.461838095238,13937.774623809524,-4190.958314285714,135.99923574857144,745.1725999999999,-4054.9590785371424,-3309.7864785371426,3671.2854,4273.367290476191,4699.1198523809535,-2817.0034095238093,-24769.28617142857,1531.9325380952382,14173.392880952382,-4199.312976190477,137.98926253714285,762.8083809523815,-4061.323713653333,-3298.515332700952,30.128657142857143,167.82344285714285,65.8413619047619,-1.7057809523809522,-3.1895047619047623,25.529300000000003,-235.6182619047619,-24.84235714285714,3.3865477714285714,48.8092142857143,-21.45580937142857,27.35340491428573,4.761904720191572e-06,-9.523809585029344e-06,-1.306045219063803e-13,-43.50570952380952,-22.939285714285933,-3.045183153257572e-15,4.761904799958454e-06,33.1970190476191,-5.376574559999997,-66.44499523809546,27.820444487619092,-38.62455075047636,3701.414061904762,4441.190723809524,4764.961214285714,-2862.2149,-24795.414961904764,1557.461838095238,13937.774623809524,-4248.592442857142,86.12762380952381,0.0,745.1725999999999,-4162.464819047619,-3417.292219047619,3671.2854,4273.367290476191,4699.1198523809535,-2817.0034095238093,-24769.28617142857,1531.9325380952382,14173.392880952382,-4267.715242857144,87.0629380952381,0.0,762.8083809523815,-4180.652304761905,-3417.843923809523,30.128657142857143,167.82344285714285,65.8413619047619,-1.7057809523809522,-3.1895047619047623,25.529300000000003,-235.6182619047619,-26.10074285714285,2.9909952380952385,0.0,48.8092142857143,-23.10974761904762,25.69946666666668,4.761904720191572e-06,-9.523809585029344e-06,-1.306045219063803e-13,-43.50570952380952,-22.939285714285933,-3.045183153257572e-15,4.761904799958454e-06,45.22354285714295,-3.926309523809523,0.0,-66.44499523809546,41.29723333333343,-25.14776190476202
lig_p38a_2aa,1,10,-13.860542857143244,-23.75768188190493,-25.866292857143243,-35.76343188190493,,,-28.962542857143244,-38.859681881904926,15.102,15.102,3.09625,3.09625,,3674.934076190477,4437.971280952382,4735.318738095238,-2863.932233333333,-24626.43347142857,1555.1946047619049,13963.77307142857,-4360.5690380952365,138.0932431542857,876.8260666666664,-4222.475794940952,-3345.649728274286,3643.1371428571424,4269.180971428571,4671.2271190476185,-2816.312252380952,-24624.783604761906,1529.399795238095,14210.231723809524,-4360.659823809523,140.1553310742857,882.0808952380955,-4220.504492735238,-3338.423597497143,31.796933333333328,168.7903095238095,64.0916142857143,-1.6560190476190475,12.196814285714286,25.794838095238088,-246.45866190476184,-26.370238095238093,3.4479749142857137,54.55582857142857,-22.922263180952385,31.6335653904762,2.0639574705412436e-14,-1.461687913563635e-13,4.761904673414176e-06,-45.96396190476189,-13.846680952381272,-2.8571428548692285e-05,9.52380952953934e-06,26.46102380952394,-5.5100628342857085,-59.81064285714315,20.950960975238235,-38.859681881904926,3674.934076190477,4437.971280952382,4735.318738095238,-2863.932233333333,-24626.43347142857,1555.1946047619049,13963.77307142857,-4419.6852666666655,87.17592380952381,0.0,876.8260666666664,-4332.509342857144,-3455.683276190476,3643.1371428571424,4269.180971428571,4671.2271190476185,-2816.312252380952,-24624.783604761906,1529.399795238095,14210.231723809524,-4427.267142857142,88.23626666666668,0.0,882.0808952380955,-4339.030876190476,-3456.9499809523813,31.796933333333328,168.7903095238095,64.0916142857143,-1.6560190476190475,12.196814285714286,25.794838095238088,-246.45866190476184,-27.35288571428572,3.026319047619048,0.0,54.55582857142857,-24.32656666666667,30.22926190476191,2.0639574705412436e-14,-1.461687913563635e-13,4.761904673414176e-06,-45.96396190476189,-13.846680952381272,-2.8571428548692285e-05,9.52380952953934e-06,34.93476190476182,-4.086661904761906,0.0,-59.81064285714315,30.84809999999991,-28.962542857143244
lig_p38a_2aa,1,11,-12.462599999999732,-21.442650529523625,-36.71519999999973,-45.695250529523626,,,-36.21769999999973,-45.19775052952362,23.7551,23.7551,-0.4974999999999999,-0.4974999999999999,,3692.6184142857146,4483.461442857142,4748.38089047619,-2874.9181380952377,-24714.745485714287,1555.8319666666666,13957.98727142857,-4266.495000000001,136.96468649142858,848.6163619047622,-4129.5303135085705,-3280.913951603809,3662.014252380952,4314.1574619047615,4683.738609523809,-2825.001595238095,-24711.246490476187,1530.052419047619,14211.801142857144,-4273.742904761904,139.70250449142856,865.5158000000004,-4134.040400270476,-3268.524600270476,30.604157142857144,169.30398571428572,64.64229047619048,-1.070357142857143,19.680380952380958,25.77954761904762,-253.8138571428572,-25.736504761904765,3.418780148571429,55.1261476190476,-22.317724613333333,32.80842300571428,4.761904709279666e-06,-4.761904713339911e-06,-9.523809521080498e-06,-48.84618571428574,-23.17937619047594,-1.1165671561944431e-14,-1.4285714372807063e-05,32.98440952380948,-6.156598148571431,-72.02556190476169,26.82781137523806,-45.19775052952362,3692.6184142857146,4483.461442857142,4748.38089047619,-2874.9181380952377,-24714.745485714287,1555.8319666666666,13957.98727142857,-4327.819061904763,86.94733809523811,0.0,848.6163619047622,-4240.871723809523,-3392.2553619047617,3662.014252380952,4314.1574619047615,4683.738609523809,-2825.001595238095,-24711.246490476187,1530.052419047619,14211.801142857144,-4341.385561904762,88.14701428571428,0.0,865.5158000000004,-4253.238547619048,-3387.722747619047,30.604157142857144,169.30398571428572,64.64229047619048,-1.070357142857143,19.680380952380958,25.77954761904762,-253.8138571428572,-26.43766666666666,2.996628571428571,0.0,55.1261476190476,-23.4410380952381,31.68510952380951,4.761904709279666e-06,-4.761904713339911e-06,-9.523809521080498e-06,-48.84618571428574,-23.17937619047594,-1.1165671561944431e-14,-1.4285714372807063e-05,40.00416666666671,-4.196304761904761,0.0,-72.02556190476169,35.80786190476194,-36.21769999999973
lig_p38a_2aa,1,12,-15.157333333332522,-25.564338392380023,-21.12175833333252,-31.528763392380025,,,-27.24363333333252,-37.65063839238002,12.0863,12.0863,6.121874999999999,6.121874999999999,,3657.8975857142864,4427.77959047619,4752.712090476191,-2855.775171428572,-24671.272257142857,1555.5163523809522,13962.90295238095,-4346.841752380952,138.94717234285713,829.7611428571432,-4207.894580038094,-3378.133437180951,3627.074942857143,4257.238795238096,4687.943123809524,-2808.761528571428,-24672.627995238094,1530.225890476191,14214.34558095238,-4350.1474333333335,140.90877743999997,835.438809523809,-4209.238655893334,-3373.7998463695244,30.822633333333336,170.54077142857142,64.76895714285713,-2.4864190476190475,19.14259047619048,25.29046666666667,-251.4426142857143,-26.793100000000003,3.4737380571428567,56.63638571428572,-23.319361942857142,33.31702377142857,9.523809489444427e-06,2.3809523822494937e-05,9.523809645933009e-06,-44.52722380952379,-17.786852380951544,-4.761904762232018e-06,-1.428571448243366e-05,30.09878095238102,-5.435343154285711,-62.314076190475326,24.663437798095305,-37.65063839238002,3657.8975857142864,4427.77959047619,4752.712090476191,-2855.775171428572,-24671.272257142857,1555.5163523809522,13962.90295238095,-4401.2837285714295,87.35306190476192,0.0,829.7611428571432,-4313.930666666666,-3484.169523809523,3627.074942857143,4257.238795238096,4687.943123809524,-2808.761528571428,-24672.627995238094,1530.225890476191,14214.34558095238,-4412.803919047619,88.33808571428571,0.0,835.438809523809,-4324.465833333333,-3489.027023809524,30.822633333333336,170.54077142857142,64.76895714285713,-2.4864190476190475,19.14259047619048,25.29046666666667,-251.4426142857143,-27.58224761904762,3.0469714285714287,0.0,56.63638571428572,-24.535276190476186,32.10110952380952,9.523809489444427e-06,2.3809523822494937e-05,9.523809645933009e-06,-44.52722380952379,-17.786852380951544,-4.761904762232018e-06,-1.428571448243366e-05,39.10243809523805,-4.031995238095239,0.0,-62.314076190475326,35.070442857142815,-27.24363333333252
lig_p38a_2aa,1,13,15.801509523809523,4.820053874285648,-22.10686547619048,-33.08832112571435,,,-27.97999047619048,-38.96144612571435,43.7815,43.7815,5.873125,5.873125,,3709.098747619047,4428.491185714286,4747.5529333333325,-2844.82089047619,-24792.99142380953,1557.5322904761902,13951.828,-4236.202766666666,138.83759780571432,756.6908428571433,-4097.365168860953,-3340.6743260038093,3678.961376190476,4258.576352380952,4683.785166666666,-2797.2851047619047,-24783.925452380947,1531.9715619047618,14194.883247619046,-4241.263466666666,141.1187789142857,766.967147619047,-4100.14468775238,-3333.177540133334,30.137357142857148,169.91483333333332,63.76776190476191,-2.180757142857143,11.191290476190478,25.560719047619045,-243.05523809523808,-27.33053333333333,3.4592078742857137,55.33596666666666,-23.87132545904762,31.46464120761904,1.4285714255059983e-05,4.195585677821544e-14,4.761904796574916e-06,-45.355028571428655,-20.25726190476169,9.523809556776813e-06,-9.52380944968787e-06,32.391233333333126,-5.740388982857144,-65.61229047619034,26.650844350475992,-38.96144612571435,3709.098747619047,4428.491185714286,4747.5529333333325,-2844.82089047619,-24792.99142380953,1557.5322904761902,13951.828,-4315.147714285714,87.4915238095238,0.0,756.6908428571433,-4227.656190476189,-3470.9653476190474,3678.961376190476,4258.576352380952,4683.785166666666,-2797.2851047619047,-24783.925452380947,1531.9715619047618,14194.883247619046,-4328.597180952381,88.56290952380952,0.0,766.967147619047,-4240.034271428572,-3473.067123809524,30.137357142857148,169.91483333333332,63.76776190476191,-2.180757142857143,11.191290476190478,25.560719047619045,-243.05523809523808,-28.2927,3.038480952380952,0.0,55.33596666666666,-25.25421904761905,30.08174761904761,1.4285714255059983e-05,4.195585677821544e-14,4.761904796574916e-06,-45.355028571428655,-20.25726190476169,9.523809556776813e-06,-9.52380944968787e-06,41.742166666666535,-4.109866666666667,0.0,-65.61229047619034,37.632299999999866,-27.97999047619048
lig_p38a_2aa,1,14,-4.964642857142941,-20.315905695238087,-18.90224285714294,-34.25350569523809,,,-25.95224285714294,-41.30350569523809,20.9876,20.9876,7.05,7.05,,3650.564147619048,4431.049980952382,4746.2911047619045,-2847.4927857142857,-24708.064123809523,1553.8411095238098,13931.912085714288,-4289.065666666666,139.15424612571428,758.1015190476191,-4149.911420540953,-3391.8099014933327,3619.987328571429,4260.889333333334,4682.633414285715,-2798.355876190476,-24696.809085714285,1528.346880952381,14175.836080952382,-4295.506152380952,141.28718701714286,772.5280761904761,-4154.218965363809,-3381.6908891733337,30.576819047619043,170.16064285714288,63.65769523809523,-2.245519047619048,10.914657142857145,25.494214285714285,-243.92399047619048,-26.90961904761905,3.459583851428572,54.63451904761904,-23.450035196190477,31.184483851428563,5.396741254939808e-14,4.761904711986495e-06,-4.761904859508702e-06,-46.891390476190544,-22.16969523809512,1.4285714272823552e-05,-4.761904904171388e-06,33.35010476190473,-5.5925247428571465,-69.06108571428568,27.75758001904759,-41.30350569523809,3650.564147619048,4431.049980952382,4746.2911047619045,-2847.4927857142857,-24708.064123809523,1553.8411095238098,13931.912085714288,-4354.966080952382,87.60722857142856,0.0,758.1015190476191,-4267.358852380951,-3509.257333333334,3619.987328571429,4260.889333333334,4682.633414285715,-2798.355876190476,-24696.809085714285,1528.346880952381,14175.836080952382,-4374.129452380952,88.71948095238096,0.0,772.5280761904761,-4285.409971428571,-3512.881895238096,30.576819047619043,170.16064285714288,63.65769523809523,-2.245519047619048,10.914657142857145,25.494214285714285,-243.92399047619048,-28.081757142857143,3.0240333333333336,0.0,54.63451904761904,-25.057723809523807,29.57679523809523,5.396741254939808e-14,4.761904711986495e-06,-4.761904859508702e-06,-46.891390476190544,-22.16969523809512,1.4285714272823552e-05,-4.761904904171388e-06,47.245128571428445,-4.136285714285714,0.0,-69.06108571428568,43.10884285714273,-25.95224285714294
lig_p38a_2aa,1,15,-9.209680952381056,-24.41199630095236,-19.923880952381054,-35.12619630095236,,,-26.443880952381058,-41.64619630095236,17.2342,17.2342,6.52,6.52,,3678.6268999999993,4436.229719047619,4753.447080952381,-2848.988671428572,-24748.00122380952,1555.8639476190478,13950.674457142855,-4271.576414285713,138.12734547428568,777.8522095238093,-4133.449068811428,-3355.59685928762,3650.2415285714287,4267.605104761905,4689.925638095238,-2797.9315380952385,-24741.522242857143,1529.9789523809525,14194.46743333333,-4275.5366047619045,140.6877814285714,792.764876190476,-4134.848823333334,-3342.0839471428576,28.38537619047619,168.62460476190478,63.52144761904763,-2.1410714285714287,10.911380952380954,25.88499523809524,-243.79296666666664,-26.713666666666665,3.45319368,51.39376666666666,-23.260472986666667,28.13329367999999,-4.761904723998052e-06,9.523809482169826e-06,-4.761904870674373e-06,-48.916061904761854,-17.39036190476192,2.419228838421293e-14,-9.523809357655667e-06,30.67385714285713,-6.01362963428571,-66.30642380952379,24.660227508571417,-41.64619630095236,3678.6268999999993,4436.229719047619,4753.447080952381,-2848.988671428572,-24748.00122380952,1555.8639476190478,13950.674457142855,-4339.066147619048,87.19228095238095,0.0,777.8522095238093,-4251.873866666667,-3474.021657142858,3650.2415285714287,4267.605104761905,4689.925638095238,-2797.9315380952385,-24741.522242857143,1529.9789523809525,14194.46743333333,-4355.316528571428,88.40493333333333,0.0,792.764876190476,-4266.911595238095,-3474.1467190476187,28.38537619047619,168.62460476190478,63.52144761904763,-2.1410714285714287,10.911380952380954,25.88499523809524,-243.79296666666664,-27.85085238095239,3.0260380952380954,0.0,51.39376666666666,-24.82481428571429,26.568952380952368,-4.761904723998052e-06,9.523809482169826e-06,-4.761904870674373e-06,-48.916061904761854,-17.39036190476192,2.419228838421293e-14,-9.523809357655667e-06,44.1012333333332,-4.238690476190474,0.0,-66.30642380952379,39.86254285714273,-26.443880952381058
lig_p38a_2aa,1,16,5.3901761904765735,-13.106924232380567,-22.112373809523422,-40.60947423238056,,,-24.976123809523425,-43.473224232380566,30.3663,30.3663,2.86375,2.86375,,3696.233657142857,4453.367100000001,4746.865899999999,-2861.1294380952377,-24742.363685714285,1549.6357952380954,13981.101895238096,-4292.924266666666,137.50028448,823.7112238095237,-4155.423982186668,-3331.712758377143,3665.351638095238,4285.925828571429,4683.453157142857,-2811.894333333333,-24726.136604761905,1523.7216380952384,14223.591871428573,-4302.517576190476,140.1304857942857,844.0131952380952,-4162.38709039619,-3318.373895158096,30.882028571428577,167.44126666666665,63.41274761904763,-1.6625857142857146,10.852733333333337,25.91415238095238,-242.48997619047617,-27.6498,3.433799108571429,54.350366666666666,-24.21600089142857,30.13436577523809,-9.523809531231107e-06,4.761904767476499e-06,-4.761904859847055e-06,-47.57251904761903,-27.079814285713788,4.761904785578422e-06,-2.1248611336063949e-13,37.2431095238094,-6.064000422857141,-74.65233333333282,31.179109100952257,-43.473224232380566,3696.233657142857,4453.367100000001,4746.865899999999,-2861.1294380952377,-24742.363685714285,1549.6357952380954,13981.101895238096,-4348.839847619048,87.3579380952381,0.0,823.7112238095237,-4261.48190952381,-3437.7706857142857,3665.351638095238,4285.925828571429,4683.453157142857,-2811.894333333333,-24726.136604761905,1523.7216380952384,14223.591871428573,-4373.7897,88.5591380952381,0.0,844.0131952380952,-4285.230561904762,-3441.2173666666667,30.882028571428577,167.44126666666665,63.41274761904763,-1.6625857142857146,10.852733333333337,25.91415238095238,-242.48997619047617,-28.925980952380947,2.9984238095238096,0.0,54.350366666666666,-25.927557142857136,28.422809523809526,-9.523809531231107e-06,4.761904767476499e-06,-4.761904859847055e-06,-47.57251904761903,-27.079814285713788,4.761904785578422e-06,-2.1248611336063949e-13,53.8758333333332,-4.199623809523809,0.0,-74.65233333333282,49.67620952380939,-24.976123809523425
lig_p38a_2aa,1,17,-22.645047619047595,-38.89344574095255,-25.686272619047596,-41.93467074095255,,,-30.130647619047597,-46.37904574095255,7.4856,7.4856,4.444375,4.444375,,3696.23009047619,4446.961409523809,4747.3349,-2867.5723142857146,-24749.772809523813,1557.0136333333337,13963.375509523812,-4269.501076190476,137.9962439314286,793.5704190476185,-4131.504832259048,-3337.9344132114297,3666.9246333333335,4277.8376,4685.021566666667,-2816.139680952381,-24735.48137142857,1531.253780952381,14206.463595238092,-4277.127357142856,140.6990701714286,815.8801238095233,-4136.428286971428,-3320.548163161905,29.305433333333333,169.12379523809523,62.313347619047626,-1.5347142857142857,10.119852380952382,25.759857142857143,-243.08809047619044,-26.446561904761904,3.439852834285714,51.99948095238095,-23.006709070476195,28.99277188190477,2.380952381217515e-05,1.4285714261827057e-05,-1.4285714245247729e-05,-49.897919047619,-24.411290476190533,-4.761904766461439e-06,4.761904848681384e-06,34.072842857142724,-6.142679074285714,-74.30920952380954,27.930163782857,-46.37904574095255,3696.23009047619,4446.961409523809,4747.3349,-2867.5723142857146,-24749.772809523813,1557.0136333333337,13963.375509523812,-4330.044504761905,87.33023333333333,0.0,793.5704190476185,-4242.714271428571,-3449.1438523809525,3666.9246333333335,4277.8376,4685.021566666667,-2816.139680952381,-24735.48137142857,1531.253780952381,14206.463595238092,-4350.650557142857,88.56737142857143,0.0,815.8801238095233,-4262.083185714286,-3446.2030619047623,29.305433333333333,169.12379523809523,62.313347619047626,-1.5347142857142857,10.119852380952382,25.759857142857143,-243.08809047619044,-27.81183809523809,3.002190476190476,0.0,51.99948095238095,-24.80964761904762,27.189833333333333,2.380952381217515e-05,1.4285714261827057e-05,-1.4285714245247729e-05,-49.897919047619,-24.411290476190533,-4.761904766461439e-06,4.761904848681384e-06,48.41789047619052,-4.239328571428571,0.0,-74.30920952380954,44.17856190476196,-30.130647619047597
lig_p38a_2aa,1,18,12.097014285713737,-9.55005709333387,-18.325035714286265,-39.97210709333387,,,-21.176285714286266,-42.82335709333387,33.2733,33.2733,2.8512500000000003,2.8512500000000003,,3682.569809523809,4442.112642857143,4754.868366666668,-2864.489904761905,-24734.039271428574,1554.7055952380954,13956.998642857145,-4287.418914285714,138.24698616,792.7258809523806,-4149.171928125714,-3356.4460471733337,3652.405038095239,4274.82969047619,4691.627980952381,-2814.8396619047617,-24722.182328571427,1529.953528571429,14200.392433333336,-4293.679423809524,140.60461652571428,812.1866809523808,-4153.07480728381,-3340.888126331429,30.16478571428571,167.2829714285714,63.24038571428572,-1.7690047619047622,10.83487619047619,24.75209047619047,-243.39379047619045,-27.294900000000005,3.448079108571428,51.11231428571428,-23.84682089142857,27.26549339428571,-1.4285714330005325e-05,-1.904761908885381e-05,1.7086861026611933e-13,-47.88123809523812,-22.691819047619592,-2.380952379762594e-05,1.7594391552154862e-14,33.55540952380956,-5.805709474285714,-70.5730571428577,27.74970004952385,-42.82335709333387,3682.569809523809,4442.112642857143,4754.868366666668,-2864.489904761905,-24734.039271428574,1554.7055952380954,13956.998642857145,-4342.8465,87.18987619047618,0.0,792.7258809523806,-4255.656623809523,-3462.930742857143,3652.405038095239,4274.82969047619,4691.627980952381,-2814.8396619047617,-24722.182328571427,1529.953528571429,14200.392433333336,-4368.009704761905,88.36486190476191,0.0,812.1866809523808,-4279.644842857143,-3467.458161904762,30.16478571428571,167.2829714285714,63.24038571428572,-1.7690047619047622,10.83487619047619,24.75209047619047,-243.39379047619045,-28.42561428571429,3.0170619047619045,0.0,51.11231428571428,-25.408552380952383,25.703761904761897,-1.4285714330005325e-05,-1.904761908885381e-05,1.7086861026611933e-13,-47.88123809523812,-22.691819047619592,-2.380952379762594e-05,1.7594391552154862e-14,53.588819047619054,-4.192047619047619,0.0,-70.5730571428577,49.39677142857144,-21.176285714286266
