name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_p38a_2aa,1,1,-13.572361904761385,-31.80306565333265,-18.044886904761384,-36.27559065333265,,,-22.129261904761385,-40.35996565333265,8.5569,8.5569,4.0843750000000005,4.0843750000000005,,3689.818823809524,4328.4686,4702.170771428571,-2861.984209523809,-24826.366619047614,1546.6826380952382,13896.104366666668,-4149.801466666667,135.41052980571428,474.8943714285711,-4014.390936860953,-3539.4965654323805,3660.796780952381,4298.362585714285,4686.175942857143,-2815.0421904761906,-24817.095795238103,1528.4651952380952,14172.56920952381,-4155.290304761905,137.89560905142858,714.231728571428,-4017.394695710476,-3303.162967139048,29.022047619047623,30.106023809523805,15.994819047619051,-1.3816857142857144,14.934061904761904,18.217442857142856,-276.464861904762,-29.83217619047619,3.430681645714286,-169.57215238095236,-26.40149454476191,-195.97364692571423,-4.76190478405583e-06,-9.523809511606596e-06,9.52380945780836e-06,-45.56033333333336,-24.20488571428509,8.966372617925073e-15,1.9047619091560635e-05,35.321014285714355,-5.915760891428569,-69.76521904761846,29.40525339428579,-40.35996565333265,3689.818823809524,4328.4686,4702.170771428571,-2861.984209523809,-24826.366619047614,1546.6826380952382,13896.104366666668,-4203.307528571429,85.41973333333333,0.0,474.8943714285711,-4117.887795238095,-3642.9934238095248,3660.796780952381,4298.362585714285,4686.175942857143,-2815.0421904761906,-24817.095795238103,1528.4651952380952,14172.56920952381,-4224.449252380953,86.53847619047619,0.0,714.231728571428,-4137.910776190476,-3423.679047619048,29.022047619047623,30.106023809523805,15.994819047619051,-1.3816857142857144,14.934061904761904,18.217442857142856,-276.464861904762,-30.608738095238103,2.995761904761904,0.0,-169.57215238095236,-27.61297619047619,-197.18512857142852,-4.76190478405583e-06,-9.523809511606596e-06,9.52380945780836e-06,-45.56033333333336,-24.20488571428509,8.966372617925073e-15,1.9047619091560635e-05,51.75046190476184,-4.114504761904762,0.0,-69.76521904761846,47.63595714285706,-22.129261904761385
lig_p38a_2aa,1,10,50.35877619047616,30.2570929980952,-9.636073809523834,-29.7377570019048,,,-20.579823809523837,-40.6815070019048,70.9386,70.9386,10.94375,10.94375,,3683.1785333333337,4306.713176190477,4678.385338095238,-2844.304985714285,-24713.69691428572,1548.3729666666668,13904.87020952381,-4271.627547619048,138.03212976,563.5183238095242,-4133.595417859047,-3570.077094049524,3655.167604761905,4275.766380952382,4663.466171428571,-2798.5869904761907,-24674.776409523813,1529.8402761904758,14163.923447619049,-4284.825414285714,140.78998419428572,814.8004809523811,-4144.035430091429,-3329.234949139048,28.01092857142857,30.94678571428572,14.919176190476191,-1.848671428571429,-5.483,18.53269047619048,-259.0532380952381,-29.581157142857148,3.3958478057142854,-173.97532857142858,-26.185309337142865,-200.16063790857143,8.264288724257357e-14,9.523809572341082e-06,-9.523809707513378e-06,-43.86932380952379,-33.43750476190481,2.3008050491279435e-14,2.409078227910435e-13,42.77902380952382,-6.153702240000004,-77.30682857142862,36.625321569523805,-40.6815070019048,3683.1785333333337,4306.713176190477,4678.385338095238,-2844.304985714285,-24713.69691428572,1548.3729666666668,13904.87020952381,-4332.41340952381,87.37050952380953,0.0,563.5183238095242,-4245.0429,-3681.5245761904766,3655.167604761905,4275.766380952382,4663.466171428571,-2798.5869904761907,-24674.776409523813,1529.8402761904758,14163.923447619049,-4361.942066666667,88.55005238095238,0.0,814.8004809523811,-4273.392014285714,-3458.591533333333,28.01092857142857,30.94678571428572,14.919176190476191,-1.848671428571429,-5.483,18.53269047619048,-259.0532380952381,-31.373647619047617,2.995757142857143,0.0,-173.97532857142858,-28.37789047619048,-202.35321904761904,8.264288724257357e-14,9.523809572341082e-06,-9.523809707513378e-06,-43.86932380952379,-33.43750476190481,2.3008050491279435e-14,2.409078227910435e-13,60.90230476190477,-4.175300000000001,0.0,-77.30682857142862,56.727004761904766,-20.579823809523837
lig_p38a_2aa,1,11,-4.444728571428794,-21.26565508190474,-18.318578571428795,-35.139505081904744,,,-23.932328571428798,-40.75325508190474,19.4876,19.4876,5.61375,5.61375,,3706.69,4309.775619047619,4684.414419047619,-2866.262804761905,-24736.6579952381,1550.2594,13910.460638095234,-4256.871538095238,136.94192766857142,558.6792761904766,-4119.929610426667,-3561.25033423619,3680.194228571429,4276.804019047619,4667.881,-2820.066714285714,-24697.849147619047,1532.0467142857144,14172.035471428571,-4273.14938095238,139.54324337142856,811.0455714285712,-4133.606137580952,-3322.5605661523814,26.49576666666667,32.97161428571429,16.533423809523807,-2.2745523809523807,-0.3103904761904762,18.212680952380957,-261.5748190476191,-31.38777619047619,3.397563188571429,-169.9462761904762,-27.990213001904767,-197.9364891923809,4.761904783717477e-06,-1.4285714302767852e-05,-4.761904683480198e-06,-43.921538095238056,-38.49845714285725,4.761904762739548e-06,-1.428571401956582e-05,47.665619047619145,-5.998878891428578,-82.41999523809532,41.66674015619057,-40.75325508190474,3706.69,4309.775619047619,4684.414419047619,-2866.262804761905,-24736.6579952381,1550.2594,13910.460638095234,-4316.7757571428565,86.83891904761904,0.0,558.6792761904766,-4229.936838095238,-3671.257561904762,3680.194228571429,4276.804019047619,4667.881,-2820.066714285714,-24697.849147619047,1532.0467142857144,14172.035471428571,-4346.505042857143,87.96234761904763,0.0,811.0455714285712,-4258.542695238095,-3447.497123809524,26.49576666666667,32.97161428571429,16.533423809523807,-2.2745523809523807,-0.3103904761904762,18.212680952380957,-261.5748190476191,-32.897557142857146,3.015747619047619,0.0,-169.9462761904762,-29.88180952380953,-199.8280857142857,4.761904783717477e-06,-1.4285714302767852e-05,-4.761904683480198e-06,-43.921538095238056,-38.49845714285725,4.761904762739548e-06,-1.428571401956582e-05,62.62684285714271,-4.139176190476192,0.0,-82.41999523809532,58.487666666666506,-23.932328571428798
lig_p38a_2aa,1,12,23.68799999999952,6.194610647618603,-20.10707500000049,-37.6004643523814,,,-21.225200000000488,-38.7185893523814,44.9132,44.9132,1.118125,1.118125,,3705.2121714285713,4307.752038095238,4678.232219047619,-2853.2645761904764,-24795.043652380955,1549.3817952380953,13905.184652380953,-4202.117104761906,137.54733068571426,497.45464761904793,-4064.569774076191,-3567.115126457142,3676.629390476191,4277.822847619047,4663.476509523809,-2809.2210095238097,-24756.60200952381,1531.3226523809524,14165.122209523808,-4216.913823809524,139.87929973714284,748.5505904761909,-4077.034524072381,-3328.48393359619,28.58279047619048,29.929200000000005,14.75570476190476,-1.8533142857142852,-3.240923809523809,18.05913333333333,-259.9375619047619,-29.63927142857143,3.431639348571429,-173.7049714285714,-26.207632079999996,-199.9126035085714,-9.52380949316632e-06,-9.52380957081849e-06,4.761904833624645e-06,-42.19025238095242,-35.20071904761937,9.523809521926382e-06,4.761904817552845e-06,44.43599047619039,-5.763608400000003,-77.39097142857177,38.67238207619039,-38.7185893523814,3705.2121714285713,4307.752038095238,4678.232219047619,-2853.2645761904764,-24795.043652380955,1549.3817952380953,13905.184652380953,-4247.767533333334,87.50992857142857,0.0,497.45464761904793,-4160.257604761906,-3662.802957142857,3676.629390476191,4277.822847619047,4663.476509523809,-2809.2210095238097,-24756.60200952381,1531.3226523809524,14165.122209523808,-4276.703233333335,88.55659047619046,0.0,748.5505904761909,-4188.146642857142,-3439.596052380952,28.58279047619048,29.929200000000005,14.75570476190476,-1.8533142857142852,-3.240923809523809,18.05913333333333,-259.9375619047619,-31.30262857142857,3.0258952380952384,0.0,-173.7049714285714,-28.276733333333336,-201.98170476190475,-9.52380949316632e-06,-9.52380957081849e-06,4.761904833624645e-06,-42.19025238095242,-35.20071904761937,9.523809521926382e-06,4.761904817552845e-06,60.238328571428426,-4.072557142857142,0.0,-77.39097142857177,56.1657714285713,-21.225200000000488
lig_p38a_2aa,1,13,-1.0507333333336408,-21.970052940952705,-8.98483333333364,-29.904152940952702,,,-16.17983333333364,-37.09915294095271,15.1291,15.1291,7.195,7.195,,3685.272628571429,4309.6217809523805,4687.121795238096,-2857.6730666666667,-24818.54825238095,1543.3282809523812,13909.017995238091,-4172.783600000001,135.96288126857144,458.14116190476153,-4036.820718731428,-3578.679556826667,3658.849942857143,4278.72409047619,4670.4787333333325,-2812.0420714285715,-24785.72876666666,1524.6663333333331,14166.919795238096,-4182.4334,138.34873546285718,701.8680571428567,-4044.084664537143,-3342.2166073942867,26.42269523809524,30.89769523809523,16.643071428571425,-1.794047619047619,-6.173038095238094,18.661961904761903,-257.901780952381,-29.535814285714288,3.4155177942857144,-173.24344285714284,-26.12029649142857,-199.3637393485714,-9.523809476248637e-06,-4.761904859847055e-06,-9.52380949908751e-06,-43.83694761904756,-26.646447619048026,-1.4285714248462086e-05,-1.9047619034717216e-05,39.1856142857143,-5.801371988571428,-70.48339523809557,33.38424229714286,-37.09915294095271,3685.272628571429,4309.6217809523805,4687.121795238096,-2857.6730666666667,-24818.54825238095,1543.3282809523812,13909.017995238091,-4205.466828571428,86.2049761904762,0.0,458.14116190476153,-4119.261852380952,-3661.120690476191,3658.849942857143,4278.72409047619,4670.4787333333325,-2812.0420714285715,-24785.72876666666,1524.6663333333331,14166.919795238096,-4232.559361904762,87.3108761904762,0.0,701.8680571428567,-4145.248485714286,-3443.380428571429,26.42269523809524,30.89769523809523,16.643071428571425,-1.794047619047619,-6.173038095238094,18.661961904761903,-257.901780952381,-31.3301380952381,3.013209523809524,0.0,-173.24344285714284,-28.316928571428576,-201.5603714285714,-9.523809476248637e-06,-4.761904859847055e-06,-9.52380949908751e-06,-43.83694761904756,-26.646447619048026,-1.4285714248462086e-05,-1.9047619034717216e-05,58.42267142857146,-4.119109523809522,0.0,-70.48339523809557,54.30356190476194,-16.17983333333364
lig_p38a_2aa,1,14,16.038923809523652,-0.1491941752381791,-9.651676190476348,-25.83979417523818,,,-19.234176190476347,-35.42229417523818,35.2731,35.2731,9.5825,9.5825,,3677.9781571428575,4303.791795238095,4681.354252380952,-2858.783280952381,-24749.55178095238,1554.822476190476,13922.895404761905,-4252.817657142857,136.37913493714285,532.5070238095243,-4116.4385222057135,-3583.931498396189,3649.740180952381,4272.863933333334,4665.801523809523,-2814.634,-24709.193571428576,1537.048204761905,14181.563833333334,-4268.900323809524,138.32798550857143,783.1901047619044,-4130.572338300953,-3347.382233539048,28.2379619047619,30.92784761904762,15.552723809523812,-1.6860428571428574,-7.572033333333333,17.774266666666662,-258.6684428571428,-29.05659523809524,3.3632912228571428,-175.43371904761904,-25.693304015238105,-201.12702306285715,1.4285714326283432e-05,1.428571419364879e-05,4.7619047893003126e-06,-42.46323809523814,-32.78617619047628,4.761904743199623e-06,1.4285714793719048e-05,45.13926190476194,-5.312141794285718,-75.2494142857144,39.82712011047622,-35.42229417523818,3677.9781571428575,4303.791795238095,4681.354252380952,-2858.783280952381,-24749.55178095238,1554.822476190476,13922.895404761905,-4297.4968285714285,86.37207619047619,0.0,532.5070238095243,-4211.1247523809525,-3678.617728571429,3649.740180952381,4272.863933333334,4665.801523809523,-2814.634,-24709.193571428576,1537.048204761905,14181.563833333334,-4326.817423809524,87.46489047619048,0.0,783.1901047619044,-4239.352533333334,-3456.162428571429,28.2379619047619,30.92784761904762,15.552723809523812,-1.6860428571428574,-7.572033333333333,17.774266666666662,-258.6684428571428,-30.764419047619043,2.976961904761905,0.0,-175.43371904761904,-27.78745714285714,-203.22117619047617,1.4285714326283432e-05,1.428571419364879e-05,4.7619047893003126e-06,-42.46323809523814,-32.78617619047628,4.761904743199623e-06,1.4285714793719048e-05,60.08501428571425,-4.069776190476192,0.0,-75.2494142857144,56.01523809523805,-19.234176190476347
lig_p38a_2aa,1,15,12.547966666665964,4.716096521904007,-18.18225833333404,-26.014128478095994,,,-26.49163333333404,-34.323503478095994,39.0396,39.0396,8.309375,8.309375,,3671.127642857143,4314.982166666667,4679.046285714287,-2855.403280952381,-24650.849833333334,1546.874828571429,13904.92101428571,-4330.230004761905,137.06343150857143,610.6988238095232,-4193.166573253334,-3582.46774944381,3641.9412619047616,4285.0515,4663.653576190477,-2813.7072714285714,-24608.0961,1529.2725238095236,14164.385433333337,-4348.083076190475,138.79013543999997,862.5009238095237,-4209.292940750475,-3346.792016940952,29.18639523809524,29.930661904761894,15.392704761904762,-2.110809523809524,-4.767119047619048,17.602314285714286,-259.46441428571427,-30.505761904761904,3.383818594285714,-174.2302666666667,-27.12194331047619,-201.35220997714285,-1.428571431900883e-05,4.761904929040384e-06,4.761904809855298e-06,-39.58519999999995,-37.98661428571491,-9.523809489613604e-06,-4.761904948834074e-06,48.35883333333316,-5.110522525714288,-77.57181428571486,43.248310807618864,-34.323503478095994,3671.127642857143,4314.982166666667,4679.046285714287,-2855.403280952381,-24650.849833333334,1546.874828571429,13904.92101428571,-4398.433371428571,86.979,0.0,610.6988238095232,-4311.454371428572,-3700.755547619048,3641.9412619047616,4285.0515,4663.653576190477,-2813.7072714285714,-24608.0961,1529.2725238095236,14164.385433333337,-4421.553490476191,87.97564761904762,0.0,862.5009238095237,-4333.577842857143,-3471.0769190476194,29.18639523809524,29.930661904761894,15.392704761904762,-2.110809523809524,-4.767119047619048,17.602314285714286,-259.46441428571427,-31.96969523809524,3.012985714285714,0.0,-174.2302666666667,-28.95670952380953,-203.18697619047617,-1.428571431900883e-05,4.761904929040384e-06,4.761904809855298e-06,-39.58519999999995,-37.98661428571491,-9.523809489613604e-06,-4.761904948834074e-06,55.08981428571416,-4.009633333333336,0.0,-77.57181428571486,51.08018095238082,-26.49163333333404
lig_p38a_2aa,1,16,2.4062523809526333,-7.422868697142622,-15.477747619047369,-25.306868697142622,,,-21.672747619047367,-31.501868697142623,24.079,24.079,6.195,6.195,,3693.168871428572,4306.241585714286,4682.216104761906,-2849.8081904761907,-24705.968690476187,1549.3959714285716,13911.983552380952,-4287.578023809525,137.00759170285716,587.2292047619046,-4150.570432106666,-3563.3412273447625,3666.899161904762,4276.193766666667,4666.970033333334,-2810.142847619048,-24668.7688047619,1530.973123809524,14170.693585714283,-4300.157371428571,138.65302926857143,832.8180190476194,-4161.504342159999,-3328.6863231123807,26.26972857142857,30.04780952380952,15.246095238095238,-2.08442380952381,-6.233442857142857,18.422847619047623,-258.7100238095238,-29.51965714285714,3.408073988571428,-177.04140952380948,-26.11158315428572,-203.1529926780952,-1.904761902541249e-05,9.523809668433528e-06,-2.3809523786798624e-05,-37.580919047619055,-30.966442857142663,-3.298948416029037e-15,-9.523809461868604e-06,42.0990047619048,-5.053511554285719,-68.54736190476171,37.045493207619074,-31.501868697142623,3693.168871428572,4306.241585714286,4682.216104761906,-2849.8081904761907,-24705.968690476187,1549.3959714285716,13911.983552380952,-4349.073661904762,86.54015238095238,0.0,587.2292047619046,-4262.53350952381,-3675.304304761904,3666.899161904762,4276.193766666667,4666.970033333334,-2810.142847619048,-24668.7688047619,1530.973123809524,14170.693585714283,-4369.043566666667,87.51151904761906,0.0,832.8180190476194,-4281.532047619047,-3448.714028571428,26.26972857142857,30.04780952380952,15.246095238095238,-2.08442380952381,-6.233442857142857,18.422847619047623,-258.7100238095238,-30.8853,3.0092238095238093,0.0,-177.04140952380948,-27.876076190476187,-204.91748571428573,-1.904761902541249e-05,9.523809668433528e-06,-2.3809523786798624e-05,-37.580919047619055,-30.966442857142663,-3.298948416029037e-15,-9.523809461868604e-06,50.85520476190483,-3.980590476190479,0.0,-68.54736190476171,46.87461428571434,-21.672747619047367
lig_p38a_2aa,1,17,-7.275228571428066,-16.574923916189952,-19.350853571428065,-28.65054891618995,,,-25.190228571428065,-34.48992391618995,17.915,17.915,5.839375,5.839375,,3694.836166666666,4304.757580952381,4690.138047619048,-2845.2217,-24736.16111904762,1548.3573095238094,13936.412166666669,-4293.043742857143,138.43949317714285,593.1184523809521,-4154.604249679999,-3561.485797299048,3665.915733333333,4275.508133333334,4674.827547619048,-2807.291433333333,-24705.06199523809,1530.3263285714286,14198.648857142854,-4299.287357142857,139.94903633142854,832.8731714285714,-4159.338320811427,-3326.465149382858,28.920428571428573,29.249452380952377,15.310509523809523,-0.9125,-3.482457142857142,18.03099047619048,-262.23669523809525,-28.767714285714284,3.357276,-175.12027142857147,-25.41043828571429,-200.5307097142857,4.761904759017657e-06,-4.761904883024283e-06,-9.52380962816944e-06,-37.01776666666667,-27.61666666666621,-9.523809537490652e-06,4.761904621307708e-06,35.01132857142865,-4.866819154285711,-64.63443333333288,30.14450941714293,-34.48992391618995,3694.836166666666,4304.757580952381,4690.138047619048,-2845.2217,-24736.16111904762,1548.3573095238094,13936.412166666669,-4349.498533333333,87.47429523809524,0.0,593.1184523809521,-4262.024238095238,-3668.9057857142857,3665.915733333333,4275.508133333334,4674.827547619048,-2807.291433333333,-24705.06199523809,1530.3263285714286,14198.648857142854,-4362.41069047619,88.49940476190477,0.0,832.8731714285714,-4273.911285714285,-3441.0381142857145,28.920428571428573,29.249452380952377,15.310509523809523,-0.9125,-3.482457142857142,18.03099047619048,-262.23669523809525,-30.5179,2.960742857142857,0.0,-175.12027142857147,-27.557157142857147,-202.6774285714286,4.761904759017657e-06,-4.761904883024283e-06,-9.52380962816944e-06,-37.01776666666667,-27.61666666666621,-9.523809537490652e-06,4.761904621307708e-06,43.4300571428572,-3.9858523809523794,0.0,-64.63443333333288,39.44420476190482,-25.190228571428065
lig_p38a_2aa,1,18,-3.2950523809521624,-18.626855127618647,-12.55920238095216,-27.891005127618644,,,-18.63295238095216,-33.964755127618645,15.3379,15.3379,6.07375,6.07375,,3677.387728571429,4322.177780952381,4687.09739047619,-2857.159695238095,-24765.360023809524,1543.0915,13930.494700000005,-4233.219657142857,137.34982512000002,537.7293809523815,-4095.8698320228577,-3558.140451070476,3649.3160666666654,4290.355076190476,4670.723042857143,-2816.2755,-24731.194828571428,1524.793585714286,14190.426280952384,-4241.244219047619,139.26659828571434,778.1437238095236,-4101.977620761905,-3323.833896952381,28.071666666666665,31.82270952380952,16.37434761904762,-0.8589333333333334,-8.567557142857144,18.297933333333333,-259.93159047619054,-28.910719047619047,3.3603629142857137,-174.79142380952385,-25.55035613333333,-200.3417799428572,-4.761904744637626e-06,-4.761904649221887e-06,-6.344131569286609e-14,-40.02526190476184,-25.59763809523785,-1.9047619024397428e-05,9.523809590443005e-06,36.93528095238104,-5.277136080000006,-65.62289999999969,31.65814487238104,-33.964755127618645,3677.387728571429,4322.177780952381,4687.09739047619,-2857.159695238095,-24765.360023809524,1543.0915,13930.494700000005,-4291.044685714285,87.32539999999999,0.0,537.7293809523815,-4203.719285714286,-3665.989904761904,3649.3160666666654,4290.355076190476,4670.723042857143,-2816.2755,-24731.194828571428,1524.793585714286,14190.426280952384,-4311.409533333334,88.3566380952381,0.0,778.1437238095236,-4223.052895238096,-3444.9091714285714,28.071666666666665,31.82270952380952,16.37434761904762,-0.8589333333333334,-8.567557142857144,18.297933333333333,-259.93159047619054,-30.62933333333333,2.972995238095238,0.0,-174.79142380952385,-27.65633809523809,-202.4477619047619,-4.761904744637626e-06,-4.761904649221887e-06,-6.344131569286609e-14,-40.02526190476184,-25.59763809523785,-1.9047619024397428e-05,9.523809590443005e-06,50.99418095238087,-4.004233333333336,0.0,-65.62289999999969,46.98994761904752,-18.63295238095216
