name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_20667_2qbp,82.98554873015874,61.2352079791746,-29.99694668650793,-51.74728743749207,,,-45.5487696031746,-67.29911035415873,128.53431833333332,128.53431833333332,15.551822916666667,15.551822916666667,,6.516605797285513,6.54055598946152,1.0039354236139224,1.149736988876754,,,0.311144183580194,0.4676791167550488,6.4979577997216325,6.4979577997216325,0.9251982955555921,0.9251982955555921,,3,60
lig_20669_2qbr,88.25736095238088,80.24775338279356,-20.477098630952458,-28.48670620053976,,,-37.261234047619126,-45.27084161720643,125.518595,125.518595,16.78413541666667,16.78413541666667,,6.29934496635683,6.313281632603149,1.046846790829445,0.9869290553623183,,,0.5226233343905358,0.4607395005163098,6.350231245310493,6.350231245310493,0.9344900657674813,0.9344900657674813,,3,60
lig_20670_2qbs,81.78036484126983,69.03225694819048,-27.6814734920635,-40.42958138514286,,,-42.560640158730166,-55.30874805180952,124.341005,124.341005,14.879166666666666,14.879166666666666,,6.683361469657077,6.740795574181509,0.8532048632527476,0.885046646592963,,,0.31165598359402163,0.24521749351379507,6.792907951168038,6.792907951168038,0.856576486359091,0.856576486359091,,3,60
lig_23466,101.75121928571431,93.2987605553651,-26.059689464285686,-34.51214819463489,,,-40.95188738095236,-49.404346111301564,142.70310666666668,142.70310666666668,14.892197916666667,14.892197916666667,,8.465949744455529,8.490144150123797,0.9441351955253919,0.9692380229984137,,,0.28845819160710723,0.26637309928855823,8.487937863086026,8.487937863086026,0.8814566496863209,0.8814566496863209,,3,60
lig_23467,114.8067141269841,106.72668390546029,-25.511768789682566,-33.59179901120637,,,-42.130029206349235,-50.210059427873034,156.9367433333333,156.9367433333333,16.61826041666667,16.61826041666667,,8.678949357227529,8.697000023757134,0.9627062898813756,0.9294669040836264,,,0.3265752755097491,0.2717001764510863,8.704329734829377,8.704329734829377,0.9328273827456517,0.9328273827456517,,3,60
lig_23468,106.13924650793638,98.12149224393639,-25.51755724206362,-33.535311506063614,,,-40.50858849206362,-48.52634275606362,146.64783500000001,146.64783500000001,14.991031249999999,14.991031249999999,,7.6368433678400365,7.545168208896368,0.8706259106721148,0.8066941964459529,,,0.4320208406299985,0.41532108175469823,7.567275223071438,7.567275223071438,0.7536540328451361,0.7536540328451361,,3,60
lig_23469,95.42881150793657,82.8936182653969,-25.96894349206343,-38.504136734603115,,,-41.64740182539676,-54.18259506793645,137.07621333333333,137.07621333333333,15.678458333333333,15.678458333333333,,7.488871432938518,7.491391114175605,0.8546878613382681,0.8282986681116532,,,0.3554878921938139,0.3568540062630538,7.5907820230489635,7.5907820230489635,0.7862036137809779,0.7862036137809779,,3,60
lig_23470,97.23983650793646,87.84664932895232,-23.493014325396867,-32.886201504381,,,-40.02249349206353,-49.41568067104767,137.26233,137.26233,16.529479166666665,16.529479166666665,,6.082182384195917,6.047851582656536,0.8464615619319434,0.8199257583436457,,,0.2621001526722565,0.17468348392263114,6.019741229039244,6.019741229039244,0.7686657820363645,0.7686657820363645,,3,60
lig_23471,91.96092047619051,82.47325834044446,-26.056904107142824,-35.54456624288889,,,-41.621622857142825,-51.10928499288889,133.58254333333335,133.58254333333335,15.56471875,15.56471875,,7.364310085591186,7.3487795304866665,0.7447432835372831,0.7398320176643549,,,0.2679547733110085,0.24155915369569622,7.365594590013184,7.365594590013184,0.7035454769781562,0.7035454769781562,,3,60
lig_23472,93.66642690476183,84.26688418368249,-27.182563928571504,-36.582106649650854,,,-43.00662642857151,-52.40616914965086,136.67305333333334,136.67305333333334,15.8240625,15.8240625,,7.525670508437614,7.535610498653494,1.0649756485206914,1.0514454007897336,,,0.29140747839566594,0.24510721554058232,7.5135012738250735,7.5135012738250735,0.9190380544652443,0.9190380544652443,,3,60
