,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,lig_1a,1,-14.797369202789891,-178.8739921140804,0.38425415914449074,2.711232635446882,174.55276975071953,-14.579712967276114,-178.90408097522166,0.389609120820961,2.8297740596162133,174.46165378235176,-6.993255939490457,0.12477197029283181,0.09198211621609646,0.0011266460152937834,0.06768374436551318,0.05757167784285175,0.13094124778658778,0.08449301087430738,0.0021078513259472696,0.0593136849273245,0.07286754803151371
1,lig_1a,2,-10.960048295315687,-180.56332130599714,0.7581917944998277,2.7109868671926662,174.53250640404764,-10.740924229048163,-180.5797422786527,0.7177465413531465,2.827013605375698,174.32661951602387,-7.037697279705942,0.1255309975873082,0.08568098663122896,0.005819144664507217,0.06562259983913564,0.06775042087953485,0.13383849114233157,0.08666843057197293,0.006519502916458241,0.05845795795102613,0.07429205899617297
2,lig_1a,3,-14.210261955696557,-177.0930461178594,0.843297058576334,2.6892942810262817,175.02764588923543,-14.286122296170825,-177.1317179827725,0.8681687377599567,2.869165410852773,174.58388681467352,-6.566929524445521,0.12291454981538458,0.09225964934144135,0.009834596750875573,0.06778003248684669,0.06686036353635269,0.12917641509098213,0.09262182292769872,0.010568567185064362,0.057720452300674206,0.0820826829675407
3,lig_1b,1,-15.046502409424624,-177.51651767339675,0.6124362463689942,3.5016148654033237,171.82370374110025,-15.152802883408503,-177.54967920800422,0.6029450262654963,3.6184040230317054,172.07119833756153,-6.923639837776572,0.12749419236515716,0.09383206023047604,0.004964028290356096,0.0705280632166786,0.05494638960782981,0.13675023507707768,0.08656322749239173,0.005789892983495383,0.058889382657710224,0.07100990888744954
4,lig_1b,2,-13.28016192986138,-177.7000170374152,0.5397188029040717,3.415053258089909,172.0584018829817,-13.377148600885361,-177.59996623344642,0.5734082471826472,3.6679787910501367,172.1322578361608,-7.147831256424815,0.13223366369808662,0.08744258679814597,0.0035942458271625176,0.07169195862127788,0.07692033733406799,0.13488167277941362,0.09020157260685116,0.005006026644816949,0.058120101002826226,0.08160048220206062
5,lig_1b,3,-13.518333811118431,-176.1474621631342,0.51054601307127,3.6166051742953615,170.8948869046894,-13.444815355986846,-176.12173471866276,0.543683868605973,3.735157343342525,171.9412923213329,-7.022467810192687,0.13485750798093848,0.07988533225512712,0.006952431770491607,0.07021133942598165,0.059055897509230584,0.14130817503784787,0.08060177766792276,0.008918339890761762,0.05953862836321708,0.07209208784839571
6,lig_1c,1,-15.51873992685357,-174.00383503505174,0.6116591244906566,3.6871548581856053,170.48112610542088,-15.711236100532686,-173.94289785817554,0.6165038384476889,3.807491220029697,170.71040982078262,-6.918900052672436,0.12302901937135796,0.08817093357639613,0.0039162089140726865,0.07161631331984196,0.05877940661835694,0.1267144227209601,0.08899643056829605,0.0044748764071942115,0.05777699426507846,0.07640212565535554
7,lig_1c,2,-11.638344068421143,-177.56336903855382,0.3399549280905726,3.4094759390840035,171.03506211603647,-11.808580291438398,-177.644286690419,0.3502552370636016,3.50153706712738,171.07960061182288,-7.0811162004855435,0.14190391181583148,0.09284304268884487,0.000859245960674572,0.07005172319640257,0.07047149129305859,0.1459806800074788,0.08841200871405985,0.0014028584051723788,0.05775642223187272,0.07388396308422138
8,lig_1c,3,-14.584113857827997,-177.36313524822575,0.5868283219832215,3.551922151046238,170.56733554784532,-14.60941141550128,-177.39365320866284,0.5820727931995738,3.7012745390358903,170.77234823182275,-7.057903184223465,0.13262253433021956,0.08248179933637005,0.005941112674962352,0.06891383099420695,0.07067163442618964,0.13876084278959183,0.0807100744574786,0.006041059195828283,0.05750576562938654,0.07894415579405659
9,lig_1d,1,-13.603786463592533,-161.39767093535764,0.5003875960485391,3.377301708937516,160.02514466801955,-13.804766634874142,-161.47341469491667,0.5122969986154431,3.484051845353387,159.6884219413436,-7.1785035398201344,0.13910274980171208,0.08248181102014449,0.0024660457716620347,0.07403886439972067,0.05318515282847317,0.14459928618741036,0.08371149863306883,0.0038344020634556025,0.06591936154174201,0.06864397298379203
10,lig_1d,2,-14.956004119197658,-164.3680648542115,0.3865238648319199,3.415088488514759,159.09309801259064,-14.931681125852265,-164.33170448930744,0.4283275764704889,3.501459868717473,159.20337555628876,-6.952115081261381,0.13612081705490875,0.0765153485123325,0.0017730459374056522,0.0770453069346273,0.052778465361992606,0.13957383159308775,0.07677273757847439,0.003940701670657107,0.0682048456234393,0.06606113056863155
11,lig_1d,3,-12.492096899334003,-164.90631223122284,0.6222750051612403,3.3729923616488655,160.3093407629794,-12.518803143599445,-164.91680059764647,0.63122484189728,3.45171414609408,160.0949140296551,-6.938339172889574,0.14570771985770364,0.08616490922945085,0.006156041304029244,0.07633381591397789,0.062100578187548994,0.14706624622565004,0.0824130496705559,0.006529486985038225,0.06663240756280513,0.07272222700377062
12,lig_2a,1,-11.856577402447613,-178.65927212741067,0.5566869122593244,2.268793990405938,174.92800322167128,-11.947296022343435,-178.719726776748,0.5687542285150384,2.433512895344387,174.8271915586828,-7.0452464745247605,0.13829663846694504,0.08927118934867062,0.0040335161634403,0.07514670384864543,0.07220872745506926,0.14102702097201278,0.0889665887260252,0.005959488626350587,0.0611674066481214,0.07923544589731685
13,lig_2a,2,-15.16379203686909,-174.9155615551943,0.5390383339473149,2.427845204378904,175.0370270749154,-15.093424415071807,-174.8330549608891,0.5702837379506295,2.5900706760276275,174.96251097046945,-7.155526609736711,0.13288199899317463,0.08541023424711709,0.0027397448639668747,0.07707620068489311,0.07550784653320321,0.1371346730345911,0.08918754245080279,0.004309191358863877,0.059682039109553255,0.08670745301587826
14,lig_2a,3,-15.57763545442071,-179.10483863697584,0.4108710217199817,2.3420699621018213,174.66223303853326,-15.50574411010616,-178.98349303041556,0.4266343372622797,2.5602526019907845,174.46816038618354,-7.042134050276839,0.12877155623661712,0.08043141787293437,0.0019948612188370996,0.07235689223291834,0.07411009754925191,0.1369786435845216,0.0806382784386711,0.0034754640764433314,0.05806407700419188,0.083828045435691
15,lig_2b,1,-13.146905479365024,-182.92965062811794,0.43640359524606304,1.969568683416751,178.6124035626934,-13.13095565823444,-182.87579918084685,0.4539362262782889,2.0778195851466443,178.5885947328166,-7.059222471434765,0.13833979012709802,0.09019129588922643,0.003447134355922306,0.0697251194265607,0.07934993295625209,0.14415973912836696,0.09207104540575085,0.004931993179315889,0.056879559060699865,0.08408353247123529
16,lig_2b,2,-12.161952157427034,-183.21855435012017,0.44218425965824787,1.9286657751730896,178.31973070507817,-12.164694907928885,-183.23381659100536,0.4665566459404386,2.074408406839328,178.21926216888232,-7.000720870067919,0.1349118764714948,0.09354336498507038,0.0035250583910904154,0.07209240596283871,0.0709649036163455,0.14339938697818852,0.0900229192308024,0.004908016789716747,0.058045646148536016,0.0829757440496093
17,lig_2b,3,-13.770255392861584,-176.27878893801494,0.6529861170607517,1.8700518972525255,178.80129427372043,-13.751984867993144,-176.83339368387513,0.6601828997494523,2.059487120550296,178.57930557646822,-7.017885313800539,0.13294895005739768,0.08490845034229126,0.006703114718803044,0.0734846946961889,0.06894839825394279,0.13728194400591373,0.08088110419824389,0.006996883593023375,0.061314492702130095,0.08367542466508344
18,lig_2c,1,-12.299509905059972,-176.2190422425158,0.9616219228596636,3.6777332578146438,171.94552722769265,-12.316376922946612,-176.29184416745898,1.0165207390173776,3.786237163865316,171.3364829330233,-6.931308580533787,0.1366950886469581,0.10530303371688055,0.010464410730704378,0.0682749738934687,0.080932617359032,0.1423340645515683,0.09717903609287672,0.011712127224234224,0.059781376227254185,0.09339924186364354
19,lig_2c,2,-11.625015560177166,-175.87055684816625,0.542440972902041,3.627312510243398,171.99694174394853,-11.808106711837949,-175.9112481120455,0.5507847861899511,3.7989765026563678,171.7085693911513,-6.961329208739978,0.1310862896786388,0.09945555671861754,0.0049573233773571885,0.06800314441378276,0.059549540418849745,0.13572315740762028,0.09881463720231776,0.005600813083989113,0.0570104413128386,0.07859093487852571
20,lig_2c,3,-14.696112100770307,-174.14051864311705,0.5642535382325693,3.84084540535317,172.1470773651588,-14.68889529928014,-174.08997448868118,0.5789433023455453,3.913371211392528,171.90950126467644,-6.509923899233537,0.1266760540548283,0.0983270871266849,0.0023279862681976076,0.0734611708743067,0.07087893010806555,0.1338887742250721,0.09945506962550112,0.0037065638521362075,0.060623291204928466,0.08578515299127028
21,lig_2d,1,-15.40947439955648,-170.47748301018535,0.752568256467125,3.916801618501676,170.0053537316514,-15.392539587744068,-170.48264734682232,0.7834762038361767,4.015667139334131,170.04055122175882,-6.531313480516817,0.1280283782751995,0.09091089221301363,0.006805138802459298,0.0690634477230111,0.08470746140582965,0.13424148737270666,0.09095791294882098,0.008712900425732974,0.0563974557614556,0.08721027657878584
22,lig_2d,2,-14.552946128311198,-173.24941432835166,0.5575352232298711,3.748006783350974,169.26808808714662,-14.262051818032068,-173.28296969253736,0.5554776828938287,3.8677374476539823,169.31503001084084,-7.037763050038222,0.12379826686380094,0.09350482433831256,0.00498857206324714,0.06797003526082536,0.07373080787172467,0.1301368685811462,0.09540663582006839,0.005182580673279819,0.06020143361814658,0.07552595602732576
