name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_1a,-12.801652777777756,-27.41703707790472,-19.99669902777776,-34.61208332790472,,,-23.979709444444424,-38.595093744571386,11.178056666666667,11.178056666666667,3.9830104166666667,3.9830104166666667,,0.8209700603201247,0.7187124982670303,0.5586226492080838,0.40762375189272104,,,0.4898611179075201,0.32149074125714605,0.5453474173673056,0.5453474173673056,0.21525392950940847,0.21525392950940847,,3,60
lig_1b,-14.581700079365095,-30.047169310920655,-21.081407579365095,-36.54687681092066,,,-24.52026174603176,-39.98573097758732,9.938561666666667,9.938561666666667,3.4388541666666668,3.4388541666666668,,0.802569030884253,0.6994668505319965,0.48574464907012294,0.3578129855825454,,,0.43540545751838744,0.26690986823153573,0.5905037878296769,0.5905037878296769,0.18587616235751314,0.18587616235751314,,3,60
lig_1c,-11.673931111111068,-27.375694579047583,-20.061827361111067,-35.76359082904758,,,-23.758046111111067,-39.45980957904759,12.084115,12.084115,3.69621875,3.69621875,,0.7762960909213369,0.7816463715115398,0.5968412617344239,0.5337950836066382,,,0.5217729858408336,0.43191414450604687,0.6993438798121062,0.6993438798121062,0.252492851845892,0.252492851845892,,3,60
lig_1d,-13.014448412698455,-28.89034474844449,-22.03806132936512,-37.91395766511116,,,-26.591863412698455,-42.46775974844449,13.577415,13.577415,4.553802083333333,4.553802083333333,,0.9044424565382653,0.7665464051073596,0.4740413633452773,0.3243104959624867,,,0.3383690631218053,0.1938255159273689,0.7303896881207561,0.7303896881207561,0.2531617629070319,0.2531617629070319,,3,60
lig_2a,-13.029276507936542,-29.219834340254003,-21.779853591269877,-37.97041142358733,,,-26.20184317460321,-42.392401006920664,13.172566666666667,13.172566666666667,4.421989583333333,4.421989583333333,,0.6826524732299203,0.7067499140743361,0.3707712742497101,0.40348978980637407,,,0.3177513825049393,0.33906646384130057,0.5965051939983786,0.5965051939983786,0.226227591445221,0.226227591445221,,3,60
lig_2b,-15.006397777777767,-30.20217837688887,-23.5254436111111,-38.7212242102222,,,-27.340714444444433,-42.53649504355553,12.334316666666666,12.334316666666666,3.8152708333333334,3.8152708333333334,,0.8086324274638739,0.8443021732801907,0.4717336338587032,0.48267099935863633,,,0.370120263239963,0.36227205536034934,0.6880517499965086,0.6880517499965086,0.2670616063083035,0.2670616063083035,,3,60
lig_2c,-8.67944880952385,-22.449594565841313,-21.208171726190518,-34.97831748250798,,,-26.166098809523852,-39.936244565841314,17.48665,17.48665,4.957927083333333,4.957927083333333,,1.5325707787131866,1.4445744187840825,0.5605061914871469,0.4790167270082457,,,0.3875161563183209,0.320126780897206,1.4118580098449265,1.4118580098449265,0.3403592055335312,0.3403592055335312,,3,60
lig_2d,-2.924024126984133,-17.98820448038095,-14.609467460317466,-29.673647813714286,,,-19.647842460317467,-34.712022813714285,16.723818333333334,16.723818333333334,5.038375,5.038375,,1.1041207814268237,1.048887972679342,0.5438247265465169,0.4252268262953312,,,0.3936524864160985,0.30412245445049374,1.007072276821724,1.007072276821724,0.32417580235082666,0.32417580235082666,,3,60
lig_2e,-17.839665396825485,-34.01901406095247,-25.66587748015882,-41.8452261442858,,,-30.275575396825488,-46.45492406095247,12.43591,12.43591,4.609697916666667,4.609697916666667,,0.6653650049740437,0.5990465465553918,0.3978745431359252,0.31370751354985726,,,0.3264964174331231,0.22049121808265884,0.5829415415628406,0.5829415415628406,0.1980280145957173,0.1980280145957173,,3,60
lig_3a,-8.15839571428574,-22.690351691111136,-17.251517380952407,-31.7834733577778,,,-21.036392380952407,-35.56834835777781,12.877996666666666,12.877996666666666,3.784875,3.784875,,1.2139405122557285,1.1886188629596954,0.518267870594473,0.4650367124416936,,,0.4599856868524251,0.3865948955057521,1.117997499633274,1.117997499633274,0.21830374568383018,0.21830374568383018,,3,60
lig_3b,-14.723257301587283,-29.689173939174584,-22.152390634920614,-37.11830727250791,,,-26.508348968253948,-41.474265605841246,11.785091666666666,11.785091666666666,4.355958333333334,4.355958333333334,,0.8022814935113707,0.8232177263732118,0.5187528157155654,0.5329587103195408,,,0.4440271653174096,0.4544235550464574,0.599364567576408,0.599364567576408,0.22956144738904669,0.22956144738904669,,3,60
lig_4,-7.610848888888901,-14.016225120190505,-38.5313626388889,-44.93673887019051,,,-46.4322688888889,-52.8376451201905,38.821419999999996,38.821419999999996,7.90090625,7.90090625,,1.6281255386561417,1.584134771711405,0.5117476550510801,0.496603755135041,,,0.2165187304074729,0.19250086464489174,1.5961958682269015,1.5961958682269015,0.4667717983906264,0.4667717983906264,,3,60
lig_5,-11.247113333333314,-25.035932634857136,-18.475453333333313,-32.264272634857136,,,-22.527203333333315,-36.316022634857134,11.28009,11.28009,4.05175,4.05175,,0.6360824578762664,0.6669250037163731,0.3707037623597111,0.3313209512754826,,,0.26897530921598506,0.2540118043976641,0.6032029134034568,0.6032029134034568,0.24706914378659403,0.24706914378659403,,3,60
lig_6a,-12.094705238095264,-28.980507857015898,-20.178777738095263,-37.06458035701589,,,-24.11613190476193,-41.00193452368256,12.021426666666667,12.021426666666667,3.9373541666666667,3.9373541666666667,,0.8251203642153807,0.7634201679215976,0.43162289706008655,0.3377760694996888,,,0.420186432395229,0.2651562191621277,0.6411255462907335,0.6411255462907335,0.2013912270324202,0.2013912270324202,,3,60
lig_6b,-11.489517619047591,-24.89571461485712,-18.59389136904759,-32.00008836485712,,,-22.422255952380922,-35.82845294819045,10.932738333333333,10.932738333333333,3.8283645833333333,3.8283645833333333,,0.9390421328376406,0.9723967068699236,0.7445825588286112,0.8441662685066875,,,0.7278557740569377,0.871339648334914,0.5729643973473715,0.5729643973473715,0.25305854348877355,0.25305854348877355,,3,60
lig_6c,-13.828124047619143,-29.97086032203184,-21.451724047619145,-37.59446032203184,,,-25.548890714285807,-41.69162698869851,11.720766666666666,11.720766666666666,4.097166666666667,4.097166666666667,,0.6081285018663778,0.6118139739823941,0.29792412532817386,0.3548690882537735,,,0.256587222576468,0.3364067400966969,0.6059851063955762,0.6059851063955762,0.21306153605654624,0.21306153605654624,,3,60
lig_6d,-12.707222301587288,-28.84088193758729,-21.113838134920623,-37.247497770920624,,,-25.119358968253955,-41.25301860425395,12.412136666666667,12.412136666666667,4.005520833333334,4.005520833333334,,0.8981719017249581,0.8578807386163103,0.48466249623935076,0.41566646486619285,,,0.4028524467242677,0.32826430555038827,0.7105649679062647,0.7105649679062647,0.24483659154717904,0.24483659154717904,,3,60
