name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_1a,1,1,-0.6769428571429348,-17.195894780952365,-10.955442857142934,-27.47439478095237,,,-16.165442857142935,-32.68439478095237,15.4885,15.4885,5.21,5.21,,3026.115471428571,3480.952433333334,3785.513828571428,-2360.290233333333,-20170.56431428572,1222.098161904762,11494.308709523812,-3671.7136714285703,101.15528286857142,478.1340571428572,-3570.5583885599995,-3092.424331417142,2993.145857142857,3443.244133333333,3757.7390190476185,-2313.7926857142857,-20008.24254285714,1210.4275047619049,11305.784838095238,-3660.5682952380953,102.24303356571428,388.3061238095239,-3558.3252616723817,-3170.019137862857,32.969633333333334,37.70829047619048,27.77479523809524,-6.587023809523809,-153.91885238095236,11.670633333333331,188.52388095238095,-31.40152380952381,3.5393488457142857,138.14135714285715,-27.86217496380952,110.2791821790476,-1.904761909714347e-05,9.523809521757206e-06,1.4285714251168916e-05,-39.91052380952386,-8.402919047619047,2.3809523814881975e-05,-9.523809614804468e-06,20.25614761904768,-4.627099542857142,-48.3134428571429,15.629048076190536,-32.68439478095237,3026.115471428571,3480.952433333334,3785.513828571428,-2360.290233333333,-20170.56431428572,1222.098161904762,11494.308709523812,-3733.1959857142856,69.4037857142857,0.0,478.1340571428572,-3663.7922,-3185.6581428571426,2993.145857142857,3443.244133333333,3757.7390190476185,-2313.7926857142857,-20008.24254285714,1210.4275047619049,11305.784838095238,-3738.854561904762,70.24570476190476,0.0,388.3061238095239,-3668.608857142857,-3280.302733333333,32.969633333333334,37.70829047619048,27.77479523809524,-6.587023809523809,-153.91885238095236,11.670633333333331,188.52388095238095,-30.434438095238097,3.1030952380952384,0.0,138.14135714285715,-27.331342857142857,110.81001428571427,-1.904761909714347e-05,9.523809521757206e-06,1.4285714251168916e-05,-39.91052380952386,-8.402919047619047,2.3809523814881975e-05,-9.523809614804468e-06,36.09301428571424,-3.9450142857142834,0.0,-48.3134428571429,32.14799999999997,-16.165442857142935
lig_1a,1,2,-3.3451333333335658,-22.654753573333657,-11.880733333333566,-31.190353573333656,,,-14.275733333333566,-33.585353573333656,10.9306,10.9306,2.395,2.395,,3054.991680952381,3468.1677,3774.117076190476,-2374.5861190476185,-20122.65835714286,1216.3282714285715,11468.30661904762,-3699.390804761905,100.04287995428572,484.66687142857137,-3599.3479248076183,-3114.681053379048,3020.663123809524,3430.372666666666,3746.568609523809,-2326.857076190476,-19958.867623809525,1204.8161571428568,11277.685895238095,-3687.73629047619,101.19931443428572,394.3817523809526,-3586.536976041905,-3192.155223660952,34.32855714285714,37.79501904761904,27.54847619047619,-6.295180952380953,-158.8991523809524,11.512119047619048,190.6207047619048,-29.12572380952381,3.5746857599999995,136.61054285714286,-25.551038049523807,111.05950480761906,8.374253671458324e-14,1.428571427451532e-05,-9.523809563205532e-06,-41.43386190476194,-4.891580952381146,-4.761904760286484e-06,1.9047619060432097e-05,17.471209523809414,-4.731120239999997,-46.32544285714308,12.740089283809422,-33.585353573333656,3054.991680952381,3468.1677,3774.117076190476,-2374.5861190476185,-20122.65835714286,1216.3282714285715,11468.30661904762,-3747.8967428571423,69.13090952380952,0.0,484.66687142857137,-3678.765833333333,-3194.0989619047623,3020.663123809524,3430.372666666666,3746.568609523809,-2326.857076190476,-19958.867623809525,1204.8161571428568,11277.685895238095,-3755.7183190476194,69.93347142857142,0.0,394.3817523809526,-3685.784847619048,-3291.403095238095,34.32855714285714,37.79501904761904,27.54847619047619,-6.295180952380953,-158.8991523809524,11.512119047619048,190.6207047619048,-28.155690476190475,3.124995238095239,0.0,136.61054285714286,-25.03069523809524,111.5798476190476,8.374253671458324e-14,1.428571427451532e-05,-9.523809563205532e-06,-41.43386190476194,-4.891580952381146,-4.761904760286484e-06,1.9047619060432097e-05,35.977266666666665,-3.927557142857145,0.0,-46.32544285714308,32.04970952380952,-14.275733333333566
lig_1a,1,3,-6.2307476190478415,-22.34215045714307,-13.87134761904784,-29.98275045714307,,,-18.51384761904784,-34.62525045714307,12.2831,12.2831,4.6425,4.6425,,3034.5076619047622,3489.2271047619047,3772.131190476191,-2372.492280952381,-20079.438485714283,1217.9797333333331,11441.90770952381,-3705.831790476191,101.10215091428572,503.8226333333332,-3604.729639561905,-3100.9070062285714,3002.2972095238097,3454.099342857142,3743.441604761905,-2323.405238095238,-19911.147409523808,1206.4228714285714,11248.305280952382,-3696.544242857143,102.51332513142856,420.0136619047629,-3594.030917725714,-3174.0172558209515,32.21046190476191,35.12776190476191,28.689595238095244,-6.021947619047619,-163.9964523809524,11.55687142857143,193.60242380952383,-27.02510952380952,3.591919097142857,131.16871428571426,-23.43319042666667,107.73552385904762,-9.523809546964554e-06,-2.1992989440193575e-14,-9.52380950602376e-06,-43.06509523809525,-4.294623809524001,-9.523809527086277e-06,4.7619045793518514e-06,17.7375619047619,-5.003093314285714,-47.35971904761925,12.734468590476189,-34.62525045714307,3034.5076619047622,3489.2271047619047,3772.131190476191,-2372.492280952381,-20079.438485714283,1217.9797333333331,11441.90770952381,-3758.8565333333336,69.21266190476189,0.0,503.8226333333332,-3689.643871428572,-3185.821238095238,3002.2972095238097,3454.099342857142,3743.441604761905,-2323.405238095238,-19911.147409523808,1206.4228714285714,11248.305280952382,-3765.605538095238,70.16513809523809,0.0,420.0136619047629,-3695.440399999999,-3275.426738095237,32.21046190476191,35.12776190476191,28.689595238095244,-6.021947619047619,-163.9964523809524,11.55687142857143,193.60242380952383,-26.15979047619048,3.110447619047619,0.0,131.16871428571426,-23.04934285714285,108.11937142857144,-9.523809546964554e-06,-2.1992989440193575e-14,-9.52380950602376e-06,-43.06509523809525,-4.294623809524001,-9.523809527086277e-06,4.7619045793518514e-06,32.908795238095216,-4.062923809523808,0.0,-47.35971904761925,28.84587142857141,-18.51384761904784
lig_1a,1,4,-13.596333333333504,-30.00000102476203,-17.799933333333506,-34.20360102476203,,,-20.414933333333504,-36.81860102476203,6.8186,6.8186,2.615,2.615,,3036.330166666666,3488.781290476191,3776.081033333333,-2375.6200285714285,-20119.515604761906,1224.9005095238094,11450.175304761904,-3683.650671428571,99.5206636114286,481.1326714285712,-3584.130007817143,-3102.997336388572,3003.7124857142853,3454.8833142857143,3748.432266666668,-2325.5666333333334,-19951.92845238095,1213.4124619047618,11256.009614285716,-3672.5850380952375,101.02531913142856,398.9550571428569,-3571.559718963809,-3172.6046618209525,32.6176761904762,33.897976190476186,27.648761904761905,-5.640838095238095,-163.29805238095238,11.48805238095238,194.16569523809525,-28.077571428571428,3.624226457142857,130.87927142857143,-24.45334497142857,106.42592645714284,4.761904769168268e-06,-8.289665250534503e-14,4.761904653451308e-06,-44.41255714285711,-4.2891000000001895,-4.761904782364061e-06,-4.761904529275507e-06,17.011938095238126,-5.128881977142858,-48.7016571428573,11.883056118095269,-36.81860102476203,3036.330166666666,3488.781290476191,3776.081033333333,-2375.6200285714285,-20119.515604761906,1224.9005095238094,11450.175304761904,-3738.622842857142,69.15597619047618,0.0,481.1326714285712,-3669.466866666667,-3188.334195238095,3003.7124857142853,3454.8833142857143,3748.432266666668,-2325.5666333333334,-19951.92845238095,1213.4124619047618,11256.009614285716,-3743.620719047619,70.08820476190476,0.0,398.9550571428569,-3673.532514285714,-3274.5774571428574,32.6176761904762,33.897976190476186,27.648761904761905,-5.640838095238095,-163.29805238095238,11.48805238095238,194.16569523809525,-27.37406190476191,3.1529857142857143,0.0,130.87927142857143,-24.22107619047619,106.65819523809525,4.761904769168268e-06,-8.289665250534503e-14,4.761904653451308e-06,-44.41255714285711,-4.2891000000001895,-4.761904782364061e-06,-4.761904529275507e-06,32.37193809523809,-4.085214285714286,0.0,-48.7016571428573,28.2867238095238,-20.414933333333504
lig_1a,1,5,-14.109352380952144,-29.74258680761876,-18.318877380952145,-33.95211180761876,,,-22.878252380952144,-38.51148680761876,8.7689,8.7689,4.559375,4.559375,,3024.038619047619,3487.759947619048,3794.9276190476194,-2380.796219047619,-20059.80213809524,1221.2764333333337,11445.754390476191,-3716.321723809525,100.32881084571429,533.158652380953,-3615.9929129638094,-3082.834260582856,2992.4963857142857,3452.490885714285,3768.138485714286,-2328.7510523809524,-19893.99123809524,1209.510261904762,11252.243252380951,-3705.3256857142856,102.05933321142857,452.1369809523811,-3603.266352502857,-3151.129371550476,31.54222380952381,35.269061904761905,26.78911904761905,-5.316709523809523,-162.02411904761905,11.766161904761905,193.51111904761905,-28.418299999999995,3.687988251428572,131.53685714285717,-24.730311748571427,106.80654539428572,9.5238095006101e-06,9.863009879717581e-14,1.428571435859621e-05,-46.72845714285712,-3.786780952380661,9.52380953546053e-06,1.9047618929150867e-05,17.422261904761886,-5.418510617142859,-50.51523809523778,12.003751287619028,-38.51148680761876,3024.038619047619,3487.759947619048,3794.9276190476194,-2380.796219047619,-20059.80213809524,1221.2764333333337,11445.754390476191,-3768.843100000001,69.38899047619049,0.0,533.158652380953,-3699.45410952381,-3166.2954571428563,2992.4963857142857,3452.490885714285,3768.138485714286,-2328.7510523809524,-19893.99123809524,1209.510261904762,11252.243252380951,-3772.633904761904,70.33703333333335,0.0,452.1369809523811,-3702.296871428571,-3250.15989047619,31.54222380952381,35.269061904761905,26.78911904761905,-5.316709523809523,-162.02411904761905,11.766161904761905,193.51111904761905,-28.006514285714285,3.212290476190476,0.0,131.53685714285717,-24.79422380952381,106.74263333333332,9.5238095006101e-06,9.863009879717581e-14,1.428571435859621e-05,-46.72845714285712,-3.786780952380661,9.52380953546053e-06,1.9047618929150867e-05,31.79731904761897,-4.160333333333334,0.0,-50.51523809523778,27.63698571428564,-22.878252380952144
lig_1a,1,6,-12.817752380953218,-28.643997375238847,-20.61022738095322,-36.43647237523885,,,-23.025852380953214,-38.85209737523885,10.2081,10.2081,2.415625,2.415625,,3022.3276285714287,3489.749152380952,3769.104471428571,-2390.1555380952377,-20074.36932857143,1225.0862523809524,11466.859157142855,-3719.3467142857135,99.16141014857142,508.6017952380943,-3620.185304137143,-3111.583508899049,2988.062776190476,3454.371523809524,3740.876371428572,-2337.561042857143,-19908.06364761905,1213.103057142857,11274.342623809524,-3709.195933333334,100.89262964571428,425.131661904762,-3608.3033036876186,-3183.171641782857,34.26484761904762,35.37763333333333,28.228085714285715,-5.616857142857143,-161.5146238095238,11.983190476190476,192.5165523809524,-28.465766666666667,3.6671683542857143,135.23882857142857,-24.798598312380957,110.4402302590476,4.761904704035184e-06,-4.761904815353546e-06,1.4285714337110752e-05,-46.97763809523809,-4.791057142857904,4.761904757579655e-06,-1.9047619383898218e-05,18.314985714285708,-5.398387851428567,-51.768695238096,12.916597862857143,-38.85209737523885,3022.3276285714287,3489.749152380952,3769.104471428571,-2390.1555380952377,-20074.36932857143,1225.0862523809524,11466.859157142855,-3777.1731,68.64499523809525,0.0,508.6017952380943,-3708.528104761904,-3199.9263095238102,2988.062776190476,3454.371523809524,3740.876371428572,-2337.561042857143,-19908.06364761905,1213.103057142857,11274.342623809524,-3782.251904761905,69.63900952380952,0.0,425.131661904762,-3712.612895238096,-3287.481233333333,34.26484761904762,35.37763333333333,28.228085714285715,-5.616857142857143,-161.5146238095238,11.983190476190476,192.5165523809524,-27.852157142857145,3.194104761904762,0.0,135.23882857142857,-24.658052380952377,110.5807761904762,4.761904704035184e-06,-4.761904815353546e-06,1.4285714337110752e-05,-46.97763809523809,-4.791057142857904,4.761904757579655e-06,-1.9047619383898218e-05,32.930961904761816,-4.188119047619047,0.0,-51.768695238096,28.74284285714277,-23.025852380953214
lig_1a,1,7,-14.136085714285796,-28.206174590476294,-24.725760714285794,-38.7958495904763,,,-26.221385714285795,-40.2914745904763,12.0853,12.0853,1.495625,1.495625,,3050.936614285714,3458.6390523809523,3763.2034333333336,-2378.768733333333,-20027.88184761905,1226.2966904761906,11449.971338095238,-3752.2700285714286,100.03514084571428,542.3965476190475,-3652.234887725713,-3109.8383401066667,3016.346219047619,3419.365457142858,3736.037076190477,-2325.557828571428,-19857.909380952384,1214.9333952380953,11256.968595238097,-3744.343580952382,101.75549976,460.1835333333333,-3642.58808119238,-3182.404547859048,34.59040952380953,39.27356666666667,27.166347619047617,-5.328995238095238,-161.8500904761905,11.36329523809524,193.00275714285715,-29.052642857142864,3.693025200000001,138.21729047619047,-25.35961765714286,112.85767281904762,-1.4285714250323031e-05,2.857142859250909e-05,9.523809482339002e-06,-47.88190952380948,-8.122376190476368,1.4802973661668755e-14,-1.4285714452658537e-05,21.126195238095267,-5.413384114285715,-56.00428571428585,15.712811123809557,-40.2914745904763,3050.936614285714,3458.6390523809523,3763.2034333333336,-2378.768733333333,-20027.88184761905,1226.2966904761906,11449.971338095238,-3813.728761904762,69.52602380952382,0.0,542.3965476190475,-3744.2027380952377,-3201.8061904761907,3016.346219047619,3419.365457142858,3736.037076190477,-2325.557828571428,-19857.909380952384,1214.9333952380953,11256.968595238097,-3819.0658809523807,70.49287142857142,0.0,460.1835333333333,-3748.573009523809,-3288.389476190476,34.59040952380953,39.27356666666667,27.166347619047617,-5.328995238095238,-161.8500904761905,11.36329523809524,193.00275714285715,-28.623085714285715,3.210457142857143,0.0,138.21729047619047,-25.412628571428566,112.8046619047619,-1.4285714250323031e-05,2.857142859250909e-05,9.523809482339002e-06,-47.88190952380948,-8.122376190476368,1.4802973661668755e-14,-1.4285714452658537e-05,33.96020476190482,-4.177304761904761,0.0,-56.00428571428585,29.78290000000006,-26.221385714285795
lig_1a,1,8,-13.905257142856872,-28.41786220190456,-19.220732142856875,-33.73333720190456,,,-21.378857142856877,-35.89146220190456,7.4736,7.4736,2.158125,2.158125,,3040.0105285714285,3478.024785714286,3764.7579095238098,-2392.158214285714,-20035.14443809524,1222.8487047619046,11435.64451904762,-3736.690790476191,99.93464376,513.9837952380957,-3636.7561467161904,-3122.7723514780955,3006.2839809523807,3442.985971428572,3739.024795238095,-2341.570519047619,-19869.722066666665,1211.024790476191,11242.882895238095,-3726.2312,101.46575321142856,430.90984761904735,-3624.765446788571,-3193.855599169524,33.7265380952381,35.038823809523805,25.733128571428573,-5.738933333333334,-161.36863809523803,11.823909523809524,192.7616285714286,-28.684780952380954,3.683047988571429,131.97645714285713,-25.001732963809527,106.97472417904764,9.52380951025318e-06,-9.523809468297323e-06,-1.4285714247954556e-05,-44.84876190476185,-4.053733333333182,4.7619047550420015e-06,-4.761904768829914e-06,18.225190476190463,-5.21415744,-48.90249523809503,13.011033036190463,-35.89146220190456,3040.0105285714285,3478.024785714286,3764.7579095238098,-2392.158214285714,-20035.14443809524,1222.8487047619046,11435.64451904762,-3806.356614285715,69.62113333333333,0.0,513.9837952380957,-3736.735480952381,-3222.751685714285,3006.2839809523807,3442.985971428572,3739.024795238095,-2341.570519047619,-19869.722066666665,1211.024790476191,11242.882895238095,-3809.989771428571,70.53359047619047,0.0,430.90984761904735,-3739.4561809523807,-3308.546333333334,33.7265380952381,35.038823809523805,25.733128571428573,-5.738933333333334,-161.36863809523803,11.823909523809524,192.7616285714286,-28.018971428571422,3.2160333333333333,0.0,131.97645714285713,-24.80293809523809,107.17351904761904,9.52380951025318e-06,-9.523809468297323e-06,-1.4285714247954556e-05,-44.84876190476185,-4.053733333333182,4.7619047550420015e-06,-4.761904768829914e-06,31.65212857142864,-4.128490476190475,0.0,-48.90249523809503,27.52363809523816,-21.378857142856877
lig_1a,1,9,-15.175147619047204,-29.074507104761462,-22.06397261904721,-35.96333210476146,,,-24.615847619047205,-38.515207104761465,9.4407,9.4407,2.551875,2.551875,,3053.815461904762,3484.843352380952,3770.2301,-2396.1438000000003,-20073.1271904762,1226.840538095238,11431.349252380953,-3692.9626857142857,98.49555980571428,497.8077142857147,-3594.4671259085712,-3096.659411622856,3019.941419047619,3450.0371571428573,3743.208271428572,-2344.550976190476,-19905.86550952381,1215.0367761904763,11238.869195238094,-3682.7969904761903,100.16728350857144,416.676333333333,-3582.629706967618,-3165.9533736342864,33.87405714285715,34.80618571428572,27.02182857142857,-5.123438095238095,-162.23838095238094,11.803761904761902,192.4800523809524,-28.50539047619048,3.690492925714285,132.62406666666666,-24.8148975504762,107.80916911619047,-1.4285714359611273e-05,9.523809546964554e-06,-5.075305255429287e-16,-46.46938571428571,-5.023299999999592,1.717144944753575e-14,4.761904786424306e-06,18.339695238095253,-5.362216628571426,-51.4926857142853,12.97747860952383,-38.515207104761465,3053.815461904762,3484.843352380952,3770.2301,-2396.1438000000003,-20073.1271904762,1226.840538095238,11431.349252380953,-3754.994623809524,68.62077142857142,0.0,497.8077142857147,-3686.373852380952,-3188.566138095238,3019.941419047619,3450.0371571428573,3743.208271428572,-2344.550976190476,-19905.86550952381,1215.0367761904763,11238.869195238094,-3758.0175095238096,69.5580238095238,0.0,416.676333333333,-3688.4594857142856,-3271.7831523809527,33.87405714285715,34.80618571428572,27.02182857142857,-5.123438095238095,-162.23838095238094,11.803761904761902,192.4800523809524,-28.002571428571432,3.2113666666666667,0.0,132.62406666666666,-24.79120476190476,107.83286190476193,-1.4285714359611273e-05,9.523809546964554e-06,-5.075305255429287e-16,-46.46938571428571,-5.023299999999592,1.717144944753575e-14,4.761904786424306e-06,31.025457142857142,-4.148619047619047,0.0,-51.4926857142853,26.87683809523809,-24.615847619047205
lig_1a,1,10,-4.467966666666882,-17.727249657142988,-18.507391666666884,-31.76667465714299,,,-22.816766666666883,-36.07604965714299,18.3488,18.3488,4.309374999999999,4.309374999999999,,3055.4394857142856,3464.3295428571428,3766.955409523809,-2379.725680952381,-20132.95043809524,1221.3269666666667,11460.670238095236,-3667.684957142857,99.54764938285714,456.045523809524,-3568.13730776,-3112.091783950476,3022.850442857143,3428.646204761905,3740.324976190476,-2327.756495238095,-19976.071066666667,1209.5372666666665,11271.47382380952,-3654.648323809524,101.33458673142856,369.0051523809523,-3553.313737078095,-3184.3085846971435,32.58904761904761,35.68333809523809,26.63042857142857,-5.424614285714285,-154.28123333333335,11.789704761904762,189.19642857142856,-31.564128571428576,3.673898022857143,136.18309999999997,-27.890230548571427,108.29286945142856,-4.761904667662163e-06,4.88921072939688e-14,4.761904729750064e-06,-46.544571428571466,-2.5981380952381903,-4.761904777204168e-06,-1.428571427130096e-05,18.52749523809525,-5.460835371428571,-49.14270952380965,13.066659866666669,-36.07604965714299,3055.4394857142856,3464.3295428571428,3766.955409523809,-2379.725680952381,-20132.95043809524,1221.3269666666667,11460.670238095236,-3733.435076190476,68.89772857142857,0.0,456.045523809524,-3664.537347619048,-3208.491823809524,3022.850442857143,3428.646204761905,3740.324976190476,-2327.756495238095,-19976.071066666667,1209.5372666666665,11271.47382380952,-3732.671747619048,69.92890476190476,0.0,369.0051523809523,-3662.7428428571434,-3293.7376904761904,32.58904761904761,35.68333809523809,26.63042857142857,-5.424614285714285,-154.28123333333335,11.789704761904762,189.19642857142856,-31.34483809523809,3.224390476190476,0.0,136.18309999999997,-28.12044761904762,108.06265238095236,-4.761904667662163e-06,4.88921072939688e-14,4.761904729750064e-06,-46.544571428571466,-2.5981380952381903,-4.761904777204168e-06,-1.428571427130096e-05,30.58150952380944,-4.255566666666667,0.0,-49.14270952380965,26.32594285714277,-22.816766666666883
