name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_1a,1,1,-3.109914285713824,-21.19292881142802,-15.985864285713824,-34.06887881142802,,,-18.302114285713824,-36.38512881142802,15.1922,15.1922,2.31625,2.31625,,3038.559247619048,3542.742714285714,3770.658876190476,-2381.169233333333,-20204.344076190475,1237.3482333333332,11465.872852380951,-3595.1675095238093,99.69354089142855,469.66861428571457,-3495.473968632381,-3025.805354346666,3005.6324904761905,3435.482538095238,3758.806271428572,-2331.5530285714285,-20026.48844761905,1217.473842857143,11274.78790952381,-3595.8032,101.10400820571428,334.1415761904758,-3494.699191794286,-3160.5576156038096,32.926742857142855,107.26016666666668,11.852623809523807,-7.00797619047619,-161.56921428571428,19.87439523809524,191.08494761904765,-26.834280952380954,3.5499900685714283,194.4216857142857,-23.28429088380952,171.13739483047615,1.4285714340494288e-05,9.523809512621656e-06,-1.904761904529077e-05,-42.60822857142845,-16.286414285713906,-4.761904760540249e-06,-4.761904883870167e-06,27.469971428571483,-4.960457382857141,-58.894642857142365,22.50951404571434,-36.38512881142802,3038.559247619048,3542.742714285714,3770.658876190476,-2381.169233333333,-20204.344076190475,1237.3482333333332,11465.872852380951,-3644.7787190476192,68.68317142857143,0.0,469.66861428571457,-3576.095547619048,-3106.426933333333,3005.6324904761905,3435.482538095238,3758.806271428572,-2331.5530285714285,-20026.48844761905,1217.473842857143,11274.78790952381,-3662.7690857142857,69.59469523809523,0.0,334.1415761904758,-3593.17439047619,-3259.0328142857143,32.926742857142855,107.26016666666668,11.852623809523807,-7.00797619047619,-161.56921428571428,19.87439523809524,191.08494761904765,-26.588009523809525,3.074323809523809,0.0,194.4216857142857,-23.513685714285717,170.908,1.4285714340494288e-05,9.523809512621656e-06,-1.904761904529077e-05,-42.60822857142845,-16.286414285713906,-4.761904760540249e-06,-4.761904883870167e-06,44.57837619047615,-3.985847619047617,0.0,-58.894642857142365,40.59252857142853,-18.302114285713824
lig_1a,1,2,7.341561904761676,-8.699304167619253,-11.668938095238325,-27.709804167619254,,,-18.098938095238324,-34.13980416761925,25.4405,25.4405,6.43,6.43,,3030.0515666666665,3543.628271428572,3767.253523809524,-2376.4143952380955,-20229.574519047623,1232.422780952381,11470.44420952381,-3594.9649142857143,99.19574660571428,437.8114380952383,-3495.76916768,-3057.957729584762,2994.520376190476,3436.3569999999995,3755.22880952381,-2327.375123809524,-20056.9171,1211.7759095238096,11280.708352380954,-3593.190138095238,100.48720686857143,294.2982238095235,-3492.7029312266664,-3198.404707417143,35.53118571428571,107.27128095238096,12.024709523809523,-6.568042857142857,-160.7746476190476,20.64688571428572,189.73583809523808,-26.85354285714285,3.573110571428571,197.86720952380952,-23.28043228571429,174.58677723809524,4.761904771875097e-06,-9.52380954781044e-06,4.761904751235523e-06,-42.47122857142851,-11.882771428571692,-1.4285714286188522e-05,1.9047618853359643e-05,25.078766666666656,-4.864570834285716,-54.354000000000205,20.214195832380945,-34.13980416761925,3030.0515666666665,3543.628271428572,3767.253523809524,-2376.4143952380955,-20229.574519047623,1232.422780952381,11470.44420952381,-3661.694785714285,68.8472857142857,0.0,437.8114380952383,-3592.8475,-3155.036061904762,2994.520376190476,3436.3569999999995,3755.22880952381,-2327.375123809524,-20056.9171,1211.7759095238096,11280.708352380954,-3675.328595238095,69.83509999999998,0.0,294.2982238095235,-3605.493495238096,-3311.195271428572,35.53118571428571,107.27128095238096,12.024709523809523,-6.568042857142857,-160.7746476190476,20.64688571428572,189.73583809523808,-26.72739523809524,3.118328571428571,0.0,197.86720952380952,-23.609066666666667,174.2581428571428,4.761904771875097e-06,-9.52380954781044e-06,4.761904751235523e-06,-42.47122857142851,-11.882771428571692,-1.4285714286188522e-05,1.9047618853359643e-05,40.36120476190473,-4.106142857142856,0.0,-54.354000000000205,36.25506190476188,-18.098938095238324
lig_1a,1,3,-10.094623809524633,-25.74854075428658,-17.961148809524634,-33.615065754286576,,,-19.638023809524636,-35.29194075428658,9.5434,9.5434,1.676875,1.676875,,3024.174876190476,3545.362276190476,3761.197509523809,-2379.804142857143,-20149.792842857143,1228.7533666666668,11440.341976190475,-3654.1301904761904,99.32886123428572,470.2330190476183,-3554.801329241904,-3084.5683101942864,2990.7293619047623,3440.418904761905,3748.647552380953,-2331.5635428571427,-19973.09141904762,1207.5511523809523,11248.9356,-3652.986671428571,100.60098006857145,331.6276095238096,-3552.38569136,-3220.7580818361903,33.4455,104.94338571428572,12.54995714285714,-6.843680952380952,-161.94809523809525,21.20221904761905,191.4063857142857,-26.845523809523808,3.5715790628571424,194.7556714285714,-23.27394474666667,171.48172668190475,1.428571434201688e-05,-1.4285714318670476e-05,-3.459666415784297e-14,-41.39691904761909,-14.75332857142936,-4.76190474176162e-06,-9.523809419912746e-06,25.70200476190472,-4.843697897142856,-56.15024761904845,20.858306864761868,-35.29194075428658,3024.174876190476,3545.362276190476,3761.197509523809,-2379.804142857143,-20149.792842857143,1228.7533666666668,11440.341976190475,-3715.3503285714287,69.06708571428571,0.0,470.2330190476183,-3646.283242857143,-3176.050223809524,2990.7293619047623,3440.418904761905,3748.647552380953,-2331.5635428571427,-19973.09141904762,1207.5511523809523,11248.9356,-3728.981052380952,70.00195238095236,0.0,331.6276095238096,-3658.979100000001,-3327.351490476191,33.4455,104.94338571428572,12.54995714285714,-6.843680952380952,-161.94809523809525,21.20221904761905,191.4063857142857,-26.931509523809524,3.1151428571428568,0.0,194.7556714285714,-23.816366666666664,170.93930476190476,1.428571434201688e-05,-1.4285714318670476e-05,-3.459666415784297e-14,-41.39691904761909,-14.75332857142936,-4.76190474176162e-06,-9.523809419912746e-06,40.56223333333334,-4.050009523809526,0.0,-56.15024761904845,36.51222380952382,-19.638023809524636
lig_1a,1,4,-6.924609523809341,-21.51820746666644,-16.520309523809342,-31.11390746666644,,,-21.40780952380934,-36.00140746666644,14.4832,14.4832,4.887499999999999,4.887499999999999,,3036.4161,3550.4578523809523,3764.224128571429,-2369.6740523809526,-20238.74891904762,1231.741138095238,11457.67486190476,-3599.447933333333,98.67922758857142,432.0911095238092,-3500.768705744762,-3068.6775962209526,3004.566547619048,3443.689595238095,3752.690780952381,-2319.5558190476195,-20062.94268095238,1211.2237809523808,11266.875885714286,-3599.753895238095,100.22489852571428,296.5480904761907,-3499.5289967123813,-3202.9809062361905,31.849561904761902,106.76825238095238,11.533357142857144,-6.41002380952381,-162.07834285714287,20.51739523809524,190.7989523809524,-26.224833333333333,3.550427005714285,192.9791523809524,-22.67440632761905,170.30474605333333,-9.523809589427942e-06,4.761904705219422e-06,-9.523809633456215e-06,-43.7082095238095,-13.727895238095092,-3.80952381105444e-05,2.3809523650611264e-05,26.530795238095287,-5.096097942857139,-57.4361047619046,21.434697295238145,-36.00140746666644,3036.4161,3550.4578523809523,3764.224128571429,-2369.6740523809526,-20238.74891904762,1231.741138095238,11457.67486190476,-3658.491804761904,68.71815714285715,0.0,432.0911095238092,-3589.773647619048,-3157.6825380952387,3004.566547619048,3443.689595238095,3752.690780952381,-2319.5558190476195,-20062.94268095238,1211.2237809523808,11266.875885714286,-3671.8510523809528,69.62434285714286,0.0,296.5480904761907,-3602.2267095238094,-3305.678619047619,31.849561904761902,106.76825238095238,11.533357142857144,-6.41002380952381,-162.07834285714287,20.51739523809524,190.7989523809524,-26.6681,3.0928666666666667,0.0,192.9791523809524,-23.575233333333333,169.40391904761907,-9.523809589427942e-06,4.761904705219422e-06,-9.523809633456215e-06,-43.7082095238095,-13.727895238095092,-3.80952381105444e-05,2.3809523650611264e-05,40.027347619047625,-3.9990523809523815,0.0,-57.4361047619046,36.02829523809526,-21.40780952380934
lig_1a,1,5,-6.070623809523424,-23.88851738285676,-14.010948809523423,-31.82884238285676,,,-16.280323809523424,-34.09821738285676,10.2097,10.2097,2.269375,2.269375,,3067.747871428572,3532.0731190476195,3754.544133333333,-2375.709385714286,-20220.932,1231.914757142857,11476.860228571428,-3620.024628571429,97.86527849142855,466.498723809524,-3522.15935008,-3055.660626270476,3032.956114285714,3425.7158523809526,3742.717485714286,-2328.360509523809,-20043.48971904761,1210.9251285714288,11286.766657142856,-3621.103271428572,99.0703284,327.2310095238089,-3522.0329430285715,-3194.8019335047625,34.79175714285714,106.3572761904762,11.826657142857142,-6.719442857142856,-160.9535619047619,20.989638095238096,190.0935761904762,-26.70972380952381,3.56338176,196.3859,-23.146342049523813,173.23955795047618,3.1805246267356866e-14,-9.523809446304336e-06,-9.523809534530057e-06,-40.62943333333331,-16.48871904761867,-9.5238095188812e-06,-4.7619044927333085e-06,27.788366666666644,-4.76843166857143,-57.118152380951976,23.019934998095216,-34.09821738285676,3067.747871428572,3532.0731190476195,3754.544133333333,-2375.709385714286,-20220.932,1231.914757142857,11476.860228571428,-3674.7158904761914,68.33134285714286,0.0,466.498723809524,-3606.384547619047,-3139.885823809524,3032.956114285714,3425.7158523809526,3742.717485714286,-2328.360509523809,-20043.48971904761,1210.9251285714288,11286.766657142856,-3692.965776190477,69.21319047619049,0.0,327.2310095238089,-3623.752585714286,-3296.521576190477,34.79175714285714,106.3572761904762,11.826657142857142,-6.719442857142856,-160.9535619047619,20.989638095238096,190.0935761904762,-26.58693333333333,3.117142857142857,0.0,196.3859,-23.469790476190475,172.91610952380952,3.1805246267356866e-14,-9.523809446304336e-06,-9.523809534530057e-06,-40.62943333333331,-16.48871904761867,-9.5238095188812e-06,-4.7619044927333085e-06,44.83681904761903,-3.998990476190479,0.0,-57.118152380951976,40.83782857142855,-16.280323809523424
lig_1a,1,6,-7.787195238095363,-25.208212895238184,-12.936295238095363,-30.35731289523818,,,-17.591295238095363,-35.01231289523818,9.8041,9.8041,4.654999999999999,4.654999999999999,,3076.1897095238096,3558.4438428571434,3757.511819047619,-2386.447895238095,-20172.291257142857,1231.8950047619048,11430.224033333334,-3611.890619047618,98.15597780571429,495.52525714285713,-3513.7346412419047,-3018.2093840990474,3043.4143095238096,3454.716295238095,3744.3083857142856,-2338.2529571428568,-19997.305661904764,1211.3956904761903,11239.641923809524,-3610.680204761905,99.44278402285714,357.91798571428563,-3511.237420739048,-3153.3194350247622,32.77539523809524,103.72753333333334,13.203423809523809,-6.334519047619047,-161.18133809523812,20.4993,190.5821047619048,-26.72060952380953,3.571025725714285,193.2719,-23.149583798095243,170.12231620190474,4.761904688132561e-06,1.4285714195509735e-05,9.523809508476824e-06,-41.86041904761906,-13.804257142857242,1.42857142520148e-05,4.761904840560896e-06,25.51019523809528,-4.857831942857144,-55.66467619047632,20.65236329523813,-35.01231289523818,3076.1897095238096,3558.4438428571434,3757.511819047619,-2386.447895238095,-20172.291257142857,1231.8950047619048,11430.224033333334,-3662.985947619048,68.56515238095238,0.0,495.52525714285713,-3594.4207952380957,-3098.895538095238,3043.4143095238096,3454.716295238095,3744.3083857142856,-2338.2529571428568,-19997.305661904764,1211.3956904761903,11239.641923809524,-3678.466823809524,69.50783333333334,0.0,357.91798571428563,-3608.958990476191,-3251.041004761905,32.77539523809524,103.72753333333334,13.203423809523809,-6.334519047619047,-161.18133809523812,20.4993,190.5821047619048,-26.650928571428576,3.115742857142857,0.0,193.2719,-23.535185714285717,169.73671428571427,4.761904688132561e-06,1.4285714195509735e-05,9.523809508476824e-06,-41.86041904761906,-13.804257142857242,1.42857142520148e-05,4.761904840560896e-06,42.13180476190475,-4.058423809523811,0.0,-55.66467619047632,38.073380952380944,-17.591295238095363
lig_1a,1,7,-6.080247619047581,-22.20577181333321,-19.50269761904758,-35.62822181333321,,,-21.15894761904758,-37.28447181333321,15.0787,15.0787,1.65625,1.65625,,3042.001671428572,3526.6985190476184,3762.992252380952,-2380.5594285714287,-20264.12273809524,1233.560919047619,11436.376752380953,-3527.921633333333,98.94301601142855,356.9479476190477,-3428.978617321905,-3072.030669702857,3009.533295238096,3418.185366666667,3751.1884761904766,-2328.5494952380955,-20092.603090476197,1213.6744333333331,11248.457628571428,-3527.321119047619,100.71762318857142,219.886614285714,-3426.6034958590485,-3206.716881573334,32.46837142857142,108.51316190476192,11.803771428571428,-6.608814285714286,-157.8325190476191,19.886461904761905,187.9191285714286,-27.751757142857144,3.5728598742857143,196.14956190476192,-24.178897268571436,171.97066463619043,4.7619047212912215e-06,-9.523809620218129e-06,4.761904764600493e-06,-45.401119047619,-13.68712857142855,2.380952381741963e-05,-4.761904726874058e-06,27.151242857142908,-5.347467051428571,-59.08824761904756,21.80377580571433,-37.28447181333321,3042.001671428572,3526.6985190476184,3762.992252380952,-2380.5594285714287,-20264.12273809524,1233.560919047619,11436.376752380953,-3589.606042857143,68.64340952380951,0.0,356.9479476190477,-3520.962633333333,-3164.0146857142854,3009.533295238096,3418.185366666667,3751.1884761904766,-2328.5494952380955,-20092.603090476197,1213.6744333333331,11248.457628571428,-3603.5226428571423,69.75087619047619,0.0,219.886614285714,-3533.771766666666,-3313.885152380952,32.46837142857142,108.51316190476192,11.803771428571428,-6.608814285714286,-157.8325190476191,19.886461904761905,187.9191285714286,-28.241309523809523,3.121142857142857,0.0,196.14956190476192,-25.120166666666663,171.02939523809522,4.7619047212912215e-06,-9.523809620218129e-06,4.761904764600493e-06,-45.401119047619,-13.68712857142855,2.380952381741963e-05,-4.761904726874058e-06,42.1579095238095,-4.228609523809523,0.0,-59.08824761904756,37.92929999999998,-21.15894761904758
lig_1a,1,8,7.988457142856959,-7.024727188571546,-12.07021785714304,-27.083402188571547,,,-21.04834285714304,-36.061527188571546,29.0368,29.0368,8.978125,8.978125,,3041.898195238095,3558.7303333333334,3756.2715428571432,-2372.749447619047,-20225.377666666667,1225.563185714286,11429.146504761904,-3569.042657142857,99.78893646857144,413.4826476190471,-3469.253720674285,-3055.771073055238,3008.6153809523807,3451.5458809523807,3742.898495238096,-2322.735052380952,-20053.838523809525,1205.1653666666666,11238.480890476194,-3565.3383428571437,101.21669712,270.1324380952379,-3464.121645737144,-3193.9892076419046,33.28279047619048,107.18445238095237,13.37302380952381,-6.600090476190476,-161.2015380952381,20.397814285714283,190.66561428571427,-26.37253809523809,3.5500808228571423,197.10206666666667,-22.822457272380955,174.27960939428573,2.3809523855315245e-05,7.443781041296288e-15,2.3809523779777785e-05,-43.41430476190474,-10.33760476190494,4.761904782702416e-06,7.985146935208744e-14,22.66822380952384,-4.97784147428571,-53.75190952380967,17.690382335238127,-36.061527188571546,3041.898195238095,3558.7303333333334,3756.2715428571432,-2372.749447619047,-20225.377666666667,1225.563185714286,11429.146504761904,-3635.719933333333,68.88365238095237,0.0,413.4826476190471,-3566.836280952381,-3153.3536333333336,3008.6153809523807,3451.5458809523807,3742.898495238096,-2322.735052380952,-20053.838523809525,1205.1653666666666,11238.480890476194,-3645.9868857142856,69.92108571428574,0.0,270.1324380952379,-3576.0658000000003,-3305.933361904762,33.28279047619048,107.18445238095237,13.37302380952381,-6.600090476190476,-161.2015380952381,20.397814285714283,190.66561428571427,-26.564947619047626,3.0909,0.0,197.10206666666667,-23.47404761904762,173.62801904761903,2.3809523855315245e-05,7.443781041296288e-15,2.3809523779777785e-05,-43.41430476190474,-10.33760476190494,4.761904782702416e-06,7.985146935208744e-14,36.83189999999997,-4.128333333333335,0.0,-53.75190952380967,32.70356666666664,-21.04834285714304
lig_1a,1,9,-7.329052380952737,-20.906764365714626,-15.134377380952737,-28.71208936571462,,,-21.421252380952737,-34.99896436571462,14.0922,14.0922,6.286875,6.286875,,3054.874780952381,3577.2955285714283,3748.6188476190473,-2378.0073190476187,-20231.33239047619,1228.8140571428569,11419.08162857143,-3545.9721571428577,99.34557157714282,419.34513333333297,-3446.626585565715,-3027.281452232381,3020.6011047619045,3471.3948,3736.788995238095,-2328.611628571428,-20059.222576190477,1208.0081142857143,11229.972847619048,-3544.8491238095235,101.05081097142858,278.93165714285743,-3443.798312838095,-3164.8666556952376,34.27367142857143,105.90071428571429,11.82985238095238,-6.476380952380952,-159.23519523809523,20.80594761904762,189.1088,-27.154576190476188,3.531339257142857,196.20740952380947,-23.62323693333333,172.5841725904762,4.761904795898209e-06,1.4285714269947545e-05,-4.6439043087177976e-14,-42.91930952380957,-12.874619047619294,-4.761904761724487e-06,-1.904761919983381e-05,26.03154285714283,-5.236578651428574,-55.79392857142888,20.79496420571425,-34.99896436571462,3054.874780952381,3577.2955285714283,3748.6188476190473,-2378.0073190476187,-20231.33239047619,1228.8140571428569,11419.08162857143,-3606.829233333334,68.4689761904762,0.0,419.34513333333297,-3538.360257142857,-3119.015123809524,3020.6011047619045,3471.3948,3736.788995238095,-2328.611628571428,-20059.222576190477,1208.0081142857143,11229.972847619048,-3617.813823809524,69.51532857142858,0.0,278.93165714285743,-3548.298495238095,-3269.3668380952386,34.27367142857143,105.90071428571429,11.82985238095238,-6.476380952380952,-159.23519523809523,20.80594761904762,189.1088,-27.535076190476197,3.100638095238095,0.0,196.20740952380947,-24.4344380952381,171.77297142857142,4.761904795898209e-06,1.4285714269947545e-05,-4.6439043087177976e-14,-42.91930952380957,-12.874619047619294,-4.761904761724487e-06,-1.904761919983381e-05,38.519666666666616,-4.146990476190477,0.0,-55.79392857142888,34.37267619047614,-21.421252380952737
lig_1a,1,10,-11.26051428571452,-27.2815489371431,-16.217839285714522,-32.2388739371431,,,-20.20721428571452,-36.2282489371431,8.9467,8.9467,3.989375,3.989375,,3066.867057142857,3517.413614285714,3750.253176190477,-2382.1965000000005,-20253.14654761905,1231.5755047619048,11461.438676190475,-3563.87380952381,100.06003847999996,392.204980952381,-3463.81377104381,-3071.6087900914285,3033.290742857143,3411.554519047619,3738.663190476191,-2331.3820619047624,-20078.836971428573,1210.8746619047618,11271.901842857143,-3565.369623809524,101.85222877714288,256.0659238095241,-3463.5173950323806,-3207.4514712228565,33.57630952380953,105.85911904761905,11.589990476190476,-6.27347619047619,-160.25528095238096,20.700847619047625,189.53682380952384,-26.221585714285712,3.558201497142858,194.73433333333327,-22.66338421714285,172.0709491161905,4.761904705388599e-06,-2.380952375956115e-05,-4.761904731780186e-06,-44.54096190476191,-14.054295238095474,-4.761904754788236e-06,9.523809492997144e-06,27.7174,-5.350391794285717,-58.595257142857385,22.36700820571429,-36.2282489371431,3066.867057142857,3517.413614285714,3750.253176190477,-2382.1965000000005,-20253.14654761905,1231.5755047619048,11461.438676190475,-3624.919666666667,69.24898571428571,0.0,392.204980952381,-3555.670680952381,-3163.4657,3033.290742857143,3411.554519047619,3738.663190476191,-2331.3820619047624,-20078.836971428573,1210.8746619047618,11271.901842857143,-3640.832985714287,70.3693,0.0,256.0659238095241,-3570.463685714285,-3314.397761904762,33.57630952380953,105.85911904761905,11.589990476190476,-6.27347619047619,-160.25528095238096,20.700847619047625,189.53682380952384,-26.69580476190476,3.100766666666667,0.0,194.73433333333327,-23.595038095238092,171.13929523809526,4.761904705388599e-06,-2.380952375956115e-05,-4.761904731780186e-06,-44.54096190476191,-14.054295238095474,-4.761904754788236e-06,9.523809492997144e-06,42.60912380952381,-4.221080952380953,0.0,-58.595257142857385,38.388042857142864,-20.20721428571452
