name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_1a,-12.261737460317416,-27.05032576730154,-20.23026329365075,-35.018851600634875,,,-24.24795079365075,-39.03653910063487,11.986213333333334,11.986213333333334,4.0176875,4.0176875,,0.8762008860067386,0.7633177787987286,0.5208424152896935,0.4010917463340049,,,0.44079576059316455,0.28908486703284886,0.6097363809523537,0.6097363809523537,0.23681591017789067,0.23681591017789067,,3,60
lig_1b,-11.806238095238117,-27.672075036507973,-20.64912392857145,-36.5149608698413,,,-24.59156142857145,-40.45739836984131,12.785323333333334,12.785323333333334,3.9424374999999996,3.9424374999999996,,1.1442864518135991,1.0818854495662278,0.5101424255692706,0.3851737940357334,,,0.48930393464950533,0.2899262028082687,1.0542959998722865,1.0542959998722865,0.25854019890538354,0.25854019890538354,,3,60
lig_1c,-10.174061111111097,-25.99445464647617,-19.989797361111094,-35.810190896476165,,,-24.134891111111095,-39.955284646476166,13.96083,13.96083,4.14509375,4.14509375,,0.8538059690933625,0.796898866782198,0.6143932483764275,0.5234446760546381,,,0.5075792189014049,0.42154833389562496,0.7828182575092576,0.7828182575092576,0.28185271218311975,0.28185271218311975,,3,60
lig_1d,-12.686451031746035,-28.824161402158737,-21.87409811507937,-38.011808485492075,,,-26.423296031746034,-42.56100640215873,13.736844999999999,13.736844999999999,4.549197916666667,4.549197916666667,,0.9413903864386995,0.7785535712512961,0.47733314306903574,0.32410563799302783,,,0.34794849969451813,0.19165641300456368,0.7511273093489936,0.7511273093489936,0.25937098011471516,0.25937098011471516,,3,60
lig_2a,-10.558206428571465,-27.365971471746057,-21.324039761904796,-38.13180647174606,,,-26.126456428571466,-42.934223138412726,15.56825,15.568251666666667,4.802416666666667,4.802416666666667,,1.1060016685742884,1.1085383531644142,0.3892602311394205,0.41570882170763895,,,0.3390227258006676,0.3203317883479559,1.0161059687260925,1.016106850793147,0.25555975853148954,0.25555975853148954,,3,60
lig_2b,-14.039305952380914,-29.426109482857104,-23.401380952380915,-38.788184482857105,,,-27.239339285714248,-42.62614281619044,13.200033333333332,13.200033333333332,3.8379583333333334,3.8379583333333334,,0.920335833996416,0.9425335802717906,0.5017218693845539,0.4859483669510788,,,0.3677018811154131,0.35092036725256553,0.787297809863711,0.787297809863711,0.28668840858088807,0.28668840858088807,,3,60
lig_2c,-8.117271507936584,-22.063517709015944,-21.287017757936585,-35.23326395901594,,,-26.254361507936586,-40.20060770901594,18.13709,18.13709,4.9673437499999995,4.9673437499999995,,1.4967176506157132,1.3975766592328227,0.5683382723119651,0.4898805842385374,,,0.401069328794806,0.34472890233058706,1.3619918631602352,1.3619918631602352,0.3298555440093578,0.3298555440093578,,3,60
lig_2d,-0.7136919047619081,-16.03075613968255,-14.612368988095243,-29.929433223015884,,,-20.016608571428574,-35.33367280634921,19.302916666666665,19.302916666666665,5.404239583333333,5.404239583333333,,1.4534238180862142,1.409424992748923,0.5674450042982393,0.4411679880627938,,,0.4157697584767818,0.31746019515741825,1.3658327333135534,1.3658327333135534,0.34132488969553326,0.34132488969553326,,3,60
lig_2e,-17.446805476190498,-33.6893320208889,-25.684805059523836,-41.92733160422223,,,-30.3000654761905,-46.542592020888904,12.85326,12.85326,4.615260416666667,4.615260416666667,,0.7392980355451337,0.6440453977737022,0.43298531165958615,0.32753056446571305,,,0.3511142947928386,0.21961806120322125,0.6296153964818566,0.6296153964818566,0.2050913108206057,0.2050913108206057,,3,60
lig_3a,-6.562982380952404,-21.057427388571448,-17.596215714285737,-32.090660721904776,,,-21.936590714285735,-36.43103572190478,15.373608333333333,15.373608333333333,4.340375,4.340375,,1.4011019886896832,1.3566912863591647,0.6073762674961458,0.5593029750225957,,,0.5009081996687655,0.4812088050375812,1.3141327089213688,1.3141327089213688,0.29388856052613116,0.29388856052613116,,3,60
