name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_1a,1,1,-1.7533904761903365,-17.845620678095138,-11.895565476190336,-27.987795678095136,,,-20.218690476190336,-36.31092067809514,18.4653,18.4653,8.323125000000001,8.323125000000001,,3038.7334904761906,3596.302923809524,3818.8005619047617,-2375.378557142857,-20040.61095238096,1228.6351476190478,11433.135319047618,-3755.1082142857135,100.53934529142856,699.6179333333332,-3654.568868994285,-2954.9509356609524,3009.2935523809524,3444.494247619048,3736.534285714286,-2330.8534714285715,-19862.59597142857,1205.7352714285714,11232.42503809524,-3754.809947619048,101.68459402285714,435.0329523809526,-3653.12535359619,-3218.0924012152377,29.43992857142857,151.80867142857142,82.26627142857143,-3.3365761904761904,-162.29100952380955,22.89989523809524,200.7102809523809,-25.69929523809524,3.6542195657142855,321.4974619047619,-22.045075672380957,299.45238623238095,9.523809539351597e-06,4.761904737701375e-06,4.761904768153207e-06,-41.18850952380953,-15.72397142857133,-1.904761904469865e-05,8.526512829121202e-14,25.401028571428583,-4.799468297142857,-56.91248095238088,20.60156027428572,-36.31092067809514,3038.7334904761906,3596.302923809524,3818.8005619047617,-2375.378557142857,-20040.61095238096,1228.6351476190478,11433.135319047618,-3803.8175619047615,69.11080952380951,0.0,699.6179333333332,-3734.706752380952,-3035.088819047619,3009.2935523809524,3444.494247619048,3736.534285714286,-2330.8534714285715,-19862.59597142857,1205.7352714285714,11232.42503809524,-3818.268447619047,69.70183333333335,0.0,435.0329523809526,-3748.5666142857135,-3313.5336619047616,29.43992857142857,151.80867142857142,82.26627142857143,-3.3365761904761904,-162.29100952380955,22.89989523809524,200.7102809523809,-26.016061904761905,3.1821333333333333,0.0,321.4974619047619,-22.83392857142857,298.6635333333333,9.523809539351597e-06,4.761904737701375e-06,4.761904768153207e-06,-41.18850952380953,-15.72397142857133,-1.904761904469865e-05,8.526512829121202e-14,40.46694761904767,-3.773157142857144,0.0,-56.91248095238088,36.69379047619053,-20.218690476190336
lig_1a,1,10,-6.674995238095406,-18.857586780952516,-20.271270238095404,-32.453861780952515,,,-25.561895238095406,-37.74448678095251,18.8869,18.8869,5.290625,5.290625,,3032.139780952381,3603.467271428572,3821.182704761905,-2387.6171380952383,-20014.95175238095,1228.6482238095236,11450.677433333334,-3784.687128571428,100.77398955428572,733.5465238095236,-3683.913139017143,-2950.36661520762,3000.536376190476,3453.3940142857145,3738.322895238096,-2339.74380952381,-19842.21242380952,1205.0119666666667,11246.64303809524,-3779.090880952381,102.22635082285714,461.9520571428569,-3676.864530129524,-3214.9124729866667,31.60341428571429,150.07325714285716,82.85979047619045,-4.483342857142857,-162.56449047619046,23.63623809523809,204.03439047619048,-26.52340476190476,3.6544588457142857,325.1592571428571,-22.868945916190476,302.29031122666663,-9.523809571156844e-06,-5.413658939124573e-15,1.904761902659673e-05,-43.38998571428567,-10.174838095238291,1.9047619048082187e-05,4.761904822966504e-06,20.92715714285716,-5.106820114285712,-53.564823809523965,15.820337028571446,-37.74448678095251,3032.139780952381,3603.467271428572,3821.182704761905,-2387.6171380952383,-20014.95175238095,1228.6482238095236,11450.677433333334,-3837.381633333334,69.36356666666667,0.0,733.5465238095236,-3768.018066666667,-3034.471542857143,3000.536376190476,3453.3940142857145,3738.322895238096,-2339.74380952381,-19842.21242380952,1205.0119666666667,11246.64303809524,-3842.25729047619,70.3338619047619,0.0,461.9520571428569,-3771.9234285714288,-3309.971371428572,31.60341428571429,150.07325714285716,82.85979047619045,-4.483342857142857,-162.56449047619046,23.63623809523809,204.03439047619048,-27.3050619047619,3.207495238095238,0.0,325.1592571428571,-24.09756666666667,301.0616904761905,-9.523809571156844e-06,-5.413658939124573e-15,1.904761902659673e-05,-43.38998571428567,-10.174838095238291,1.9047619048082187e-05,4.761904822966504e-06,32.18071904761904,-4.177790476190475,0.0,-53.564823809523965,28.00292857142856,-25.561895238095406
lig_1a,1,11,-10.139009523809104,-22.57547673142817,-26.220084523809103,-38.656551731428166,,,-28.075709523809103,-40.51217673142817,17.9367,17.9367,1.855625,1.855625,,3031.089457142857,3604.9925190476174,3830.162914285714,-2401.501757142858,-20075.97941904762,1233.3814666666665,11456.150423809522,-3726.384995238095,100.46819331428571,678.295604761905,-3625.9168019238095,-2947.621197161905,2999.005204761904,3454.4147619047617,3746.484028571429,-2350.850561904762,-19901.265509523808,1210.9526142857142,11254.018523809526,-3724.610300000001,101.94078216,412.7590619047613,-3622.669517840001,-3209.910455935238,32.08425238095238,150.57774285714285,83.67890000000001,-3.4783428571428567,-160.91402380952383,22.42886190476191,202.13188095238095,-27.394990476190475,3.687145028571429,326.50927142857137,-23.707845447619047,302.8014259809524,-2.537652627714644e-14,1.4285714246939496e-05,-1.4285714278068034e-05,-47.17285238095237,-13.79988571428534,-9.52380949688821e-06,1.904761884523915e-05,25.620295238095245,-5.159733874285711,-60.972738095237695,20.46056136380953,-40.51217673142817,3031.089457142857,3604.9925190476174,3830.162914285714,-2401.501757142858,-20075.97941904762,1233.3814666666665,11456.150423809522,-3770.437771428573,68.86674285714284,0.0,678.295604761905,-3701.571028571429,-3023.2754238095235,2999.005204761904,3454.4147619047617,3746.484028571429,-2350.850561904762,-19901.265509523808,1210.9526142857142,11254.018523809526,-3779.1099666666655,69.68698571428571,0.0,412.7590619047613,-3709.422980952381,-3296.6639190476203,32.08425238095238,150.57774285714285,83.67890000000001,-3.4783428571428567,-160.91402380952383,22.42886190476191,202.13188095238095,-28.28880952380953,3.243733333333333,0.0,326.50927142857137,-25.04507619047619,301.4641952380952,-2.537652627714644e-14,1.4285714246939496e-05,-1.4285714278068034e-05,-47.17285238095237,-13.79988571428534,-9.52380949688821e-06,1.904761884523915e-05,36.9610047619048,-4.063976190476192,0.0,-60.972738095237695,32.8970285714286,-28.075709523809103
lig_1a,1,12,-21.50130952381001,-32.01560195047664,-27.27903452381001,-37.79332695047664,,,-27.88090952381001,-38.39520195047664,6.3796,6.3796,0.601875,0.601875,,3016.917052380953,3591.789638095239,3798.3081809523815,-2385.4268476190477,-20004.98575714286,1232.919261904762,11436.692123809522,-3782.2975523809528,101.70948397714284,686.2136523809521,-3680.588068403809,-2994.374416022857,2983.9094285714286,3442.012785714286,3715.5122523809528,-2336.4036095238093,-19832.2179,1209.1805142857145,11232.494242857145,-3776.546485714285,103.23112542857145,414.4877142857142,-3673.315360285713,-3258.827646,33.007652380952386,149.77685238095242,82.79593333333334,-3.760742857142857,-163.2861857142857,23.738757142857143,204.19789047619048,-27.28437142857143,3.662698594285716,326.47015714285715,-23.621672834285715,302.8484843085714,-2.857142854683134e-05,4.7369515717340014e-14,-4.761904737701375e-06,-45.26249523809521,-9.481671428571945,-9.523809525479096e-06,-9.523809487583484e-06,21.533304761904787,-5.184340045714285,-54.74416666666716,16.34896471619051,-38.39520195047664,3016.917052380953,3591.789638095239,3798.3081809523815,-2385.4268476190477,-20004.98575714286,1232.919261904762,11436.692123809522,-3840.245419047619,69.8342142857143,0.0,686.2136523809521,-3770.4112047619046,-3084.197552380953,2983.9094285714286,3442.012785714286,3715.5122523809528,-2336.4036095238093,-19832.2179,1209.1805142857145,11232.494242857145,-3843.358728571428,70.88,0.0,414.4877142857142,-3772.478728571428,-3357.9910142857143,33.007652380952386,149.77685238095242,82.79593333333334,-3.760742857142857,-163.2861857142857,23.738757142857143,204.19789047619048,-28.012990476190478,3.2172571428571435,0.0,326.47015714285715,-24.79573333333333,301.6744238095238,-2.857142854683134e-05,4.7369515717340014e-14,-4.761904737701375e-06,-45.26249523809521,-9.481671428571945,-9.523809525479096e-06,-9.523809487583484e-06,31.126299999999997,-4.263042857142855,0.0,-54.74416666666716,26.86325714285715,-27.88090952381001
lig_1a,1,13,-21.62725238095233,-32.19487600380948,-26.430752380952335,-36.99837600380948,,,-30.255752380952337,-40.823376003809486,8.6285,8.6285,3.825,3.825,,3052.980923809524,3597.811095238096,3804.987304761905,-2393.5360523809527,-19997.03796666667,1233.7538,11444.877723809524,-3797.92390952381,100.96494456,743.8368285714284,-3696.9589649638096,-2953.122136392381,3018.241242857143,3448.552838095238,3721.906219047619,-2341.552085714286,-19823.20203333333,1209.5948523809525,11241.24839047619,-3795.5274761904766,102.55835235428572,474.7894238095234,-3692.96912383619,-3218.179700026667,34.73968095238096,149.25824761904764,83.0810857142857,-3.215257142857143,-163.01662857142858,24.158952380952385,203.6293571428572,-26.42035238095238,3.665872971428571,328.6354380952381,-22.754479409523807,305.88095868571423,2.419228838421293e-14,9.52380950923812e-06,-1.9624513654326576e-14,-48.768709523809534,-10.81930476190474,-4.761904783886653e-06,-2.380952379271981e-05,24.023919047619067,-5.259280765714283,-59.588014285714266,18.764638281904784,-40.823376003809486,3052.980923809524,3597.811095238096,3804.987304761905,-2393.5360523809527,-19997.03796666667,1233.7538,11444.877723809524,-3851.902661904762,69.03040476190478,0.0,743.8368285714284,-3782.8722571428566,-3039.035428571429,3018.241242857143,3448.552838095238,3721.906219047619,-2341.552085714286,-19823.20203333333,1209.5948523809525,11241.24839047619,-3858.162838095238,70.11417142857142,0.0,474.7894238095234,-3788.0486666666666,-3313.259242857144,34.73968095238096,149.25824761904764,83.0810857142857,-3.215257142857143,-163.01662857142858,24.158952380952385,203.6293571428572,-27.38373333333333,3.227880952380952,0.0,328.6354380952381,-24.155852380952386,304.4795857142857,2.419228838421293e-14,9.52380950923812e-06,-1.9624513654326576e-14,-48.768709523809534,-10.81930476190474,-4.761904783886653e-06,-2.380952379271981e-05,33.64390952380956,-4.31164761904762,0.0,-59.588014285714266,29.332261904761936,-30.255752380952337
lig_1a,1,14,-18.759995238095076,-31.004576201904523,-24.101370238095072,-36.345951201904526,,,-28.95699523809507,-41.20157620190452,10.197,10.197,4.855625,4.855625,,3044.1114,3597.693561904762,3811.3647523809527,-2390.357490476191,-20002.357728571427,1228.4748095238097,11433.707314285715,-3791.887538095239,102.59647632,722.6366190476198,-3689.2910617752377,-2966.654442727618,3012.380023809524,3447.7167095238096,3726.9047047619047,-2339.9425523809527,-19826.622299999995,1204.9055380952382,11228.663352380952,-3788.166609523809,104.24063029714286,454.0054761904764,-3683.925979226666,-3229.9205030361904,31.731366666666663,149.97684761904762,84.46003809523809,-3.054590476190476,-163.86380952380952,23.56927619047619,205.0439523809524,-27.06553333333333,3.6700603200000006,327.863080952381,-23.39547301333333,304.46760793904764,9.523809597717608e-06,4.761904714693325e-06,9.52380952750922e-06,-47.36034761904763,-11.87161904761885,-4.761904740408205e-06,9.523809402318356e-06,23.34460476190481,-5.3142142971428585,-59.23196666666648,18.03039046476196,-41.20157620190452,3044.1114,3597.693561904762,3811.3647523809527,-2390.357490476191,-20002.357728571427,1228.4748095238097,11433.707314285715,-3849.602542857142,70.10954285714286,0.0,722.6366190476198,-3779.493,-3056.8563809523803,3012.380023809524,3447.7167095238096,3726.9047047619047,-2339.9425523809527,-19826.622299999995,1204.9055380952382,11228.663352380952,-3856.167504761905,71.16135238095238,0.0,454.0054761904764,-3785.0061523809527,-3331.000676190476,31.731366666666663,149.97684761904762,84.46003809523809,-3.054590476190476,-163.86380952380952,23.56927619047619,205.0439523809524,-27.98953809523809,3.227719047619048,0.0,327.863080952381,-24.76181904761905,303.10126190476194,9.523809597717608e-06,4.761904714693325e-06,9.52380952750922e-06,-47.36034761904763,-11.87161904761885,-4.761904740408205e-06,9.523809402318356e-06,34.554499999999976,-4.27952857142857,0.0,-59.23196666666648,30.27497142857141,-28.95699523809507
lig_1a,1,15,-20.2885047619047,-32.25911578666661,-28.6753047619047,-40.64591578666661,,,-31.4653047619047,-43.43591578666661,11.1768,11.1768,2.79,2.79,,3022.68649047619,3593.9752809523807,3809.255014285715,-2393.444895238096,-20083.696804761905,1237.0515571428568,11456.50137142857,-3742.342961904762,100.51277005714287,642.3280142857141,-3641.83019184762,-2999.502177561905,2989.177195238095,3444.650533333333,3726.747523809524,-2341.139676190476,-19908.772728571428,1214.3176571428571,11253.865319047618,-3739.338938095239,102.08882986285715,378.8458238095237,-3637.2501082323815,-3258.404284422857,33.50929523809524,149.3247428571429,82.50750000000001,-2.6806809523809525,-161.37959999999998,22.733919047619047,202.6360571428572,-28.01158571428571,3.6984036,326.6512333333333,-24.313182114285716,302.3380512190476,-5.938107148852266e-14,4.76190476476967e-06,-9.5238095532241e-06,-49.62453809523814,-13.544476190476107,-1.9047619055525967e-05,-4.761904626721367e-06,25.007561904761907,-5.274463405714287,-63.16901428571424,19.733098499047617,-43.43591578666661,3022.68649047619,3593.9752809523807,3809.255014285715,-2393.444895238096,-20083.696804761905,1237.0515571428568,11456.50137142857,-3801.8916666666655,68.7484238095238,0.0,642.3280142857141,-3733.143242857144,-3090.815228571429,2989.177195238095,3444.650533333333,3726.747523809524,-2341.139676190476,-19908.772728571428,1214.3176571428571,11253.865319047618,-3808.8050238095234,69.60137142857143,0.0,378.8458238095237,-3739.203652380954,-3360.3578285714293,33.50929523809524,149.3247428571429,82.50750000000001,-2.6806809523809525,-161.37959999999998,22.733919047619047,202.6360571428572,-28.892276190476185,3.248976190476191,0.0,326.6512333333333,-25.6433,301.00793333333337,-5.938107148852266e-14,4.76190476476967e-06,-9.5238095532241e-06,-49.62453809523814,-13.544476190476107,-1.9047619055525967e-05,-4.761904626721367e-06,35.80563333333335,-4.10192380952381,0.0,-63.16901428571424,31.703709523809547,-31.4653047619047
lig_1a,1,16,-18.763219047619152,-31.74416417904783,-24.235619047619156,-37.21656417904783,,,-29.418119047619157,-42.39906417904783,10.6549,10.6549,5.1825,5.1825,,3023.531914285714,3575.1022047619044,3826.454438095238,-2396.737266666667,-20069.979504761908,1233.6109428571426,11457.911509523812,-3740.5265142857143,100.89220834285716,649.8942380952386,-3639.6343059428577,-2989.7400678476183,2991.5840476190474,3423.595338095238,3742.4482095238095,-2344.9114904761905,-19894.828742857146,1210.9823142857144,11254.741757142858,-3737.63040952381,102.43838749714284,383.6114333333336,-3635.192022026667,-3251.580588693333,31.9478619047619,151.50687142857143,84.00623333333334,-3.097438095238095,-162.10451904761905,22.628647619047623,203.16977142857144,-27.52669523809524,3.7088945485714286,328.0574285714286,-23.817800689523807,304.2396278819048,4.761904811631655e-06,-4.761904730934302e-06,-4.761904766123085e-06,-48.72833809523806,-13.04624285714308,-1.9047618994622305e-05,-1.904761895351233e-05,24.63059047619044,-5.255073702857142,-61.774580952381136,19.375516773333302,-42.39906417904783,3023.531914285714,3575.1022047619044,3826.454438095238,-2396.737266666667,-20069.979504761908,1233.6109428571426,11457.911509523812,-3788.541223809524,69.40331428571429,0.0,649.8942380952386,-3719.1379095238094,-3069.243671428572,2991.5840476190474,3423.595338095238,3742.4482095238095,-2344.9114904761905,-19894.828742857146,1210.9823142857144,11254.741757142858,-3796.723728571428,70.27759047619048,0.0,383.6114333333336,-3726.446138095238,-3342.834704761905,31.9478619047619,151.50687142857143,84.00623333333334,-3.097438095238095,-162.10451904761905,22.628647619047623,203.16977142857144,-28.299471428571437,3.251238095238095,0.0,328.0574285714286,-25.048233333333336,303.0091952380953,4.761904811631655e-06,-4.761904730934302e-06,-4.761904766123085e-06,-48.72833809523806,-13.04624285714308,-1.9047618994622305e-05,-1.904761895351233e-05,36.48197619047627,-4.125514285714284,0.0,-61.774580952381136,32.35646190476197,-29.418119047619157
lig_1a,1,17,-13.321461904762074,-24.42547035428586,-21.872586904762077,-32.97659535428586,,,-28.109461904762075,-39.21347035428586,14.788,14.788,6.236875,6.236875,,3036.4904999999994,3589.586171428572,3812.548704761905,-2389.3016380952386,-20057.88164761905,1239.8487857142857,11468.140766666667,-3782.088595238095,102.02502891428573,699.4316428571428,-3680.0635663238095,-2980.631923466667,3003.4025476190486,3440.532423809524,3728.866333333333,-2340.8776761904764,-19884.69752857143,1217.5323142857144,11265.2443,-3776.275909523809,103.40828461714284,430.0027142857146,-3672.867624906667,-3242.8649106209514,33.08795238095238,149.05374285714282,83.68237619047619,-3.892538095238096,-162.1043619047619,22.31645238095238,202.8964523809524,-27.26632380952381,3.6726717942857134,325.04007619047616,-23.5936520152381,301.4464241752381,-1.1334848403792075e-14,4.761904776950403e-06,-4.76190474176162e-06,-44.53142380952384,-11.07975714285732,1.9047619025243312e-05,1.4285714398521944e-05,21.453638095238155,-5.055927497142858,-55.61118095238116,16.397710598095294,-39.21347035428586,3036.4904999999994,3589.586171428572,3812.548704761905,-2389.3016380952386,-20057.88164761905,1239.8487857142857,11468.140766666667,-3833.19848095238,70.16734761904762,0.0,699.4316428571428,-3763.031133333333,-3063.599490476191,3003.4025476190486,3440.532423809524,3728.866333333333,-2340.8776761904764,-19884.69752857143,1217.5323142857144,11265.2443,-3836.8454047619057,71.02300476190477,0.0,430.0027142857146,-3765.822400000001,-3335.819685714285,33.08795238095238,149.05374285714282,83.68237619047619,-3.892538095238096,-162.1043619047619,22.31645238095238,202.8964523809524,-27.93539523809524,3.224942857142857,0.0,325.04007619047616,-24.71045238095238,300.3296238095237,-1.1334848403792075e-14,4.761904776950403e-06,-4.76190474176162e-06,-44.53142380952384,-11.07975714285732,1.9047619025243312e-05,1.4285714398521944e-05,31.58231904761909,-4.080600000000002,0.0,-55.61118095238116,27.501719047619087,-28.109461904762075
lig_1a,1,18,-18.061123809524027,-31.4657423009526,-23.016348809524025,-36.4209673009526,,,-27.673223809524025,-41.0778423009526,9.6121,9.6121,4.656874999999999,4.656874999999999,,3045.4398,3617.440204761904,3835.581176190476,-2380.782223809524,-20009.712057142853,1228.8389000000002,11471.714233333334,-3845.320385714285,101.2108853142857,808.5200333333335,-3744.1095004,-2935.5894670666667,3011.374219047619,3467.3353809523805,3751.693538095237,-2330.8433523809526,-19835.681028571427,1205.5300047619046,11268.064885714286,-3840.7674714285727,102.78662712,537.4736476190478,-3737.980844308571,-3200.5071966895234,34.065576190476186,150.10482857142858,83.88765238095237,-2.64802380952381,-162.86756190476189,23.30888571428571,203.6493333333333,-27.20911904761905,3.703990971428571,329.50069047619047,-23.505128076190477,305.99556240000004,4.761904779149702e-06,-4.76190466461698e-06,-1.4285714275361203e-05,-47.2908476190476,-11.16346666666689,9.52380951938873e-06,1.4285714724694896e-05,22.65620476190475,-5.279732777142859,-58.454314285714496,17.376471984761892,-41.0778423009526,3045.4398,3617.440204761904,3835.581176190476,-2380.782223809524,-20009.712057142853,1228.8389000000002,11471.714233333334,-3892.497942857143,69.43658571428571,0.0,808.5200333333335,-3823.0613571428576,-3014.5413238095234,3011.374219047619,3467.3353809523805,3751.693538095237,-2330.8433523809526,-19835.681028571427,1205.5300047619046,11268.064885714286,-3899.067404761904,70.3225,0.0,537.4736476190478,-3828.7449047619048,-3291.271257142858,34.065576190476186,150.10482857142858,83.88765238095237,-2.64802380952381,-162.86756190476189,23.30888571428571,203.6493333333333,-28.352385714285703,3.2548428571428576,0.0,329.50069047619047,-25.09754285714286,304.4031476190476,4.761904779149702e-06,-4.76190466461698e-06,-1.4285714275361203e-05,-47.2908476190476,-11.16346666666689,9.52380951938873e-06,1.4285714724694896e-05,34.921847619047604,-4.140757142857144,0.0,-58.454314285714496,30.781090476190467,-27.673223809524025
