name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_1a,-10.255576269841226,-23.82037905707931,-19.38293835317456,-32.947741140412646,,,-23.607011269841227,-37.17181405707932,13.351435,13.351435,4.224072916666667,4.224072916666667,,1.0519761467267617,0.8949828830792123,0.489048642441581,0.34578245279841135,,,0.37758342283244534,0.22328167827088444,0.8954521841730323,0.8954521841730323,0.2637128878536066,0.2637128878536066,,3,60
lig_1b,-9.723157619047592,-26.826685103174572,-19.838854702380925,-36.942382186507906,,,-24.924885952380926,-42.028413436507904,15.201728333333334,15.201728333333334,5.0860312500000004,5.0860312500000004,,1.3636608742438712,1.054070305538921,0.9531355409514032,0.5023993509969124,,,0.8640273962463234,0.3570016578481809,0.9430657410809268,0.9430657410809268,0.30166438675939405,0.30166438675939405,,3,60
lig_1c,-8.926747619047603,-24.50453423479363,-19.813157619047605,-35.39094423479363,,,-24.980907619047603,-40.55869423479363,16.05416,16.05416,5.16775,5.16775,,1.0885239794161505,1.0205485993387728,0.5063999722463204,0.46910476259317274,,,0.3418533812022429,0.3204186161212382,0.9963444607457589,0.9963444607457589,0.30992276209971104,0.30992276209971104,,3,60
lig_1d,-12.362120079365184,-28.572749258031855,-22.67671757936518,-38.88734675803185,,,-28.035405079365184,-44.246034258031855,15.673285,15.673285,5.3586875,5.3586875,,1.2040461614816993,1.1827836126288513,0.48692793683221935,0.43564870222299873,,,0.3385458262876156,0.30239906061577454,1.0900509591592416,1.0900509591592416,0.2712446861298993,0.2712446861298993,,3,60
lig_2a,-8.488293968253947,-24.13592608488888,-18.50310605158728,-34.15073816822221,,,-23.123053968253945,-38.77068608488888,14.63476,14.63476,4.619947916666666,4.619947916666666,,1.0385617832831793,0.9421174379411194,0.6230583114726547,0.521637879155092,,,0.5663925697094575,0.4876109127547206,0.9604437643778022,0.9604437643778022,0.3150473973439492,0.3150473973439492,,3,60
lig_2b,-16.1219038888889,-31.163276806285737,-25.1521351388889,-40.19350805628574,,,-29.618603888888902,-44.659976806285734,13.4967,13.4967,4.466468750000001,4.466468750000001,,0.6890063975824949,0.6179968652345637,0.3794645025962974,0.32746407692526147,,,0.2903911810071582,0.22129380208714347,0.5389066355832949,0.5389066355832949,0.20313153228577266,0.20313153228577266,,3,60
lig_2c,-6.876420079365016,-22.624477013904695,-19.08740132936502,-34.83545826390469,,,-24.538745079365015,-40.28680201390469,17.662325,17.662325,5.45134375,5.45134375,,2.052593862505094,1.877835195033182,0.8216026332508523,0.5333049578440207,,,0.6693893251002816,0.30380845340159623,1.7618046082859309,1.7618046082859309,0.32862881546623457,0.32862881546623457,,3,60
lig_2d,-4.368655476190468,-18.420010773841266,-16.243992976190466,-30.295348273841267,,,-20.843013809523804,-34.8943691071746,16.474358333333335,16.474358333333335,4.5990208333333324,4.5990208333333324,,1.3478199283132373,1.1705135901420225,0.5848948721584373,0.41018717324476234,,,0.45724389154866457,0.29652768210708824,1.195824656619932,1.195824656619932,0.3255225120408691,0.3255225120408691,,3,60
lig_2e,-10.931488412698416,-28.498930028571415,-22.49484632936508,-40.06228794523808,,,-27.369148412698415,-44.936590028571416,16.43766,16.43766,4.874302083333333,4.874302083333333,,0.9913761138275625,0.9087301890198928,0.47231187444714906,0.3467926745229768,,,0.3725391327706342,0.23418768994380307,0.8840027278129808,0.8840027278129808,0.2694224691303198,0.2694224691303198,,3,60
lig_3a,-4.8576838095238015,-18.689373297142854,-17.475485059523802,-31.30717454714285,,,-22.7505788095238,-36.58226829714285,17.892895,17.892895,5.27509375,5.27509375,,1.716828188162965,1.6508473890824058,0.7059453158380228,0.6869919071479356,,,0.5951614527975192,0.5864670121153291,1.615126178098028,1.615126178098028,0.3327203147192022,0.3327203147192022,,3,60
