name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_1a,1,1,-2.398566666666192,-22.45031699428519,-16.57781666666619,-36.62956699428519,,,-18.681566666666196,-38.73331699428519,16.283,16.283,2.10375,2.10375,,3044.8953333333334,3543.6450380952383,3770.658776190477,-2382.8740285714284,-20226.365923809524,1237.348119047619,11465.8731,-3602.8645571428574,100.31883253714284,453.18041428571496,-3502.5457246057144,-3049.3653103199995,3011.968523809524,3436.3849,3758.806180952381,-2333.148704761905,-20039.84577619048,1217.473742857143,11274.788176190475,-3610.289423809523,102.09303054857143,326.427042857143,-3508.196393260953,-3181.769350403809,32.92679047619048,107.26012380952382,11.85260476190476,-7.007966666666667,-161.56922857142857,19.87436190476191,191.0849380952381,-26.834280952380954,3.549990411428572,194.42162380952385,-23.284290540952377,171.1373332685714,1.9047618992423005e-05,1.4285714285511814e-05,-9.523809519050375e-06,-42.717357142857125,-24.950919047618527,1.428571429058712e-05,-1.4285714187389247e-05,34.25914761904759,-5.32418842285714,-67.66827619047565,28.93495919619046,-38.73331699428519,3044.8953333333334,3543.6450380952383,3770.658776190477,-2382.8740285714284,-20226.365923809524,1237.348119047619,11465.8731,-3647.3662380952383,68.97885238095239,0.0,453.18041428571496,-3578.3873857142858,-3125.2069714285703,3011.968523809524,3436.3849,3758.806180952381,-2333.148704761905,-20039.84577619048,1217.473742857143,11274.788176190475,-3673.870723809524,70.00907619047618,0.0,326.427042857143,-3603.861647619047,-3277.4346047619047,32.92679047619048,107.26012380952382,11.85260476190476,-7.007966666666667,-161.56922857142857,19.87436190476191,191.0849380952381,-26.586623809523807,3.074176190476191,0.0,194.42162380952385,-23.512447619047617,170.9091761904762,1.9047618992423005e-05,1.4285714285511814e-05,-9.523809519050375e-06,-42.717357142857125,-24.950919047618527,1.428571429058712e-05,-1.4285714187389247e-05,53.09110952380946,-4.1044,0.0,-67.66827619047565,48.98670952380946,-18.681566666666196
lig_1a,1,10,-8.04234761904721,-24.472151847618644,-16.573022619047208,-33.00282684761864,,,-22.00114761904721,-38.43095184761864,13.9588,13.9588,5.4281250000000005,5.4281250000000005,,3073.6355619047617,3518.521814285714,3750.253095238096,-2383.8817333333336,-20261.01753809524,1231.5755190476189,11461.439371428572,-3587.137047619048,101.23034149714286,390.5260904761904,-3485.906706121905,-3095.3806156457144,3040.059352380952,3412.662642857143,3738.6631,-2332.510295238096,-20080.51425238095,1210.8746999999998,11271.90256190476,-3593.4322999999995,103.27310074285714,261.1378095238094,-3490.159199257142,-3229.0213897333333,33.57621428571428,105.85916666666668,11.589995238095238,-6.27347142857143,-160.25525714285718,20.70081428571429,189.5368238095238,-26.22158095238095,3.5590306971428576,194.7342857142857,-22.66255025523809,172.07173545904763,-4.76190477069086e-06,4.761904663940272e-06,5.921189464667502e-15,-45.09796666666666,-20.2480285714282,4.761904753265645e-06,-1.4285714236112177e-05,32.51683333333335,-5.6017899428571445,-65.34599523809486,26.915043390476203,-38.43095184761864,3073.6355619047617,3518.521814285714,3750.253095238096,-2383.8817333333336,-20261.01753809524,1231.5755190476189,11461.439371428572,-3644.330723809524,70.39499523809525,0.0,390.5260904761904,-3573.935728571428,-3183.4096380952383,3040.059352380952,3412.662642857143,3738.6631,-2332.510295238096,-20080.51425238095,1210.8746999999998,11271.90256190476,-3665.219309523809,71.53100476190477,0.0,261.1378095238094,-3593.688304761905,-3332.550495238095,33.57621428571428,105.85916666666668,11.589995238095238,-6.27347142857143,-160.25525714285718,20.70081428571429,189.5368238095238,-26.693680952380948,3.1014095238095245,0.0,194.7342857142857,-23.59227142857143,171.14201428571428,-4.76190477069086e-06,4.761904663940272e-06,5.921189464667502e-15,-45.09796666666666,-20.2480285714282,4.761904753265645e-06,-1.4285714236112177e-05,47.58226666666668,-4.237419047619047,0.0,-65.34599523809486,43.34484761904764,-22.00114761904721
lig_1a,1,11,-19.613176190476445,-33.264509394285895,-23.944801190476444,-37.5961343942859,,,-28.049176190476445,-41.700509394285895,8.436,8.436,4.104375,4.104375,,3023.803395238095,3544.253333333333,3778.430138095237,-2381.330204761905,-20246.373395238097,1231.0467428571428,11450.1335,-3594.384495238096,101.4779550857143,399.9635095238092,-3492.906540152381,-3092.943030628572,2991.569685714285,3438.6031380952377,3765.853638095237,-2326.4273047619045,-20067.96289047619,1210.3143190476192,11262.425228571428,-3600.3254000000006,103.69159734857142,274.3758142857142,-3496.633802651429,-3222.2579883657136,32.23371428571428,105.6501857142857,12.57650476190476,-6.373509523809524,-158.50025238095236,20.732442857142853,187.7082619047619,-26.58052380952381,3.5686528457142863,194.0273476190476,-23.011870963809525,171.0154766552381,-4.761904732456894e-06,9.523809534276292e-06,-4.761904746371688e-06,-48.529390476190464,-19.91025238095265,-1.904761900984822e-05,9.52380935494884e-06,32.52142857142864,-5.782295108571431,-68.43964285714311,26.7391334628572,-41.700509394285895,3023.803395238095,3544.253333333333,3778.430138095237,-2381.330204761905,-20246.373395238097,1231.0467428571428,11450.1335,-3649.236004761904,70.37570952380953,0.0,399.9635095238092,-3578.860295238095,-3178.896785714286,2991.569685714285,3438.6031380952377,3765.853638095237,-2326.4273047619045,-20067.96289047619,1210.3143190476192,11262.425228571428,-3666.6339857142857,71.48872857142858,0.0,274.3758142857142,-3595.1452571428567,-3320.769442857142,32.23371428571428,105.6501857142857,12.57650476190476,-6.373509523809524,-158.50025238095236,20.732442857142853,187.7082619047619,-27.207433333333327,3.1019285714285707,0.0,194.0273476190476,-24.10550476190476,169.92184285714288,-4.761904732456894e-06,9.523809534276292e-06,-4.761904746371688e-06,-48.529390476190464,-19.91025238095265,-1.904761900984822e-05,9.52380935494884e-06,44.60541428571428,-4.214947619047618,0.0,-68.43964285714311,40.390466666666654,-28.049176190476445
lig_1a,1,12,-6.984661904761651,-22.049219047618827,-21.51796190476165,-36.58251904761882,,,-25.33546190476165,-40.40001904761883,18.3508,18.3508,3.8175,3.8175,,3075.155833333333,3540.842057142857,3761.538899999999,-2381.5562,-20206.62813333333,1230.2414047619047,11465.8314,-3636.9996666666666,101.59371682285712,485.4252619047619,-3535.4059498438096,-3049.980687939048,3043.8654857142856,3434.475457142857,3748.294142857143,-2328.126142857143,-20024.92051428572,1209.7476619047618,11276.81057142857,-3644.606814285714,103.7890234285714,360.14666190476134,-3540.817790857144,-3180.671128952382,31.29036190476191,106.3666,13.244757142857145,-6.891033333333334,-159.33767142857144,20.493742857142852,189.02082380952385,-26.65683333333333,3.559721965714285,194.18758095238096,-23.09711136761905,171.09046958476188,-1.4285714268763308e-05,2.977512416518515e-14,4.897669571489262e-14,-46.53902380952389,-22.36994761904729,1.1165671561944431e-14,4.761904882516752e-06,34.26398095238094,-5.755028571428572,-68.90897142857118,28.50895238095237,-40.40001904761883,3075.155833333333,3540.842057142857,3761.538899999999,-2381.5562,-20206.62813333333,1230.2414047619047,11465.8314,-3694.0905,70.2457476190476,0.0,485.4252619047619,-3623.8447523809527,-3138.4194904761907,3043.8654857142856,3434.475457142857,3748.294142857143,-2328.126142857143,-20024.92051428572,1209.7476619047618,11276.81057142857,-3714.8459142857137,71.36539523809525,0.0,360.14666190476134,-3643.480519047619,-3283.3338571428576,31.29036190476191,106.3666,13.244757142857145,-6.891033333333334,-159.33767142857144,20.493742857142852,189.02082380952385,-27.04602380952381,3.1082809523809525,0.0,194.18758095238096,-23.93774285714285,170.24983809523812,-1.4285714268763308e-05,2.977512416518515e-14,4.897669571489262e-14,-46.53902380952389,-22.36994761904729,1.1165671561944431e-14,4.761904882516752e-06,47.80143809523811,-4.227928571428572,0.0,-68.90897142857118,43.573509523809534,-25.33546190476165
lig_1a,1,13,-5.857552380952331,-22.762376163809524,-18.21690238095233,-35.12172616380953,,,-23.61065238095233,-40.51547616380952,17.7531,17.7531,5.39375,5.39375,,3054.641519047619,3541.2768333333343,3763.619504761905,-2382.570080952381,-20185.856419047617,1238.1216619047618,11450.231385714284,-3645.473585714286,101.749908,479.4644047619056,-3543.7236777142853,-3064.25927295238,3021.624271428572,3437.0626857142856,3751.236771428571,-2330.390452380952,-20005.05280952381,1217.9823571428574,11261.150823809525,-3651.2362857142857,103.89240699428572,353.6136476190478,-3547.34387872,-3193.730231100952,33.01723809523809,104.21414761904762,12.382728571428569,-5.976199999999999,-159.97826666666666,20.139304761904764,189.0805476190476,-26.45523333333333,3.5621390742857137,192.87950000000004,-22.89309425904762,169.9864057409524,9.523809481662294e-06,8.729525039338374e-14,4.761904769844976e-06,-46.203428571428525,-20.82534285714293,-1.8101922077697792e-14,1.4285714311903402e-05,32.21793333333337,-5.704638068571428,-67.02877142857145,26.51329526476193,-40.51547616380952,3054.641519047619,3541.2768333333343,3763.619504761905,-2382.570080952381,-20185.856419047617,1238.1216619047618,11450.231385714284,-3702.701423809524,70.29403333333332,0.0,479.4644047619056,-3632.407390476191,-3152.942985714285,3021.624271428572,3437.0626857142856,3751.236771428571,-2330.390452380952,-20005.05280952381,1217.9823571428574,11261.150823809525,-3723.37729047619,71.51364761904763,0.0,353.6136476190478,-3651.863642857143,-3298.249995238095,33.01723809523809,104.21414761904762,12.382728571428569,-5.976199999999999,-159.97826666666666,20.139304761904764,189.0805476190476,-27.066190476190474,3.1043238095238093,0.0,192.87950000000004,-23.961866666666666,168.91763333333333,9.523809481662294e-06,8.729525039338374e-14,4.761904769844976e-06,-46.203428571428525,-20.82534285714293,-1.8101922077697792e-14,1.4285714311903402e-05,47.74205714285721,-4.323938095238094,0.0,-67.02877142857145,43.41811904761913,-23.61065238095233
lig_1a,1,14,-8.112300000000301,-22.33102931809553,-18.783325000000303,-33.00205431809553,,,-23.355200000000305,-37.57392931809553,15.2429,15.2429,4.571875,4.571875,,3064.1019142857144,3538.731947619048,3772.740957142857,-2385.4923190476197,-20204.969676190474,1226.4976619047618,11466.433719047618,-3642.6847666666654,101.31791180571427,478.0442047619047,-3541.366854860953,-3063.322650099048,3031.3092904761907,3434.9307619047613,3760.600547619048,-2331.915695238096,-20029.889757142853,1205.859276190476,11276.369928571428,-3646.005342857144,103.31275025142855,347.2643523809528,-3542.6925926057133,-3195.4282402247613,32.79261904761905,103.8011761904762,12.1404,-6.26435238095238,-160.23382857142855,20.638409523809525,190.0637571428572,-26.818647619047617,3.5599527771428567,192.9381809523809,-23.25869484190476,169.67948611047618,4.761904793022202e-06,9.523809461868604e-06,9.523809510084005e-06,-47.31227142857139,-14.846090476190804,-2.380952380219372e-05,3.3333333475195016e-05,30.139223809523795,-5.554791222857141,-62.1583619047622,24.58443258666665,-37.57392931809553,3064.1019142857144,3538.731947619048,3772.740957142857,-2385.4923190476197,-20204.969676190474,1226.4976619047618,11466.433719047618,-3693.159066666666,69.43061904761905,0.0,478.0442047619047,-3623.728447619048,-3145.6842428571435,3031.3092904761907,3434.9307619047613,3760.600547619048,-2331.915695238096,-20029.889757142853,1205.859276190476,11276.369928571428,-3708.772142857143,70.5514761904762,0.0,347.2643523809528,-3638.220666666666,-3290.956314285713,32.79261904761905,103.8011761904762,12.1404,-6.26435238095238,-160.23382857142855,20.638409523809525,190.0637571428572,-27.41867619047619,3.107733333333333,0.0,192.9381809523809,-24.31094285714286,168.62723809523808,4.761904793022202e-06,9.523809461868604e-06,9.523809510084005e-06,-47.31227142857139,-14.846090476190804,-2.380952380219372e-05,3.3333333475195016e-05,43.03175238095236,-4.228590476190478,0.0,-62.1583619047622,38.803161904761886,-23.355200000000305
lig_1a,1,15,-11.58209047619042,-24.705108422856988,-18.44821547619042,-31.571233422856988,,,-23.55259047619042,-36.67560842285699,11.9705,11.9705,5.104375,5.104375,,3075.680357142857,3558.626352380952,3771.283338095239,-2389.4092809523813,-20108.016538095235,1229.451057142857,11494.978985714288,-3766.956776190476,101.36751692571428,632.5942714285708,-3665.589259264762,-3032.9949878361917,3043.386895238096,3453.8720428571423,3759.946847619048,-2338.3659904761907,-19934.1878,1208.602928571429,11304.107052380954,-3766.831952380952,103.28848248,497.361976190476,-3663.543469900952,-3166.1814937104764,32.293457142857136,104.75431904761906,11.33649523809524,-6.036923809523809,-162.6603380952381,20.84812857142857,190.87190476190477,-25.081019047619048,3.53607144,191.40704285714287,-21.544947607619047,169.8620952495238,4.761904755803298e-06,-9.523809533599584e-06,-4.761904677347537e-06,-45.00636666666672,-11.168399999999844,1.048896419455386e-14,2.857142860756583e-05,24.95619523809529,-5.457036994285714,-56.17476666666656,19.49915824380958,-36.67560842285699,3075.680357142857,3558.626352380952,3771.283338095239,-2389.4092809523813,-20108.016538095235,1229.451057142857,11494.978985714288,-3815.114233333333,69.6570523809524,0.0,632.5942714285708,-3745.457180952381,-3112.8629095238102,3043.386895238096,3453.8720428571423,3759.946847619048,-2338.3659904761907,-19934.1878,1208.602928571429,11304.107052380954,-3826.270247619048,70.83239047619047,0.0,497.361976190476,-3755.4378571428574,-3258.075880952381,32.293457142857136,104.75431904761906,11.33649523809524,-6.036923809523809,-162.6603380952381,20.84812857142857,190.87190476190477,-25.677000000000003,3.0355,0.0,191.40704285714287,-22.6415,168.76554285714283,4.761904755803298e-06,-9.523809533599584e-06,-4.761904677347537e-06,-45.00636666666672,-11.168399999999844,1.048896419455386e-14,2.857142860756583e-05,36.83301428571425,-4.210838095238096,0.0,-56.17476666666656,32.62217619047614,-23.55259047619042
lig_1a,1,16,-16.645480952380943,-28.48101052190478,-22.527205952380942,-34.36273552190478,,,-25.866580952380943,-37.70211052190478,9.2211,9.2211,3.3393750000000004,3.3393750000000004,,3057.3209761904764,3569.5253666666663,3763.38428095238,-2384.8368142857157,-20120.140885714285,1232.0220047619048,11449.592547619048,-3709.719604761905,101.13423486857144,566.8674761904762,-3608.585369893334,-3041.717893702857,3022.4722523809523,3465.0456476190475,3751.058166666666,-2331.906633333333,-19946.993742857147,1211.3456857142858,11259.860561904765,-3711.087319047619,103.10485028571428,430.8819380952381,-3607.982468761904,-3177.1005306666666,34.84870476190478,104.47970476190476,12.3261,-6.407742857142856,-159.9096619047619,20.676314285714287,189.73198095238092,-26.221585714285712,3.5608760571428566,195.7454,-22.66070965714286,173.08469034285713,1.9047619059924565e-05,1.4285714254383275e-05,1.4285714235604646e-05,-46.52243809523808,-13.23748095238096,4.761904764092963e-06,4.761904576645022e-06,27.589299999999987,-5.531491474285715,-59.75991904761903,22.05780852571427,-37.70211052190478,3057.3209761904764,3569.5253666666663,3763.38428095238,-2384.8368142857157,-20120.140885714285,1232.0220047619048,11449.592547619048,-3750.8100428571433,69.05861904761905,0.0,566.8674761904762,-3681.751423809524,-3114.8839476190474,3022.4722523809523,3465.0456476190475,3751.058166666666,-2331.906633333333,-19946.993742857147,1211.3456857142858,11259.860561904765,-3762.065909523809,70.19308095238095,0.0,430.8819380952381,-3691.8728285714287,-3260.990890476191,34.84870476190478,104.47970476190476,12.3261,-6.407742857142856,-159.9096619047619,20.676314285714287,189.73198095238092,-26.859114285714288,3.0871809523809524,0.0,195.7454,-23.771933333333337,171.97346666666667,1.9047619059924565e-05,1.4285714254383275e-05,1.4285714235604646e-05,-46.52243809523808,-13.23748095238096,4.761904764092963e-06,4.761904576645022e-06,38.11498095238096,-4.221642857142857,0.0,-59.75991904761903,33.89333809523811,-25.866580952380943
lig_1a,1,17,-17.488371428571014,-28.923211432380583,-24.06674642857101,-35.501586432380584,,,-26.94987142857101,-38.38471143238058,9.4615,9.4615,2.883125,2.883125,,3071.370714285714,3552.194652380952,3745.4875095238094,-2382.0820952380955,-20084.1406,1225.1695476190478,11418.077228571428,-3716.5268285714287,101.33687996571427,546.076957142857,-3615.1899486057146,-3069.1129914628573,3038.5941380952386,3445.6428571428573,3733.3261476190473,-2327.9870428571426,-19910.29795238095,1204.6666809523808,11227.839185714283,-3717.987266666667,103.42168347428571,411.7840142857142,-3614.565583192381,-3202.781568906667,32.776580952380954,106.5517761904762,12.161361904761907,-6.047066666666667,-161.79076666666666,20.50287619047619,190.2380380952381,-25.91793333333333,3.578412685714286,194.3928,-22.33952064761905,172.05327935238094,-4.761904817552845e-06,1.9047619006972212e-05,7.562204830589637e-14,-48.04798571428572,-12.051880952380564,-9.523809496042326e-06,4.761904611833805e-06,27.37837142857142,-5.663216194285714,-60.09986666666629,21.71515523428571,-38.38471143238058,3071.370714285714,3552.194652380952,3745.4875095238094,-2382.0820952380955,-20084.1406,1225.1695476190478,11418.077228571428,-3762.203771428571,69.64377142857143,0.0,546.076957142857,-3692.56,-3146.4830428571427,3038.5941380952386,3445.6428571428573,3733.3261476190473,-2327.9870428571426,-19910.29795238095,1204.6666809523808,11227.839185714283,-3773.203371428572,70.8036523809524,0.0,411.7840142857142,-3702.3997190476193,-3290.615704761904,32.776580952380954,106.5517761904762,12.161361904761907,-6.047066666666667,-161.79076666666666,20.50287619047619,190.2380380952381,-26.41948571428572,3.109209523809524,0.0,194.3928,-23.310276190476195,171.08252380952382,-4.761904817552845e-06,1.9047619006972212e-05,7.562204830589637e-14,-48.04798571428572,-12.051880952380564,-9.523809496042326e-06,4.761904611833805e-06,37.41908571428574,-4.269090476190477,0.0,-60.09986666666629,33.149995238095265,-26.94987142857101
lig_1a,1,18,-18.1988857142854,-29.544695634285397,-22.5755107142854,-33.921320634285394,,,-26.7948857142854,-38.14069563428539,8.596,8.596,4.219374999999999,4.219374999999999,,3061.5578571428573,3539.6860523809523,3761.085633333333,-2378.8847,-20088.604642857143,1231.3677476190478,11440.427795238094,-3734.5295142857135,102.34666512,566.6357428571433,-3632.1828491657143,-3065.5471063085715,3029.262238095238,3434.442666666667,3749.3343142857134,-2326.129766666668,-19920.470228571427,1211.1906,11253.355147619048,-3732.436542857143,104.30080878857144,430.98497142857167,-3628.1357340685713,-3197.15076264,32.29560952380952,105.24339523809525,11.751328571428571,-6.292761904761905,-157.6114238095238,20.177138095238096,187.07265714285717,-26.460461904761907,3.5688805371428574,192.6359428571428,-22.891581367619047,169.7443614895238,9.523809528355103e-06,-9.523809497734097e-06,-9.523809475867988e-06,-46.4621714285714,-10.522990476190165,9.523809534614646e-06,-9.523809743378867e-06,24.367490476190447,-5.523024205714283,-56.98516190476158,18.84446627047617,-38.14069563428539,3061.5578571428573,3539.6860523809523,3761.085633333333,-2378.8847,-20088.604642857143,1231.3677476190478,11440.427795238094,-3776.878185714286,70.50949047619048,0.0,566.6357428571433,-3706.368695238095,-3139.732952380952,3029.262238095238,3434.442666666667,3749.3343142857134,-2326.129766666668,-19920.470228571427,1211.1906,11253.355147619048,-3784.311571428571,71.68175238095237,0.0,430.98497142857167,-3712.629819047618,-3281.644847619047,32.29560952380952,105.24339523809525,11.751328571428571,-6.292761904761905,-157.6114238095238,20.177138095238096,187.07265714285717,-27.02214761904762,3.092995238095239,0.0,192.6359428571428,-23.92915238095238,168.70679047619046,9.523809528355103e-06,-9.523809497734097e-06,-9.523809475867988e-06,-46.4621714285714,-10.522990476190165,9.523809534614646e-06,-9.523809743378867e-06,34.45553333333331,-4.265257142857142,0.0,-56.98516190476158,30.190276190476165,-26.7948857142854
