,ligand,replica,mbar_complex_vdw_value,mbar_complex_coul_value,mbar_complex_bonded_value,mbar_ligand_vdw_value,mbar_ligand_coul_value,ti_complex_vdw_value,ti_complex_coul_value,ti_complex_bonded_value,ti_ligand_vdw_value,ti_ligand_coul_value,boresch,mbar_complex_vdw_error,mbar_complex_coul_error,mbar_complex_bonded_error,mbar_ligand_vdw_error,mbar_ligand_coul_error,ti_complex_vdw_error,ti_complex_coul_error,ti_complex_bonded_error,ti_ligand_vdw_error,ti_ligand_coul_error
0,lig_ejm_31,1,-2.1823345003141132,211.43964406995582,0.5501052034216483,-9.11803270263158,-215.9774375711987,-1.8391094680348967,211.25278523522437,0.5478162396135703,-8.957073778844727,-215.9549725528107,-6.693253871540179,0.12794431726801603,0.05789117790622242,0.004336292054141149,0.051619446217958796,0.04343340772679012,0.13786813982823828,0.05615815011105321,0.004967773531791693,0.048668020542110446,0.04364589509150586
1,lig_ejm_31,2,-1.1524110362736846,210.92819559616942,0.6418231989765667,-8.908348201124896,-215.92664737395623,-1.1530293857329446,211.14668556372922,0.697195561469282,-8.731686112461883,-215.91728690717073,-6.616894463504584,0.12757591457192438,0.06795624538767998,0.0041738109516542094,0.05034906109782904,0.04677290973738989,0.13093993170969406,0.06987130494385384,0.0064864982351777786,0.046866999077211535,0.0514415153581427
2,lig_ejm_31,3,-1.8902850366309414,212.357715790266,0.7714599426351928,-8.883907020841223,-215.90244445994418,-2.0031096192482956,212.39370427405365,0.7579220303270761,-8.727149633533891,-215.93930142728973,-6.526831545619379,0.12392582723429935,0.06824188281345281,0.00469038748497069,0.05103200835351555,0.046808114054756586,0.12217363659258919,0.06753804572336214,0.0049830784691244105,0.04823489040022441,0.05144701871732242
3,lig_ejm_42,1,-0.9147363077581036,194.66697115869434,0.7669811184374594,-9.053229984167256,-200.9092875631383,-1.0981594075616552,194.99816429889435,0.7699339061409745,-8.855219154689461,-200.92542528017157,-6.869915105826255,0.13680546969757532,0.06308743912401178,0.00607707925457558,0.05163095182149516,0.0474365835859194,0.13406530980660092,0.06742799096951817,0.0069347181466849084,0.04794357516024478,0.052953295187479064
4,lig_ejm_42,2,-1.3152125376234725,194.0958725569771,0.47921597297994867,-9.127566304116604,-201.0385034926716,-1.3508297521398662,194.12171010255662,0.4860193760317533,-8.920551613126245,-201.08416502554957,-6.6764301858934,0.12379808288534272,0.0631219995155086,0.0022796951587514317,0.05512592657988141,0.04912884293470454,0.12569503160268816,0.06254321963070737,0.0028535588259327224,0.051223154355674504,0.05482428730134849
5,lig_ejm_42,3,-1.63731155017966,195.19338202162533,0.6644752322373746,-9.0457940288683,-201.0048063718341,-1.7681227924495744,195.5358629533759,0.6999693541004158,-8.833585184353364,-200.96887931655385,-6.593352994901118,0.1305501540281459,0.0629118880885338,0.005476474012824305,0.05202277242740043,0.04793764012621941,0.13279645876961493,0.06927902476703371,0.007948432565226359,0.0473178579108517,0.052758536456780795
6,lig_ejm_43,1,-1.0749365016369534,180.64797634575024,0.5029392486670218,-9.420707007420164,-183.83776377998956,-1.225623141336712,180.70197718780176,0.5180458927912732,-9.174100064049831,-183.86453416728716,-6.6367237131365515,0.1314035619720512,0.07169588339462099,0.002405301935139237,0.054173651693244486,0.044403340420163966,0.13874194374336254,0.06997949001109736,0.0038935885626540617,0.04891645612247256,0.047882505125113724
7,lig_ejm_43,2,-3.462371009538736,178.5117228282141,0.5041560842989686,-9.524279569143953,-183.7541162831251,-3.5101713882704937,178.69484978146133,0.5504179639595631,-9.296444517065307,-183.74264778493043,-6.516457206802116,0.12978017423523636,0.05312175983366361,0.0022819845324115857,0.05634764764705218,0.04230908712498907,0.1349664151034687,0.054243399500201385,0.004004934078894699,0.05111702443586666,0.04483675727699853
8,lig_ejm_43,3,-3.025625127874196,178.3170656900077,0.4796468434579887,-9.525048133235776,-183.6843622698861,-3.092494678752636,178.43656322660448,0.4946583888903948,-9.32911405069378,-183.69150157463926,-6.657225644883907,0.12108864279437526,0.043334507254923355,0.002953301238281194,0.05414990824968408,0.042986169413113055,0.12666575276175243,0.04195142820357585,0.004053338324244792,0.049051375683660955,0.04467506820873481
9,lig_ejm_45,1,-1.4865310658700832,219.89270588338417,0.5165366284707056,-10.051145708459314,-226.3078735279164,-1.3919054148456456,219.89288188235338,0.5602745840091402,-9.80997313665113,-226.34051722757266,-6.67026170247629,0.13082600183844753,0.06691639162707445,0.002374053486175777,0.05801463702283806,0.049385981215756845,0.13311684307311755,0.06963999942068684,0.004158088087815994,0.053010383514900915,0.05896620685212649
