name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_ejm_31,1,1,-13.53815238095225,-19.394623923809405,-24.85600238095225,-30.71247392380941,,,-28.64225238095225,-34.49872392380941,15.1041,15.1041,3.78625,3.78625,,3055.871380952381,3762.5587380952375,3824.519704761904,-2404.656171428572,-20709.295914285714,1271.931938095238,11740.165190476191,-3115.775028571429,111.67470576,541.0948666666669,-3004.1003228114287,-2463.0054561447614,3032.898871428571,3599.689076190476,3782.016185714285,-2361.0144333333337,-20910.66222857143,1256.860438095238,12166.067414285715,-3127.652538095238,113.83578596571428,565.855323809524,-3013.816752129524,-2447.96142832,22.97250476190476,162.86966190476193,42.503504761904765,-0.5924190476190476,223.1727619047619,15.0715,-425.90221904761904,-23.539776190476186,2.8991627657142853,40.09529523809524,-20.640613424761906,19.454681813333337,4.761904722644636e-06,8.120488408686859e-15,1.4285714279421447e-05,-43.04931904761906,-21.80644761904752,-7.020838936677181e-15,-4.761904868982605e-06,35.41728571428575,-5.060242971428571,-64.85576666666658,30.357042742857185,-34.49872392380941,3055.871380952381,3762.5587380952375,3824.519704761904,-2404.656171428572,-20709.295914285714,1271.931938095238,11740.165190476191,-3167.9649380952387,70.71904285714287,0.0,541.0948666666669,-3097.2458952380957,-2556.1510285714285,3032.898871428571,3599.689076190476,3782.016185714285,-2361.0144333333337,-20910.66222857143,1256.860438095238,12166.067414285715,-3185.810080952381,71.78685238095237,0.0,565.855323809524,-3114.0232285714287,-2548.167904761905,22.97250476190476,162.86966190476193,42.503504761904765,-0.5924190476190476,223.1727619047619,15.0715,-425.90221904761904,-22.087971428571432,2.6517904761904765,0.0,40.09529523809524,-19.436180952380955,20.65911428571429,4.761904722644636e-06,8.120488408686859e-15,1.4285714279421447e-05,-43.04931904761906,-21.80644761904752,-7.020838936677181e-15,-4.761904868982605e-06,39.93311428571433,-3.719600000000001,0.0,-64.85576666666658,36.213514285714325,-28.64225238095225
lig_ejm_31,1,2,-17.224266666667113,-24.15807579809575,-22.641041666667117,-29.574850798095756,,,-26.881666666667115,-33.815475798095754,9.6574,9.6574,4.240625,4.240625,,3063.266947619047,3746.5697095238097,3833.962414285713,-2406.2549380952382,-20626.94849523809,1276.582,11739.0628,-3224.546638095237,113.67457954285712,626.2404380952378,-3110.8720585523806,-2484.6316204571426,3040.1192142857144,3584.469138095239,3791.262771428571,-2363.765252380952,-20828.68893809524,1261.411957142857,12165.783380952382,-3236.7899285714284,115.83067724571426,650.5922714285716,-3120.959251325714,-2470.3669798971428,23.14772857142857,162.10057619047618,42.69963333333333,-0.4517904761904762,223.4307761904762,15.170042857142857,-426.7205761904762,-22.717714285714283,2.892154285714285,39.37639047619048,-19.825560000000003,19.55083047619048,4.761904707587898e-06,-4.7619047593560114e-06,9.52380946423708e-06,-42.03789523809517,-21.690333333333907,-1.3787912610582896e-14,-4.761904847327969e-06,34.96100476190477,-5.048251988571428,-63.7282285714291,29.912752773333334,-33.815475798095754,3063.266947619047,3746.5697095238097,3833.962414285713,-2406.2549380952382,-20626.94849523809,1276.582,11739.0628,-3281.990971428571,71.76133333333334,0.0,626.2404380952378,-3210.229638095237,-2583.9892000000004,3040.1192142857144,3584.469138095239,3791.262771428571,-2363.765252380952,-20828.68893809524,1261.411957142857,12165.783380952382,-3301.116085714286,72.78485238095237,0.0,650.5922714285716,-3228.3312333333333,-2577.738961904762,23.14772857142857,162.10057619047618,42.69963333333333,-0.4517904761904762,223.4307761904762,15.170042857142857,-426.7205761904762,-21.388376190476187,2.643409523809524,0.0,39.37639047619048,-18.744966666666663,20.631423809523817,4.761904707587898e-06,-4.7619047593560114e-06,9.52380946423708e-06,-42.03789523809517,-21.690333333333907,-1.3787912610582896e-14,-4.761904847327969e-06,40.51349047619056,-3.66692857142857,0.0,-63.7282285714291,36.84656190476198,-26.881666666667115
lig_ejm_31,1,3,-15.374047619047277,-21.84781028952343,-23.583572619047278,-30.05733528952343,,,-28.29294761904728,-34.76671028952343,12.9189,12.9189,4.709375,4.709375,,3025.760209523809,3762.848723809524,3832.0341809523807,-2395.8009999999995,-20686.518119047618,1277.4908809523808,11738.993266666666,-3170.8359380952384,112.84302648,554.8081428571425,-3057.992911615238,-2503.1847687580957,2999.1913904761905,3600.707919047619,3790.395942857144,-2353.535423809524,-20888.462333333337,1262.056219047619,12165.83461904762,-3182.098561904762,114.96447171428572,576.188333333333,-3067.134090190476,-2490.945756857143,26.568838095238096,162.14081428571424,41.638238095238094,0.1211047619047619,223.3803047619048,15.434666666666672,-426.8413476190476,-22.80589523809524,2.891012674285714,42.44261904761905,-19.914882563809524,22.527736483809527,-1.904761902101389e-05,-9.523809537659828e-06,-7.376110304557232e-14,-42.3866809523809,-21.43609047619015,-4.761904774751104e-06,-4.761904955601148e-06,34.06851904761904,-5.01245790857143,-63.82277142857107,29.05606113904761,-34.76671028952343,3025.760209523809,3762.848723809524,3832.0341809523807,-2395.8009999999995,-20686.518119047618,1277.4908809523808,11738.993266666666,-3229.995419047619,71.18011428571428,0.0,554.8081428571425,-3158.815304761905,-2604.0071619047626,2999.1913904761905,3600.707919047619,3790.395942857144,-2353.535423809524,-20888.462333333337,1262.056219047619,12165.83461904762,-3247.619042857142,72.16574285714286,0.0,576.188333333333,-3175.4533,-2599.2649666666666,26.568838095238096,162.14081428571424,41.638238095238094,0.1211047619047619,223.3803047619048,15.434666666666672,-426.8413476190476,-21.54071904761905,2.648890476190477,0.0,42.44261904761905,-18.89182857142857,23.55079047619048,-1.904761902101389e-05,-9.523809537659828e-06,-7.376110304557232e-14,-42.3866809523809,-21.43609047619015,-4.761904774751104e-06,-4.761904955601148e-06,39.16434285714282,-3.6345190476190457,0.0,-63.82277142857107,35.529823809523776,-28.29294761904728
lig_ejm_31,1,4,-21.78854761904745,-27.822088822857005,-27.78244761904745,-33.815988822857,,,-30.107447619047445,-36.14098882285701,8.3189,8.3189,2.325,2.325,,3063.689538095238,3749.267623809524,3828.66220952381,-2404.233447619048,-20649.066542857145,1278.2947142857145,11730.916976190474,-3186.7360857142853,112.66218192,597.531071428571,-3074.0739037942863,-2476.5428323657147,3038.711395238095,3589.18080952381,3785.903042857143,-2361.6121904761903,-20849.52860952381,1263.1807952380952,12157.07268095238,-3198.29541904762,114.75109724571428,622.9079238095235,-3083.5443218019045,-2460.636397992381,24.97815238095238,160.08679999999998,42.759166666666665,0.4987095238095237,223.1889571428572,15.11391904761905,-426.1557,-23.126180952380956,2.89073064,40.47000476190477,-20.23545031238095,20.234554449523813,-9.523809472188393e-06,1.4285714269947545e-05,5.413658939124573e-15,-43.119966666666606,-22.726890476190377,9.812256827163288e-15,-4.761905025978714e-06,34.68551428571427,-4.979645965714287,-65.84685714285698,29.705868319999976,-36.14098882285701,3063.689538095238,3749.267623809524,3828.66220952381,-2404.233447619048,-20649.066542857145,1278.2947142857145,11730.916976190474,-3250.7490238095247,71.09417142857144,0.0,597.531071428571,-3179.6548523809524,-2582.1237809523814,3038.711395238095,3589.18080952381,3785.903042857143,-2361.6121904761903,-20849.52860952381,1263.1807952380952,12157.07268095238,-3268.247447619048,72.0661380952381,0.0,622.9079238095235,-3196.181309523809,-2573.2733857142857,24.97815238095238,160.08679999999998,42.759166666666665,0.4987095238095237,223.1889571428572,15.11391904761905,-426.1557,-21.85817619047619,2.6452238095238094,0.0,40.47000476190477,-19.212952380952384,21.257052380952384,-9.523809472188393e-06,1.4285714269947545e-05,5.413658939124573e-15,-43.119966666666606,-22.726890476190377,9.812256827163288e-15,-4.761905025978714e-06,39.35660000000002,-3.6171904761904736,0.0,-65.84685714285698,35.73940952380954,-30.107447619047445
lig_ejm_31,1,5,-20.524904761904395,-26.728658693332896,-26.031504761904397,-32.235258693332895,,,-28.871504761904397,-35.0752586933329,8.3466,8.3466,2.84,2.84,,3040.5075380952385,3731.828966666667,3822.367433333333,-2381.4832571428574,-20714.71863809524,1277.1574809523809,11735.87008095238,-3162.0008380952386,112.9818328457143,511.5296047619048,-3049.019005249524,-2537.489400487619,3015.5328142857143,3570.651061904762,3778.44149047619,-2338.605242857143,-20916.67167142857,1261.881976190476,12162.324576190476,-3172.548414285714,115.00865379428572,533.5550047619046,-3057.5397604914288,-2523.984755729524,24.97472857142857,161.1779238095238,43.92594285714286,-0.6564809523809524,223.9279761904762,15.275523809523808,-426.4544857142856,-23.49172380952381,2.8912615542857143,42.17112857142857,-20.60046225523809,21.57066631619048,-4.761904739731497e-06,-1.904761904960478e-05,-1.2519086296725574e-14,-42.22153333333326,-21.974942857142533,-1.9047619018222476e-05,-9.523809556607637e-06,34.03930000000005,-4.918082502857142,-64.19647619047579,29.1212174971429,-35.0752586933329,3040.5075380952385,3731.828966666667,3822.367433333333,-2381.4832571428574,-20714.71863809524,1277.1574809523809,11735.87008095238,-3226.5415904761903,71.91670476190477,0.0,511.5296047619048,-3154.624885714285,-2643.095280952381,3015.5328142857143,3570.651061904762,3778.44149047619,-2338.605242857143,-20916.67167142857,1261.881976190476,12162.324576190476,-3243.2305142857144,72.91271428571429,0.0,533.5550047619046,-3170.3178000000003,-2636.762795238096,24.97472857142857,161.1779238095238,43.92594285714286,-0.6564809523809524,223.9279761904762,15.275523809523808,-426.4544857142856,-22.28411904761905,2.6520619047619047,0.0,42.17112857142857,-19.63205714285714,22.53907142857143,-4.761904739731497e-06,-1.904761904960478e-05,-1.2519086296725574e-14,-42.22153333333326,-21.974942857142533,-1.9047619018222476e-05,-9.523809556607637e-06,38.97304285714283,-3.6480714285714297,0.0,-64.19647619047579,35.3249714285714,-28.871504761904397
lig_ejm_31,1,6,-25.66935714285633,-32.178098628570694,-27.74895714285633,-34.257698628570694,,,-29.68145714285633,-36.19019862857069,4.0121,4.0121,1.9325,1.9325,,3062.237295238095,3733.335780952381,3837.0167523809528,-2403.5701619047622,-20752.15607142857,1277.4253666666666,11762.346276190478,-3122.873223809523,112.04085874285714,516.6352380952392,-3010.8323650666666,-2494.197126971428,3041.26949047619,3573.2540666666678,3793.900219047619,-2359.8770809523808,-20953.445623809523,1262.524766666667,12188.942323809522,-3134.3888809523805,114.23412723428572,546.5681619047612,-3020.154753718095,-2473.586591813334,20.96779523809524,160.0817238095238,43.11655238095237,0.0734666666666666,223.21500952380956,14.900600000000004,-426.5960523809524,-23.068104761904767,2.88868728,35.75909523809523,-20.179417481904764,15.579677756190463,9.523809539013244e-06,-9.523809525479096e-06,-1.904761902321319e-05,-43.7665476190476,-21.9254571428564,2.698370627469904e-14,4.761905120717745e-06,34.58376190476188,-5.081955771428573,-65.69200476190397,29.501806133333304,-36.19019862857069,3062.237295238095,3733.335780952381,3837.0167523809528,-2403.5701619047622,-20752.15607142857,1277.4253666666666,11762.346276190478,-3183.5197857142857,71.38375714285715,0.0,516.6352380952392,-3112.1360285714286,-2595.500790476189,3041.26949047619,3573.2540666666678,3793.900219047619,-2359.8770809523808,-20953.445623809523,1262.524766666667,12188.942323809522,-3201.4633142857137,72.4363,0.0,546.5681619047612,-3129.027014285714,-2582.458852380953,20.96779523809524,160.0817238095238,43.11655238095237,0.0734666666666666,223.21500952380956,14.900600000000004,-426.5960523809524,-21.76632857142857,2.6467666666666667,0.0,35.75909523809523,-19.119561904761905,16.639533333333326,9.523809539013244e-06,-9.523809525479096e-06,-1.904761902321319e-05,-43.7665476190476,-21.9254571428564,2.698370627469904e-14,4.761905120717745e-06,39.7098571428572,-3.699309523809524,0.0,-65.69200476190397,36.01054761904767,-29.68145714285633
lig_ejm_31,1,7,-20.53604761904736,-27.704983622856997,-27.32749761904736,-34.49643362285699,,,-28.83374761904736,-36.00268362285699,8.2977,8.2977,1.50625,1.50625,,3085.5570666666667,3755.266938095238,3814.997809523809,-2411.964809523809,-20648.019633333333,1273.2383666666665,11745.363785714286,-3193.978104761905,112.18066745142858,614.4395238095243,-3081.7974373104767,-2467.357913500952,3060.4117333333334,3592.035595238095,3772.8836,-2368.174823809524,-20849.2859,1257.794614285714,12172.251276190476,-3205.4121523809526,114.3130166742857,637.9160952380955,-3091.099135706667,-2453.183040468572,25.145357142857144,163.2313380952381,42.11420952380953,-0.3397904761904762,223.52608571428573,15.443742857142857,-426.8874809523809,-23.29588095238095,2.890248685714285,42.23346190476191,-20.405632266666668,21.827829638095245,-2.3809523846687225e-05,4.761904851388213e-06,2.7068294695622867e-15,-43.45019523809519,-22.259819047618883,9.523809535291353e-06,-9.523809369836402e-06,34.72992857142852,-5.022597908571428,-65.71001428571407,29.70733066285709,-36.00268362285699,3085.5570666666667,3755.266938095238,3814.997809523809,-2411.964809523809,-20648.019633333333,1273.2383666666665,11745.363785714286,-3262.904657142857,71.13956666666668,0.0,614.4395238095243,-3191.765090476191,-2577.325566666666,3060.4117333333334,3592.035595238095,3772.8836,-2368.174823809524,-20849.2859,1257.794614285714,12172.251276190476,-3281.5031095238096,72.18592857142858,0.0,637.9160952380955,-3209.317180952381,-2571.4010857142857,25.145357142857144,163.2313380952381,42.11420952380953,-0.3397904761904762,223.52608571428573,15.443742857142857,-426.8874809523809,-21.9721380952381,2.647961904761905,0.0,42.23346190476191,-19.32417619047619,22.909285714285723,-2.3809523846687225e-05,4.761904851388213e-06,2.7068294695622867e-15,-43.45019523809519,-22.259819047618883,9.523809535291353e-06,-9.523809369836402e-06,40.570590476190524,-3.694323809523808,0.0,-65.71001428571407,36.87626666666672,-28.83374761904736
lig_ejm_31,1,8,-24.12299047619095,-30.854995592381364,-26.887640476190956,-33.61964559238137,,,-29.12389047619095,-35.855895592381366,5.0009,5.0009,2.23625,2.23625,,3059.081552380952,3736.169780952381,3829.3021666666673,-2398.5227095238097,-20591.038490476192,1277.688790476191,11711.471790476193,-3218.805004761906,113.49641146285714,624.1528809523809,-3105.308593299047,-2481.155712346667,3037.0384904761904,3575.909385714285,3784.682290476191,-2354.96390952381,-20792.461104761907,1262.383314285714,12138.994552380953,-3231.2153523809525,115.63013842285714,651.5830190476191,-3115.5852139580948,-2464.002194910476,22.043061904761903,160.26038095238096,44.61988571428572,-0.1336761904761904,224.37801428571427,15.305476190476186,-427.5227476190476,-23.136038095238096,2.888030537142857,38.95039523809523,-20.24800755809524,18.70238767999999,6.936250515753359e-15,1.4285714287541935e-05,-9.523809537321476e-06,-43.42512380952384,-22.9554000000004,-1.2519086296725574e-14,-1.4285714241525835e-05,35.546385714285734,-5.021757497142855,-66.38052380952423,30.52462821714288,-35.855895592381366,3059.081552380952,3736.169780952381,3829.3021666666673,-2398.5227095238097,-20591.038490476192,1277.688790476191,11711.471790476193,-3285.826928571428,71.8481904761905,0.0,624.1528809523809,-3213.978738095238,-2589.8258571428573,3037.0384904761904,3575.909385714285,3784.682290476191,-2354.96390952381,-20792.461104761907,1262.383314285714,12138.994552380953,-3304.834852380952,72.8825619047619,0.0,651.5830190476191,-3231.9522904761902,-2580.369271428572,22.043061904761903,160.26038095238096,44.61988571428572,-0.1336761904761904,224.37801428571427,15.305476190476186,-427.5227476190476,-21.934609523809524,2.6515285714285715,0.0,38.95039523809523,-19.283080952380956,19.66731428571428,6.936250515753359e-15,1.4285714287541935e-05,-9.523809537321476e-06,-43.42512380952384,-22.9554000000004,-1.2519086296725574e-14,-1.4285714241525835e-05,40.942533333333294,-3.6858999999999984,0.0,-66.38052380952423,37.2566333333333,-29.12389047619095
lig_ejm_31,1,9,-23.339138095238496,-29.78322923428604,-25.914713095238497,-32.35880423428603,,,-29.310338095238496,-35.75442923428604,5.9712,5.9712,3.395625,3.395625,,3061.418680952381,3742.941471428572,3812.9674190476194,-2412.5794047619047,-20617.36337619047,1277.9941714285717,11712.980280952384,-3185.696404761905,111.3632436685714,578.359242857143,-3074.3331610933333,-2495.9739182361905,3039.501314285714,3580.8192619047613,3768.601852380953,-2368.592938095239,-20819.084904761905,1262.6033523809524,12140.06631904762,-3196.925447619048,113.53018182857144,603.9142571428575,-3083.395265790476,-2479.481008647618,21.91735238095238,162.12220000000002,44.36558095238096,-0.9977,223.8978952380952,15.39082857142857,-427.0860666666666,-23.235347619047616,2.8867482171428573,39.61009047619049,-20.348599401904764,19.261491074285725,1.4285714294055246e-05,9.523809530892756e-06,-1.4285714245924432e-05,-42.98876666666664,-22.176366666667047,-9.523809542735134e-06,2.8571428897196585e-05,34.4643904761905,-5.053686377142856,-65.16513333333369,29.410704099047653,-35.75442923428604,3061.418680952381,3742.941471428572,3812.9674190476194,-2412.5794047619047,-20617.36337619047,1277.9941714285717,11712.980280952384,-3236.048247619048,70.82200476190476,0.0,578.359242857143,-3165.2262428571435,-2586.867,3039.501314285714,3580.8192619047613,3768.601852380953,-2368.592938095239,-20819.084904761905,1262.6033523809524,12140.06631904762,-3253.669219047619,71.87264285714286,0.0,603.9142571428575,-3181.796576190477,-2577.8823190476187,21.91735238095238,162.12220000000002,44.36558095238096,-0.9977,223.8978952380952,15.39082857142857,-427.0860666666666,-21.93847142857143,2.654009523809524,0.0,39.61009047619049,-19.284461904761905,20.32562857142858,1.4285714294055246e-05,9.523809530892756e-06,-1.4285714245924432e-05,-42.98876666666664,-22.176366666667047,-9.523809542735134e-06,2.8571428897196585e-05,39.559442857142805,-3.7046476190476176,0.0,-65.16513333333369,35.85479523809519,-29.310338095238496
lig_ejm_31,1,10,-23.839333333333617,-30.022121455238352,-25.84805833333362,-32.030846455238354,,,-31.177433333333617,-37.36022145523835,7.3381,7.3381,5.329375,5.329375,,3067.0628904761898,3757.574728571428,3827.315490476192,-2405.3289666666665,-20639.544895238098,1274.7945904761905,11740.790857142858,-3196.891190476191,112.98223224,622.6646952380949,-3083.9089582361903,-2461.244262998096,3043.8076523809527,3597.67650952381,3783.750157142857,-2361.287023809524,-20841.67131428571,1259.8269142857143,12167.468547619046,-3207.0746714285715,115.10500247999995,649.5714428571425,-3091.969668948572,-2442.398226091429,23.255242857142854,159.89821904761902,43.56533809523809,-0.1088761904761905,223.76745714285715,14.967671428571428,-426.6776809523809,-23.045257142857142,2.8920845485714284,38.66737142857142,-20.153172594285717,18.514198834285715,-4.761904842421841e-06,2.1654635756498293e-14,-4.76190474819034e-06,-43.93306666666662,-21.641038095238432,4.761904776950403e-06,-9.523809342768108e-06,33.22873809523813,-5.014854788571427,-65.57410476190505,28.213883306666705,-37.36022145523835,3067.0628904761898,3757.574728571428,3827.315490476192,-2405.3289666666665,-20639.544895238098,1274.7945904761905,11740.790857142858,-3251.9196809523805,71.66007142857141,0.0,622.6646952380949,-3180.259609523809,-2557.5949142857144,3043.8076523809527,3597.67650952381,3783.750157142857,-2361.287023809524,-20841.67131428571,1259.8269142857143,12167.468547619046,-3268.1765333333337,72.66708095238096,0.0,649.5714428571425,-3195.509452380953,-2545.93800952381,23.255242857142854,159.89821904761902,43.56533809523809,-0.1088761904761905,223.76745714285715,14.967671428571428,-426.6776809523809,-21.80672380952381,2.659895238095238,0.0,38.66737142857142,-19.146828571428568,19.52054285714286,-4.761904842421841e-06,2.1654635756498293e-14,-4.76190474819034e-06,-43.93306666666662,-21.641038095238432,4.761904776950403e-06,-9.523809342768108e-06,38.0635761904762,-3.6669047619047617,0.0,-65.57410476190505,34.39667142857143,-31.177433333333617
