name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_ejm_31,-18.145855158730217,-25.468346927428623,-23.25481974206355,-30.577311510761955,,,-26.53308015873022,-33.85557192742862,8.387224999999999,8.387224999999999,3.278260416666667,3.278260416666667,,0.3849218312969045,0.3809185184098671,0.2901784911681842,0.282967183775866,,,0.2212954534455,0.21135403499395206,0.27287973747087774,0.27287973747087774,0.17406629322646874,0.17406629322646874,,3,60
lig_ejm_42,-18.079069761904734,-25.37891589111108,-23.94190851190473,-31.241754641111083,,,-27.6646064285714,-34.964452557777754,9.585536666666666,9.585536666666666,3.7226979166666667,3.7226979166666667,,0.614247392907843,0.6290313328132838,0.3123224740539167,0.2944624275363607,,,0.16999877510272754,0.15313658329063087,0.5498248269934186,0.5498248269934186,0.2149119923034484,0.2149119923034484,,3,60
lig_ejm_43,-14.761465396825391,-22.69005567187302,-21.357934563492055,-29.28652483853968,,,-25.44295539682539,-33.371545671873015,10.68149,10.68149,4.085020833333333,4.085020833333333,,0.5566269617014687,0.4955521328590963,0.3821727095377432,0.32215060301672493,,,0.2665675767605448,0.19266807754916812,0.43839307655867044,0.43839307655867044,0.2564946722597913,0.2564946722597913,,3,60
lig_ejm_45,-16.546478492063518,-25.000115403746058,-22.940148075396852,-31.393784987079393,,,-27.43815849206352,-35.89179540374606,10.891680000000001,10.891680000000001,4.498010416666667,4.498010416666667,,0.6155839933786016,0.584404417268515,0.33378734557992984,0.30755404675642745,,,0.19851638168163058,0.1922882697058327,0.5367661266950733,0.5367661266950733,0.24687953246736266,0.24687953246736266,,3,60
lig_ejm_46,-21.21546976190471,-28.871797386793606,-25.93405059523804,-33.59037822012694,,,-29.498321428571376,-37.15464905346027,8.282851666666666,8.282851666666666,3.564270833333333,3.564270833333333,,0.5057517315827161,0.5052527807536077,0.2741017689200443,0.24452147184633286,,,0.17690198977034768,0.13445736379864873,0.45430041099090646,0.45430041099090646,0.18848637980095126,0.18848637980095126,,3,60
lig_ejm_47,-19.168504603174608,-26.941828219301602,-24.364500436507942,-32.13782405263493,,,-27.859604603174606,-35.6329282193016,8.6911,8.6911,3.4951041666666667,3.4951041666666667,,0.46860136092020915,0.4670770232451609,0.26574080322280946,0.2486416985669565,,,0.21663092360976557,0.20225316795850526,0.3703297243540046,0.3703297243540046,0.18931604646705893,0.18931604646705893,,3,60
lig_ejm_48,-21.00441920634925,-29.057714447809573,-26.02723795634925,-34.08053319780957,,,-29.549144206349247,-37.60243944780957,8.544725,8.544725,3.5219062500000002,3.5219062500000002,,0.47600403593950996,0.46441948385782944,0.29013161935434895,0.2765583341765797,,,0.19296585366648725,0.16757461571300453,0.404168991747928,0.404168991747928,0.18873832337570626,0.18873832337570626,,3,60
lig_ejm_50,-0.5588696031745607,-7.350348039936472,-20.063157936507892,-26.854636373269802,,,-26.072782936507895,-32.864261373269805,25.513913333333335,25.513913333333335,6.009625,6.009625,,1.3698228817089226,1.3691260561824097,0.37181372769950893,0.3865989787460973,,,0.14680261484545,0.13621370234932165,1.3824627155942708,1.3824627155942708,0.3655720316308872,0.3655720316308872,,3,60
lig_ejm_54,-19.180214206349174,-26.187896554158705,-25.194546706349175,-32.20222905415871,,,-29.329192539682506,-36.33687488749204,10.148978333333334,10.148978333333334,4.134645833333334,4.134645833333334,,0.5610614849512672,0.5334342608802293,0.3656590825667181,0.29628296474233523,,,0.26296688314330496,0.1656023535269041,0.47912118726989456,0.47912118726989456,0.23226529170843302,0.23226529170843302,,3,60
lig_ejm_55,-16.70466642857145,-24.796551286476202,-21.857273511904783,-29.94915836980954,,,-25.57776309523812,-33.66964795314287,8.873096666666667,8.873096666666667,3.7204895833333333,3.7204895833333333,,0.5149602609767762,0.4996295563899872,0.2601636256176206,0.24328130384577223,,,0.16749587816295572,0.14097891315350755,0.4807665814937303,0.4807665814937303,0.1944652042925439,0.1944652042925439,,3,60
lig_jmc_23,-16.705854761904806,-24.44453922952385,-25.038575595238136,-32.77726006285719,,,-29.610471428571472,-37.34915589619052,12.904616666666668,12.904616666666668,4.571895833333333,4.571895833333333,,0.8145754526415653,0.8000623957417575,0.34607567824132895,0.3288446641387201,,,0.22682309666652403,0.18994242159535546,0.7352692190606899,0.7352692190606899,0.26782169689438784,0.26782169689438784,,3,60
lig_jmc_27,-20.506701825396814,-28.09418975942856,-26.631707658730146,-34.2191955927619,,,-30.345770158730147,-37.933258092761896,9.839068333333334,9.839068333333334,3.7140625,3.7140625,,0.41877217830726576,0.43707768004853,0.2626320724048967,0.2727469420166184,,,0.1981761517490532,0.19497969676321333,0.4119359190778422,0.4119359190778422,0.1997327241168977,0.1997327241168977,,3,60
lig_jmc_28,-19.83218420634923,-26.564525889587333,-25.949178373015897,-32.681520056254,,,-30.12219920634923,-36.854540889587334,10.290015,10.290015,4.173020833333333,4.173020833333333,,0.6321784610254755,0.6405133352490687,0.37842747013496253,0.3867737608585506,,,0.22195976522753702,0.2055595560911858,0.5427093053798727,0.5427093053798727,0.2773183205464844,0.2773183205464844,,3,60
