name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_ejm_31,-19.01244785714285,-26.95826603980952,-24.878017440476185,-32.82383562314285,,,-28.49794452380952,-36.44376270647618,9.485496666666668,9.485496666666668,3.6199270833333332,3.6199270833333332,,0.48676700098016856,0.43258629792733555,0.2538064343928935,0.23266492156219745,,,0.167950620443358,0.13062176127477063,0.40177877618679914,0.40177877618679914,0.19847408888603704,0.19847408888603704,,3,60
lig_ejm_42,-19.60657246031752,-27.029158163428626,-26.003056626984183,-33.42564233009529,,,-30.016452460317517,-37.43903816342863,10.40988,10.40988,4.013395833333333,4.013395833333333,,0.5170741718917138,0.5114412367491983,0.32649159976866066,0.3028349543168862,,,0.14463615011894235,0.15404571197182218,0.47159123984235035,0.47159123984235035,0.2619227609414871,0.2619227609414871,,3,60
lig_ejm_43,-18.799626031746094,-26.52341436907942,-25.56296269841276,-33.286751035746086,,,-29.42971269841276,-37.15350103574608,10.630086666666667,10.630086666666667,3.86675,3.86675,,0.5533987597513508,0.5350205233462547,0.34758010471382256,0.3254961562405348,,,0.24975211195080776,0.2136034055558192,0.409402527636805,0.409402527636805,0.21944300326635266,0.21944300326635266,,3,60
lig_ejm_45,-21.11481349206355,-28.970711018476255,-27.365491408730218,-35.221388935142926,,,-31.302376825396884,-39.15827435180959,10.187563333333333,10.187563333333333,3.9368854166666667,3.9368854166666667,,0.5467975819538586,0.5340991116308238,0.2574401791293037,0.24158123324641526,,,0.12468225946705452,0.1265990564830678,0.4995094434444729,0.4995094434444729,0.2116481067733387,0.2116481067733387,,3,60
lig_ejm_46,-23.200544047618962,-30.64748570139674,-28.115667380952296,-35.56260903473007,,,-31.451334047618964,-38.89827570139674,8.25079,8.25079,3.335666666666667,3.335666666666667,,0.4568403439372835,0.4429170243320398,0.28969609315164274,0.28937788694767796,,,0.2034141137073621,0.193867052399254,0.3413113844271064,0.3413113844271064,0.16949677165844937,0.16949677165844937,,3,60
lig_ejm_47,-22.029052777777746,-29.890583719428534,-27.69275402777775,-35.55428496942853,,,-31.25476444444441,-39.116295386095196,9.225711666666665,9.225711666666665,3.5620104166666664,3.5620104166666664,,0.4741829206460448,0.47772522462211664,0.29161828016155905,0.2869871004381828,,,0.18645113439272099,0.17294491655155209,0.4446246975007535,0.4446246975007535,0.2269182024571592,0.2269182024571592,,3,60
lig_ejm_48,-21.030961666666677,-29.873148315746054,-26.957169583333343,-35.79935623241272,,,-30.41030500000001,-39.25249164907939,9.379343333333333,9.379343333333333,3.453135416666667,3.453135416666667,,0.5521680137240471,0.5349778462559649,0.33555248278997574,0.3066820893363216,,,0.20473303352205027,0.17013763296633572,0.4585521642529392,0.4585521642529392,0.20311661515270407,0.20311661515270407,,3,60
lig_ejm_50,-7.803480873015874,-14.822193617523814,-23.110747956349208,-30.129460700857145,,,-29.061945873015873,-36.08065861752381,21.258465,21.258465,5.951197916666667,5.951197916666667,,1.279782713372449,1.254908566095755,0.4238541894180502,0.40772867487746256,,,0.251783907973315,0.1962537055905045,1.2241598400508658,1.2241598400508658,0.33976682157968296,0.33976682157968296,,3,60
lig_ejm_54,-18.941803492063464,-25.957672863174576,-27.682623492063463,-34.69849286317457,,,-31.621873492063465,-38.63774286317457,12.68007,12.68007,3.93925,3.93925,,0.6657552309367436,0.6012758337803016,0.2955412081702805,0.2296070980689683,,,0.20709177727120345,0.16100422613055343,0.5469839630691217,0.5469839630691217,0.21376244192239266,0.21376244192239266,,3,60
lig_ejm_55,-18.472401111111107,-27.04051651060318,-25.102293611111108,-33.67040901060318,,,-28.790147777777772,-37.35826317726985,10.317746666666666,10.317746666666666,3.687854166666667,3.687854166666667,,0.5978915022214769,0.6009646144530598,0.2811594114035789,0.2807581989388358,,,0.1274902307678275,0.1173069005654183,0.5604692775387279,0.5604692775387279,0.22852001264459149,0.22852001264459149,,3,60
lig_jmc_23,-19.440288571428603,-27.406409701015907,-27.434593571428604,-35.40071470101591,,,-32.189801904761936,-40.15592303434924,12.749513333333335,12.749513333333335,4.755208333333333,4.755208333333333,,0.5500624931124837,0.5668253523048006,0.2469759168796843,0.26471860310074397,,,0.12056512903543315,0.13245412995755443,0.5335852436383763,0.5335852436383763,0.20461460305776524,0.20461460305776524,,3,60
lig_jmc_27,-21.476606587301667,-29.269819718666746,-28.99729658730167,-36.79050971866675,,,-33.308088253968336,-41.101301385333414,11.831481666666667,11.831481666666667,4.310791666666666,4.310791666666666,,0.5740682686058246,0.5714364153360268,0.28303443721334287,0.2623864026702953,,,0.15318507133604053,0.1614988194965537,0.505542913770725,0.505542913770725,0.22720399411225203,0.22720399411225203,,3,60
lig_jmc_28,-22.411401746031768,-30.35366531726986,-27.994046746031767,-35.936310317269864,,,-31.486338412698437,-39.42860198393653,9.074936666666668,9.074936666666668,3.4922916666666666,3.4922916666666666,,0.5171087946494403,0.4584192358207438,0.3736361112291072,0.3099855365681436,,,0.3136086814956698,0.2504170653529247,0.3231111021770903,0.3231111021770903,0.15332020063202884,0.15332020063202884,,3,60
