name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_ejm_31,1,1,-10.210914285714152,-18.46535896380952,-23.276989285714155,-31.53143396380952,,,-26.465114285714154,-34.71955896380952,16.2542,16.2542,3.188125,3.188125,,3062.210276190477,3662.760847619047,3808.883261904762,-2409.666933333333,-20605.126585714286,1275.1473333333336,11728.54480952381,-3226.5671999999995,112.29079032,522.7530095238096,-3114.27640968,-2591.5234001561903,3042.7547142857143,3600.911680952381,3792.3501285714287,-2367.3085571428564,-20813.499828571425,1258.510219047619,12168.253014285716,-3237.499561904762,114.36732980571428,681.9713714285715,-3123.1322320990475,-2441.1608606704763,19.45556666666667,61.84916190476189,16.533133333333332,-0.6500666666666668,231.1613095238095,16.637114285714283,-439.7081952380952,-23.79981904761905,2.87882424,-94.72197619047616,-20.92099480761905,-115.64297099809524,-4.761904737363022e-06,4.761904717738508e-06,-6.682485252981896e-14,-41.70830952380946,-22.78806666666663,1.522591576628786e-15,-9.523809651346666e-06,34.73218095238087,-4.955363725714285,-64.4963761904761,29.776817226666584,-34.71955896380952,3062.210276190477,3662.760847619047,3808.883261904762,-2409.666933333333,-20605.126585714286,1275.1473333333336,11728.54480952381,-3284.220766666667,71.62610476190474,0.0,522.7530095238096,-3212.594661904762,-2689.8416523809524,3042.7547142857143,3600.911680952381,3792.3501285714287,-2367.3085571428564,-20813.499828571425,1258.510219047619,12168.253014285716,-3302.7001333333333,72.64590476190476,0.0,681.9713714285715,-3230.0542285714287,-2548.0828571428574,19.45556666666667,61.84916190476189,16.533133333333332,-0.6500666666666668,231.1613095238095,16.637114285714283,-439.7081952380952,-23.21403333333333,2.6423380952380957,0.0,-94.72197619047616,-20.57169523809524,-115.2936714285714,-4.761904737363022e-06,4.761904717738508e-06,-6.682485252981896e-14,-41.70830952380946,-22.78806666666663,1.522591576628786e-15,-9.523809651346666e-06,41.69340000000003,-3.6621380952380944,0.0,-64.4963761904761,38.03126190476195,-26.465114285714154
lig_ejm_31,1,2,-20.66300000000009,-27.90968120380956,-26.519925000000093,-33.766606203809566,,,-28.89680000000009,-36.14348120380957,8.2338,8.2338,2.376875,2.376875,,3058.525014285714,3650.224780952381,3799.002819047619,-2411.020919047619,-20543.81464285714,1277.1292285714285,11718.14829047619,-3297.832657142857,112.49896453714288,548.1945714285715,-3185.333692605714,-2637.1391211771424,3036.7302142857143,3588.3337380952385,3782.206552380952,-2367.4279809523805,-20753.92643809524,1260.7900857142856,12158.229495238096,-3307.2111095238097,114.61708100571428,704.9356666666671,-3192.5940285180945,-2487.6583618514283,21.794809523809523,61.89103333333334,16.796247619047623,-0.6851857142857144,231.52175714285715,16.33914761904762,-440.08122380952375,-23.79520952380952,2.8813123542857144,-92.42341428571429,-20.913897169523807,-113.3373114552381,-9.52380948754119e-06,9.523809536306412e-06,1.9047619062208453e-05,-42.90775238095235,-21.40996190476198,-4.761904769675798e-06,1.904761889396208e-05,33.17366190476192,-4.999428822857142,-64.31771428571435,28.17423308190477,-36.14348120380957,3058.525014285714,3650.224780952381,3799.002819047619,-2411.020919047619,-20543.81464285714,1277.1292285714285,11718.14829047619,-3357.4268523809524,71.14518095238095,0.0,548.1945714285715,-3286.2816714285705,-2738.0871,3036.7302142857143,3588.3337380952385,3782.206552380952,-2367.4279809523805,-20753.92643809524,1260.7900857142856,12158.229495238096,-3373.204123809524,72.11881904761904,0.0,704.9356666666671,-3301.085304761905,-2596.149638095238,21.794809523809523,61.89103333333334,16.796247619047623,-0.6851857142857144,231.52175714285715,16.33914761904762,-440.08122380952375,-23.2602,2.642919047619048,0.0,-92.42341428571429,-20.617280952380955,-113.04069523809522,-9.52380948754119e-06,9.523809536306412e-06,1.9047619062208453e-05,-42.90775238095235,-21.40996190476198,-4.761904769675798e-06,1.904761889396208e-05,39.037471428571386,-3.616557142857142,0.0,-64.31771428571435,35.420914285714254,-28.89680000000009
lig_ejm_31,1,3,-12.627347619047637,-20.364827546666643,-21.18974761904764,-28.927227546666643,,,-26.10474761904764,-33.84222754666664,13.4774,13.4774,4.915,4.915,,3037.9933666666666,3642.9828333333335,3784.95320952381,-2403.748742857143,-20518.84901904762,1276.9841904761906,11707.693104761902,-3304.1226523809523,112.86724237714289,528.0089428571423,-3191.2554100038096,-2663.246467146667,3016.3900523809525,3580.157476190476,3768.563171428572,-2361.0279,-20728.54183809524,1259.9900285714286,12147.941814285712,-3315.179242857143,114.98727994285714,683.4728047619045,-3200.1919629142863,-2516.7191581523816,21.60331904761905,62.82536190476191,16.390057142857145,-0.4365142857142857,231.01265714285717,16.994166666666665,-440.2487095238096,-23.710166666666662,2.884780457142857,-91.85966190476192,-20.82538620952381,-112.68504811428572,-4.76190479691327e-06,-4.761904719430277e-06,-1.9047619076503896e-05,-42.28432857142848,-21.319838095238204,-4.761904768829914e-06,-1.2180732613030289e-13,34.76675714285719,-5.004818022857142,-63.604166666666686,29.761939120000047,-33.84222754666664,3037.9933666666666,3642.9828333333335,3784.95320952381,-2403.748742857143,-20518.84901904762,1276.9841904761906,11707.693104761902,-3357.407714285714,71.31013333333333,0.0,528.0089428571423,-3286.0975809523807,-2758.0886380952384,3016.3900523809525,3580.157476190476,3768.563171428572,-2361.0279,-20728.54183809524,1259.9900285714286,12147.941814285712,-3375.289833333333,72.3210619047619,0.0,683.4728047619045,-3302.968771428572,-2619.495966666667,21.60331904761905,62.82536190476191,16.390057142857145,-0.4365142857142857,231.01265714285717,16.994166666666665,-440.2487095238096,-23.27312380952381,2.644895238095238,0.0,-91.85966190476192,-20.62822857142857,-112.4878904761905,-4.76190479691327e-06,-4.761904719430277e-06,-1.9047619076503896e-05,-42.28432857142848,-21.319838095238204,-4.761904768829914e-06,-1.2180732613030289e-13,41.15524285714286,-3.655823809523811,0.0,-63.604166666666686,37.49941904761905,-26.10474761904764
lig_ejm_31,1,4,-17.174014285714193,-24.065212491428497,-25.36221428571419,-32.25341249142849,,,-29.38971428571419,-36.280912491428495,12.2157,12.2157,4.0275,4.0275,,3079.1732095238094,3654.357433333333,3812.425785714285,-2417.8385190476192,-20584.04465238095,1273.8771952380953,11723.006852380951,-3258.241095238095,110.59851802285712,540.957304761905,-3147.642577215238,-2606.685272453333,3058.6330666666668,3591.550461904761,3795.7684666666655,-2376.9159428571425,-20793.22980952381,1257.149219047619,12163.320971428571,-3267.2667523809528,112.71128427428572,696.2764333333338,-3154.5554681066665,-2458.279034773333,20.540157142857147,62.8069761904762,16.657319047619044,0.5357999999999998,231.07180952380952,16.727952380952374,-440.31411904761904,-23.022771428571428,2.87154624,-91.97410476190475,-20.15122518857143,-112.1253299504762,-1.4285714292871007e-05,-4.761904836500651e-06,-3.045183153257572e-15,-41.4583761904761,-21.88665238095244,2.380952383789003e-05,1.3534147347811431e-14,32.04842857142862,-4.984312491428573,-63.34502857142856,27.06411608000005,-36.280912491428495,3079.1732095238094,3654.357433333333,3812.425785714285,-2417.8385190476192,-20584.04465238095,1273.8771952380953,11723.006852380951,-3319.5757619047617,70.52612857142857,0.0,540.957304761905,-3249.0496333333326,-2708.0923285714284,3058.6330666666668,3591.550461904761,3795.7684666666655,-2376.9159428571425,-20793.22980952381,1257.149219047619,12163.320971428571,-3334.6351142857143,71.5162619047619,0.0,696.2764333333338,-3263.118852380953,-2566.842419047619,20.540157142857147,62.8069761904762,16.657319047619044,0.5357999999999998,231.07180952380952,16.727952380952374,-440.31411904761904,-22.515261904761903,2.629166666666667,0.0,-91.97410476190475,-19.88609523809524,-111.8602,-1.4285714292871007e-05,-4.761904836500651e-06,-3.045183153257572e-15,-41.4583761904761,-21.88665238095244,2.380952383789003e-05,1.3534147347811431e-14,37.57461428571434,-3.6193,0.0,-63.34502857142856,33.955314285714344,-29.38971428571419
lig_ejm_31,1,5,-21.67647619047604,-27.67915440380929,-25.611776190476043,-31.61445440380929,,,-29.47177619047604,-35.47445440380929,7.7953,7.7953,3.86,3.86,,3040.1696428571427,3645.92061904762,3801.138095238096,-2411.31109047619,-20567.32159523809,1272.9058523809526,11710.012652380952,-3259.472976190476,111.94404582857145,491.5141761904762,-3147.528930361905,-2656.0147541714286,3018.62760952381,3584.1994476190475,3783.707247619048,-2370.277319047619,-20774.803633333337,1256.2156523809524,12150.012442857143,-3270.2053095238093,113.90778887999998,647.6814476190468,-3156.297520643809,-2508.6160730247625,21.54202857142857,61.72118095238096,17.430852380952384,-0.0299761904761905,231.3472809523809,16.690199999999997,-439.99978571428574,-23.498380952380952,2.872387542857143,-91.29821904761904,-20.62599340952381,-111.92421245714286,4.761904745906452e-06,-9.523809497734097e-06,-4.761904791837965e-06,-41.00379523809526,-23.86524285714264,4.314009467114894e-15,-4.761904601006488e-06,34.230714285714306,-4.836130594285716,-64.8690380952379,29.394583691428583,-35.47445440380929,3040.1696428571427,3645.92061904762,3801.138095238096,-2411.31109047619,-20567.32159523809,1272.9058523809526,11710.012652380952,-3313.3366428571426,71.39022857142858,0.0,491.5141761904762,-3241.946414285714,-2750.432238095238,3018.62760952381,3584.1994476190475,3783.707247619048,-2370.277319047619,-20774.803633333337,1256.2156523809524,12150.012442857143,-3329.382357142857,72.40403333333333,0.0,647.6814476190468,-3256.978323809524,-2609.2968761904767,21.54202857142857,61.72118095238096,17.430852380952384,-0.0299761904761905,231.3472809523809,16.690199999999997,-439.99978571428574,-23.00965238095238,2.6443,0.0,-91.29821904761904,-20.365352380952384,-111.66357142857144,4.761904745906452e-06,-9.523809497734097e-06,-4.761904791837965e-06,-41.00379523809526,-23.86524285714264,4.314009467114894e-15,-4.761904601006488e-06,39.0553666666666,-3.658104761904765,0.0,-64.8690380952379,35.397261904761834,-29.47177619047604
lig_ejm_31,1,6,-18.528728571427852,-26.27518137904682,-25.285303571427857,-33.031756379046826,,,-28.508428571427856,-36.25488137904682,9.9797,9.9797,3.223125,3.223125,,3058.9959714285715,3656.112828571428,3791.7495428571433,-2417.5011666666664,-20554.443147619044,1277.0674142857142,11715.879580952382,-3255.021647619048,111.83863762285712,527.8610238095234,-3143.1830099961912,-2615.321986186668,3038.888380952381,3595.6806809523814,3774.613676190476,-2374.2772857142854,-20762.59405714286,1260.080823809524,12155.6934,-3266.483128571428,114.0152448685714,688.0856190476183,-3152.4678837028573,-2464.382264655239,20.10759047619048,60.43214285714287,17.13587142857143,0.2107142857142856,230.8311238095238,16.986580952380947,-439.8138142857143,-23.44515238095238,2.870097942857144,-94.10979047619048,-20.57505443809524,-114.68484491428572,-4.1448326252672506e-15,4.761904740746559e-06,-4.761904718076862e-06,-43.43459523809531,-22.68021428571346,9.523809511606596e-06,-4.761904785070892e-06,34.90663333333338,-5.046705188571429,-66.11480952380877,29.85992814476195,-36.25488137904682,3058.9959714285715,3656.112828571428,3791.7495428571433,-2417.5011666666664,-20554.443147619044,1277.0674142857142,11715.879580952382,-3308.9468571428574,71.30811428571428,0.0,527.8610238095234,-3237.638742857143,-2709.7777190476195,3038.888380952381,3595.6806809523814,3774.613676190476,-2374.2772857142854,-20762.59405714286,1260.080823809524,12155.6934,-3327.235238095239,72.31962380952382,0.0,688.0856190476183,-3254.915614285714,-2566.829995238096,20.10759047619048,60.43214285714287,17.13587142857143,0.2107142857142856,230.8311238095238,16.986580952380947,-439.8138142857143,-22.968542857142857,2.639033333333333,0.0,-94.10979047619048,-20.329509523809524,-114.43930000000005,-4.1448326252672506e-15,4.761904740746559e-06,-4.761904718076862e-06,-43.43459523809531,-22.68021428571346,9.523809511606596e-06,-4.761904785070892e-06,41.25692380952376,-3.650542857142856,0.0,-66.11480952380877,37.60638095238091,-28.508428571427856
lig_ejm_31,1,7,-21.927923809523797,-28.468645919999933,-24.252973809523795,-30.793695919999934,,,-29.254223809523797,-35.79494591999993,7.3263,7.3263,5.001250000000001,5.001250000000001,,3051.148642857143,3664.816880952381,3796.6553333333336,-2414.1625285714285,-20624.224585714284,1270.5030333333334,11721.626085714284,-3203.0235904761903,111.62575148571425,466.36286190476216,-3091.3978389904764,-2625.0349770857138,3031.6491571428573,3602.8744238095237,3780.54809047619,-2371.999647619048,-20832.516185714285,1253.2021095238092,12161.074752380951,-3213.425338095238,113.65122490285717,624.8327000000005,-3099.7741131923813,-2474.9414131923804,19.499471428571432,61.94245714285714,16.10724761904762,-0.0921857142857142,230.58072857142852,17.30091428571429,-439.44865714285726,-23.064676190476185,2.876072502857143,-94.11002380952378,-20.188603687619047,-114.29862749714286,1.4285714284665931e-05,1.0861153246618677e-13,-4.76190477601993e-06,-42.07069523809527,-22.28912857142845,9.523809484622889e-06,-9.52380963781252e-06,33.466423809523775,-4.901545920000002,-64.35982380952373,28.56487788952377,-35.79494591999993,3051.148642857143,3664.816880952381,3796.6553333333336,-2414.1625285714285,-20624.224585714284,1270.5030333333334,11721.626085714284,-3259.519376190476,71.14739523809523,0.0,466.36286190476216,-3188.371980952381,-2722.0091190476187,3031.6491571428573,3602.8744238095237,3780.54809047619,-2371.999647619048,-20832.516185714285,1253.2021095238092,12161.074752380951,-3275.7412857142854,72.17687619047618,0.0,624.8327000000005,-3203.564409523809,-2578.731709523809,19.499471428571432,61.94245714285714,16.10724761904762,-0.0921857142857142,230.58072857142852,17.30091428571429,-439.44865714285726,-22.55813333333333,2.6449619047619044,0.0,-94.11002380952378,-19.913171428571427,-114.0231952380952,1.4285714284665931e-05,1.0861153246618677e-13,-4.76190477601993e-06,-42.07069523809527,-22.28912857142845,9.523809484622889e-06,-9.52380963781252e-06,38.78004285714277,-3.6744428571428593,0.0,-64.35982380952373,35.10559999999991,-29.254223809523797
lig_ejm_31,1,8,-17.358347619047542,-25.488996883809463,-24.306222619047546,-32.43687188380947,,,-28.214347619047544,-36.344996883809465,10.856,10.856,3.908125,3.908125,,3039.3771904761907,3644.8342571428566,3794.174166666666,-2400.5505952380954,-20621.22252857143,1279.987661904762,11728.726442857142,-3218.8477238095243,113.46632917714284,465.3265952380953,-3105.381394632381,-2640.054799394285,3015.0461095238093,3583.376476190477,3777.8766095238097,-2358.5837,-20829.08227142857,1263.2375380952385,12168.051938095236,-3228.125061904762,115.43195554285714,619.9227,-3112.693106361905,-2492.770406361905,24.331076190476196,61.45775714285715,16.29757142857143,-0.5358523809523809,230.75206666666665,16.750114285714286,-439.32549523809513,-23.541319047619048,2.874660994285714,-90.27276190476192,-20.666658053333336,-110.93941995809524,4.761904710294727e-06,2.3809523796780057e-05,-1.428571438921722e-05,-41.43104285714295,-22.892323809523663,9.52380953554512e-06,3.464741721039727e-13,32.818657142857155,-4.84028736,-64.32336666666663,27.97836978285715,-36.344996883809465,3039.3771904761907,3644.8342571428566,3794.174166666666,-2400.5505952380954,-20621.22252857143,1279.987661904762,11728.726442857142,-3280.065633333333,72.23559523809524,0.0,465.3265952380953,-3207.8300380952373,-2742.503442857143,3015.0461095238093,3583.376476190477,3777.8766095238097,-2358.5837,-20829.08227142857,1263.2375380952385,12168.051938095236,-3296.941361904762,73.24369047619048,0.0,619.9227,-3223.6976714285715,-2603.774971428572,24.331076190476196,61.45775714285715,16.29757142857143,-0.5358523809523809,230.75206666666665,16.750114285714286,-439.32549523809513,-22.88042380952381,2.639038095238095,0.0,-90.27276190476192,-20.241385714285716,-110.5141476190476,4.761904710294727e-06,2.3809523796780057e-05,-1.428571438921722e-05,-41.43104285714295,-22.892323809523663,9.52380953554512e-06,3.464741721039727e-13,39.756152380952415,-3.647133333333332,0.0,-64.32336666666663,36.10901904761907,-28.214347619047544
lig_ejm_31,1,9,-19.15411428571391,-25.723198003809152,-24.672564285713907,-31.24164800380915,,,-29.823814285713908,-36.39289800380915,10.6697,10.6697,5.15125,5.15125,,3065.014128571429,3654.741876190477,3787.3063714285713,-2387.562271428572,-20627.429566666666,1272.7166095238094,11744.91367142857,-3241.6488142857147,114.8144697257143,509.7008190476189,-3126.8343445600003,-2617.133525512381,3041.541876190476,3591.875880952381,3771.3562285714297,-2344.980995238095,-20838.23845714286,1256.3595285714284,12183.551185714285,-3248.4934476190474,116.78750526857142,661.4652476190472,-3131.705942350476,-2470.2406947314294,23.47225238095238,62.86600476190476,15.950142857142856,-0.3489095238095238,230.5821476190476,16.357080952380954,-438.6375000000001,-23.622209523809527,2.8810815085714285,-89.75878095238096,-20.741128015238093,-110.49990896761904,-1.844027576139308e-14,-9.523809525479096e-06,-1.0996494720096789e-15,-42.23236666666666,-19.773257142856732,-1.717144944753575e-14,-1.4285714393108288e-05,30.466842857142822,-4.854117051428576,-62.00562380952339,25.612725805714245,-36.39289800380915,3065.014128571429,3654.741876190477,3787.3063714285713,-2387.562271428572,-20627.429566666666,1272.7166095238094,11744.91367142857,-3314.960852380953,72.46956190476192,0.0,509.7008190476189,-3242.4912904761904,-2732.7904714285714,3041.541876190476,3591.875880952381,3771.3562285714297,-2344.980995238095,-20838.23845714286,1256.3595285714284,12183.551185714285,-3327.8001952380955,73.49132857142855,0.0,661.4652476190472,-3254.3088666666667,-2592.8436190476195,23.47225238095238,62.86600476190476,15.950142857142856,-0.3489095238095238,230.5821476190476,16.357080952380954,-438.6375000000001,-23.00870476190476,2.644471428571429,0.0,-89.75878095238096,-20.364233333333328,-110.12301428571428,-1.844027576139308e-14,-9.523809525479096e-06,-1.0996494720096789e-15,-42.23236666666666,-19.773257142856732,-1.717144944753575e-14,-1.4285714393108288e-05,35.84804761904758,-3.666238095238096,0.0,-62.00562380952339,32.18180952380949,-29.823814285713908
lig_ejm_31,1,10,-23.080004761905062,-29.443822403809826,-28.766829761905065,-35.130647403809824,,,-29.753704761905063,-36.11752240380982,6.6737,6.6737,0.986875,0.986875,,3083.200095238095,3665.8787952380953,3800.081423809524,-2387.875914285714,-20479.260280952378,1274.567242857143,11707.200585714289,-3337.1974,116.18972461714286,663.7919476190474,-3221.0076753828566,-2557.21572776381,3059.9022,3602.0798619047614,3783.6960904761904,-2346.188428571428,-20689.15033333333,1258.0223,12146.915985714286,-3344.6566761904755,118.14797808,815.2776761904768,-3226.5086981104764,-2411.2310219199994,23.29788571428572,63.798928571428576,16.385333333333328,-0.2056380952380951,230.53841428571425,16.5449380952381,-439.7154142857144,-23.38859523809524,2.876930845714285,-89.35555238095237,-20.511664392380958,-109.86721677333333,9.523809519219551e-06,4.7619047353329e-06,-3.86569083621864e-14,-41.48184761904764,-20.64836190476225,4.761904784225007e-06,1.4285714111598022e-05,30.847871428571494,-4.83518430857143,-62.130209523809896,26.012687120000063,-36.11752240380982,3083.200095238095,3665.8787952380953,3800.081423809524,-2387.875914285714,-20479.260280952378,1274.567242857143,11707.200585714289,-3398.000423809524,72.98785714285717,0.0,663.7919476190474,-3325.0125666666663,-2661.22061904762,3059.9022,3602.0798619047614,3783.6960904761904,-2346.188428571428,-20689.15033333333,1258.0223,12146.915985714286,-3411.1803523809526,74.01288571428572,0.0,815.2776761904768,-3337.1674666666668,-2521.88979047619,23.29788571428572,63.798928571428576,16.385333333333328,-0.2056380952380951,230.53841428571425,16.5449380952381,-439.7154142857144,-22.859709523809524,2.6381047619047617,0.0,-89.35555238095237,-20.221604761904764,-109.57715714285716,9.523809519219551e-06,4.7619047353329e-06,-3.86569083621864e-14,-41.48184761904764,-20.64836190476225,4.761904784225007e-06,1.4285714111598022e-05,36.03963809523815,-3.663133333333333,0.0,-62.130209523809896,32.376504761904826,-29.753704761905063
