name,replica,sample,dg_c2_pb,dg_c2_gb,dg_ie_pb,dg_ie_gb,dg_qh_pb,dg_qh_gb,dg_en_pb,dg_en_gb,c2_pb,c2_gb,ie_pb,ie_gb,qh,gb_energy_complex_bond,gb_energy_complex_angle,gb_energy_complex_dihed,gb_energy_complex_vdwaals,gb_energy_complex_eel,gb_energy_complex_14vdw,gb_energy_complex_14eel,gb_energy_complex_egb,gb_energy_complex_esurf,gb_energy_complex_ggas,gb_energy_complex_gsolv,gb_energy_complex_total,gb_energy_receptor_bond,gb_energy_receptor_angle,gb_energy_receptor_dihed,gb_energy_receptor_vdwaals,gb_energy_receptor_eel,gb_energy_receptor_14vdw,gb_energy_receptor_14eel,gb_energy_receptor_egb,gb_energy_receptor_esurf,gb_energy_receptor_ggas,gb_energy_receptor_gsolv,gb_energy_receptor_total,gb_energy_ligand_bond,gb_energy_ligand_angle,gb_energy_ligand_dihed,gb_energy_ligand_vdwaals,gb_energy_ligand_eel,gb_energy_ligand_14vdw,gb_energy_ligand_14eel,gb_energy_ligand_egb,gb_energy_ligand_esurf,gb_energy_ligand_ggas,gb_energy_ligand_gsolv,gb_energy_ligand_total,gb_energy_delta_bond,gb_energy_delta_angle,gb_energy_delta_dihed,gb_energy_delta_vdwaals,gb_energy_delta_eel,gb_energy_delta_14vdw,gb_energy_delta_14eel,gb_energy_delta_egb,gb_energy_delta_esurf,gb_energy_delta_ggas,gb_energy_delta_gsolv,gb_energy_delta_total,pb_energy_complex_bond,pb_energy_complex_angle,pb_energy_complex_dihed,pb_energy_complex_vdwaals,pb_energy_complex_eel,pb_energy_complex_14vdw,pb_energy_complex_14eel,pb_energy_complex_epb,pb_energy_complex_enpolar,pb_energy_complex_edisper,pb_energy_complex_ggas,pb_energy_complex_gsolv,pb_energy_complex_total,pb_energy_receptor_bond,pb_energy_receptor_angle,pb_energy_receptor_dihed,pb_energy_receptor_vdwaals,pb_energy_receptor_eel,pb_energy_receptor_14vdw,pb_energy_receptor_14eel,pb_energy_receptor_epb,pb_energy_receptor_enpolar,pb_energy_receptor_edisper,pb_energy_receptor_ggas,pb_energy_receptor_gsolv,pb_energy_receptor_total,pb_energy_ligand_bond,pb_energy_ligand_angle,pb_energy_ligand_dihed,pb_energy_ligand_vdwaals,pb_energy_ligand_eel,pb_energy_ligand_14vdw,pb_energy_ligand_14eel,pb_energy_ligand_epb,pb_energy_ligand_enpolar,pb_energy_ligand_edisper,pb_energy_ligand_ggas,pb_energy_ligand_gsolv,pb_energy_ligand_total,pb_energy_delta_bond,pb_energy_delta_angle,pb_energy_delta_dihed,pb_energy_delta_vdwaals,pb_energy_delta_eel,pb_energy_delta_14vdw,pb_energy_delta_14eel,pb_energy_delta_epb,pb_energy_delta_enpolar,pb_energy_delta_edisper,pb_energy_delta_ggas,pb_energy_delta_gsolv,pb_energy_delta_total
lig_ejm_31,1,1,-13.21293809523756,-21.941525173332835,-16.44351309523756,-25.17210017333284,,,-25.15413809523756,-33.88272517333284,11.9412,11.9412,8.710625,8.710625,,3030.7869333333333,3622.527104761905,3793.882295238095,-2402.6529047619047,-20594.83749523809,1271.9133333333334,11738.805304761903,-3237.7876523809523,112.18034945142855,460.424571428572,-3125.6073029295235,-2665.1827315009514,3008.722885714285,3601.047723809524,3776.352219047619,-2361.7014952380955,-20803.765371428573,1262.6425333333336,12175.761685714286,-3248.0811380952377,114.5458418742857,659.060180952381,-3133.535296220952,-2474.475115268572,22.064052380952383,21.479376190476188,17.530085714285715,0.2674523809523809,230.3194142857143,9.270804761904762,-436.9563761904762,-23.68379523809524,2.884113702857143,-136.0251904761905,-20.799681535238093,-156.82487201142854,-4.761904706488248e-06,4.761904762485783e-06,-9.523809515497663e-06,-41.21886190476185,-21.391538095237685,-4.761904753392528e-06,-4.761904709279666e-06,33.97728095238098,-5.249606125714287,-62.61039999999952,28.72767482666669,-33.88272517333284,3030.7869333333333,3622.527104761905,3793.882295238095,-2402.6529047619047,-20594.83749523809,1271.9133333333334,11738.805304761903,-3289.9035047619045,71.16960952380953,0.0,460.424571428572,-3218.733895238095,-2758.309323809523,3008.722885714285,3601.047723809524,3776.352219047619,-2361.7014952380955,-20803.765371428573,1262.6425333333336,12175.761685714286,-3308.2244714285707,72.21095238095239,0.0,659.060180952381,-3236.0135190476194,-2576.953338095238,22.064052380952383,21.479376190476188,17.530085714285715,0.2674523809523809,230.3194142857143,9.270804761904762,-436.9563761904762,-22.82707142857143,2.650433333333333,0.0,-136.0251904761905,-20.176638095238097,-156.2018285714286,-4.761904706488248e-06,4.761904762485783e-06,-9.523809515497663e-06,-41.21886190476185,-21.391538095237685,-4.761904753392528e-06,-4.761904709279666e-06,41.14803809523815,-3.691776190476191,0.0,-62.61039999999952,37.456261904761966,-25.15413809523756
lig_ejm_31,1,10,-16.58985714285668,-24.64144055619,-25.10940714285668,-33.16099055619,,,-28.59565714285668,-36.64724055619,12.0058,12.0058,3.48625,3.48625,,3080.3051047619047,3603.642128571428,3778.52769047619,-2382.522076190476,-20552.88625714285,1277.5656095238096,11680.90832857143,-3252.171214285714,113.8144005257143,485.54052857142864,-3138.3568137600005,-2652.816285188572,3060.3238285714287,3583.2560190476192,3759.571671428572,-2340.2029523809524,-20760.151642857145,1268.3811380952382,12117.568166666666,-3261.8745952380946,116.10915685714288,688.7462285714277,-3145.7654383809527,-2457.019209809524,19.98129047619048,20.38612857142857,18.95602857142857,-0.1667857142857144,230.6613904761905,9.184466666666664,-436.6598333333333,-24.38308571428572,2.890608034285714,-137.65731428571428,-21.49247768,-159.14979196571426,-1.4285714285004284e-05,-1.9047619053411257e-05,-9.523809549248443e-06,-42.15233809523804,-23.396004761904347,4.761904775343223e-06,-4.761904720106984e-06,34.086466666666674,-5.185364365714283,-65.54834285714239,28.90110230095239,-36.64724055619,3080.3051047619047,3603.642128571428,3778.52769047619,-2382.522076190476,-20552.88625714285,1277.5656095238096,11680.90832857143,-3310.7161714285708,71.90831904761905,0.0,485.54052857142864,-3238.8078523809527,-2753.267323809524,3060.3238285714287,3583.2560190476192,3759.571671428572,-2340.2029523809524,-20760.151642857145,1268.3811380952382,12117.568166666666,-3327.831961904762,72.95768095238095,0.0,688.7462285714277,-3254.874280952381,-2566.128052380953,19.98129047619048,20.38612857142857,18.95602857142857,-0.1667857142857144,230.6613904761905,9.184466666666664,-436.6598333333333,-23.54482380952381,2.6585666666666663,0.0,-137.65731428571428,-20.886257142857144,-158.54357142857145,-1.4285714285004284e-05,-1.9047619053411257e-05,-9.523809549248443e-06,-42.15233809523804,-23.396004761904347,4.761904775343223e-06,-4.761904720106984e-06,40.66061428571428,-3.707928571428573,0.0,-65.54834285714239,36.95268571428572,-28.59565714285668
lig_ejm_31,1,11,-21.38260476190475,-29.601360495238158,-25.51857976190475,-33.73733549523816,,,-29.08420476190475,-37.30296049523815,7.7016,7.7016,3.565625,3.565625,,3078.1487380952385,3605.5948333333326,3787.748309523809,-2386.1904333333337,-20587.277961904765,1264.3151666666668,11691.50957142857,-3246.681519047619,113.84652308571428,453.84822380952426,-3132.8349959619045,-2678.9867721523806,3055.722033333333,3585.330409523809,3768.6445,-2342.508638095238,-20793.370723809527,1255.3518238095237,12127.96451904762,-3257.682471428572,116.15552986285714,657.133923809524,-3141.526941565715,-2484.3930177561906,22.42671904761905,20.264414285714288,19.103814285714293,-0.462152380952381,230.7505428571428,8.963347619047621,-436.45494285714295,-24.77430476190477,2.8917870514285715,-135.40825714285717,-21.882517710476197,-157.29077485333332,-1.4285714293463126e-05,9.523809486906776e-06,-4.761904769929564e-06,-43.21964285714288,-24.657780952380943,-4.761904763458549e-06,-4.761904717400155e-06,35.7752571428571,-5.200793828571431,-67.87742380952383,30.57446331428567,-37.30296049523815,3078.1487380952385,3605.5948333333326,3787.748309523809,-2386.1904333333337,-20587.277961904765,1264.3151666666668,11691.50957142857,-3303.212476190476,71.844,0.0,453.84822380952426,-3231.368476190476,-2777.520252380952,3055.722033333333,3585.330409523809,3768.6445,-2342.508638095238,-20793.370723809527,1255.3518238095237,12127.96451904762,-3321.75130952381,72.86111904761904,0.0,657.133923809524,-3248.8901904761906,-2591.7562666666663,22.42671904761905,20.264414285714288,19.103814285714293,-0.462152380952381,230.7505428571428,8.963347619047621,-436.45494285714295,-23.935333333333336,2.663828571428572,0.0,-135.40825714285717,-21.27150476190476,-156.67976190476188,-1.4285714293463126e-05,9.523809486906776e-06,-4.761904769929564e-06,-43.21964285714288,-24.657780952380943,-4.761904763458549e-06,-4.761904717400155e-06,42.47416666666669,-3.6809476190476182,0.0,-67.87742380952383,38.79321904761907,-29.08420476190475
lig_ejm_31,1,12,-17.241966666667025,-23.505116910476467,-23.441591666667023,-29.704741910476464,,,-29.580966666667024,-35.844116910476465,12.339,12.339,6.139374999999999,6.139374999999999,,3063.3097238095243,3607.419376190476,3803.011904761904,-2399.152142857143,-20618.78464761905,1275.1548095238093,11692.479299999995,-3202.390347619048,112.14262841142856,423.4383238095237,-3090.247719207619,-2666.809395398096,3042.645004761905,3588.205952380953,3785.267776190477,-2357.1706666666664,-20827.57189047619,1265.9542142857142,12129.589028571429,-3211.09319047619,114.26013785142857,626.9194190476193,-3096.8330526247614,-2469.913633577143,20.66472857142857,19.21341428571429,17.744152380952382,-0.3950047619047619,231.0772238095238,9.2006,-437.1097333333333,-24.332747619047616,2.8857455657142856,-139.60461904761905,-21.44700205333333,-161.0516211009524,-9.523809435730782e-06,9.523809556100105e-06,-2.3809523753809137e-05,-41.5864714285714,-22.289980952381285,-4.761904779022819e-06,4.761904687625031e-06,33.0355904761905,-5.003255005714285,-63.876452380952685,28.032335470476216,-35.844116910476465,3063.3097238095243,3607.419376190476,3803.011904761904,-2399.152142857143,-20618.78464761905,1275.1548095238093,11692.479299999995,-3257.8231523809527,71.24112857142856,0.0,423.4383238095237,-3186.582023809524,-2763.1437,3042.645004761905,3588.205952380953,3785.267776190477,-2357.1706666666664,-20827.57189047619,1265.9542142857142,12129.589028571429,-3272.2163571428573,72.22348571428572,0.0,626.9194190476193,-3199.992871428572,-2573.0734523809524,20.66472857142857,19.21341428571429,17.744152380952382,-0.3950047619047619,231.0772238095238,9.2006,-437.1097333333333,-23.53909523809524,2.6544571428571437,0.0,-139.60461904761905,-20.88463809523809,-160.48925714285716,-9.523809435730782e-06,9.523809556100105e-06,-2.3809523753809137e-05,-41.5864714285714,-22.289980952381285,-4.761904779022819e-06,4.761904687625031e-06,37.93229999999996,-3.636814285714288,0.0,-63.876452380952685,34.295485714285654,-29.580966666667024
lig_ejm_31,1,13,-21.28327142857156,-28.68857036571444,-27.71452142857156,-35.11982036571444,,,-28.89577142857156,-36.30107036571444,7.6125,7.6125,1.18125,1.18125,,3082.63160952381,3602.318214285715,3786.839566666666,-2396.512985714286,-20597.81680952381,1274.242276190476,11717.871738095237,-3261.224733333333,113.11294001142858,469.5736095238097,-3148.1117933219043,-2678.538183798096,3062.965095238096,3580.388980952381,3768.4718333333344,-2354.5750857142857,-20803.66823809524,1264.938538095238,12154.270609523808,-3271.864466666667,115.34568353142856,672.7917333333332,-3156.5187831352387,-2483.7270498019047,19.66649523809524,21.929261904761905,18.36773333333333,-0.0634666666666666,230.0836095238095,9.30374761904762,-436.3988476190476,-24.28869523809524,2.890141131428572,-137.11146666666664,-21.39855410666667,-158.51002077333334,1.904761908589321e-05,-2.8571428618816087e-05,2.6729941011927575e-14,-41.87443333333334,-24.23218095238107,-9.523809511437418e-06,-2.380952380354713e-05,34.928428571428555,-5.122884651428573,-66.10661428571441,29.80554391999998,-36.30107036571444,3082.63160952381,3602.318214285715,3786.839566666666,-2396.512985714286,-20597.81680952381,1274.242276190476,11717.871738095237,-3311.0473571428565,71.9045523809524,0.0,469.5736095238097,-3239.142804761904,-2769.569195238096,3062.965095238096,3580.388980952381,3768.4718333333344,-2354.5750857142857,-20803.66823809524,1264.938538095238,12154.270609523808,-3328.385847619047,72.85533809523811,0.0,672.7917333333332,-3255.530509523809,-2582.738776190476,19.66649523809524,21.929261904761905,18.36773333333333,-0.0634666666666666,230.0836095238095,9.30374761904762,-436.3988476190476,-23.48109047619048,2.657952380952381,0.0,-137.11146666666664,-20.823138095238097,-157.93460476190475,1.904761908589321e-05,-2.8571428618816087e-05,2.6729941011927575e-14,-41.87443333333334,-24.23218095238107,-9.523809511437418e-06,-2.380952380354713e-05,40.81958095238095,-3.608738095238096,0.0,-66.10661428571441,37.21084285714285,-28.89577142857156
lig_ejm_31,1,14,-20.388957142857077,-26.87653400380957,-26.64998214285708,-33.13755900380958,,,-28.519357142857075,-35.006934003809576,8.1304,8.1304,1.869375,1.869375,,3070.038657142857,3615.8585857142857,3793.793742857143,-2388.268976190476,-20555.4657,1269.3753571428572,11690.8034,-3270.1068095238097,114.80698693714284,496.1350666666664,-3155.299822586667,-2659.16475592,3048.6589333333336,3594.008242857144,3774.86741904762,-2347.6063666666664,-20760.631533333337,1259.97580952381,12127.384133333337,-3280.966566666666,116.90061353142858,696.6566380952381,-3164.065953135238,-2467.4093150399995,21.379709523809527,21.850357142857145,18.926333333333336,-0.5334142857142856,230.84511904761905,9.399557142857144,-436.5807380952381,-24.921257142857144,2.885840742857143,-134.7130761904762,-22.035416400000003,-156.7484925904762,1.4285714269355426e-05,-1.4285714246431964e-05,-9.523809500779277e-06,-40.12919523809517,-25.6792857142858,-9.523809535883471e-06,4.761904560404045e-06,35.78101428571425,-4.979467337142859,-65.80848095238099,30.80154694857139,-35.006934003809576,3070.038657142857,3615.8585857142857,3793.793742857143,-2388.268976190476,-20555.4657,1269.3753571428572,11690.8034,-3323.179628571428,72.4695380952381,0.0,496.1350666666664,-3250.710090476191,-2754.5750238095243,3048.6589333333336,3594.008242857144,3774.86741904762,-2347.6063666666664,-20760.631533333337,1259.97580952381,12127.384133333337,-3339.9564571428573,73.41382380952382,0.0,696.6566380952381,-3266.542633333333,-2569.885995238096,21.379709523809527,21.850357142857145,18.926333333333336,-0.5334142857142856,230.84511904761905,9.399557142857144,-436.5807380952381,-24.11628095238095,2.6597,0.0,-134.7130761904762,-21.456580952380957,-156.16965714285715,1.4285714269355426e-05,-1.4285714246431964e-05,-9.523809500779277e-06,-40.12919523809517,-25.6792857142858,-9.523809535883471e-06,4.761904560404045e-06,40.893109523809606,-3.603985714285713,0.0,-65.80848095238099,37.28912380952389,-28.519357142857075
lig_ejm_31,1,15,-15.784095238095428,-22.52980525714297,-23.951995238095428,-30.697705257142974,,,-28.054495238095427,-34.80020525714298,12.2704,12.2704,4.1025,4.1025,,3092.584461904762,3613.3597333333337,3797.41037142857,-2394.8298238095244,-20638.247876190475,1273.432138095238,11706.737304761904,-3197.5421809523805,112.88098189714285,450.4463095238096,-3084.661199055238,-2634.2148895314285,3071.7535523809524,3592.726985714285,3778.2105285714288,-2353.4560428571426,-20846.077099999995,1264.169338095238,12144.026366666669,-3207.4885380952383,115.00276114285712,651.3536285714288,-3092.485776952381,-2441.1321483809525,20.830895238095238,20.632747619047617,19.19983333333333,-0.3570333333333334,231.56486666666663,9.262814285714288,-437.28905238095234,-25.01503333333333,2.887426011428571,-136.15492857142857,-22.127607321904765,-158.28253589333332,1.4285714233912878e-05,-6.936250515753359e-15,9.523809522349325e-06,-41.01674761904766,-23.735642857142988,-1.4285714304544207e-05,-9.523809494350556e-06,34.96139047619052,-5.009205257142857,-64.75239047619067,29.95218521904767,-34.80020525714298,3092.584461904762,3613.3597333333337,3797.41037142857,-2394.8298238095244,-20638.247876190475,1273.432138095238,11706.737304761904,-3256.001742857143,72.01584761904762,0.0,450.4463095238096,-3183.9858952380955,-2733.5395857142857,3071.7535523809524,3592.726985714285,3778.2105285714288,-2353.4560428571426,-20846.077099999995,1264.169338095238,12144.026366666669,-3272.069333333333,72.97959523809524,0.0,651.3536285714288,-3199.0897380952383,-2547.7361095238093,20.830895238095238,20.632747619047617,19.19983333333333,-0.3570333333333334,231.56486666666663,9.262814285714288,-437.28905238095234,-24.25951428571428,2.6654619047619046,0.0,-136.15492857142857,-21.59405238095238,-157.74898095238095,1.4285714233912878e-05,-6.936250515753359e-15,9.523809522349325e-06,-41.01674761904766,-23.735642857142988,-1.4285714304544207e-05,-9.523809494350556e-06,40.32710476190475,-3.6292095238095223,0.0,-64.75239047619067,36.69789523809523,-28.054495238095427
lig_ejm_31,1,16,-22.47259047618998,-29.3687178933328,-27.505515476189977,-34.4016428933328,,,-29.21489047618998,-36.1110178933328,6.7423,6.7423,1.709375,1.709375,,3077.367842857143,3606.982471428572,3784.508752380953,-2392.9057428571427,-20632.65455714285,1275.6519904761906,11706.25076190476,-3193.023238095238,112.60989493714284,425.2015190476188,-3080.413343158096,-2655.2118241104763,3056.9762714285707,3585.2235,3765.893404761905,-2349.425342857143,-20840.507471428573,1266.4180714285717,12142.818647619048,-3202.756885714285,114.75266677714286,627.3970809523804,-3088.004218937143,-2460.607137984762,20.39156666666667,21.758961904761904,18.61534761904762,-0.9129523809523808,230.95228571428572,9.233904761904762,-436.56788571428575,-24.852438095238096,2.88751272,-136.52877142857145,-21.964925375238096,-158.4936968038095,4.761904759694365e-06,9.523809545272787e-06,-1.3111205243192326e-14,-42.56744761904756,-23.099371428570976,1.4285714327213906e-05,-2.1654635756498293e-14,34.58608571428572,-5.030284559999997,-65.66681904761852,29.555801154285728,-36.1110178933328,3077.367842857143,3606.982471428572,3784.508752380953,-2392.9057428571427,-20632.65455714285,1275.6519904761906,11706.25076190476,-3247.013161904762,71.53029047619047,0.0,425.2015190476188,-3175.482871428572,-2750.281352380952,3056.9762714285707,3585.2235,3765.893404761905,-2349.425342857143,-20840.507471428573,1266.4180714285717,12142.818647619048,-3263.095571428572,72.48897619047618,0.0,627.3970809523804,-3190.6065952380955,-2563.209514285715,20.39156666666667,21.758961904761904,18.61534761904762,-0.9129523809523808,230.95228571428572,9.233904761904762,-436.56788571428575,-23.98989523809524,2.661690476190476,0.0,-136.52877142857145,-21.328204761904765,-157.85697619047622,4.761904759694365e-06,9.523809545272787e-06,-1.3111205243192326e-14,-42.56744761904756,-23.099371428570976,1.4285714327213906e-05,-2.1654635756498293e-14,40.072304761904746,-3.620376190476191,0.0,-65.66681904761852,36.451928571428574,-29.21489047618998
lig_ejm_31,1,17,-17.829028571428495,-24.550857318095208,-22.337178571428492,-29.059007318095208,,,-28.653428571428496,-35.37525731809521,10.8244,10.8244,6.31625,6.31625,,3062.9897666666666,3604.339595238095,3787.320799999999,-2401.285952380953,-20638.561542857144,1261.613823809524,11707.399666666666,-3193.870085714286,112.15711014857143,383.8161571428569,-3081.7129755657143,-2697.896818422858,3040.110104761905,3583.0060809523807,3768.5698952380944,-2358.605561904762,-20846.42197142857,1252.1296190476191,12143.887014285714,-3203.9323380952383,114.28927199999998,582.6751809523806,-3089.6430660952387,-2506.967885142857,22.879671428571427,21.333504761904763,18.7509,-0.6849571428571428,231.12024761904763,9.4842,-436.48733333333337,-24.837390476190475,2.887485942857143,-133.60376666666667,-21.94990453333333,-155.55367120000005,-9.523809557115163e-06,9.523809521588028e-06,4.761904794544794e-06,-41.995433333333416,-23.25981904761889,4.7619047421845614e-06,-1.4285714460779024e-05,34.899642857142815,-5.0196477942857145,-65.25525238095231,29.8799950628571,-35.37525731809521,3062.9897666666666,3604.339595238095,3787.320799999999,-2401.285952380953,-20638.561542857144,1261.613823809524,11707.399666666666,-3252.493028571429,71.4389476190476,0.0,383.8161571428569,-3181.054080952381,-2797.237923809524,3040.110104761905,3583.0060809523807,3768.5698952380944,-2358.605561904762,-20846.42197142857,1252.1296190476191,12143.887014285714,-3268.797133333334,72.38290952380952,0.0,582.6751809523806,-3196.414223809524,-2613.7390428571434,22.879671428571427,21.333504761904763,18.7509,-0.6849571428571428,231.12024761904763,9.4842,-436.48733333333337,-23.904485714285716,2.662804761904763,0.0,-133.60376666666667,-21.241680952380957,-154.8454476190476,-9.523809557115163e-06,9.523809521588028e-06,4.761904794544794e-06,-41.995433333333416,-23.25981904761889,4.7619047421845614e-06,-1.4285714460779024e-05,40.20859047619048,-3.606766666666664,0.0,-65.25525238095231,36.60182380952381,-28.653428571428496
lig_ejm_31,1,18,-24.024609523809573,-30.78032457523821,-27.31190952380957,-34.06762457523821,,,-29.841909523809573,-36.59762457523821,5.8173,5.8173,2.53,2.53,,3028.0677047619047,3604.3549,3794.0167238095232,-2409.9635476190474,-20711.75768095238,1265.2125761904765,11708.972023809523,-3120.1102761904767,112.62639164571428,278.9026999999999,-3007.4838845447616,-2728.5811845447624,3007.932057142857,3583.6591714285714,3775.0603714285703,-2366.748423809524,-20917.949409523808,1255.9754285714284,12145.029804761904,-3130.1951809523807,114.76926918857144,482.9590000000004,-3015.425911763809,-2532.466911763809,20.13564761904762,20.69574761904762,18.956366666666668,-0.6918714285714286,229.88289523809527,9.237133333333334,-436.05777619047615,-24.57113333333333,2.89636608,-137.84185714285715,-21.67476725333333,-159.51662439619048,-1.3931712926153393e-13,-1.904761909934277e-05,-1.428571426487224e-05,-42.52325238095237,-23.69116666666677,1.4285714285215756e-05,-4.76190479319138e-06,34.656038095238074,-5.039243622857141,-66.21441904761913,29.61679447238093,-36.59762457523821,3028.0677047619047,3604.3549,3794.0167238095232,-2409.9635476190474,-20711.75768095238,1265.2125761904765,11708.972023809523,-3177.8535761904764,71.65305238095237,0.0,278.9026999999999,-3106.200523809524,-2827.297823809524,3007.932057142857,3583.6591714285714,3775.0603714285703,-2366.748423809524,-20917.949409523808,1255.9754285714284,12145.029804761904,-3194.158695238095,72.58804285714285,0.0,482.9590000000004,-3121.570652380952,-2638.611652380952,20.13564761904762,20.69574761904762,18.956366666666668,-0.6918714285714286,229.88289523809527,9.237133333333334,-436.05777619047615,-23.667538095238097,2.665157142857143,0.0,-137.84185714285715,-21.00238095238096,-158.8442380952381,-1.3931712926153393e-13,-1.904761909934277e-05,-1.428571426487224e-05,-42.52325238095237,-23.69116666666677,1.4285714285215756e-05,-4.76190479319138e-06,39.97265714285717,-3.6001476190476174,0.0,-66.21441904761913,36.37250952380956,-29.841909523809573
