name,dg_c2_pb_mean,dg_c2_gb_mean,dg_ie_pb_mean,dg_ie_gb_mean,dg_qh_pb_mean,dg_qh_gb_mean,dg_en_pb_mean,dg_en_gb_mean,c2_pb_mean,c2_gb_mean,ie_pb_mean,ie_gb_mean,qh_mean,dg_c2_pb_sem,dg_c2_gb_sem,dg_ie_pb_sem,dg_ie_gb_sem,dg_qh_pb_sem,dg_qh_gb_sem,dg_en_pb_sem,dg_en_gb_sem,c2_pb_sem,c2_gb_sem,ie_pb_sem,ie_gb_sem,qh_sem,num_replicas,total_samples
lig_ejm_31,-17.715331904761907,-26.874160397650794,-24.560817321428576,-33.71964581431746,,,-28.519473571428577,-37.67830206431746,10.804141666666668,10.804141666666668,3.9586562499999998,3.9586562499999998,,0.5873726414428572,0.5393683238571509,0.30530502750240934,0.3208367925881922,,,0.21108115792965337,0.22372806122739622,0.4863195616128324,0.4863195616128324,0.21314308838579107,0.21314308838579107,,3,60
lig_ejm_42,-19.273199206349243,-27.1865045306667,-25.889615873015906,-33.80292119733336,,,-30.06957420634924,-37.98287953066669,10.796375000000001,10.796375000000001,4.179958333333333,4.179958333333333,,0.5551538485223013,0.5463200018837717,0.3738663157610862,0.3747655691351961,,,0.14617704061310463,0.20955550916325918,0.4955124971921369,0.4955124971921369,0.3083314885328077,0.3083314885328077,,3,60
lig_ejm_43,-18.750603333333412,-26.654950284634992,-25.613775000000082,-33.51812195130166,,,-29.612858333333413,-37.517205284635,10.862255000000001,10.862255000000001,3.999083333333333,3.999083333333333,,0.6305603411378519,0.5944427687726282,0.40918394605052627,0.36306747242821497,,,0.28978932694346526,0.22587499880145245,0.4573412392031222,0.4573412392031222,0.2429203378348149,0.2429203378348149,,3,60
lig_ejm_45,-20.275954523809528,-28.54949861650795,-27.239710357142865,-35.513254449841284,,,-31.410022857142863,-39.683566949841286,11.134068333333333,11.134068333333333,4.1703125,4.1703125,,0.6321173347093844,0.6027096934421927,0.26585887051094304,0.2566250815119569,,,0.14786358349161105,0.16184821035003358,0.5957813037952183,0.5957813037952183,0.2287703710230316,0.2287703710230316,,3,60
lig_ejm_46,-22.2105673809524,-30.576707270285734,-27.952764880952397,-36.318904770285734,,,-31.6262023809524,-39.99234227028573,9.415635,9.415635,3.6734375,3.6734375,,0.5459613097293634,0.5457072651588577,0.30064137191761436,0.33206787548468253,,,0.22984597974470744,0.2787282637620651,0.4544974363686531,0.4544974363686531,0.19029120510215444,0.19029120510215444,,3,60
lig_ejm_47,-22.298147936507984,-30.965334385206397,-28.038655853174653,-36.70584230187306,,,-31.769166269841318,-40.43635271853973,9.471018333333335,9.471018333333335,3.7305104166666667,3.7305104166666667,,0.4475149898960026,0.43191193248881476,0.29476524832985573,0.2913970241950759,,,0.19704438530676863,0.1844825207864861,0.4549057673730006,0.4549057673730006,0.21829484401568394,0.21829484401568394,,3,60
lig_ejm_48,-20.252155952380967,-29.521254102412726,-26.804898035714302,-36.07399618574606,,,-30.593970952380968,-39.86306910241272,10.341815,10.341815,3.789072916666667,3.789072916666667,,0.5856658132498768,0.5460848435465943,0.34898626285925916,0.3317205840782998,,,0.23117552747331105,0.20566228727170452,0.49685709266924466,0.49685709266924466,0.20885792277484552,0.20885792277484552,,3,60
lig_ejm_50,-7.093321666666631,-14.307653631365024,-23.005412499999967,-30.21974446469836,,,-28.9545583333333,-36.16889029803169,21.861236666666667,21.861236666666667,5.949145833333334,5.949145833333334,,1.3519929917458398,1.3172032946973222,0.4353702281800066,0.40666817317257287,,,0.26890916281452787,0.19270365099164186,1.2860889401789672,1.2860889401789672,0.34065333065419057,0.34065333065419057,,3,60
lig_ejm_54,-18.82506563492065,-26.10138123765083,-27.757216468253986,-35.033532070984165,,,-31.703403968253987,-38.97971957098416,12.878338333333334,12.878338333333334,3.9461875,3.9461875,,0.6932106546007224,0.6329356617016118,0.28915484691023424,0.23316567912726283,,,0.20795080185012157,0.15279239914131443,0.5987706763003079,0.5987706763003079,0.20698109099500966,0.20698109099500966,,3,60
lig_ejm_55,-18.612231825396847,-27.219922245396834,-25.38431099206351,-33.9920014120635,,,-29.05891515873018,-37.66660557873016,10.446683333333334,10.446683333333334,3.6746041666666667,3.6746041666666667,,0.5981068840855274,0.5984703636771606,0.30523614616803,0.29730775362104983,,,0.16444979786527014,0.13420383941472233,0.5538361773025279,0.5538361773025279,0.23109177523654914,0.23109177523654914,,3,60
lig_jmc_23,-19.47163825396829,-27.682504193904794,-27.532853670634957,-35.74371961057146,,,-32.28767658730162,-40.49854252723813,12.816038333333333,12.816038333333333,4.754822916666667,4.754822916666667,,0.5523247016314049,0.5729080840467835,0.22816204896224954,0.2494147208504765,,,0.12474568879737313,0.13319747338614413,0.5472335694693722,0.5472335694693722,0.2000832945214865,0.2000832945214865,,3,60
lig_jmc_27,-21.9504016666667,-29.525895329079393,-29.451397916666696,-37.02689157907939,,,-33.784491666666696,-41.359985329079386,11.83409,11.83409,4.333093750000001,4.333093750000001,,0.5788086390961193,0.5774746825801765,0.2598318464071628,0.25074572451612526,,,0.1455573510695351,0.16173928551386468,0.5215871004484651,0.5215871004484651,0.2278107329669793,0.2278107329669793,,3,60
lig_jmc_28,-22.426804206349246,-30.350139470031795,-28.136659206349247,-36.059994470031796,,,-31.70990920634925,-39.63324447003179,9.283105,9.283105,3.5732500000000003,3.5732500000000003,,0.5366308498526792,0.48213127972956055,0.38786692953083995,0.3243797747570772,,,0.33639392815868285,0.26935939288296357,0.3461598328409258,0.3461598328409258,0.15420375932800676,0.15420375932800676,,3,60
